station_id,station_name,department_id,altitude,latitude,longitude,city
1014002,ARBENT,1,534,46.278167,5.669,ARBENT
1027003,BALAN_AERO,1,196,45.833,5.106667,BALAN
1028001,BANEINS,1,243,46.122,4.9045,BANEINS
1033002,BELLEGARDE,1,350,46.0865,5.814167,VALSERHONE
1034004,BELLEY,1,330,45.769333,5.688,BELLEY
1037001,BENONCES,1,944,45.862333,5.484167,BENONCES
1064001,VERIZIEU,1,281,45.777167,5.487167,BRIORD
1071001,CESSY,1,507,46.310333,6.080333,CESSY
1072001,CEYZERIAT_SAPC,1,260,46.204333,5.287667,JASSERON
1089001,AMBERIEU,1,250,45.9765,5.329333,CHATEAU-GAILLARD
1143002,DIVONNE ZA,1,467,46.3415,6.139667,DIVONNE-LES-BAINS
1174001,GIRON,1,1015,46.23,5.7725,GIRON
1200002,LA BALME SUR CERDON_SAPC,1,596,46.09,5.482,LABALME
1235001,MARLIEUX,1,280,46.0385,5.044333,MARLIEUX
1247003,MIJOUX,1,1002,46.378833,6.019333,MIJOUX
1255002,MONTAGNIEU,1,336,45.794333,5.469333,MONTAGNIEU
1269001,NANTUA,1,483,46.148167,5.607333,NANTUA
1367002,SAINT JULIEN SUR REYSSOUZE,1,189,46.403167,5.109833,SAINT-JULIEN-SUR-REYSSOUZE
1384001,SAINT RAMBERT EN BUGEY,1,285,45.931667,5.426667,SAINT-RAMBERT-EN-BUGEY
1384003,ST RAMBERT CG01,1,296,45.950333,5.461,SAINT-RAMBERT-EN-BUGEY
1414001,SUTRIEU,1,878,45.916167,5.624667,VALROMEY-SUR-SERAN
1441001,VIEU,1,615,46.088833,5.540833,VIEU-D'IZENAVE
2037002,AULNOIS-SS-LAON,2,78,49.595667,3.610333,LAON
2058001,BEAURIEUX,2,56,49.390333,3.732667,BEAURIEUX
2077001,BERZY-LE-SEC,2,146,49.322167,3.301667,BERZY-LE-SEC
2094001,BLESMES,2,222,49.009667,3.462667,BLESMES
2110002,BRAINE,2,61,49.351333,3.527,BRAINE
2173002,CHAUNY,2,83,49.633833,3.197833,CHAUNY
2320001,ST QUENTIN,2,98,49.818333,3.206,FONTAINE-LES-CLERCS
2321002,FONTAINE-LES-VV,2,186,49.837333,3.877833,FONTAINE-LES-VERVINS
2346001,GIZY,2,75,49.599833,3.781,GIZY
2381001,HIRSON,2,165,49.922,4.077167,HIRSON
2471001,MARTIGNY-COURPI,2,95,49.485667,3.693167,MARTIGNY-COURPIERRE
2585001,PARCY-ET-TIGNY,2,148,49.280167,3.331,PARCY-ET-TIGNY
2705001,NIZY-LE-COMTE,2,90,49.566,4.0365,NIZY-LE-COMTE
