# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 2705001
# NOM_USUEL= LA SELVE
# LATITUDE (°) = 49.565
# LONGITUDE(°)= 3.998
# ALTITUDE (m) = 101
# NUM_SERIE= MTN002705001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195401 201512
# Date(s) de rupture(s) d'homogénéité : 196112 196312 197612 198612 200912
#     Periode homogénéisée  195401 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;-3.9;1
195402;-2.8;1
195403;1.8;1
195404;1;1
195405;5.7;1
195406;11.1;1
195407;9.4;1
195408;11.1;1
195409;8.9;1
195410;7.1;1
195411;2.7;1
195412;3;1
195501;-1.7;1
195502;-0.9;1
195503;-2.2;1
195504;1.5;1
195505;5.2;1
195506;9.5;1
195507;12.5;1
195508;10.2;1
195509;7.2;1
195510;3.3;1
195511;0.6;1
195512;2;1
195601;-0.4;1
195602;-11.6;1
195603;-0.1;1
195604;1.3;1
195605;5.8;1
195606;8.6;1
195607;12.1;1
195608;9.6;1
195609;11;1
195610;6.4;1
195611;0.9;1
195612;3;1
195701;-0.7;1
195702;3.5;1
195703;4.3;1
195704;2.3;1
195705;5.3;1
195706;10.5;1
195707;13.4;1
195708;10.7;1
195709;10.2;1
195710;5.2;1
195711;3.7;1
195712;-0.3;1
195801;-0.5;1
195802;1.3;1
195803;-2;1
195804;1.6;1
195805;8.1;1
195806;8.9;1
195807;11.6;1
195808;13.7;1
195809;11.3;1
195810;7.4;1
195811;2.4;1
195812;1.4;1
195901;-0.9;1
195902;-2.7;1
195903;2.1;1
195904;4.8;1
195905;7.7;1
195906;8.7;1
195907;10.9;1
195908;11.3;1
195909;6.4;1
195910;4.2;1
195911;2.4;1
195912;2.6;1
196001;-0.7;1
196002;0.1;1
196003;2.4;1
196004;3.2;1
196005;6.8;1
196006;10.1;1
196007;10.9;1
196008;10.9;1
196009;8.2;1
196010;6.8;1
196011;4.6;1
196012;0.5;1
196101;-0.1;1
196102;3.4;1
196103;1;1
196104;7.3;1
196105;5.5;1
196106;8.5;1
196107;9.7;1
196108;10.6;1
196109;12;1
196110;7.7;1
196111;1.8;1
196112;0.5;1
196201;1.6;1
196202;-0.5;1
196203;-2.2;1
196204;3.3;1
196205;5.7;1
196206;6.7;1
196207;10;1
196208;9.8;1
196209;7.4;1
196210;4.6;1
196211;0.5;1
196212;-3;1
196301;-7.4;1
196302;-6.3;1
196303;0.9;1
196304;4.1;1
196305;5.9;1
196306;11.1;1
196307;11.1;1
196308;11.2;1
196309;9.7;1
196310;5;1
196311;5.6;1
196312;-3.5;1
196401;-2.5;1
196402;2.1;1
196403;0.6;1
196404;3.8;1
196405;7.9;1
196406;9.4;1
196407;11.8;1
196408;11.5;1
196409;9;1
196410;3.3;1
196411;4.2;1
196412;-0.8;1
196501;1.2;1
196502;-2.2;1
196503;1.4;1
196504;2.6;1
196505;7.1;1
196506;9.7;1
196507;10.8;1
196508;10.4;1
196509;8;1
196510;4.3;1
196511;0.7;1
196512;2.9;1
196601;-2.7;1
196602;4.7;1
196603;1.3;1
196604;6;1
196605;6.9;1
196606;11.4;1
196607;10.4;1
196608;10.1;1
196609;8;1
196610;8.1;1
196611;0.5;1
196612;0.9;1
196701;0.1;1
196702;1.5;1
196703;2.7;1
196704;1.2;1
196705;6.1;1
196706;8.1;1
196707;12.9;1
196708;11.6;1
196709;9.5;1
196710;8.6;1
196711;1.1;1
196712;-1.4;1
196801;-1.2;1
196802;-0.7;1
196803;1.6;1
196804;2.6;1
196805;5.2;1
196806;9.4;1
196807;10.8;1
196808;11.2;1
196809;10.1;1
196810;8.4;1
196811;1.7;1
196812;-2.2;1
196901;1.9;1
196902;-2.1;1
196903;1.1;1
196904;3;1
196905;7.5;1
196906;9.1;1
196907;13;1
196908;11.6;1
196909;9;1
196910;5.8;1
196911;2.3;1
196912;-3.4;1
197001;0;1
197002;-0.9;1
197003;-0.8;1
197004;2.5;1
197005;6.9;1
197006;11.1;1
197007;10.8;1
197008;11.3;1
197009;9.6;1
197010;7;1
197011;4.3;1
197012;-1.5;1
197101;-0.7;1
197102;0.1;1
197103;-1.4;1
197104;2.3;1
197105;8.5;1
197106;9.5;1
197107;11.5;1
197108;12.1;1
197109;6.8;1
197110;3.2;1
197111;0.5;1
197112;1.2;1
197201;-0.7;1
197202;0.2;1
197203;0.7;1
197204;4.1;1
197205;6.3;1
197206;7.9;1
197207;11;1
197208;10;1
197209;5.8;1
197210;2.5;1
197211;2.3;1
197212;-0.3;1
197301;-1.3;1
197302;-0.7;1
197303;-1.4;1
197304;1.6;1
197305;7.2;1
197306;10.6;1
197307;11.8;1
197308;12.2;1
197309;9.8;1
197310;4.8;1
197311;1.3;1
197312;0.3;1
197401;2.7;1
197402;0.9;1
197403;2.2;1
197404;2.6;1
197405;5.7;1
197406;8.8;1
197407;10.5;1
197408;11.5;1
197409;9.5;1
197410;4.7;1
