# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 6163007
# NOM_USUEL= TENDE_SAPC
# LATITUDE (°) = 44.043
# LONGITUDE(°)= 7.586
# ALTITUDE (m) = 636
# NUM_SERIE= MTN006163007
# Amplitude minimale détectable de la série = 0.28
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196312 198112
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-1.4;1
195102;-1.1;1
195103;0.3;1
195104;4.2;1
195105;7;1
195106;12.6;1
195107;13.2;1
195108;13.7;1
195109;11.1;1
195110;8.5;1
195111;3.5;1
195112;-0.9;1
195201;-3.7;1
195202;-2.8;1
195203;1;1
195204;6;1
195205;7.8;1
195206;11.8;1
195207;14.3;1
195208;12.5;1
195209;4.7;1
195210;5.8;1
195211;0.5;1
195212;-0.4;1
195301;-3.6;1
195302;-2.6;1
195303;0.5;1
195304;4.8;1
195305;8.2;1
195306;9.8;1
195307;12.4;1
195308;13.2;1
195309;11.9;1
195310;8.6;1
195311;1.3;1
195312;2.7;1
195401;-2.7;1
195402;-1.9;1
195403;1.1;1
195404;4.6;1
195405;7.2;1
195406;10.4;1
195407;10.8;1
195408;10.8;1
195409;10.3;1
195410;5.6;1
195411;3.7;1
195412;0.7;1
195501;0.7;1
195502;-1.9;1
195503;-1.3;1
195504;3.3;1
195505;5.6;1
195506;8.2;1
195507;11.2;1
195508;11.3;1
195509;9.6;1
195510;5.7;1
195511;2.1;1
195512;0.5;1
195601;-0.7;1
195602;-7.2;1
195603;0.4;1
195604;3.3;1
195605;6.9;1
195606;8.5;1
195607;11.8;1
195608;13.2;1
195609;12;1
195610;5;1
195611;1.1;1
195612;-1.7;1
195701;-2.2;1
195702;-0.2;1
195703;2.8;1
195704;5.1;1
195705;6.7;1
195706;11.1;1
195707;13;1
195708;12.9;1
195709;9;1
195710;8.3;1
195711;3.9;1
195712;-0.7;1
195801;-1.8;1
195802;-0.2;1
195803;-0.7;1
195804;2.7;1
195805;9.4;1
195806;10.6;1
