# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 8145001
# NOM_USUEL= DOUZY
# LATITUDE (°) = 49.658
# LONGITUDE(°)= 5.04
# ALTITUDE (m) = 153
# NUM_SERIE= MTN008145001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 197012 197610 198112 200212
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-3.5;1
195902;-2.9;1
195903;1.8;1
195904;3.7;1
195905;7.2;1
195906;9.9;1
195907;12.6;1
195908;11.4;1
195909;6.6;1
195910;2.6;1
195911;1.8;1
195912;2.1;1
196001;-1.4;1
196002;-0.8;1
196003;2.3;1
196004;3.2;1
196005;6.5;1
196006;10.3;1
196007;9.8;1
196008;10.5;1
196009;7.6;1
196010;6.3;1
196011;4.6;1
196012;0.1;1
196101;-1;1
196102;2;1
196103;0.4;1
196104;6.4;1
196105;5.3;1
196106;9.1;1
196107;8.5;1
196108;9.7;1
196109;11.3;1
196110;6.8;1
196111;1.9;1
196112;-0.1;1
196201;0.7;1
196202;-1.2;1
196203;-2.4;1
196204;3.5;1
196205;4.7;1
196206;7.6;1
196207;9.2;1
196208;10;1
196209;6.6;1
196210;4.4;1
196211;0.4;1
196212;-3.6;1
196301;-6.9;1
196302;-6.7;1
196303;0;1
196304;4.1;1
196305;5.1;1
196306;10.1;1
196307;10;1
196308;10.4;1
196309;9;1
196310;4.1;1
196311;4.4;1
196312;-4.1;1
196401;-3.2;1
196402;0.8;1
196403;-0.2;1
196404;3.2;1
196405;6.8;1
196406;9.1;1
196407;11.3;1
196408;10.5;1
196409;8.7;1
196410;3.4;1
196411;3.2;1
196412;-1.2;1
196501;0.3;1
196502;-2.7;1
196503;0.6;1
196504;2.6;1
196505;6.2;1
196506;9.2;1
196507;10.8;1
196508;10.3;1
196509;8;1
196510;3.4;1
196511;0.6;1
196512;1.8;1
196601;-2.6;1
196602;4.1;1
196603;0.3;1
196604;4.4;1
196605;7.2;1
196606;11;1
196607;10.1;1
196608;10.2;1
196609;8.2;1
196610;8.3;1
196611;0.2;1
196612;1.2;1
196701;-0.8;1
196702;0.7;1
196703;2.2;1
196704;1.4;1
196705;6.1;1
196706;8.5;1
196707;11.7;1
196708;10.8;1
196709;8.7;1
196710;7.8;1
196711;1.1;1
196712;-1.5;1
196801;-1.5;1
196802;-0.5;1
196803;0.8;1
196804;2.2;1
196805;5.4;1
196806;9;1
196807;11.1;1
196808;11.9;1
196809;9.6;1
196810;7.7;1
196811;1.2;1
196812;-2.5;1
196901;0.7;1
196902;-3.3;1
196903;0.4;1
196904;2.5;1
196905;7.1;1
196906;8.7;1
