# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 15050001
# NOM_USUEL= LE CLAUX
# LATITUDE (°) = 45.173
# LONGITUDE(°)= 2.711
# ALTITUDE (m) = 1033
# NUM_SERIE= MTN015050001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196101 201812
# Date(s) de rupture(s) d'homogénéité : 197610 198012 200212 201408
#     Periode homogénéisée  196101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;-4.2;1
196102;0.9;1
196103;-0.1;1
196104;4.7;1
196105;4.1;1
196106;8.8;1
196107;8.9;1
196108;8.7;1
196109;10.6;1
196110;4.7;1
196111;0.7;1
196112;0.3;1
196201;-0.5;1
196202;-3.6;1
196203;-3.7;1
196204;0.8;1
196205;3.9;1
196206;6.4;1
196207;8.4;1
196208;9.5;1
196209;6.8;1
196210;4;1
196211;-1.6;1
196212;-5;1
196301;-6.2;1
196302;-8.3;1
196303;-1.8;1
196304;1.6;1
196305;3.5;1
196306;7.3;1
196307;10.3;1
196308;7.8;1
196309;7.1;1
196310;3.6;1
196311;2.5;1
196312;-3.4;1
196401;-4.8;1
196402;-1;1
196403;-1.5;1
196404;2.2;1
196405;6.6;1
196406;8.7;1
196407;10.3;1
196408;9.6;1
196409;9;1
196410;1.9;1
196411;0.5;1
196412;-3.8;1
196501;-3.2;1
196502;-6.4;1
196503;-0.9;1
196504;1.2;1
196505;4.8;1
196506;8.3;1
196507;9;1
196508;8.3;1
196509;5.8;1
196510;6.9;1
196511;0.1;1
196512;-0.5;1
196601;-2.9;1
196602;1.4;1
196603;-2.1;1
196604;3.4;1
196605;4.7;1
196606;8.2;1
196607;8.2;1
196608;8.4;1
196609;7;1
196610;5.7;1
196611;-2.8;1
196612;-1.3;1
196701;-3.1;1
196702;-1.8;1
196703;0.3;1
196704;0.1;1
196705;3.8;1
196706;7;1
196707;10.6;1
196708;8.9;1
196709;6.8;1
196710;6.9;1
196711;1.1;1
196712;-4.7;1
196801;-4.1;1
196802;-2.2;1
196803;-1.5;1
196804;2.7;1
196805;3.1;1
196806;6.3;1
196807;8.8;1
196808;8.6;1
196809;6;1
196810;5.5;1
196811;1.6;1
196812;-2.5;1
196901;-2.4;1
196902;-5.8;1
196903;0;1
196904;1.7;1
196905;5.1;1
196906;6.2;1
196907;9.8;1
196908;8.7;1
196909;6.7;1
196910;4.8;1
196911;0.2;1
196912;-6.2;1
197001;-1.4;1
197002;-1.9;1
197003;-4;1
197004;0.5;1
197005;4;1
197006;9.5;1
197007;9.1;1
197008;9.8;1
197009;7.5;1
197010;3.3;1
197011;2;1
197012;-3.5;1
197101;-2.8;1
197102;-4.3;1
197103;-5.4;1
197104;3.4;1
197105;6.1;1
197106;7.1;1
197107;10.6;1
197108;10.1;1
197109;7;1
197110;4.1;1
197111;-2.3;1
197112;-0.9;1
197201;-2.9;1
197202;-1.1;1
197203;0.5;1
197204;0.9;1
197205;3.2;1
197206;6.1;1
197207;8.2;1
197208;8.8;1
197209;4;1
197210;2.8;1
197211;1.2;1
197212;-0.3;1
197301;-3;1
197302;-4.7;1
197303;-3;1
197304;-0.8;1
197305;6.4;1
197306;8.1;1
197307;8.8;1
197308;10.7;1
197309;7.1;1
197310;2.5;1
197311;-0.4;1
197312;-2.7;1
197401;0;1
197402;-2.4;1
197403;1;1
197404;1.3;1
197405;4.4;1
197406;7.1;1
197407;8.6;1
197408;8.9;1
197409;6.2;1
197410;-0.1;1
197411;0.1;1
197412;-0.2;1
197501;0;1
197502;-1.9;1
197503;-1.9;1
197504;1.3;1
197505;4.3;1
197506;6.8;1
197507;9.1;1
197508;10.2;1
197509;8.4;1
197510;2.3;1
197511;-0.2;1
197512;-2.7;1
197601;-3.1;1
197602;-0.9;1
197603;-1.1;1
197604;0.7;1
197605;5.5;1
197606;8.5;1
197607;10.1;1
197608;8.3;1
197609;6.4;1
197610;3.9;1
197611;-1.2;1
197612;-1.8;1
197701;-2.7;1
197702;0.3;1
197703;0.3;1
197704;0.4;1
197705;3.7;1
197706;6.5;1
197707;8.2;1
197708;7.5;1
197709;4.6;1
197710;6.4;1
197711;-0.8;1
197712;-0.1;1
197801;-4.2;1
197802;-2.7;1
197803;-0.7;1
197804;-0.6;1
197805;4.1;1
197806;7.2;1
197807;8.5;1
197808;8.2;1
197809;6;1
197810;3.5;1
197811;-1.1;1
197812;0.1;1
197901;-4.3;1
197902;-1.9;1
197903;-0.5;1
197904;-0.3;1
197905;4.2;1
197906;7.6;1
197907;8.3;1
197908;8;1
197909;6.6;1
197910;6.2;1
197911;-0.4;1
197912;-1.8;1
198001;-4.1;1
198002;-0.3;1
198003;-0.7;1
198004;0.8;1
198005;3.1;1
198006;6.3;1
198007;7.7;1
198008;10;1
198009;7.8;1
198010;2.9;1
198011;-1.3;1
198012;-4.8;1
198101;-4.4;1
198102;-5.5;1
198103;1.4;1
198104;1.6;1
198105;4.7;1
198106;6.5;1
198107;8.7;1
198108;8.4;1
198109;7.2;1
198110;4;1
198111;-0.8;1
198112;-2.8;1
198201;1;1
198202;-1.2;1
198203;-1.5;1
198204;-0.4;1
198205;4.7;1
198206;8.9;1
198207;11;1
198208;8.7;1
198209;7.9;1
198210;3.2;1
198211;1;1
198212;-2.1;1
198301;-2.3;1
198302;-6.2;1
198303;-0.8;1
198304;1.3;1
198305;3.7;1
198306;8.1;1
198307;12.4;1
198308;9.4;1
198309;7.7;1
198310;3.1;1
198311;1;1
198312;-1.4;1
198401;-2.4;1
198402;-4.7;1
198403;-2.3;1
198404;0.4;1
198405;2.3;1
198406;6.6;1
198407;9.2;1
198408;8.2;1
198409;5.6;1
198410;4.4;1
198411;3.4;1
198412;-2.7;1
198501;-9.3;1
198502;-1.2;1
198503;-2.8;1
198504;1.3;1
198505;3.2;1
198506;6.6;1
198507;10.2;1
198508;8.4;1
198509;7.9;1
198510;4.6;1
198511;-3.5;1
198512;-0.6;1
198601;-3.4;1
198602;-6.3;1
198603;-1.2;1
198604;-0.7;1
198605;6.6;1
198606;8.1;1
198607;9.1;1
198608;8.4;1
198609;7.2;1
198610;6;1
198611;1.2;1
198612;-1.8;1
198701;-7.4;1
198702;-2.3;1
198703;-1.9;1
198704;2.8;1
198705;2.9;1
198706;7.2;1
198707;10.3;1
198708;9.7;1
198709;9.2;1
198710;6.4;1
198711;0.6;1
198712;0.8;1
198801;0.4;1
198802;-2.6;1
198803;-1.6;1
198804;2.4;1
198805;5.9;1
198806;7.6;1
198807;9;1
198808;10.5;1
198809;7.4;1
198810;6.5;1
198811;0.3;1
198812;-1.1;1
198901;-2.1;1
198902;-1.3;1
198903;2.2;1
198904;1.2;1
198905;6.6;1
198906;6.1;1
198907;10.3;1
198908;10;1
198909;7.4;1
198910;4.8;1
198911;1;1
198912;0.8;1
199001;-1.7;1
199002;1.9;1
199003;0.2;1
199004;1;1
199005;5.7;1
199006;8;1
199007;10.2;1
199008;9.7;1
199009;6.6;1
199010;5.6;1
199011;1.2;1
199012;-5.2;1
199101;-2.6;1
199102;-5.5;1
199103;2.4;1
199104;-0.4;1
199105;2.3;1
199106;7.1;1
199107;10.6;1
199108;11.5;1
199109;8.3;1
199110;2.7;1
199111;-0.3;1
199112;-2.2;1
199201;-4;1
199202;-2.2;1
199203;0.3;1
199204;0.6;1
199205;6.2;1
199206;7.6;1
199207;10.1;1
