# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 16279001
# NOM_USUEL= RIOUX MARTIN
# LATITUDE (°) = 45.262
# LONGITUDE(°)= 0.003
# ALTITUDE (m) = 81
# NUM_SERIE= MTN016279001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 196612 197507
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.1;1
195302;-1.2;1
195303;2;1
195304;6.3;1
195305;10.5;1
195306;11.5;1
195307;13.6;1
195308;13.1;1
195309;10.6;1
195310;8;1
195311;2.8;1
195312;4.5;1
195401;0.1;1
195402;0.6;1
195403;5;1
195404;4.8;1
195405;8;1
195406;10.7;1
195407;11.4;1
195408;12.9;1
195409;11.1;1
195410;7.5;1
195411;4.5;1
195412;3.6;1
195501;3.6;1
195502;2.5;1
195503;1.4;1
195504;5;1
195505;7;1
195506;12.3;1
195507;15.5;1
195508;12.9;1
195509;9.9;1
195510;5.2;1
195511;2.6;1
195512;4.4;1
195601;2.1;1
195602;-8.3;1
195603;1.3;1
195604;2.9;1
195605;7;1
195606;9;1
195607;12.6;1
195608;11.6;1
195609;11.7;1
195610;4.3;1
195611;-0.4;1
195612;2;1
195701;-0.7;1
195702;4.9;1
195703;6.2;1
195704;6.1;1
195705;8.1;1
195706;12.6;1
195707;15.1;1
195708;13.5;1
195709;10.2;1
195710;5.9;1
195711;2.7;1
195712;1;1
195801;2.5;1
195802;3.8;1
195803;4.1;1
195804;5.9;1
195805;10;1
195806;11.9;1
195807;13.4;1
195808;14;1
195809;12.8;1
195810;6.1;1
195811;2.4;1
195812;1.9;1
195901;0.4;1
195902;-1.1;1
195903;3.9;1
195904;5.2;1
195905;9.7;1
195906;11.8;1
195907;13.8;1
195908;12.9;1
195909;12.1;1
195910;7.6;1
195911;5.1;1
195912;5;1
196001;0.9;1
196002;1.7;1
196003;6.6;1
196004;4.7;1
196005;9.6;1
196006;12;1
196007;12.5;1
196008;13;1
196009;10.8;1
196010;8.6;1
196011;6.8;1
196012;1.3;1
196101;1.9;1
196102;4.9;1
196103;0.8;1
196104;8.6;1
196105;7.7;1
196106;12.3;1
196107;13.8;1
196108;12.2;1
196109;14;1
196110;9.5;1
196111;4.6;1
196112;3.4;1
196201;3.3;1
196202;1.4;1
196203;2.6;1
196204;6;1
196205;8.8;1
196206;10.1;1
196207;13.5;1
196208;13.3;1
196209;9.9;1
196210;8.1;1
196211;1.9;1
196212;-1;1
196301;-2.4;1
196302;-2;1
196303;4.6;1
196304;5.9;1
196305;7.3;1
196306;12;1
196307;13.9;1
196308;12.6;1
196309;11.7;1
196310;6.7;1
196311;5.3;1
196312;-1.7;1
196401;-3.6;1
196402;2.3;1
196403;3.7;1
196404;5.8;1
196405;10.2;1
196406;11.5;1
196407;13.4;1
196408;12.6;1
196409;12.9;1
196410;6.4;1
196411;5.2;1
196412;0.2;1
196501;1.3;1
196502;-1.3;1
196503;3.2;1
196504;4.9;1
196505;8.2;1
196506;9.9;1
196507;11.6;1
196508;11.5;1
196509;10.1;1
196510;8.5;1
196511;4.7;1
196512;4.5;1
196601;1.8;1
196602;5.7;1
196603;0.9;1
196604;7.2;1
196605;7.8;1
196606;11.8;1
196607;12.2;1
196608;12.1;1
196609;10.9;1
196610;10.1;1
196611;2.4;1
196612;4;1
196701;-0.1;1
196702;2.8;1
196703;3.2;1
196704;4;1
196705;8;1
196706;10.1;1
196707;14.1;1
196708;12.3;1
196709;10.7;1
196710;9.9;1
196711;5.2;1
196712;0.2;1
196801;1.1;1
196802;1.5;1
196803;2.1;1
196804;5.5;1
196805;6.6;1
196806;10.4;1
196807;12.7;1
196808;13.3;1
196809;10.6;1
196810;9.1;1
196811;4.7;1
196812;2.2;1
196901;2.3;1
196902;-0.9;1
196903;4;1
196904;6.7;1
196905;9.8;1
196906;11.3;1
196907;13.7;1
196908;13.9;1
196909;12.3;1
196910;7.9;1
196911;3.5;1
196912;1.1;1
197001;3.2;1
197002;4.3;1
197003;1.7;1
197004;3.5;1
197005;8.2;1
197006;13.6;1
197007;13.3;1
197008;14.8;1
197009;10.9;1
197010;5.4;1
197011;4.8;1
197012;0.4;1
197101;0.9;1
197102;0.2;1
197103;-0.4;1
197104;6.4;1
197105;10.2;1
197106;11.6;1
197107;15;1
197108;13.8;1
197109;11.3;1
197110;8;1
197111;1.4;1
197112;1.9;1
197201;2;1
197202;3.4;1
197203;4.5;1
197204;5.7;1
197205;7.6;1
197206;7.8;1
197207;11.2;1
197208;11.3;1
197209;8.2;1
197210;6.6;1
197211;3.8;1
197212;0.6;1
197301;0.3;1
197302;0.8;1
197303;-0.4;1
197304;2.4;1
197305;9.7;1
197306;11.6;1
197307;13.1;1
197308;15.4;1
197309;11.1;1
197310;4.9;1
197311;2.1;1
197312;1.6;1
197401;3.9;1
197402;2.7;1
197403;3.7;1
197404;4.7;1
197405;8.4;1
197406;10.8;1
197407;11.9;1
197408;12.3;1
197409;10.8;1
197410;4.9;1
197411;5;1
197412;3.5;1
197501;2.9;1
197502;1.1;1
197503;2.3;1
197504;5.3;1
197505;7.7;1
197506;12.1;1
197507;13;1
197508;13.6;1
197509;9.1;1
197510;4.9;1
197511;3.5;1
197512;-1;1
197601;0.4;1
197602;1.6;1
197603;1.4;1
197604;5.1;1
197605;8.1;1
197606;12.5;1
197607;13.9;1
197608;13.3;1
197609;9.6;1
197610;8;1
197611;3.4;1
197612;2.1;1
197701;1.4;1
197702;5.3;1
197703;4;1
197704;4.8;1
197705;7.5;1
197706;11.4;1
197707;13.5;1
197708;12.2;1
197709;9.1;1
197710;9.4;1
197711;3.2;1
197712;2;1
197801;1.1;1
197802;3.5;1
197803;4;1
197804;4.5;1
197805;8.5;1
197806;11;1
197807;12.7;1
197808;11.7;1
197809;9.4;1
197810;6;1
197811;1.4;1
197812;3.3;1
197901;-0.1;1
197902;2.6;1
197903;4.5;1
197904;5.2;1
197905;8.1;1
197906;11.9;1
197907;12.9;1
197908;12.6;1
197909;9.8;1
197910;9.3;1
197911;2.4;1
197912;1.7;1
198001;0.2;1
198002;4.1;1
198003;2.7;1
198004;4.6;1
198005;8.7;1
198006;11.3;1
198007;11.1;1
198008;13.7;1
198009;11.6;1
198010;6.7;1
198011;1.4;1
198012;-0.5;1
198101;1.6;1
198102;-1;1
198103;6.4;1
198104;6.5;1
198105;9.4;1
198106;11.4;1
198107;13.7;1
198108;13.4;1
198109;12;1
198110;9;1
198111;2.2;1
198112;3.4;1
198201;4.5;1
198202;2.8;1
198203;2.7;1
198204;4.5;1
198205;8.6;1
198206;13.5;1
198207;15;1
198208;13.1;1
198209;12.3;1
198210;7.9;1
198211;5.9;1
198212;4.1;1
198301;2.2;1
198302;0.6;1
198303;3.3;1
198304;6;1
198305;8.9;1
198306;13.3;1
198307;17.5;1
198308;15;1
198309;11.6;1
198310;7.1;1
198311;5.1;1
198312;1;1
198401;2.7;1
198402;1.2;1
198403;2;1
198404;4.4;1
198405;7.8;1
198406;12.5;1
198407;13.1;1
198408;12.6;1
198409;10.1;1
198410;8.2;1
198411;7.3;1
198412;2;1
198501;-4;1
198502;2.9;1
198503;1.9;1
198504;6.3;1
198505;8.3;1
198506;11.7;1
198507;14.7;1
198508;11.6;1
198509;10.4;1
198510;7.2;1
198511;0.8;1
198512;1.5;1
198601;2.5;1
198602;-0.9;1
198603;3.5;1
198604;3.6;1
198605;9.3;1
198606;13.1;1
198607;13.5;1
198608;12.1;1
198609;10.2;1
198610;9.3;1
198611;3.7;1
198612;1.3;1
198701;-4.7;1
198702;2.1;1
198703;3.6;1
198704;8.8;1
198705;7.8;1
198706;11.4;1
198707;15.1;1
198708;14.2;1
198709;12.7;1
198710;10.4;1
198711;5;1
198712;4.2;1
198801;5.1;1
198802;2.9;1
198803;4;1
198804;8.1;1
198805;11;1
198806;12.3;1
198807;12.5;1
198808;12.5;1
198809;11.1;1
198810;9.5;1
198811;3.2;1
198812;3.3;1
198901;0.4;1
198902;1.2;1
198903;5.2;1
198904;5.3;1
198905;10.9;1
198906;11.7;1
198907;14.7;1
198908;13.5;1
198909;10.8;1
198910;8.7;1
198911;5.5;1
198912;3.8;1
199001;2.1;1
199002;6.3;1
199003;3.2;1
199004;5.1;1
199005;10.7;1
199006;12.2;1
199007;13.9;1
199008;14.3;1
199009;11.1;1
199010;10.1;1
199011;6.1;1
199012;0.4;1
199101;1.9;1
199102;-0.5;1
199103;6.7;1
199104;4.4;1
199105;8.6;1
199106;9.6;1
199107;14.1;1
199108;14.9;1
199109;13.6;1
199110;7.6;1
199111;4.8;1
199112;0.5;1
199201;-0.6;1
199202;0.4;1
199203;4.1;1
199204;4.7;1
199205;10.2;1
199206;12.7;1
199207;13.9;1
199208;14.7;1
199209;10.1;1
199210;7.6;1
199211;7.5;1
199212;3.8;1
199301;3.1;1
199302;-0.3;1
199303;3;1
199304;5.9;1
199305;10;1
199306;13.3;1
199307;12.4;1
199308;12.7;1
199309;10.6;1
199310;8;1
199311;2.2;1
199312;5.4;1
199401;3.6;1
199402;3.6;1
199403;6.1;1
199404;5.7;1
199405;9.4;1
199406;12.5;1
199407;15.6;1
199408;15.5;1
199409;11.5;1
199410;9.5;1
199411;7.9;1
199412;5.2;1
199501;2.4;1
199502;4.9;1
199503;3.2;1
199504;6.3;1
199505;9.1;1
199506;11.7;1
199507;15.4;1
199508;14.5;1
199509;9.9;1
199510;11.4;1
199511;3.9;1
199512;3.6;1
199601;5.1;1
199602;1.3;1
199603;2.7;1
199604;5.9;1
199605;9.2;1
199606;12.6;1
199607;13.7;1
199608;12.7;1
199609;9.1;1
199610;7.3;1
199611;4.4;1
199612;2.4;1
199701;0.9;1
199702;3.8;1
199703;4.4;1
199704;5;1
199705;10.9;1
199706;12.5;1
199707;13.9;1
199708;16.8;1
199709;10.5;1
199710;8.9;1
199711;6.3;1
199712;3.7;1
199801;2.7;1
199802;0.9;1
199803;4.5;1
199804;6.2;1
199805;10.3;1
199806;12;1
199807;13.5;1
199808;12.9;1
199809;12.4;1
199810;8;1
199811;1.6;1
199812;1.7;1
199901;2.6;1
199902;2.7;1
199903;4.6;1
199904;6.8;1
199905;12.4;1
199906;12;1
199907;14.7;1
199908;14.4;1
199909;13;1
199910;8.7;1
199911;3;1
199912;2.7;1
200001;1.3;1
200002;3.6;1
200003;3.1;1
200004;7.3;1
200005;11.1;1
200006;13.6;1
200007;13.3;1
200008;14.1;1
200009;11.8;1
200010;9.6;1
200011;6;1
200012;5.6;1
200101;4.4;1
200102;2.7;1
200103;7.6;1
200104;6.1;1
200105;10.7;1
200106;12.3;1
200107;14.3;1
200108;14.7;1
200109;8.5;1
200110;10.8;1
200111;3.1;1
200112;-1;1
200201;2.3;1
200202;4.8;1
200203;5.4;1
200204;6;1
200205;8.7;1
200206;13.2;1
200207;13.2;1
200208;13.7;1
200209;10.2;1
200210;9.8;1
200211;6.3;1
200212;5.8;1
200301;0.8;1
200302;0.9;1
200303;4.8;1
200304;7.5;1
200305;9.4;1
200306;16;1
200307;14.6;1
200308;17.1;1
200309;11.3;1
200310;7.4;1
200311;5.7;1
200312;3.3;1
200401;3.2;1
200402;0.8;1
200403;2.8;1
200404;6.2;1
200405;9.3;1
200406;13.2;1
200407;13.4;1
200408;14.9;1
200409;12.1;1
200410;10.6;1
200411;4.2;1
200412;1.5;1
200501;2.1;1
200502;0.6;1
200503;2.8;1
200504;7.1;1
200505;9.8;1
200506;14.1;1
200507;14.6;1
200508;12.9;1
200509;11.1;1
200510;11.3;1
200511;3;1
200512;-0.7;1
200601;1.8;1
200602;0.5;1
200603;5.1;1
200604;6.1;1
200605;9.9;1
200606;13.3;1
200607;17.3;1
200608;12.7;1
200609;14.2;1
200610;11.6;1
200611;5.9;1
200612;1.2;1
200701;4.6;1
