# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 18279001
# NOM_USUEL= VIERZON - VEVES
# LATITUDE (°) = 47.22
# LONGITUDE(°)= 2.014
# ALTITUDE (m) = 98
# NUM_SERIE= MTN018279001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 201412
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;0;1
195902;-1.1;1
195903;3.2;1
195904;5.1;1
195905;8.1;1
195906;10.9;1
195907;12.9;1
195908;12.2;1
195909;9.1;1
195910;5.8;1
195911;3.6;1
195912;3.3;1
196001;-0.8;1
196002;1;1
196003;3;1
196004;4.1;1
196005;7.8;1
196006;11;1
196007;10.9;1
196008;12.2;1
196009;9.1;1
196010;7;1
196011;5;1
196012;-0.1;1
196101;1;1
196102;3;1
196103;0.5;1
196104;6.4;1
196105;6.2;1
196106;10.6;1
196107;10.8;1
196108;10.2;1
196109;12.2;1
196110;7.6;1
196111;2.5;1
196112;1.3;1
196201;2.4;1
196202;-1;1
196203;-0.7;1
196204;4.5;1
196205;6.5;1
196206;7.7;1
196207;12;1
196208;11.6;1
196209;8.3;1
196210;5.8;1
196211;2.1;1
196212;-2.8;1
196301;-6;1
196302;-6;1
196303;1.9;1
196304;5.5;1
196305;6.2;1
196306;11.2;1
196307;11.5;1
196308;12.2;1
196309;10.2;1
196310;4.1;1
196311;4.7;1
196312;-3.7;1
196401;-3.5;1
196402;2;1
196403;1.3;1
196404;4.3;1
196405;7.8;1
196406;9.8;1
196407;10.7;1
196408;11;1
196409;11;1
196410;3.7;1
196411;2.7;1
196412;-1.8;1
196501;-0.3;1
196502;-2.8;1
196503;1.8;1
196504;3.7;1
196505;7.1;1
196506;10.2;1
196507;10.9;1
196508;10.9;1
196509;8.1;1
196510;5.7;1
196511;2.9;1
196512;1.8;1
196601;-2;1
196602;4.8;1
196603;0;1
196604;5.9;1
196605;7.4;1
196606;11.6;1
196607;11.2;1
196608;10.9;1
196609;9.1;1
196610;9;1
196611;1.3;1
196612;2.5;1
196701;-0.4;1
196702;2;1
196703;2.8;1
196704;2.7;1
196705;6.2;1
196706;8.5;1
196707;12.1;1
196708;11.4;1
196709;9.2;1
196710;8.1;1
196711;3.6;1
196712;-0.4;1
196801;0.4;1
196802;1.3;1
196803;2.2;1
196804;3.6;1
196805;6.1;1
196806;10;1
196807;11.6;1
196808;12.2;1
196809;10.3;1
196810;9.1;1
196811;2.6;1
196812;0.5;1
196901;1.4;1
196902;-1;1
196903;2.7;1
196904;4.4;1
196905;7.4;1
196906;9.2;1
196907;11.5;1
196908;12;1
196909;10;1
196910;5.5;1
196911;2.7;1
196912;-2;1
197001;1.1;1
197002;2.2;1
197003;0.8;1
197004;2.7;1
197005;7.3;1
197006;12;1
197007;11.5;1
197008;12.4;1
197009;9.2;1
197010;4.9;1
197011;3.5;1
197012;-1.7;1
197101;-1;1
197102;-0.8;1
197103;-1.5;1
197104;3.9;1
197105;8.6;1
197106;10.2;1
197107;12.3;1
197108;11.8;1
197109;8.1;1
197110;4.1;1
197111;0.5;1
197112;0.3;1
197201;0.3;1
197202;2.5;1
197203;3;1
197204;4.7;1
197205;7.2;1
197206;8.1;1
197207;11.5;1
197208;11.1;1
197209;5.8;1
197210;3.2;1
197211;2.7;1
197212;0.1;1
197301;-0.6;1
197302;-0.6;1
197303;-2;1
197304;1.2;1
197305;8.3;1
197306;10.2;1
197307;12.5;1
197308;13.2;1
197309;10.3;1
197310;4.2;1
197311;1;1
197312;0.2;1
197401;3;1
197402;1.5;1
197403;3.4;1
197404;3.3;1
197405;6.3;1
197406;9.4;1
197407;10.2;1
197408;11.5;1
197409;10.1;1
197410;4.3;1
197411;4.3;1
197412;3.7;1
197501;2.4;1
197502;-0.1;1
197503;1.3;1
197504;3.7;1
197505;6.6;1
197506;9.2;1
197507;11;1
197508;13.5;1
197509;10.6;1
197510;4.1;1
197511;2.8;1
197512;-1.1;1
197601;0.4;1
197602;0.5;1
197603;-0.6;1
197604;2.2;1
197605;6.6;1
197606;9.6;1
197607;13.3;1
197608;10.1;1
197609;8.6;1
197610;7.6;1
197611;2.2;1
197612;-0.3;1
197701;1.1;1
197702;4.2;1
197703;3;1
197704;2.9;1
197705;7.6;1
197706;10.7;1
197707;12.1;1
197708;10.4;1
197709;7.4;1
197710;7.9;1
197711;3;1
197712;1.3;1
197801;0.3;1
197802;1.4;1
197803;2.9;1
197804;3.5;1
197805;7.4;1
197806;9.7;1
197807;11.2;1
197808;9.6;1
197809;7.2;1
197810;3.9;1
197811;0.1;1
197812;3.1;1
197901;-3;1
197902;1.4;1
197903;2.9;1
197904;4.2;1
197905;6.3;1
197906;10.9;1
197907;10.8;1
197908;11.4;1
197909;8.4;1
197910;7.9;1
197911;2.2;1
197912;2.2;1
198001;-1.8;1
198002;2.7;1
198003;1.7;1
198004;3.2;1
198005;5.7;1
198006;10;1
198007;11.1;1
198008;12.8;1
198009;9.4;1
198010;4.4;1
198011;0;1
198012;-1.6;1
198101;-0.9;1
198102;-1.8;1
198103;5.6;1
198104;5;1
198105;7.9;1
198106;9.9;1
198107;12.3;1
198108;11.4;1
198109;10.5;1
198110;7.3;1
198111;1.6;1
198112;1.4;1
198201;2.7;1
198202;0.8;1
198203;1.3;1
198204;2.6;1
198205;7.4;1
198206;12.2;1
198207;13.4;1
198208;11.8;1
198209;10.2;1
198210;7.2;1
198211;4.6;1
198212;2.4;1
198301;1.1;1
198302;-0.9;1
198303;2.6;1
198304;3.8;1
198305;6.9;1
198306;11.8;1
198307;15;1
198308;12.9;1
198309;11.7;1
198310;5.5;1
198311;2;1
198312;-1;1
198401;0.8;1
198402;-0.1;1
198403;-1;1
198404;1.3;1
198405;5.6;1
198406;9.7;1
198407;10.8;1
198408;11.7;1
198409;9.8;1
198410;7.4;1
198411;5.7;1
198412;0.6;1
198501;-5.4;1
198502;-0.6;1
198503;0.6;1
198504;4.3;1
198505;7.5;1
198506;9.6;1
198507;12.8;1
198508;10.8;1
198509;8.2;1
198510;4.2;1
198511;-0.3;1
198512;1.2;1
198601;0.4;1
198602;-5;1
198603;0.6;1
198604;2.4;1
198605;8.4;1
198606;12.5;1
198607;12.1;1
198608;11.4;1
198609;7.9;1
198610;8.4;1
198611;3.2;1
198612;0.9;1
198701;-5.7;1
198702;0.6;1
198703;0.9;1
198704;5.8;1
198705;5.8;1
198706;11;1
198707;13.8;1
198708;12.8;1
198709;12.8;1
198710;8.6;1
198711;3.4;1
198712;1.5;1
198801;3.5;1
198802;1.3;1
198803;3.2;1
198804;4.8;1
198805;9.9;1
198806;11.2;1
198807;11.9;1
198808;12.3;1
198809;10.8;1
198810;8;1
198811;0.6;1
198812;2.6;1
198901;-0.1;1
198902;1.1;1
198903;3.7;1
198904;4.4;1
198905;8.5;1
198906;9.9;1
198907;14.2;1
198908;12.8;1
198909;9.3;1
198910;7.3;1
198911;1.3;1
198912;0.5;1
199001;0.3;1
199002;4.2;1
199003;1.9;1
199004;4.2;1
199005;8.9;1
199006;10.4;1
199007;12.4;1
199008;12.9;1
199009;7.8;1
199010;8.7;1
199011;4.3;1
199012;-0.4;1
199101;0.9;1
199102;-3.4;1
199103;5;1
199104;2.9;1
199105;5.9;1
199106;10.1;1
199107;13.3;1
199108;13.6;1
199109;11.9;1
199110;5.5;1
199111;2.8;1
199112;-1;1
199201;-2.2;1
199202;-0.7;1
199203;2.9;1
199204;3.8;1
199205;8.9;1
199206;11.4;1
199207;13.5;1
199208;14.4;1
199209;9.4;1
199210;5.4;1
199211;5;1
199212;2.1;1
199301;2;1
199302;-1.6;1
199303;0.5;1
199304;5.5;1
199305;9;1
199306;12;1
199307;11.9;1
199308;11.1;1
199309;9.7;1
199310;6.5;1
199311;-0.5;1
199312;3.1;1
199401;2.6;1
199402;2;1
199403;5.1;1
199404;4.2;1
199405;8.7;1
199406;11.1;1
199407;15;1
199408;13.9;1
199409;10.3;1
199410;7.4;1
199411;6.8;1
199412;3.8;1
199501;1;1
199502;4.4;1
199503;1.5;1
199504;4.9;1
199505;7.3;1
199506;9.6;1
199507;14.4;1
199508;13.3;1
199509;9.1;1
199510;9.6;1
199511;1.8;1
199512;0.6;1
199601;2.5;1
199602;-0.1;1
199603;0.6;1
199604;3.2;1
199605;7.5;1
199606;10.8;1
199607;11.6;1
199608;11.6;1
199609;6.7;1
199610;6.2;1
199611;3.1;1
199612;-0.7;1
199701;-2.3;1
199702;2.1;1
199703;2.2;1
199704;1.5;1
199705;8.2;1
199706;11.4;1
199707;12.5;1
199708;15.7;1
199709;8.6;1
199710;5.8;1
199711;4.9;1
199712;2.2;1
199801;1.4;1
199802;-1.5;1
199803;2.6;1
199804;5.3;1
199805;8.4;1
199806;11.2;1
199807;12.5;1
199808;11.4;1
199809;11.2;1
199810;7.5;1
199811;0;1
199812;0.8;1
199901;1.6;1
199902;0.9;1
199903;3.3;1
199904;5.7;1
199905;10.3;1
199906;10.4;1
199907;13.7;1
199908;13.4;1
199909;12.1;1
199910;7.7;1
199911;1.5;1
199912;1.4;1
200001;0.1;1
200002;2;1
200003;1.5;1
200004;5.2;1
200005;9.8;1
200006;12.2;1
200007;11.8;1
200008;13;1
200009;10.6;1
200010;7.8;1
200011;5.2;1
200012;4.2;1
200101;2.4;1
200102;1;1
200103;5.5;1
200104;4.5;1
200105;9.5;1
200106;10.2;1
200107;13.4;1
200108;13.9;1
200109;8.1;1
200110;10.6;1
200111;0.9;1
200112;-1.9;1
200201;1.4;1
200202;4;1
200203;2.8;1
200204;3.8;1
200205;7.6;1
200206;12.2;1
200207;12.3;1
200208;13.3;1
200209;8.7;1
200210;7;1
200211;5.1;1
200212;4.8;1
200301;-1;1
200302;-0.5;1
200303;2.9;1
200304;4.2;1
200305;8.7;1
200306;15.5;1
200307;13.6;1
200308;15.2;1
200309;8.7;1
200310;5.3;1
200311;3.7;1
200312;1.2;1
200401;1.9;1
200402;-0.5;1
200403;1;1
200404;5.2;1
200405;6.6;1
200406;11.6;1
200407;12.4;1
200408;14.3;1
200409;10.7;1
200410;8.5;1
200411;3.2;1
200412;0.1;1
200501;1;1
200502;-0.8;1
200503;2;1
200504;5.3;1
200505;8.4;1
200506;12.7;1
200507;14.1;1
200508;11.4;1
200509;10.8;1
200510;10.5;1
200511;1.6;1
200512;-1;1
200601;-0.4;1
200602;-0.4;1
200603;2.5;1
200604;4.2;1
200605;8.7;1
200606;11.9;1
200607;16.1;1
200608;12.1;1
200609;13;1
200610;10.5;1
200611;4.4;1
200612;0.7;1
200701;3.7;1
