# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 22372001
# NOM_USUEL= ST BRIEUC
# LATITUDE (°) = 48.535
# LONGITUDE(°)= -2.852
# ALTITUDE (m) = 135
# NUM_SERIE= MTN022372001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196101 201612
# Date(s) de rupture(s) d'homogénéité : 196512 200608
#     Periode homogénéisée  196101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;3.6;1
196102;5.5;1
196103;4.3;1
196104;8.6;1
196105;8.2;1
196106;10.7;1
196107;12.9;1
196108;12.9;1
196109;13.5;1
196110;8.8;1
196111;4.5;1
196112;2.3;1
196201;3.6;1
196202;2.2;1
196203;1.1;1
196204;4.3;1
196205;6.3;1
196206;8.9;1
196207;11.6;1
196208;11.3;1
196209;9.9;1
196210;8.5;1
196211;4.4;1
196212;1.1;1
196301;-3.4;1
196302;-2.6;1
196303;4.4;1
196304;5.8;1
196305;6.4;1
196306;10.7;1
196307;11.1;1
196308;11.5;1
196309;10.5;1
196310;9.5;1
196311;7.2;1
196312;1.2;1
196401;0.6;1
196402;3.6;1
196403;4.2;1
196404;6.5;1
196405;9.9;1
196406;10.8;1
196407;12.7;1
196408;12.5;1
196409;11.1;1
196410;6.8;1
196411;4.7;1
196412;3.1;1
196501;2.2;1
196502;0;1
196503;3.3;1
196504;5.5;1
196505;8.8;1
196506;10.2;1
196507;11.3;1
196508;11.9;1
196509;9.6;1
196510;9;1
196511;4.7;1
196512;5.6;1
196601;1.4;1
196602;5.8;1
196603;2.6;1
196604;7.3;1
196605;8.2;1
196606;11.5;1
196607;11.4;1
196608;11.2;1
196609;11.8;1
196610;8.8;1
196611;4.1;1
196612;4.9;1
196701;3.2;1
196702;3;1
196703;4;1
196704;6.2;1
196705;8.5;1
196706;10.2;1
196707;12.7;1
196708;12.7;1
196709;10.9;1
196710;8.7;1
196711;3.3;1
196712;2.5;1
196801;3.4;1
196802;0.5;1
196803;3.8;1
196804;5.1;1
196805;6.8;1
196806;10.8;1
196807;12.2;1
196808;13.4;1
196809;10.9;1
196810;10.2;1
196811;5;1
196812;2.4;1
196901;4.5;1
196902;0.6;1
196903;4;1
196904;6.3;1
196905;8.8;1
196906;10.4;1
196907;12.8;1
196908;13.2;1
196909;12.6;1
196910;9.5;1
196911;4.7;1
196912;2.2;1
197001;3.6;1
197002;3;1
197003;2.3;1
197004;5.5;1
197005;8.7;1
197006;12.3;1
197007;12;1
197008;13.3;1
197009;11.7;1
197010;7.8;1
197011;7.7;1
197012;1.6;1
197101;2.7;1
197102;2;1
197103;1.9;1
197104;5.6;1
197105;7.4;1
197106;9.3;1
197107;12.8;1
197108;12.6;1
197109;10.8;1
197110;8.2;1
197111;4.6;1
197112;4.5;1
197201;2.3;1
197202;3.1;1
197203;3.9;1
197204;5.7;1
197205;7;1
197206;8.6;1
197207;11.5;1
197208;11.4;1
197209;8.3;1
197210;7.9;1
197211;5.6;1
197212;3.6;1
197301;2.9;1
197302;2.5;1
197303;2;1
197304;3.8;1
197305;8.6;1
197306;10.1;1
197307;12.1;1
197308;13.3;1
197309;11.3;1
197310;7.3;1
197311;5.7;1
197312;3.7;1
197401;4.1;1
197402;3.1;1
197403;3.2;1
197404;5.3;1
197405;7.2;1
197406;9.9;1
197407;12;1
197408;12;1
197409;9.7;1
197410;6.4;1
197411;6.7;1
197412;6.6;1
197501;5.2;1
197502;3.6;1
197503;3.4;1
197504;4.7;1
197505;7.1;1
197506;9.8;1
197507;13;1
197508;13.9;1
197509;10.7;1
197510;7.4;1
197511;5.6;1
197512;3.4;1
197601;4.1;1
197602;3.5;1
197603;3.3;1
197604;4.3;1
197605;7.6;1
197606;11.6;1
197607;13.5;1
197608;12.7;1
197609;10.9;1
197610;8.7;1
197611;5.6;1
197612;2.1;1
197701;2.5;1
197702;4.8;1
197703;5.2;1
197704;4.2;1
197705;7.2;1
197706;9.5;1
197707;12.8;1
197708;11.3;1
197709;9.8;1
197710;9.5;1
197711;5.4;1
197712;4.7;1
197801;2.8;1
197802;3.5;1
197803;4.2;1
197804;4;1
197805;7.6;1
197806;9.5;1
197807;11.8;1
197808;12.4;1
197809;10.6;1
197810;9.4;1
197811;7.1;1
197812;4.4;1
197901;-0.8;1
197902;2.5;1
197903;3.4;1
197904;5.1;1
197905;6.3;1
197906;10.1;1
197907;12.3;1
197908;12.3;1
197909;10;1
197910;9.4;1
197911;5.9;1
197912;5.3;1
198001;1.5;1
198002;4.9;1
198003;3.2;1
198004;5.4;1
198005;7.2;1
198006;10.5;1
198007;11.6;1
198008;13.2;1
198009;11.9;1
198010;7.4;1
198011;4.7;1
198012;4.1;1
198101;3.9;1
198102;1;1
198103;7;1
198104;5.7;1
198105;8.3;1
198106;10.1;1
198107;12.3;1
198108;12.6;1
198109;11.5;1
198110;7.9;1
198111;6.5;1
198112;3.6;1
198201;4.7;1
198202;4.1;1
198203;4.1;1
198204;4.9;1
198205;7.8;1
198206;11.7;1
198207;13;1
198208;12.8;1
198209;12;1
198210;8.3;1
198211;6.6;1
198212;3.6;1
198301;4.9;1
198302;1;1
198303;4.4;1
198304;4.6;1
198305;7.4;1
198306;11.3;1
198307;14.7;1
198308;13.5;1
198309;11.4;1
198310;8;1
198311;6;1
198312;3.5;1
198401;3.6;1
198402;2.4;1
198403;2.9;1
198404;4.2;1
198405;6.9;1
198406;9.8;1
198407;12.2;1
198408;11.5;1
198409;11.2;1
198410;8.8;1
198411;6.8;1
198412;4;1
198501;-0.4;1
198502;0.4;1
198503;2.6;1
198504;5.7;1
198505;7.6;1
198506;10.1;1
198507;12.6;1
198508;11.6;1
198509;11.4;1
198510;8.3;1
198511;4.1;1
198512;6;1
198601;3.7;1
198602;-2;1
198603;3.4;1
198604;2.7;1
198605;7.5;1
198606;10.6;1
198607;12.4;1
198608;11.2;1
198609;9.1;1
198610;9.9;1
198611;6.1;1
198612;5.2;1
198701;-1.1;1
198702;3.1;1
198703;2.8;1
198704;6.9;1
198705;7;1
198706;10.3;1
198707;12.6;1
198708;12.5;1
198709;13;1
198710;8;1
198711;5.5;1
198712;5;1
198801;5.1;1
198802;3.1;1
198803;5.4;1
198804;6.6;1
198805;8.5;1
198806;10.8;1
198807;11.7;1
198808;12;1
198809;11.6;1
198810;9.5;1
198811;4.4;1
198812;6.4;1
198901;3.9;1
198902;4.2;1
198903;6.2;1
198904;3.7;1
198905;9.9;1
198906;10.7;1
198907;13.5;1
198908;13;1
198909;12.1;1
198910;10.7;1
198911;5;1
198912;3.7;1
199001;5.5;1
199002;7.1;1
199003;5.5;1
199004;5.2;1
199005;9.5;1
199006;10.4;1
199007;12.9;1
199008;13.6;1
199009;10.5;1
199010;9.8;1
199011;5.7;1
199012;2.6;1
199101;2.3;1
199102;-0.1;1
199103;6.4;1
199104;5.1;1
199105;7.4;1
199106;10.2;1
199107;13.1;1
199108;13.3;1
199109;12.7;1
199110;8.2;1
199111;5.9;1
199112;2;1
199201;1.9;1
199202;2.9;1
199203;5.2;1
199204;5.3;1
199205;8.9;1
199206;10.7;1
199207;12.9;1
199208;13.8;1
199209;10.9;1
199210;7.7;1
199211;8;1
199212;4;1
199301;5.8;1
199302;2.4;1
199303;4.1;1
199304;6.9;1
199305;8.5;1
199306;11;1
199307;12.8;1
199308;11.7;1
199309;10.4;1
199310;7.9;1
199311;2.7;1
199312;5.2;1
199401;5.1;1
199402;3.7;1
199403;6.1;1
199404;5.6;1
199405;8.7;1
199406;10.3;1
199407;13.2;1
199408;13.3;1
199409;11.2;1
199410;8.7;1
199411;9.2;1
199412;6.4;1
199501;4.3;1
199502;6.1;1
199503;3.9;1
199504;5.9;1
199505;8.4;1
199506;10.5;1
199507;14.1;1
199508;14.5;1
199509;10.9;1
199510;11.1;1
199511;5.3;1
199512;3;1
199601;4.6;1
199602;1.9;1
199603;3.2;1
199604;5.6;1
199605;6.9;1
199606;10.6;1
199607;12.4;1
199608;12.5;1
199609;9.9;1
199610;9.9;1
199611;5.4;1
199612;2;1
199701;0.3;1
199702;5.5;1
199703;6;1
199704;5;1
199705;8.7;1
199706;11.2;1
199707;12.1;1
199708;15.5;1
199709;11.2;1
199710;8.8;1
199711;7.3;1
199712;4.7;1
199801;3.1;1
199802;3.9;1
199803;5.9;1
199804;5.3;1
199805;9.1;1
199806;11.1;1
199807;12.5;1
199808;12;1
199809;12.5;1
199810;10.1;1
199811;4.4;1
199812;4.9;1
199901;5;1
199902;4;1
199903;4.6;1
199904;7.3;1
199905;9.6;1
199906;10.4;1
199907;13.9;1
199908;14;1
199909;12.8;1
199910;9;1
199911;6.5;1
199912;4.4;1
200001;3.6;1
200002;5.5;1
200003;4.3;1
200004;5;1
200005;9.4;1
200006;11.7;1
200007;12.5;1
200008;13.5;1
200009;12.3;1
200010;8.5;1
200011;5.9;1
200012;5.8;1
200101;3.4;1
200102;3.8;1
200103;6.2;1
200104;5.9;1
200105;8.1;1
200106;10.5;1
200107;13.1;1
200108;14.1;1
200109;10.9;1
200110;11.4;1
200111;5.5;1
200112;1.9;1
200201;4.6;1
200202;6.1;1
200203;5.5;1
200204;6.2;1
200205;8.3;1
200206;10.7;1
200207;12.6;1
200208;13;1
200209;11.5;1
200210;9.2;1
200211;7.9;1
200212;6.1;1
200301;2.7;1
200302;2.7;1
200303;5.4;1
200304;6;1
