# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 25462001
# NOM_USUEL= PONTARLIER
# LATITUDE (°) = 46.905
# LONGITUDE(°)= 6.34
# ALTITUDE (m) = 831
# NUM_SERIE= MTN025462001
# Amplitude minimale détectable de la série = 0.25
# Période homogénéisée : 195201 202012
# Date(s) de rupture(s) d'homogénéité : 196207 197909 198111 198404 200512
#     Periode homogénéisée  195201 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;-5.9;1
195202;-8.4;1
195203;0.8;1
195204;3.5;1
195205;5.8;1
195206;8.9;1
195207;10.8;1
195208;10.5;1
195209;5.9;1
195210;4.1;1
195211;-0.6;1
195212;-3.5;1
195301;-9.7;1
195302;-6.8;1
195303;-2.3;1
195304;3.1;1
195305;6.4;1
195306;8.4;1
195307;10.9;1
195308;9.7;1
195309;8.4;1
195310;4.5;1
195311;-2;1
195312;-1.4;1
195401;-6.7;1
195402;-5.8;1
195403;-0.4;1
195404;0.5;1
195405;4;1
195406;8.6;1
195407;8.7;1
195408;9.2;1
195409;8.8;1
195410;3.8;1
195411;1.5;1
195412;-2;1
195501;-2.2;1
195502;-3.8;1
195503;-3;1
195504;0.8;1
195505;4.8;1
195506;8.8;1
195507;11.1;1
195508;9.6;1
195509;6.7;1
195510;1.7;1
195511;-1.6;1
195512;0;1
195601;-1.9;1
195602;-14.4;1
195603;-1.2;1
195604;-0.4;1
195605;5.6;1
195606;6.7;1
195607;9.7;1
195608;9.2;1
195609;9.1;1
195610;2.7;1
195611;-1.9;1
195612;-2.6;1
195701;-6;1
195702;0.3;1
195703;1.8;1
195704;1.9;1
195705;2.9;1
195706;9.4;1
195707;11.2;1
195708;9.7;1
195709;7.2;1
195710;2.4;1
195711;-0.1;1
195712;-3.8;1
195801;-4.9;1
195802;-1.8;1
195803;-4.9;1
195804;-0.6;1
195805;7;1
195806;8.4;1
195807;11.2;1
195808;11.4;1
195809;9.8;1
195810;3.3;1
195811;-0.3;1
195812;-1.3;1
195901;-4.1;1
195902;-2.9;1
195903;1.7;1
195904;2.6;1
195905;5.3;1
195906;9.3;1
195907;11.4;1
195908;9.6;1
195909;7.6;1
195910;2.8;1
195911;-1.2;1
195912;-1.6;1
196001;-4.7;1
196002;-2.2;1
196003;0.5;1
196004;1.4;1
196005;5.5;1
196006;8.8;1
196007;8.1;1
196008;10;1
196009;6.1;1
196010;4.4;1
196011;1.9;1
196012;-4.8;1
196101;-4.1;1
196102;0.2;1
196103;-1;1
196104;5;1
196105;4.8;1
196106;8.8;1
196107;8.9;1
196108;8.9;1
196109;10.2;1
196110;4.7;1
196111;-1.2;1
196112;-1.4;1
196201;-1.4;1
196202;-4.8;1
196203;-4.2;1
196204;1;1
196205;4;1
196206;7;1
196207;8.5;1
