# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 26295001
# NOM_USUEL= ST-BARTHELEMY-V_SAPC
# LATITUDE (°) = 45.174
# LONGITUDE(°)= 4.903
# ALTITUDE (m) = 203
# NUM_SERIE= MTN026295001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196101 201912
# Date(s) de rupture(s) d'homogénéité : 196212 197512 198812 199012 201510
#     Periode homogénéisée  196101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;0.2;1
196102;2.8;1
196103;1.2;1
196104;7.4;1
196105;8;1
196106;12.2;1
196107;12.4;1
196108;11.1;1
196109;12.2;1
196110;7.9;1
196111;2.9;1
196112;1.6;1
196201;2.4;1
196202;-0.7;1
196203;1.3;1
196204;5.2;1
196205;7.5;1
196206;10.5;1
196207;12.6;1
196208;13.5;1
196209;11.8;1
196210;7.4;1
196211;2.6;1
196212;-2.9;1
196301;-4.2;1
196302;-3.8;1
196303;2.5;1
196304;6.9;1
196305;7.6;1
196306;12.5;1
196307;14;1
196308;12.4;1
196309;11.4;1
196310;6.8;1
196311;6;1
196312;-3.2;1
196401;-1.5;1
196402;3.1;1
196403;3.1;1
196404;6.4;1
196405;9.8;1
196406;13.4;1
196407;13.5;1
196408;12.8;1
196409;11.6;1
196410;5.7;1
196411;3.6;1
196412;0.1;1
196501;1;1
196502;-2.4;1
196503;2;1
196504;4.7;1
196505;8;1
196506;11.9;1
196507;12.7;1
196508;12.1;1
196509;10.3;1
196510;7.9;1
196511;3.5;1
196512;2;1
196601;-1.5;1
196602;4.4;1
196603;1.3;1
196604;7.3;1
196605;9.2;1
196606;12.3;1
196607;12.6;1
196608;12.4;1
196609;11.3;1
196610;10.1;1
196611;2;1
196612;2.1;1
196701;-0.4;1
196702;1.3;1
196703;4.6;1
196704;3.8;1
196705;8.6;1
196706;10.9;1
196707;14.2;1
196708;13.2;1
196709;10.7;1
196710;8.9;1
196711;4.5;1
196712;-1;1
196801;-1.6;1
196802;2.4;1
196803;1.5;1
196804;5.5;1
196805;8.8;1
196806;11;1
196807;13.6;1
196808;12;1
196809;10.1;1
196810;9.5;1
196811;3.6;1
196812;0.2;1
196901;0.1;1
196902;-2;1
196903;3.2;1
196904;5.2;1
196905;9;1
196906;10.7;1
196907;13.6;1
196908;13;1
196909;11.6;1
196910;7.3;1
196911;3.1;1
196912;-3.2;1
197001;1.5;1
197002;0.9;1
197003;0.5;1
197004;3.9;1
197005;8;1
197006;13.6;1
197007;13.1;1
197008;13.6;1
197009;10.6;1
197010;6.9;1
197011;3.2;1
197012;-0.8;1
197101;-4.7;1
197102;-0.2;1
197103;-1.5;1
197104;5.8;1
197105;9.9;1
197106;11.4;1
197107;14.1;1
197108;14.3;1
197109;10;1
197110;6.2;1
197111;2.7;1
197112;0.8;1
197201;0.7;1
197202;2.1;1
197203;1.9;1
197204;5.1;1
197205;7.5;1
197206;10;1
197207;13.4;1
197208;11.9;1
197209;7.5;1
197210;5.8;1
197211;3.8;1
197212;-0.3;1
197301;-0.4;1
197302;-0.2;1
197303;0;1
197304;2.7;1
197305;9.5;1
197306;12.5;1
197307;13.3;1
197308;14;1
197309;10.3;1
197310;5.8;1
197311;2.5;1
197312;0.3;1
197401;2.2;1
197402;2.8;1
197403;4;1
197404;4.1;1
197405;8.5;1
197406;11.2;1
197407;12.9;1
197408;13.1;1
197409;10.3;1
197410;3.4;1
197411;4.7;1
197412;4;1
197501;3;1
197502;0.2;1
197503;2.1;1
197504;4.3;1
197505;8.6;1
197506;10.9;1
197507;13.1;1
197508;14.5;1
197509;12.4;1
197510;5.5;1
197511;3.9;1
197512;0.1;1
197601;0.2;1
197602;1.3;1
197603;0.4;1
197604;3.9;1
197605;8;1
197606;11.7;1
197607;15;1
197608;11.9;1
197609;10.5;1
197610;8.2;1
197611;4;1
197612;-0.7;1
197701;1.6;1
197702;3.3;1
197703;4.1;1
197704;4.6;1
197705;8.5;1
197706;11.6;1
197707;12.6;1
197708;12.4;1
197709;8.8;1
197710;8.9;1
197711;3.1;1
197712;1.7;1
197801;-0.1;1
197802;1.5;1
197803;3.7;1
197804;3.9;1
197805;8.7;1
197806;10.5;1
197807;13.2;1
197808;12.3;1
197809;9.3;1
197810;5.9;1
197811;1;1
197812;3.2;1
197901;-2;1
197902;1.9;1
197903;4.1;1
197904;4.2;1
197905;8.2;1
197906;13.5;1
197907;12.9;1
197908;11.8;1
197909;10.2;1
197910;10.3;1
197911;3.1;1
197912;1.6;1
198001;-0.3;1
198002;2.4;1
198003;2.4;1
198004;4.1;1
198005;7.8;1
198006;10.9;1
198007;11.6;1
198008;13.5;1
198009;10.8;1
198010;6.4;1
198011;2.6;1
198012;-1.2;1
198101;-1.8;1
198102;-1.8;1
198103;5;1
198104;5.6;1
198105;9.4;1
198106;11.8;1
198107;12.6;1
198108;13.4;1
198109;12.7;1
198110;7.3;1
198111;2;1
198112;2;1
198201;1.9;1
198202;1.3;1
198203;1.1;1
198204;3.2;1
198205;7.4;1
198206;13.6;1
198207;15.3;1
198208;13.4;1
198209;12.4;1
198210;8.1;1
198211;4.7;1
198212;2.3;1
198301;-0.3;1
198302;-1.2;1
198303;2.3;1
198304;6.8;1
198305;8.6;1
198306;13.2;1
198307;16.5;1
198308;15.2;1
198309;12;1
198310;6.7;1
198311;2.9;1
198312;0.7;1
198401;0.4;1
198402;-0.8;1
198403;0.7;1
198404;3.3;1
198405;7.6;1
198406;11.2;1
198407;13.4;1
198408;12.8;1
198409;9.7;1
198410;7.3;1
198411;5.1;1
198412;1;1
198501;-5.8;1
198502;1;1
198503;2.1;1
198504;5.6;1
198505;8.5;1
198506;10.6;1
198507;14.7;1
198508;11.4;1
198509;9.7;1
198510;6.3;1
198511;0.5;1
198512;3;1
198601;0.2;1
198602;-2.1;1
198603;1.6;1
198604;4.8;1
198605;10.9;1
198606;12.1;1
198607;14;1
198608;13.2;1
198609;11.1;1
198610;9;1
198611;4.2;1
198612;1.8;1
198701;-3.7;1
198702;1.5;1
198703;1.3;1
198704;5.5;1
198705;7.3;1
198706;11.7;1
198707;15.9;1
198708;13.7;1
198709;13.3;1
198710;11.1;1
198711;4.3;1
198712;2.7;1
198801;4.6;1
198802;1.1;1
198803;3.5;1
198804;6.5;1
198805;11.5;1
198806;12.9;1
198807;13.6;1
198808;13.7;1
198809;10.4;1
198810;9.6;1
198811;2;1
198812;1.7;1
198901;0.2;1
198902;0.4;1
198903;3.9;1
198904;5.9;1
198905;9.1;1
198906;10.8;1
198907;15.4;1
198908;13.5;1
198909;10.7;1
198910;6.6;1
198911;2.4;1
198912;1.6;1
199001;-1.8;1
199002;5.2;1
199003;3;1
199004;4.6;1
199005;10.6;1
199006;11.5;1
199007;13.7;1
199008;13.7;1
199009;9.6;1
199010;10.1;1
199011;4;1
199012;-0.6;1
199101;0.9;1
199102;-2.3;1
199103;5.3;1
199104;4.1;1
199105;7.5;1
199106;12.5;1
199107;15.5;1
199108;15;1
199109;13.5;1
199110;6.9;1
199111;4.1;1
199112;-0.6;1
199201;-0.8;1
199202;0.7;1
199203;3.1;1
199204;5.9;1
199205;10.1;1
199206;12.6;1
199207;14.8;1
199208;14.8;1
199209;10.6;1
199210;6.9;1
199211;5.4;1
199212;3;1
199301;0.5;1
199302;-1.1;1
199303;1.5;1
199304;6.6;1
199305;9.9;1
199306;13.5;1
199307;13.1;1
199308;13.5;1
199309;10.8;1
199310;8.3;1
199311;2.5;1
199312;2.9;1
199401;1.5;1
199402;2.9;1
199403;4.7;1
199404;5.3;1
199405;10.3;1
199406;13.3;1
199407;15.9;1
199408;15.1;1
199409;11.9;1
199410;8.1;1
199411;7.6;1
199412;3.2;1
199501;1.4;1
199502;3.9;1
199503;1;1
199504;6.3;1
199505;8.7;1
199506;11.3;1
199507;16;1
199508;14.5;1
199509;9.7;1
199510;10.6;1
199511;4.2;1
199512;1.9;1
199601;3.5;1
199602;0.4;1
199603;1.8;1
199604;5.5;1
199605;9.4;1
199606;13.2;1
199607;13.7;1
199608;13;1
199609;8.1;1
199610;7.8;1
199611;3;1
199612;2.2;1
199701;-0.8;1
199702;2.3;1
199703;3.7;1
199704;4;1
199705;9.9;1
199706;13.4;1
199707;13.7;1
199708;15.5;1
199709;10.5;1
199710;7.7;1
199711;4.3;1
199712;2.3;1
199801;1.5;1
199802;0.1;1
199803;3.1;1
199804;5.8;1
199805;9.9;1
199806;12.7;1
199807;14.4;1
199808;13.3;1
199809;11.3;1
199810;7.7;1
199811;0.7;1
199812;0.7;1
199901;1.2;1
199902;0.6;1
199903;4;1
199904;5.4;1
199905;12.2;1
199906;11.2;1
199907;14.7;1
199908;14.8;1
199909;13.1;1
199910;8.4;1
199911;3.1;1
199912;1.2;1
200001;-0.4;1
200002;2.3;1
200003;3.4;1
200004;6.7;1
200005;11.1;1
200006;13.5;1
200007;12.7;1
200008;14.7;1
200009;11.4;1
200010;8;1
200011;4.9;1
200012;3.5;1
200101;2.7;1
200102;2.4;1
200103;6.7;1
200104;5.5;1
200105;11.6;1
200106;11.8;1
200107;14.2;1
200108;14.3;1
200109;9.3;1
200110;10.6;1
200111;2.2;1
200112;-1;1
200201;-1.1;1
200202;3.5;1
200203;4.4;1
200204;5.4;1
200205;9.2;1
200206;14.1;1
200207;13.8;1
200208;14.2;1
200209;11.6;1
200210;7.6;1
200211;6.2;1
200212;4.1;1
200301;-0.1;1
200302;-0.9;1
200303;2.7;1
200304;6.1;1
200305;11;1
200306;17;1
200307;14.9;1
200308;15.9;1
200309;10.9;1
200310;6.4;1
200311;4.8;1
200312;1.4;1
200401;1.3;1
200402;-0.1;1
200403;1.8;1
200404;6;1
200405;8.5;1
200406;13.3;1
200407;14.1;1
200408;14.5;1
200409;11.2;1
200410;10.7;1
200411;3.8;1
200412;1.4;1
200501;-0.8;1
200502;-1.8;1
200503;1.9;1
200504;5.1;1
200505;10;1
200506;14.3;1
200507;15.2;1
200508;12.7;1
200509;12.1;1
200510;10.4;1
200511;3.2;1
200512;-0.8;1
200601;-1.5;1
200602;-0.4;1
200603;3;1
200604;6.2;1
200605;10;1
200606;13.4;1
200607;16.8;1
200608;12.6;1
200609;13.8;1
200610;10.7;1
200611;6.1;1
200612;1.4;1
200701;2.8;1
200702;3.5;1
200703;3.2;1
200704;7;1
200705;10.8;1
200706;13.1;1
200707;13.5;1
200708;13.7;1
200709;9.7;1
200710;7.2;1
200711;2.9;1
200712;-0.7;1
200801;2;1
200802;0.7;1
200803;2.3;1
200804;6.4;1
200805;11;1
200806;13.7;1
200807;13.8;1
200808;12.8;1
200809;10.1;1
200810;7.6;1
200811;5;1
200812;1.3;1
200901;-1.7;1
200902;1.5;1
200903;2.6;1
200904;7.9;1
200905;11.8;1
200906;13.1;1
200907;14.9;1
200908;14.6;1
200909;12;1
200910;7.5;1
200911;6.3;1
200912;1.5;1
201001;-1.4;1
201002;0.6;1
201003;2.4;1
201004;6.2;1
201005;9.5;1
201006;13.3;1
201007;15.6;1
201008;13.4;1
201009;9.1;1
201010;7.5;1
201011;4.8;1
201012;-0.6;1
201101;0.8;1
201102;1.4;1
201103;3.6;1
201104;7.7;1
201105;10.5;1
201106;12.7;1
201107;12.6;1
201108;13.3;1
201109;12;1
201110;7.8;1
201111;5.3;1
201112;2.5;1
