# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 28064002
# NOM_USUEL= BU_SAPC
# LATITUDE (°) = 48.802
# LONGITUDE(°)= 1.493
# ALTITUDE (m) = 132
# NUM_SERIE= MTN028064002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 195412 196812 197309 199612 201212
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-0.8;1
195302;-0.3;1
195303;2.2;1
195304;4.5;1
195305;8.7;1
195306;10.2;1
195307;13.4;1
195308;12.2;1
195309;10.5;1
195310;7.8;1
195311;2.9;1
195312;3.6;1
195401;-1.8;1
195402;-1.7;1
195403;3.1;1
195404;2.6;1
195405;7.1;1
195406;8.7;1
195407;10.2;1
195408;11.2;1
195409;9.7;1
195410;8.5;1
195411;3;1
195412;3.5;1
195501;2.7;1
195502;-0.3;1
195503;-0.8;1
195504;3.3;1
195505;4.8;1
195506;10.1;1
195507;13;1
195508;12.6;1
195509;9.1;1
195510;5.3;1
195511;3.2;1
195512;3.7;1
195601;1;1
195602;-6.9;1
195603;1.5;1
195604;2;1
195605;7.8;1
195606;9.9;1
195607;12.6;1
195608;10.3;1
195609;10.6;1
195610;6.9;1
195611;1.7;1
195612;2.4;1
195701;-0.9;1
195702;2.6;1
195703;5.4;1
195704;3.3;1
195705;4.9;1
195706;10.8;1
195707;13.7;1
195708;10.6;1
195709;10.5;1
195710;7.2;1
195711;3.9;1
195712;0.7;1
195801;2.8;1
195802;4.3;1
195803;1.3;1
195804;3.4;1
195805;8.4;1
195806;10.5;1
195807;12.9;1
195808;11.3;1
195809;12.1;1
195810;7.3;1
195811;3.5;1
195812;3.4;1
195901;-0.6;1
195902;0.7;1
195903;4;1
195904;5.9;1
195905;9.8;1
195906;9.2;1
195907;12;1
195908;12.3;1
195909;9.8;1
195910;4.8;1
195911;3.8;1
195912;4.3;1
196001;0.7;1
196002;0.8;1
196003;4.3;1
196004;5.1;1
196005;7.1;1
196006;10.6;1
196007;12.2;1
196008;11.6;1
196009;11.2;1
196010;8.2;1
196011;5.8;1
196012;0.6;1
196101;-0.1;1
196102;3.9;1
196103;1.5;1
196104;8.1;1
196105;6.4;1
196106;10.4;1
196107;10.7;1
196108;11.4;1
196109;12.5;1
196110;7.5;1
196111;3.1;1
196112;0.7;1
196201;2.9;1
196202;1.1;1
196203;-0.5;1
196204;5.2;1
196205;6.8;1
196206;8;1
196207;11.8;1
196208;10.3;1
196209;8.9;1
196210;6.4;1
196211;2.7;1
196212;-2.1;1
196301;-5;1
196302;-5.1;1
196303;2.8;1
196304;4.5;1
196305;6.4;1
196306;11.7;1
196307;10.6;1
196308;11.6;1
196309;11.2;1
196310;7.5;1
196311;6.5;1
196312;-2;1
196401;-1.2;1
196402;2.6;1
196403;2.2;1
196404;5.4;1
196405;7.5;1
196406;10.4;1
196407;13.5;1
196408;12.7;1
196409;10.2;1
196410;4.8;1
196411;3.8;1
196412;-0.4;1
196501;0.1;1
196502;-1.5;1
196503;3.3;1
196504;4.2;1
196505;8.3;1
196506;10.1;1
196507;10.2;1
196508;12;1
196509;8.7;1
196510;6.5;1
196511;2.3;1
196512;3.1;1
196601;-1.2;1
196602;4.9;1
196603;1;1
196604;6.5;1
196605;8.5;1
196606;11.9;1
196607;12.6;1
196608;10.8;1
196609;11.2;1
196610;8.6;1
196611;2.9;1
196612;3.2;1
196701;0.9;1
196702;2.3;1
196703;4.1;1
196704;4.1;1
196705;8.4;1
196706;7.9;1
196707;11.1;1
196708;13.2;1
196709;10.2;1
196710;8.4;1
196711;2.9;1
196712;0.5;1
196801;1.2;1
196802;0;1
196803;2.8;1
196804;4.7;1
196805;7.7;1
196806;10.1;1
196807;11.9;1
196808;13.3;1
196809;10.6;1
196810;10.1;1
196811;2.6;1
196812;0;1
196901;2;1
196902;-1;1
196903;1.9;1
196904;4.9;1
196905;8.1;1
196906;10.4;1
196907;13.7;1
196908;12.4;1
196909;10.3;1
196910;6.3;1
196911;4;1
196912;-1.1;1
197001;1.8;1
197002;1.7;1
197003;1.4;1
197004;3.3;1
197005;7.4;1
197006;12.3;1
197007;10.4;1
197008;12.2;1
197009;10.4;1
197010;6.8;1
197011;5.3;1
197012;-0.6;1
197101;0.9;1
197102;1.1;1
197103;0.4;1
197104;5.3;1
197105;8.4;1
197106;9.9;1
197107;12.8;1
197108;12.8;1
197109;9.1;1
197110;4.5;1
197111;2.5;1
197112;2.5;1
197201;0.5;1
197202;2.2;1
197203;2.7;1
197204;5.4;1
197205;6.5;1
197206;8.1;1
197207;12;1
197208;10.4;1
197209;7.9;1
197210;4.8;1
197211;3.4;1
197212;1.2;1
197301;0.6;1
197302;0.5;1
197303;0.1;1
197304;2.8;1
197305;7.4;1
197306;11.1;1
197307;11.9;1
197308;13;1
197309;11.6;1
197310;5.9;1
197311;2.7;1
197312;1.5;1
197401;4.3;1
197402;1.6;1
197403;2.7;1
197404;3.2;1
197405;5.6;1
197406;9.5;1
197407;10.9;1
197408;11.5;1
197409;9.1;1
197410;4.7;1
197411;4.6;1
197412;4.6;1
197501;4.6;1
197502;1.3;1
197503;2.2;1
197504;4.7;1
197505;6.8;1
197506;9.4;1
197507;12.2;1
197508;13.4;1
197509;10.6;1
197510;5.5;1
197511;3.4;1
197512;-0.3;1
197601;2;1
197602;1.4;1
197603;1;1
197604;3;1
197605;7.3;1
197606;11.8;1
197607;14.3;1
197608;11.8;1
197609;9.3;1
197610;8.3;1
197611;3.7;1
197612;0.1;1
197701;1.4;1
197702;3.7;1
197703;3.6;1
197704;3.2;1
197705;7.2;1
197706;10;1
197707;12.3;1
197708;10.5;1
197709;7.8;1
197710;8.2;1
197711;3.8;1
197712;2.8;1
197801;0.4;1
197802;0.7;1
197803;3.3;1
197804;3.5;1
197805;7.8;1
197806;9.6;1
197807;11.3;1
197808;10.2;1
197809;8.9;1
197810;6.3;1
197811;2.2;1
197812;2.3;1
197901;-3.9;1
197902;0.2;1
197903;3.1;1
197904;4.4;1
197905;6.9;1
197906;10.8;1
197907;11.1;1
197908;11.4;1
197909;9.4;1
197910;7.9;1
197911;3.6;1
197912;3.8;1
198001;-1;1
198002;3.4;1
198003;2.7;1
198004;4.1;1
198005;6.3;1
198006;9.9;1
198007;11.5;1
198008;12.7;1
198009;10.8;1
198010;6.3;1
198011;2.2;1
198012;1.2;1
198101;1.4;1
198102;-0.3;1
198103;6.6;1
198104;5.5;1
198105;8.2;1
198106;10.1;1
198107;11.9;1
198108;12;1
198109;10.7;1
198110;7.3;1
198111;4.8;1
198112;1.7;1
198201;1.1;1
198202;2.2;1
198203;2.3;1
198204;3.5;1
198205;7.8;1
198206;12.6;1
198207;13.2;1
198208;12.5;1
198209;11.1;1
198210;7.6;1
198211;5.4;1
198212;2.5;1
198301;3.5;1
198302;-0.8;1
198303;3.2;1
198304;4.3;1
198305;6.7;1
198306;11.4;1
198307;15.3;1
198308;13.3;1
198309;10.5;1
198310;6.6;1
198311;3.1;1
198312;1.3;1
198401;1.8;1
198402;1;1
198403;0.6;1
198404;2.8;1
198405;6;1
198406;9.8;1
198407;11.5;1
198408;12.2;1
198409;10.5;1
198410;8.1;1
198411;6.2;1
198412;2.4;1
198501;-3.3;1
198502;-1.3;1
198503;1.6;1
198504;4.9;1
198505;8.1;1
198506;9.4;1
198507;11.9;1
198508;10.4;1
198509;10;1
198510;5.9;1
198511;1.3;1
198512;3.6;1
198601;1.7;1
198602;-4.9;1
198603;1;1
198604;2.7;1
198605;7.4;1
198606;11.6;1
198607;11.9;1
198608;10.7;1
198609;7.1;1
198610;8.9;1
198611;4.8;1
198612;2.8;1
198701;-4.3;1
198702;0.4;1
198703;1.4;1
198704;5.9;1
198705;5.7;1
198706;10.1;1
198707;12.5;1
198708;12.1;1
198709;12.7;1
198710;8.1;1
198711;3.6;1
198712;2;1
198801;3.9;1
198802;1.2;1
198803;4;1
198804;5;1
198805;9;1
198806;10.7;1
198807;11.6;1
198808;12.4;1
198809;10.8;1
198810;7.9;1
198811;1.3;1
198812;4.7;1
198901;1.2;1
198902;1.8;1
198903;4.8;1
198904;3.3;1
198905;8.6;1
198906;10.4;1
198907;13.1;1
198908;12.2;1
198909;10.2;1
198910;8.8;1
198911;1.6;1
198912;1.6;1
199001;2.9;1
199002;4.8;1
199003;3.3;1
199004;4.1;1
199005;8.1;1
199006;10;1
199007;12.5;1
199008;13.7;1
199009;8.4;1
199010;8.7;1
199011;4.1;1
199012;1.3;1
199101;1.8;1
199102;-2.8;1
199103;5.5;1
199104;3.5;1
199105;5.9;1
199106;9;1
199107;12.9;1
199108;12.8;1
199109;11.3;1
199110;6.6;1
199111;3.7;1
199112;0;1
199201;-0.1;1
199202;0.4;1
199203;3.7;1
199204;3.8;1
199205;8.3;1
199206;11;1
199207;12.5;1
199208;14;1
199209;10;1
199210;5.3;1
199211;5.7;1
199212;1.6;1
199301;3.2;1
199302;0.7;1
199303;1.9;1
199304;6.4;1
199305;9.2;1
199306;11.5;1
199307;11.5;1
199308;10.5;1
199309;9.7;1
199310;6.6;1
199311;0.3;1
199312;3.9;1
199401;3.6;1
199402;1.7;1
199403;4.8;1
199404;4.5;1
199405;8.1;1
199406;10.3;1
199407;14.9;1
