# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 28322001
# NOM_USUEL= RUEIL
# LATITUDE (°) = 48.712
# LONGITUDE(°)= 0.959
# ALTITUDE (m) = 157
# NUM_SERIE= MTN028322001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195601 202212
# Date(s) de rupture(s) d'homogénéité : 196209 196912 197504 198812 200612 201612
#     Periode homogénéisée  195601 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;0;1
195602;-8.2;1
195603;-0.6;1
195604;0;1
195605;3.7;1
195606;7;1
195607;9.6;1
195608;7.8;1
195609;10;1
195610;5.2;1
195611;0.4;1
195612;3.2;1
195701;-1.3;1
195702;2.6;1
195703;3.1;1
195704;1.2;1
195705;3.3;1
195706;8.2;1
195707;11.5;1
195708;9.2;1
195709;8.3;1
195710;5.6;1
195711;2.8;1
195712;-0.5;1
195801;1.1;1
195802;2.3;1
195803;-0.8;1
195804;1.1;1
195805;5.7;1
195806;7.6;1
195807;10;1
195808;11.3;1
195809;9.5;1
195810;6.7;1
195811;2.2;1
195812;1.1;1
195901;-0.7;1
195902;-2.6;1
195903;1.6;1
195904;3.2;1
195905;5.9;1
195906;7.8;1
195907;10.9;1
195908;10.7;1
195909;6.8;1
195910;5.1;1
195911;3.5;1
195912;2.6;1
196001;-0.8;1
196002;-0.2;1
196003;2.2;1
196004;3.3;1
196005;6.1;1
196006;9;1
196007;9.8;1
196008;9.8;1
196009;7.2;1
196010;6.5;1
196011;4.7;1
196012;0.3;1
196101;0;1
196102;2.5;1
196103;-0.1;1
196104;5;1
196105;3.7;1
196106;6.8;1
196107;9.2;1
196108;10;1
196109;10;1
196110;5.5;1
196111;2.3;1
196112;-0.1;1
196201;1.7;1
196202;-1.2;1
196203;-2;1
196204;3.1;1
196205;4.9;1
196206;6.2;1
196207;8.8;1
196208;8.3;1
196209;6.4;1
196210;5;1
196211;2.8;1
196212;-3;1
196301;-6.6;1
196302;-7.4;1
196303;0.7;1
196304;2.9;1
196305;4;1
196306;8.8;1
196307;9.5;1
196308;9.5;1
196309;9.3;1
196310;5.3;1
196311;5.2;1
196312;-3;1
196401;-2.9;1
196402;1.1;1
196403;0.2;1
196404;2.4;1
196405;6;1
196406;8.3;1
196407;9.4;1
196408;9.8;1
196409;8.4;1
196410;3.8;1
196411;2.9;1
196412;-1.4;1
196501;-0.2;1
196502;-2.9;1
196503;0.5;1
196504;2.4;1
196505;5.1;1
196506;8;1
196507;9.2;1
196508;9.1;1
196509;6.6;1
196510;3.9;1
196511;1.6;1
196512;2.2;1
196601;-2.2;1
196602;4.1;1
196603;0.5;1
196604;4.2;1
196605;5.2;1
196606;9.4;1
196607;9.4;1
196608;8.9;1
196609;7.9;1
196610;7.3;1
196611;1.3;1
196612;2.7;1
196701;0.7;1
196702;1.4;1
196703;1.4;1
196704;1.4;1
196705;4.9;1
196706;6.8;1
196707;9.5;1
196708;8.9;1
196709;8.9;1
196710;6.8;1
196711;1.7;1
196712;-0.5;1
196801;0.4;1
196802;-0.6;1
196803;0.7;1
196804;1.4;1
196805;4.4;1
196806;8.5;1
196807;9.2;1
196808;10.8;1
196809;8.8;1
196810;8.1;1
196811;1.6;1
196812;-0.4;1
196901;2.2;1
196902;-1.6;1
196903;0.8;1
196904;2.4;1
196905;5.9;1
196906;7.5;1
196907;11.1;1
196908;10.2;1
196909;10.2;1
196910;3.9;1
196911;3;1
196912;-1.4;1
197001;1.1;1
197002;0.3;1
197003;-0.3;1
197004;2.3;1
197005;5.9;1
197006;9.9;1
197007;8.9;1
197008;10.6;1
197009;9.9;1
197010;5.6;1
197011;4.4;1
197012;-1.4;1
197101;-0.5;1
197102;-0.2;1
197103;-2.2;1
197104;2.6;1
197105;6.6;1
197106;8.5;1
197107;10.3;1
197108;10.6;1
197109;5.1;1
197110;2.4;1
197111;0.1;1
197112;0.9;1
197201;0.1;1
197202;1.4;1
197203;1;1
197204;4.1;1
197205;4.6;1
197206;6.8;1
197207;9.8;1
197208;9;1
197209;5.8;1
197210;3.2;1
197211;2.5;1
197212;0.6;1
197301;-0.8;1
197302;-0.6;1
197303;-2.3;1
197304;0.6;1
197305;5.5;1
197306;8.6;1
197307;10.2;1
197308;11.2;1
197309;9;1
197310;4;1
197311;1.2;1
197312;0.4;1
197401;2.9;1
197402;0.5;1
197403;1.1;1
197404;0.7;1
197405;4.1;1
197406;7.9;1
197407;9.1;1
197408;9.6;1
197409;7.8;1
197410;3.8;1
197411;4.2;1
197412;3.9;1
197501;3.8;1
197502;-0.7;1
197503;0.5;1
197504;2.6;1
197505;5.4;1
197506;7.1;1
197507;10.4;1
197508;11.3;1
197509;9.1;1
197510;4.3;1
197511;2.6;1
197512;-1.3;1
197601;0.9;1
197602;0.1;1
197603;-1.6;1
197604;-0.5;1
197605;4.1;1
197606;8.4;1
197607;11.8;1
197608;7.7;1
197609;7.2;1
197610;7.4;1
197611;2.2;1
197612;-0.7;1
197701;0.1;1
197702;2.6;1
197703;1.8;1
197704;0.9;1
197705;4.8;1
197706;8.4;1
197707;10.7;1
197708;7.9;1
197709;5.3;1
197710;6.9;1
197711;3;1
197712;1.5;1
197801;-0.7;1
197802;0.1;1
197803;1.8;1
197804;1.4;1
197805;5.7;1
197806;7.4;1
197807;9.6;1
197808;7.5;1
197809;6.8;1
197810;4.5;1
197811;0.7;1
197812;1.5;1
197901;-5.5;1
197902;-1;1
197903;1.8;1
197904;2.8;1
197905;4.4;1
197906;8.7;1
197907;8.5;1
197908;9.4;1
197909;7.1;1
197910;6.8;1
197911;2.5;1
197912;2.8;1
198001;-2.2;1
198002;2.2;1
198003;1;1
198004;1.5;1
198005;3.3;1
198006;8.3;1
198007;10;1
198008;10.8;1
198009;8.9;1
198010;4.9;1
198011;1.1;1
198012;0.1;1
198101;0.4;1
198102;-2;1
198103;5.5;1
198104;3.3;1
198105;7;1
198106;8.5;1
198107;10.5;1
198108;9.9;1
198109;9.4;1
198110;6.7;1
198111;3.6;1
198112;0.5;1
198201;0.2;1
198202;1.1;1
198203;0.6;1
198204;0.4;1
198205;5.6;1
198206;11;1
198207;10.8;1
198208;10.7;1
198209;8.7;1
198210;6.1;1
198211;4.1;1
198212;1.9;1
198301;2.7;1
198302;-2.1;1
198303;1.7;1
198304;2.5;1
198305;5.2;1
198306;9.3;1
198307;12.7;1
198308;11;1
198309;9;1
198310;5;1
198311;1.6;1
198312;-0.2;1
198401;1.1;1
198402;-0.6;1
198403;-1.2;1
198404;-0.8;1
198405;4.3;1
198406;7.3;1
198407;8.7;1
198408;9.8;1
198409;9.5;1
198410;7.1;1
198411;5.2;1
198412;1.3;1
198501;-4.6;1
198502;-2.8;1
198503;-0.5;1
198504;2.7;1
198505;6.2;1
198506;7;1
198507;9.4;1
198508;8.9;1
198509;7.6;1
198510;3.6;1
198511;0.2;1
198512;2.5;1
198601;0.3;1
198602;-7.6;1
198603;-1.1;1
198604;0.3;1
198605;5;1
198606;8.7;1
198607;9.8;1
198608;8.4;1
198609;4.8;1
198610;7.4;1
198611;3.8;1
198612;1.4;1
198701;-6.1;1
198702;-1.1;1
198703;-0.6;1
198704;3.2;1
198705;3.3;1
198706;8.5;1
198707;10.4;1
198708;9.7;1
198709;10.6;1
198710;6.6;1
198711;2.5;1
198712;0.6;1
198801;2.9;1
198802;-0.6;1
198803;2.4;1
198804;2;1
198805;6.6;1
198806;8.2;1
198807;9.6;1
198808;10.5;1
198809;9.6;1
198810;6.6;1
198811;0.1;1
198812;3.7;1
198901;0.4;1
198902;0.8;1
198903;3.6;1
198904;1.9;1
198905;5.9;1
198906;8.1;1
198907;11.1;1
198908;9.9;1
198909;8.3;1
198910;7.7;1
198911;0.6;1
198912;0.9;1
199001;2.3;1
199002;2.8;1
199003;0.2;1
199004;1.2;1
199005;3.8;1
199006;7.5;1
199007;9;1
199008;10.6;1
199009;5.5;1
199010;7.6;1
199011;3.6;1
199012;1.4;1
199101;1.3;1
199102;-4.3;1
199103;4.1;1
199104;1.3;1
199105;4.7;1
199106;8.1;1
199107;11.6;1
199108;11;1
199109;9.2;1
199110;5.1;1
199111;3.2;1
199112;-1.6;1
199201;-0.6;1
199202;-1.7;1
199203;1.8;1
199204;1.1;1
199205;4.3;1
199206;8.9;1
199207;10.6;1
199208;12.4;1
199209;8.3;1
199210;4.4;1
199211;4.9;1
199212;1.2;1
199301;3.3;1
199302;-0.1;1
199303;-0.6;1
199304;4.8;1
199305;7.7;1
199306;9.7;1
199307;10;1
199308;8;1
199309;8.1;1
199310;6;1
199311;-1.4;1
199312;3.2;1
199401;3;1
199402;0.1;1
199403;3.4;1
199404;3.1;1
199405;6.2;1
199406;8.4;1
199407;12.9;1
199408;12.1;1
199409;8.9;1
199410;5;1
199411;6.7;1
199412;2.9;1
199501;0.7;1
199502;4;1
199503;0.8;1
199504;3.6;1
199505;4.8;1
199506;7.7;1
199507;12.2;1
199508;11.6;1
199509;8.3;1
199510;8;1
199511;2.2;1
199512;0.2;1
199601;1;1
199602;-1.4;1
199603;-0.8;1
199604;0.6;1
199605;4.5;1
199606;7.6;1
199607;8.9;1
199608;9.8;1
199609;5.6;1
199610;5.6;1
199611;2.6;1
199612;-0.9;1
199701;-3.4;1
199702;1.2;1
199703;2.6;1
199704;-0.8;1
199705;5;1
199706;9.6;1
199707;9.2;1
199708;14.1;1
199709;5.1;1
199710;4.1;1
199711;4.6;1
199712;2.4;1
199801;0;1
199802;-1;1
199803;1.7;1
199804;3.6;1
199805;6.3;1
199806;8.6;1
199807;10.2;1
199808;8.7;1
199809;9.9;1
199810;7.8;1
199811;0.5;1
199812;2.4;1
199901;2.4;1
199902;0.6;1
199903;2.1;1
199904;4;1
199905;7.4;1
199906;8.5;1
199907;12.3;1
199908;11.7;1
199909;11.3;1
199910;6.1;1
199911;1.9;1
199912;1.8;1
200001;0.3;1
200002;1.7;1
200003;0.6;1
200004;2.9;1
200005;8;1
200006;8.7;1
200007;9.7;1
200008;10.7;1
200009;9.6;1
200010;7.2;1
200011;3.5;1
200012;4;1
200101;1.2;1
200102;1.3;1
200103;3.9;1
200104;3.5;1
200105;6.8;1
200106;7.7;1
200107;11.5;1
200108;11.9;1
200109;7.8;1
200110;9.9;1
200111;1.4;1
200112;-0.8;1
200201;1;1
200202;3.3;1
200203;1.3;1
200204;1.7;1
200205;6.1;1
200206;8.9;1
200207;10;1
200208;11.3;1
200209;6.6;1
200210;6.4;1
200211;4.9;1
200212;3.9;1
200301;-0.9;1
200302;-1.7;1
200303;1.7;1
200304;2.2;1
200305;6.2;1
200306;11.7;1
200307;11.3;1
200308;12.5;1
200309;6.6;1
200310;3.8;1
200311;4.3;1
200312;0.8;1
200401;1.8;1
200402;0;1
200403;-0.1;1
200404;2;1
200405;3.9;1
200406;8.5;1
200407;10.4;1
200408;12.6;1
200409;9.6;1
200410;7.7;1
200411;3.7;1
200412;0.1;1
200501;1.7;1
200502;-1.1;1
200503;1.2;1
200504;2.8;1
200505;5.4;1
200506;8.2;1
200507;11.6;1
200508;8.3;1
200509;9.4;1
200510;9.4;1
200511;2.1;1
200512;0.1;1
200601;-0.6;1
200602;-1;1
200603;0;1
200604;1.9;1
200605;7.7;1
200606;8.6;1
200607;12.9;1
200608;10.7;1
200609;11.2;1
200610;9.8;1
200611;3.2;1
200612;0.4;1
200701;3.9;1
200702;2.5;1
200703;0.7;1
200704;3.1;1
200705;8;1
200706;10.6;1
200707;11;1
200708;10.8;1
200709;6.7;1
200710;4;1
200711;1.6;1
200712;-0.8;1
200801;2.5;1
200802;-0.5;1
200803;1.9;1
200804;2.7;1
200805;7.4;1
200806;8.8;1
200807;10.1;1
200808;11.6;1
200809;6.6;1
200810;5.1;1
200811;4.5;1
200812;-0.3;1
200901;-2.9;1
200902;-0.8;1
200903;-0.2;1
200904;3.7;1
200905;5.8;1
200906;8.1;1
200907;11.2;1
200908;10.3;1
200909;8.8;1
200910;6.2;1
200911;6.9;1
200912;-0.9;1
201001;-3.1;1
201002;0.2;1
201003;1.2;1
201004;0.8;1
201005;3.7;1
201006;9.8;1
201007;11.6;1
201008;11;1
201009;7.6;1
201010;5.6;1
201011;3.3;1
201012;-2.5;1
201101;1;1
201102;1.8;1
201103;0.2;1
201104;2.8;1
201105;4.3;1
201106;9;1
201107;8.5;1
201108;10.9;1
201109;9.3;1
201110;5.9;1
201111;4.2;1
201112;3;1
201201;1.9;1
201202;-4.8;1
201203;0.9;1
201204;1.2;1
201205;6.2;1
201206;9.5;1
201207;10.1;1
201208;10.9;1
201209;7.8;1
201210;8.5;1
201211;3.7;1
201212;3.3;1
201301;1.6;1
201302;-1;1
201303;0;1
201304;3;1
201305;5.7;1
201306;9.3;1
201307;12.3;1
201308;9.2;1
201309;8.4;1
201310;8.1;1
201311;2.5;1
201312;0.1;1
201401;2.6;1
201402;1.6;1
201403;1.3;1
201404;3.2;1
201405;5.4;1
201406;8;1
201407;13;1
201408;9.7;1
201409;8;1
201410;7.3;1
201411;5.8;1
201412;1.2;1
201501;0.1;1
201502;-1.1;1
201503;1;1
201504;2.4;1
201505;5.9;1
201506;8.1;1
201507;11;1
201508;11;1
201509;6.9;1
201510;5.8;1
201511;6.3;1
201512;5.7;1
201601;1.7;1
201602;1.6;1
201603;1.2;1
201604;1.8;1
201605;6.3;1
201606;10.6;1
201607;10.6;1
201608;10.1;1
201609;10.7;1
201610;5;1
201611;3.5;1
201612;-0.2;1
201701;-3.8;1
201702;1.4;1
201703;3.5;1
201704;1.1;1
201705;7.5;1
201706;10.8;1
201707;12;1
201708;11.3;1
201709;9.2;1
201710;8;1
201711;3.2;1
201712;2.2;1
201801;4.2;1
201802;-2.3;1
201803;2;1
201804;5.1;1
201805;7.3;1
201806;11.3;1
201807;13.2;1
201808;12.1;1
201809;7.1;1
201810;5.6;1
201811;4;1
201812;3.3;1
201901;1.5;1
201902;-0.6;1
201903;2.9;1
201904;1.1;1
201905;4.9;1
201906;10.2;1
201907;10.9;1
201908;11;1
201909;8.9;1
201910;8.7;1
201911;4.5;1
201912;2.6;1
202001;2;1
202002;4.6;1
202003;2.3;1
202004;3.4;1
202005;4.8;1
202006;9.3;1
202007;9.7;1
202008;12.5;1
202009;9.3;1
202010;7.3;1
202011;3.7;1
202012;3.1;1
202101;0.3;1
202102;1.4;1
202103;-0.4;1
202104;-1.1;1
202105;5.2;1
202106;10.6;1
202107;12.1;1
202108;11.4;1
202109;9.7;1
202110;5.5;1
202111;1.4;1
202112;3.2;1
202201;1.2;1
202202;1.6;1
202203;1.4;1
202204;1.9;1
202205;6.7;1
202206;9.5;1
202207;9.9;1
202208;11.2;1
202209;9.1;1
202210;9.3;1
202211;5.6;1
202212;1.5;1
