# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 29022001
# NOM_USUEL= CAMARET
# LATITUDE (°) = 48.275
# LONGITUDE(°)= -4.607
# ALTITUDE (m) = 44
# NUM_SERIE= MTN029022001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 197412 199812 200712
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.7;1
195302;2.9;1
195303;4.4;1
195304;6.4;1
195305;9.7;1
195306;10.6;1
195307;12.9;1
195308;13.4;1
195309;11.7;1
195310;9.5;1
195311;7.6;1
195312;7.8;1
195401;4.8;1
195402;4.2;1
195403;6.2;1
195404;6.1;1
195405;9.1;1
195406;11.4;1
195407;12.2;1
195408;12.6;1
195409;12.6;1
195410;11.9;1
195411;8.5;1
195412;7.9;1
195501;4.5;1
195502;4.2;1
195503;2.8;1
195504;7.2;1
195505;8.8;1
195506;12.3;1
195507;14;1
195508;15.3;1
195509;13.5;1
195510;9.4;1
195511;6.8;1
195512;8.3;1
195601;5.5;1
195602;-1;1
195603;5.5;1
195604;5.6;1
195605;9;1
195606;10.4;1
195607;12.8;1
195608;12.3;1
195609;13;1
195610;10.4;1
195611;7.4;1
195612;6.9;1
195701;5.8;1
195702;6.5;1
195703;8.7;1
195704;7.9;1
195705;9;1
195706;11.7;1
195707;13.6;1
195708;13.9;1
195709;12.3;1
195710;10.8;1
195711;6.6;1
195712;5;1
195801;5.1;1
195802;6.4;1
195803;4.8;1
195804;5.9;1
195805;9.8;1
195806;11.4;1
195807;13;1
195808;14.1;1
195809;13.7;1
195810;10.7;1
195811;7.6;1
195812;5.9;1
195901;4.6;1
195902;4.2;1
195903;6.6;1
195904;8.2;1
195905;9.8;1
195906;12.3;1
195907;14;1
195908;14.4;1
195909;13.7;1
195910;12.2;1
195911;8.2;1
195912;7.1;1
196001;5.4;1
196002;5;1
196003;7.1;1
196004;7.7;1
196005;10.6;1
196006;13.1;1
196007;13.5;1
196008;13.9;1
196009;12.4;1
196010;10.8;1
196011;8.7;1
196012;5.6;1
196101;5.8;1
196102;6.9;1
196103;6.7;1
196104;9.2;1
196105;9.8;1
196106;11.4;1
196107;12.9;1
196108;13.4;1
196109;14;1
196110;11.1;1
196111;7.3;1
196112;4.7;1
196201;6.2;1
196202;4.6;1
196203;3.4;1
196204;6.6;1
196205;9;1
196206;10.8;1
196207;13.1;1
196208;13.8;1
196209;12.3;1
196210;10.6;1
196211;6.7;1
196212;3.9;1
196301;-0.6;1
196302;1;1
196303;5.4;1
196304;6.6;1
196305;8.6;1
196306;11.5;1
196307;12.9;1
196308;12.8;1
196309;11.8;1
196310;10.6;1
196311;9.3;1
196312;2.9;1
196401;2.6;1
196402;4.5;1
196403;4.7;1
196404;6.5;1
196405;10;1
196406;11.6;1
196407;13;1
196408;13.4;1
196409;13.5;1
196410;9.3;1
196411;7.5;1
196412;5.9;1
196501;5;1
196502;2.7;1
196503;5.8;1
196504;7.1;1
196505;9.8;1
196506;11.3;1
196507;13;1
196508;13.7;1
196509;11.2;1
196510;11.5;1
196511;6.9;1
196512;7.7;1
196601;4.8;1
196602;7.7;1
196603;6.8;1
196604;8.7;1
196605;9.8;1
196606;12.4;1
196607;13.6;1
196608;13.4;1
196609;13.8;1
196610;11;1
196611;6.5;1
196612;7.5;1
196701;5.7;1
196702;5.2;1
196703;6.4;1
196704;6.7;1
196705;8.9;1
196706;11.2;1
196707;13.7;1
196708;13.6;1
196709;12.5;1
196710;11;1
196711;6.9;1
196712;5.9;1
196801;6.1;1
196802;3.9;1
196803;5.7;1
196804;6.1;1
196805;8.2;1
196806;11.4;1
196807;12.9;1
196808;13.9;1
196809;13.2;1
196810;12.6;1
196811;8.4;1
196812;6.2;1
196901;7;1
196902;3.1;1
196903;5.7;1
196904;7;1
196905;9.6;1
196906;11.6;1
196907;13.5;1
196908;13.8;1
196909;13.2;1
196910;12.1;1
196911;7.5;1
196912;5.7;1
197001;5.9;1
197002;5.1;1
197003;4.6;1
197004;6.5;1
197005;9.4;1
197006;12.8;1
197007;13;1
197008;13.5;1
197009;13.4;1
197010;10.6;1
197011;8.9;1
197012;4.7;1
197101;5.7;1
197102;4.8;1
197103;4.4;1
197104;6.9;1
197105;9.1;1
197106;11.2;1
197107;14.3;1
197108;14.4;1
197109;13.5;1
197110;11.8;1
197111;7.1;1
197112;6.2;1
197201;4.6;1
197202;5.5;1
197203;6.1;1
197204;7.5;1
197205;8.8;1
197206;10;1
197207;12.4;1
197208;12.8;1
197209;11.1;1
197210;10;1
197211;7.8;1
197212;6.5;1
197301;4.6;1
197302;5.1;1
197303;5;1
197304;6.2;1
197305;9.7;1
197306;11.8;1
197307;13;1
197308;14.2;1
197309;13.1;1
197310;9.6;1
197311;8.3;1
197312;6.3;1
197401;6.7;1
197402;5.8;1
197403;5.6;1
197404;7;1
197405;8.9;1
197406;11.5;1
197407;12.9;1
197408;13.2;1
197409;11.2;1
197410;8.2;1
197411;8.3;1
197412;8.2;1
197501;7.4;1
197502;5.7;1
197503;4.7;1
197504;6.7;1
197505;9.1;1
197506;11.9;1
197507;14.3;1
197508;15;1
197509;12;1
197510;9.6;1
197511;7.6;1
197512;5.5;1
197601;6.1;1
197602;5;1
197603;5.4;1
197604;6.2;1
197605;9.4;1
197606;13.4;1
