# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 29168001
# NOM_USUEL= PTE DU RAZ
# LATITUDE (°) = 48.039
# LONGITUDE(°)= -4.732
# ALTITUDE (m) = 67
# NUM_SERIE= MTN029168001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195612 197912 198412
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.4;1
195102;5;1
195103;5.5;1
195104;7.2;1
195105;8.8;1
195106;12.2;1
195107;13.1;1
195108;12.6;1
195109;13.9;1
195110;11.2;1
195111;9.6;1
195112;7.9;1
195201;4.9;1
195202;4.2;1
195203;7.1;1
195204;8.1;1
195205;11.2;1
195206;12.4;1
195207;14;1
195208;14.2;1
195209;10.7;1
195210;10.6;1
195211;6.9;1
195212;5.3;1
195301;3.5;1
195302;3.7;1
195303;5.7;1
195304;6.6;1
195305;9.9;1
195306;11.2;1
195307;13;1
195308;13.8;1
195309;12.2;1
195310;10.5;1
195311;9.1;1
195312;9.2;1
195401;5.1;1
195402;4.1;1
195403;6.2;1
195404;6.5;1
195405;9.3;1
195406;11.7;1
195407;12.5;1
195408;13.3;1
195409;13.2;1
195410;12.9;1
195411;9.1;1
195412;8.5;1
195501;4.9;1
195502;4.6;1
195503;3.1;1
195504;7.9;1
195505;9.4;1
195506;12.8;1
195507;14.7;1
195508;16.1;1
195509;14.2;1
195510;10.2;1
195511;7.4;1
195512;9.1;1
195601;6;1
195602;-0.5;1
195603;5.9;1
195604;5.9;1
195605;9.5;1
195606;10.9;1
195607;13.4;1
195608;12.8;1
195609;13.5;1
195610;10.8;1
195611;7.8;1
195612;7.2;1
195701;5.6;1
195702;7.4;1
195703;8.5;1
195704;8.3;1
195705;9.5;1
195706;12.2;1
195707;13.8;1
195708;14.2;1
195709;12.5;1
195710;11.3;1
195711;7.2;1
195712;5.7;1
195801;5.8;1
195802;6.7;1
195803;5.3;1
195804;6.7;1
195805;10.3;1
195806;11.9;1
195807;13.4;1
195808;14.2;1
195809;14.6;1
195810;11.8;1
195811;8.2;1
195812;6.5;1
195901;5.5;1
195902;5;1
195903;7.3;1
195904;8.2;1
195905;10.2;1
195906;12.3;1
195907;14.3;1
195908;14.5;1
195909;14.5;1
195910;12.8;1
195911;8.4;1
195912;7.6;1
196001;5.9;1
196002;5.2;1
196003;7.2;1
196004;7.8;1
196005;10.8;1
196006;13.2;1
196007;13.3;1
196008;14.1;1
196009;13.3;1
196010;11.5;1
196011;9.5;1
196012;6;1
196101;6.3;1
196102;7.7;1
196103;7.3;1
196104;10;1
196105;10.6;1
196106;12.4;1
196107;13.8;1
196108;14.1;1
196109;14.4;1
196110;11.6;1
196111;7.8;1
196112;5;1
196201;6.4;1
196202;4.7;1
196203;3.5;1
196204;7;1
196205;9.2;1
196206;11.5;1
196207;13.4;1
196208;14.1;1
196209;13.2;1
196210;11.3;1
196211;7.2;1
196212;4;1
196301;-0.7;1
196302;1.1;1
196303;5.6;1
196304;7.3;1
196305;9.2;1
196306;12;1
196307;13.2;1
196308;13.1;1
196309;12.7;1
196310;11.7;1
196311;10.2;1
196312;3.4;1
196401;3.2;1
196402;5.2;1
196403;5.2;1
196404;7.4;1
196405;10.6;1
196406;12;1
196407;13.3;1
196408;12.9;1
196409;13.6;1
196410;9.3;1
196411;7.8;1
196412;6.1;1
196501;4.7;1
196502;2;1
196503;5.3;1
196504;6.8;1
196505;9.7;1
196506;11.7;1
196507;13.3;1
196508;13.7;1
196509;11.5;1
196510;11.4;1
196511;7.2;1
196512;7.6;1
196601;4.9;1
196602;7.9;1
196603;7;1
196604;9;1
196605;9.8;1
196606;12.6;1
196607;13.4;1
196608;13.5;1
196609;14.3;1
196610;11.6;1
196611;7.5;1
196612;8.3;1
196701;6;1
196702;6.1;1
196703;7.2;1
196704;7.4;1
196705;9.7;1
196706;11.7;1
196707;14;1
196708;14.3;1
196709;13.1;1
196710;12;1
196711;8;1
196712;6.5;1
196801;6.6;1
196802;4.5;1
196803;6.7;1
196804;7.3;1
196805;9.3;1
196806;11.7;1
196807;13;1
196808;13.9;1
196809;13.5;1
196810;12.9;1
196811;8.8;1
196812;6.9;1
196901;7.4;1
196902;3.5;1
196903;5.9;1
196904;7.5;1
196905;10.1;1
196906;11.5;1
196907;13.1;1
196908;14;1
196909;13.5;1
196910;13.3;1
196911;8.8;1
196912;6.2;1
197001;5.8;1
197002;5.6;1
197003;5;1
197004;6.8;1
197005;9.8;1
197006;13.6;1
197007;13.3;1
197008;13.7;1
197009;14;1
197010;10.7;1
197011;9.2;1
197012;4.9;1
197101;5.9;1
197102;4.4;1
197103;4.7;1
197104;7.7;1
197105;9.4;1
197106;11.5;1
197107;14.8;1
197108;14.2;1
197109;14.1;1
197110;12;1
197111;7.6;1
197112;6.8;1
197201;5.2;1
197202;6;1
197203;6.6;1
197204;8;1
197205;9.3;1
197206;10.5;1
197207;12.7;1
197208;13;1
197209;11.5;1
197210;10.5;1
197211;8.2;1
197212;6.9;1
197301;4.7;1
197302;5.7;1
197303;5.6;1
197304;6.8;1
197305;9.8;1
197306;12.1;1
197307;13;1
197308;14.7;1
197309;13.9;1
197310;10.2;1
197311;8.4;1
197312;6.6;1
197401;7.3;1
197402;6.1;1
197403;6.3;1
197404;7.3;1
197405;9.4;1
197406;12;1
197407;12.9;1
197408;13.1;1
197409;11.8;1
197410;8.8;1
197411;8.8;1
197412;8.6;1
197501;7.8;1
197502;6.4;1
197503;5.3;1
197504;7.2;1
197505;9.6;1
197506;12.1;1
197507;14.7;1
197508;15.2;1
197509;12.6;1
197510;10.4;1
197511;8.7;1
197512;6;1
197601;6.6;1
197602;5.3;1
197603;5.9;1
197604;7.1;1
197605;10;1
197606;13.9;1
197607;14.3;1
197608;15;1
197609;12.6;1
197610;11.1;1
197611;8.8;1
197612;4.6;1
197701;5.1;1
197702;7.3;1
197703;7.3;1
197704;7.1;1
197705;9.2;1
197706;10.6;1
197707;13.7;1
197708;13.5;1
197709;12.2;1
197710;12.3;1
197711;7.8;1
197712;7.1;1
197801;5.4;1
197802;5.5;1
197803;6.8;1
197804;6.6;1
197805;9.8;1
197806;11.2;1
197807;12.7;1
197808;12.9;1
197809;13;1
197810;11.2;1
197811;9.1;1
197812;6.6;1
197901;2.6;1
197902;4.5;1
197903;5.7;1
197904;7.1;1
197905;8.2;1
197906;11.7;1
197907;13.3;1
197908;13.1;1
197909;12.6;1
197910;11.7;1
197911;8.7;1
197912;7.4;1
198001;4.4;1
198002;7.5;1
198003;5.5;1
198004;8.1;1
198005;9.5;1
198006;12.2;1
198007;12.8;1
198008;14.5;1
198009;13.8;1
198010;10.6;1
198011;6.5;1
198012;6.9;1
198101;6.2;1
198102;3.9;1
198103;7.9;1
198104;7.8;1
198105;9.9;1
198106;12.1;1
198107;13.9;1
198108;14.4;1
198109;14.1;1
198110;10.6;1
198111;8.9;1
198112;6.3;1
198201;6.2;1
198202;6.6;1
198203;6.6;1
198204;7.7;1
198205;9.4;1
198206;12.1;1
198207;13.9;1
198208;13.7;1
198209;14.3;1
198210;11.4;1
198211;9.6;1
198212;6.7;1
198301;7.7;1
198302;3.5;1
198303;6.5;1
198304;6.6;1
198305;9.4;1
198306;12.8;1
198307;16.9;1
198308;15.6;1
198309;13.8;1
198310;10.7;1
198311;7.8;1
198312;7;1
198401;5.4;1
198402;5.1;1
198403;5;1
198404;7.9;1
198405;8.5;1
198406;11.7;1
198407;14.6;1
198408;13.4;1
198409;13.3;1
198410;11.6;1
198411;9.8;1
198412;7.6;1
198501;3;1
198502;4.2;1
198503;5.8;1
198504;7.9;1
198505;9.9;1
198506;12.1;1
198507;13.9;1
198508;13.4;1
198509;14;1
198510;11.3;1
198511;6.9;1
198512;8.4;1
198601;6.6;1
198602;-0.6;1
198603;5.2;1
198604;5.6;1
198605;9.3;1
198606;11.7;1
198607;13.5;1
198608;12.9;1
198609;11.6;1
198610;12.1;1
198611;9.1;1
198612;8.4;1
198701;1.1;1
198702;5;1
198703;5.7;1
198704;9.1;1
198705;9.6;1
198706;11.4;1
198707;13.8;1
198708;14.2;1
198709;14.3;1
198710;10.9;1
198711;8.6;1
198712;6.8;1
198801;7.7;1
198802;6;1
198803;7.8;1
198804;8.6;1
198805;10.7;1
198806;12.9;1
198807;13.1;1
198808;13.4;1
198809;12.3;1
198810;10.9;1
198811;6.7;1
198812;8.6;1
198901;6.7;1
198902;6.8;1
198903;8.1;1
198904;6.6;1
198905;12.1;1
198906;13;1
198907;15.1;1
198908;14.5;1
198909;13.7;1
198910;12;1
198911;7.7;1
198912;6.2;1
199001;8.1;1
199002;8.4;1
199003;7.9;1
199004;7.5;1
199005;11.6;1
199006;11.8;1
199007;14.9;1
199008;15.2;1
199009;13.2;1
199010;11.7;1
199011;8.1;1
199012;5.1;1
199101;4.6;1
199102;3.1;1
199103;7.3;1
199104;7.4;1
199105;9.5;1
199106;11.7;1
199107;13.8;1
199108;15;1
199109;14.9;1
199110;10.9;1
199111;8.9;1
199112;5.2;1
199201;4.4;1
199202;5.8;1
199203;7.4;1
199204;8;1
199205;11.4;1
199206;13.1;1
199207;14.5;1
199208;14.6;1
199209;13.1;1
199210;10;1
199211;10.1;1
199212;6.2;1
199301;8.3;1
199302;5.1;1
199303;7;1
199304;9.1;1
199305;10.7;1
199306;13.2;1
199307;13.6;1
199308;13.9;1
199309;12.6;1
199310;9.6;1
199311;6.4;1
199312;7.9;1
199401;7.3;1
199402;6.2;1
199403;8.4;1
199404;7.4;1
199405;10.3;1
199406;12.1;1
199407;14.1;1
199408;14.4;1
199409;12.7;1
199410;11.6;1
199411;11.3;1
199412;9.6;1
199501;8;1
199502;8.6;1
199503;6.8;1
199504;8;1
199505;11.3;1
199506;12.8;1
199507;15.4;1
199508;15.9;1
199509;13.2;1
199510;13.5;1
199511;9.1;1
199512;5.7;1
199601;7.1;1
199602;5.1;1
199603;6.1;1
199604;7.9;1
199605;8.7;1
199606;13.4;1
199607;14.2;1
199608;14.4;1
199609;12.8;1
199610;12.3;1
199611;8.7;1
199612;4.6;1
199701;2.8;1
199702;7.6;1
199703;8.5;1
199704;8.3;1
199705;10.9;1
199706;13;1
199707;14.3;1
199708;16.5;1
199709;14.5;1
199710;11.7;1
199711;10.3;1
199712;7.8;1
199801;5.1;1
199802;6.3;1
199803;8;1
199804;7.6;1
199805;11.6;1
199806;13.1;1
199807;13.9;1
199808;14.4;1
199809;14;1
199810;12.3;1
199811;8.3;1
199812;8.1;1
199901;8;1
199902;6.8;1
199903;7.5;1
199904;9.1;1
199905;11.9;1
199906;12.6;1
199907;15.1;1
199908;15.5;1
199909;14.9;1
199910;11.7;1
199911;9.9;1
199912;7.9;1
200001;6.6;1
200002;8.1;1
200003;6.9;1
200004;7.7;1
200005;10.9;1
200006;12.9;1
200007;14.1;1
200008;14.9;1
200009;14.5;1
200010;11.4;1
200011;8.9;1
200012;8.8;1
200101;5.9;1
200102;6.6;1
200103;7.9;1
200104;8.5;1
200105;10.6;1
200106;12.8;1
200107;14.3;1
200108;15.3;1
200109;13.5;1
200110;13.5;1
200111;8.7;1
200112;4.7;1
200201;7.5;1
200202;8.3;1
200203;7.9;1
200204;8.6;1
200205;10.5;1
200206;12.2;1
200207;13.8;1
200208;14.1;1
200209;13.5;1
200210;11.9;1
200211;10.6;1
200212;7.9;1
200301;5.6;1
200302;5.7;1
200303;8;1
200304;8.8;1
200305;10.9;1
200306;13.7;1
200307;15.2;1
200308;16.3;1
200309;14;1
200310;10.6;1
200311;10.2;1
200312;7;1
200401;7.6;1
200402;5.8;1
200403;6;1
200404;8.3;1
200405;10.6;1
200406;13.5;1
200407;13.9;1
200408;15.4;1
200409;14.8;1
200410;11.7;1
200411;10;1
200412;6.5;1
200501;8.1;1
200502;4.8;1
200503;7;1
200504;8.4;1
200505;10.4;1
200506;13.5;1
200507;14.8;1
200508;14.2;1
200509;14.2;1
200510;13.5;1
200511;8.2;1
200512;6;1
200601;4.7;1
200602;4.3;1
200603;5.7;1
200604;7.9;1
200605;10.5;1
200606;13.1;1
200607;15.8;1
200608;14.3;1
200609;15.2;1
200610;14;1
200611;10.2;1
200612;8;1
200701;8.5;1
200702;8.4;1
200703;7.3;1
200704;9.9;1
200705;11.1;1
200706;13.3;1
200707;13.8;1
200708;14.5;1
200709;13.1;1
200710;11;1
200711;9.1;1
200712;6.1;1
200801;7.6;1
200802;6.2;1
200803;7;1
200804;7.8;1
200805;11.9;1
200806;13;1
200807;13.9;1
200808;14.3;1
200809;12.8;1
200810;11;1
200811;9;1
200812;5;1
200901;4.4;1
200902;4.9;1
200903;6.9;1
200904;8.2;1
200905;10.6;1
200906;13.5;1
200907;14.2;1
200908;14.5;1
200909;13.4;1
