# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 30076001
# NOM_USUEL= CAVILLARGUES
# LATITUDE (°) = 44.113
# LONGITUDE(°)= 4.519
# ALTITUDE (m) = 131
# NUM_SERIE= MTN030076001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196101 201912
# Date(s) de rupture(s) d'homogénéité : 197212
#     Periode homogénéisée  196101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;-0.4;1
196102;2.3;1
196103;3.3;1
196104;8;1
196105;9.1;1
196106;13.1;1
196107;14.3;1
196108;13.8;1
196109;13.7;1
196110;8.6;1
196111;3.5;1
196112;2.6;1
196201;2.8;1
196202;0.7;1
196203;1.4;1
196204;5.6;1
196205;7.7;1
196206;12.4;1
196207;14;1
196208;15.5;1
196209;12;1
196210;8.9;1
196211;2.3;1
196212;-2.6;1
196301;-2.5;1
196302;-2.5;1
196303;2.7;1
196304;6.7;1
196305;9.1;1
196306;12.4;1
196307;15.4;1
196308;13.4;1
196309;12.7;1
196310;7.6;1
196311;6.4;1
196312;-0.5;1
196401;-0.8;1
196402;3.5;1
196403;3.3;1
196404;6.3;1
196405;10.2;1
196406;13.8;1
196407;15.2;1
196408;14.1;1
196409;12.9;1
196410;6.2;1
196411;3.9;1
196412;1.1;1
196501;1;1
196502;-0.9;1
196503;3;1
196504;5.3;1
196505;8.2;1
196506;12.3;1
196507;13.1;1
196508;12.6;1
196509;10.3;1
196510;9.4;1
196511;3.3;1
196512;1.9;1
196601;-0.6;1
196602;4.1;1
196603;2.7;1
196604;7.4;1
196605;10.2;1
196606;12.5;1
196607;12.9;1
196608;12.8;1
196609;11.9;1
196610;10.1;1
196611;1.5;1
196612;1.1;1
196701;0.5;1
196702;1.5;1
196703;5.4;1
196704;5.6;1
196705;8.7;1
196706;11.5;1
196707;15.4;1
196708;14.1;1
196709;11.3;1
196710;9.3;1
196711;4;1
196712;-0.6;1
196801;-1.4;1
196802;2.8;1
196803;2.3;1
196804;5.8;1
196805;9.1;1
196806;12.1;1
196807;14.2;1
196808;12.8;1
196809;10.6;1
196810;9.1;1
196811;3.8;1
196812;0.5;1
196901;0.9;1
196902;-1.6;1
196903;4.3;1
196904;5.6;1
196905;9;1
196906;11.4;1
196907;15;1
196908;14.1;1
196909;12.1;1
196910;8.7;1
196911;2.9;1
196912;-2.3;1
197001;1.9;1
197002;0.6;1
197003;1.3;1
197004;4.4;1
197005;9.1;1
197006;14.5;1
197007;14.4;1
197008;14.4;1
197009;12.3;1
197010;7.9;1
197011;4;1
197012;-0.3;1
197101;-2.3;1
197102;0.4;1
197103;0.1;1
197104;7.6;1
197105;9.7;1
197106;11.7;1
197107;14.4;1
197108;15.3;1
197109;11.9;1
197110;7.9;1
197111;2.1;1
197112;1.2;1
197201;1.7;1
197202;3.4;1
197203;3.3;1
197204;6.1;1
197205;7.9;1
197206;11.4;1
197207;14.5;1
197208;12.6;1
197209;9.3;1
197210;7;1
197211;3.8;1
197212;1;1
197301;0;1
197302;0.8;1
197303;1.6;1
197304;4.2;1
197305;9.6;1
197306;13.6;1
197307;15.3;1
197308;14.9;1
197309;11.9;1
197310;6.8;1
197311;4.2;1
197312;0.9;1
197401;3.8;1
197402;3;1
197403;4.8;1
197404;5.4;1
197405;8.9;1
197406;12;1
197407;14.5;1
197408;13.9;1
197409;10.8;1
197410;2.9;1
197411;4.2;1
197412;2.8;1
197501;2.4;1
197502;2.1;1
197503;2.4;1
197504;4.9;1
197505;8.9;1
197506;12;1
197507;14.3;1
197508;15.8;1
197509;12.4;1
197510;5.6;1
197511;3.8;1
197512;1.3;1
197601;1;1
197602;2.2;1
197603;2.4;1
197604;5.1;1
197605;9.4;1
197606;12.6;1
197607;15.5;1
197608;12.9;1
197609;10.5;1
197610;8.2;1
197611;3.4;1
197612;1;1
197701;1.3;1
197702;2.8;1
197703;4.6;1
197704;5.5;1
197705;8.9;1
197706;11.3;1
197707;13.9;1
197708;13;1
197709;10.2;1
197710;9.7;1
197711;3.2;1
197712;1.9;1
197801;-0.1;1
197802;0.3;1
197803;3.8;1
197804;4.8;1
197805;8.6;1
197806;11.1;1
197807;13.2;1
197808;13.2;1
197809;12.2;1
197810;6.6;1
197811;1.5;1
197812;1.8;1
197901;-0.6;1
197902;2.2;1
197903;4.2;1
197904;4.4;1
197905;8.4;1
197906;13.9;1
197907;16.2;1
197908;13.5;1
197909;11.5;1
197910;10.5;1
197911;3;1
197912;1.4;1
198001;0.5;1
198002;3.6;1
198003;3.1;1
198004;5.2;1
198005;8.4;1
198006;11.7;1
198007;13.2;1
198008;16.1;1
198009;12.9;1
198010;7.2;1
198011;3;1
198012;-2.2;1
198101;-0.9;1
198102;-1.6;1
198103;5.1;1
198104;6.3;1
198105;8.3;1
198106;12.7;1
198107;14.1;1
198108;14.3;1
198109;13.2;1
198110;7.2;1
198111;3.1;1
198112;1.6;1
198201;2.9;1
198202;2.3;1
198203;1.6;1
198204;5.7;1
198205;8.2;1
198206;14.1;1
198207;17.3;1
198208;14.7;1
198209;13.7;1
198210;7.3;1
198211;5.6;1
198212;2;1
198301;0.9;1
198302;-1.9;1
198303;3.7;1
198304;5.9;1
198305;8.6;1
198306;13.3;1
198307;16.4;1
198308;15.8;1
198309;12.4;1
198310;8.2;1
198311;4.8;1
198312;1.3;1
198401;-0.1;1
198402;0.6;1
198403;2.2;1
198404;4.8;1
198405;7.7;1
198406;12.7;1
198407;14.9;1
198408;14.5;1
198409;10.7;1
198410;8.3;1
198411;6;1
198412;1.2;1
198501;-4.3;1
198502;2.3;1
198503;2;1
198504;6;1
198505;8.5;1
198506;11.4;1
198507;16.4;1
198508;13.5;1
198509;13;1
198510;8.9;1
198511;1.3;1
198512;3.1;1
198601;-0.4;1
198602;-1;1
198603;3.1;1
198604;5.2;1
198605;11.3;1
198606;12.6;1
198607;15.7;1
198608;15;1
198609;13.2;1
198610;10.3;1
198611;5.3;1
198612;1.3;1
198701;-2.8;1
198702;2.2;1
198703;2;1
198704;6.9;1
198705;8.4;1
198706;12;1
198707;15.8;1
198708;15.6;1
198709;14.7;1
198710;11.2;1
198711;4.2;1
198712;3.2;1
198801;3.8;1
198802;1.1;1
198803;2.8;1
198804;7.6;1
198805;11;1
198806;13.1;1
198807;15.2;1
198808;15.1;1
198809;11.6;1
198810;10.3;1
198811;3.4;1
198812;2.4;1
198901;0.9;1
198902;0.6;1
198903;4.8;1
198904;5.7;1
198905;10.4;1
198906;12;1
198907;17.2;1
198908;16.1;1
198909;12.3;1
198910;7.4;1
198911;3.4;1
198912;2.2;1
199001;-1.1;1
199002;4.9;1
199003;4.9;1
199004;5.3;1
199005;10.9;1
199006;12.4;1
199007;15.6;1
199008;15.9;1
199009;12.2;1
199010;11.3;1
199011;4.1;1
199012;0.1;1
199101;0.3;1
199102;-1.4;1
199103;6.3;1
199104;4.5;1
199105;8.3;1
199106;12.3;1
199107;16.1;1
199108;16.2;1
199109;14.1;1
199110;7.5;1
199111;3.6;1
199112;-0.3;1
199201;-0.1;1
199202;0.9;1
199203;4.1;1
199204;6.4;1
199205;11.1;1
199206;12.4;1
199207;15.8;1
199208;16;1
199209;11.1;1
199210;7.3;1
199211;5.1;1
199212;3.2;1
199301;0.9;1
199302;-0.6;1
199303;3.1;1
199304;6.8;1
199305;10.3;1
199306;13.6;1
199307;14.1;1
199308;15.2;1
199309;11.6;1
199310;9.3;1
199311;3.2;1
199312;2.2;1
199401;1.4;1
199402;2;1
199403;6.4;1
199404;5.3;1
199405;10.3;1
199406;13.7;1
199407;16.9;1
199408;16.3;1
199409;12.7;1
199410;8.4;1
199411;8.1;1
199412;3.1;1
199501;0.6;1
199502;4.4;1
199503;1.9;1
199504;7.7;1
199505;8.9;1
199506;12.7;1
199507;17.3;1
199508;16.3;1
199509;11;1
199510;11.3;1
199511;4.9;1
199512;2.2;1
199601;4.5;1
199602;0.1;1
199603;2.8;1
199604;7.1;1
199605;9.7;1
199606;14;1
199607;15.8;1
199608;14.6;1
199609;9.6;1
199610;8.9;1
199611;3.8;1
199612;3;1
199701;0.8;1
199702;2.2;1
199703;5.6;1
199704;5.1;1
199705;9.7;1
199706;13.5;1
199707;14.8;1
199708;16.2;1
199709;11.6;1
199710;10.3;1
199711;5.1;1
199712;2.1;1
199801;1.6;1
199802;0.7;1
199803;3.3;1
199804;5.3;1
199805;10.2;1
199806;13.1;1
199807;15.7;1
199808;15.3;1
199809;11.4;1
199810;7.4;1
199811;1.3;1
199812;0.9;1
199901;1.4;1
199902;0;1
199903;4.5;1
199904;6.2;1
199905;11.9;1
199906;12.4;1
199907;15.6;1
199908;16.8;1
199909;13.6;1
199910;9.5;1
199911;3;1
199912;0.6;1
200001;0;1
200002;2.4;1
200003;4;1
200004;6.4;1
200005;10.5;1
200006;13.9;1
200007;13.4;1
200008;15.1;1
200009;12.5;1
200010;8.8;1
200011;4.4;1
200012;4.1;1
200101;2.6;1
200102;2.3;1
200103;5.9;1
200104;5.2;1
200105;11.8;1
200106;13.5;1
200107;15.3;1
200108;15.9;1
200109;10.6;1
200110;11.5;1
200111;2.7;1
200112;-1.3;1
200201;-0.3;1
200202;3.5;1
200203;5.1;1
200204;7.3;1
200205;9.6;1
200206;13.4;1
200207;15.4;1
200208;15.7;1
200209;12.4;1
200210;8.9;1
200211;6.6;1
200212;3.5;1
200301;0;1
200302;-0.3;1
200303;3.3;1
200304;6.6;1
200305;11;1
200306;16.3;1
200307;16.7;1
200308;18;1
200309;11.9;1
200310;8.3;1
200311;5.3;1
200312;2.6;1
200401;1.2;1
200402;1.4;1
200403;2.4;1
200404;6.2;1
200405;8.7;1
200406;13.6;1
200407;15.1;1
200408;15.7;1
200409;12.6;1
200410;10.5;1
200411;4.7;1
200412;1.5;1
200501;0.2;1
200502;-1.2;1
200503;1.3;1
200504;5.9;1
200505;9.8;1
200506;15.1;1
200507;15.3;1
200508;15.8;1
200509;13.4;1
200510;11.1;1
200511;4.6;1
200512;0;1
200601;-0.2;1
200602;0;1
200603;3.6;1
200604;7.1;1
200605;10.1;1
200606;13.4;1
200607;18.2;1
200608;14.5;1
200609;14;1
200610;11.4;1
200611;7.1;1
200612;2.2;1
200701;3.1;1
200702;2.9;1
200703;3.5;1
200704;7.9;1
200705;11;1
200706;13.7;1
200707;14.3;1
200708;14.5;1
200709;12.4;1
200710;8.5;1
200711;4.5;1
200712;0.5;1
200801;2.9;1
200802;1.9;1
200803;3.1;1
200804;5.9;1
200805;10.8;1
200806;14.2;1
200807;15.1;1
200808;15;1
200809;11.4;1
200810;7.7;1
200811;5.3;1
200812;1.8;1
200901;-0.8;1
200902;1.7;1
200903;3.8;1
200904;7.6;1
200905;11.8;1
200906;14.2;1
200907;15.8;1
200908;17.2;1
200909;13.1;1
200910;9.7;1
200911;5.5;1
200912;2.1;1
201001;-0.7;1
201002;0.8;1
201003;3.7;1
201004;6.7;1
201005;10.1;1
201006;13.7;1
201007;17;1
201008;15.5;1
201009;11.1;1
201010;8.5;1
201011;3.8;1
201012;0.8;1
201101;1.7;1
201102;2.1;1
201103;4;1
201104;7.6;1
201105;9.9;1
201106;13.9;1
201107;14.8;1
201108;14.7;1
201109;13.8;1
201110;9.6;1
201111;7;1
201112;2.2;1
201201;1.8;1
201202;-1.2;1
201203;5.1;1
201204;7;1
