# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 31042012
# NOM_USUEL= LUCHON
# LATITUDE (°) = 42.802
# LONGITUDE(°)= 0.6
# ALTITUDE (m) = 618
# NUM_SERIE= MTN031042012
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196712 197609 199412
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-4.4;1
195902;-2.1;1
195903;2.3;1
195904;3.7;1
195905;6.4;1
195906;9.2;1
195907;12.5;1
195908;11.5;1
195909;10.4;1
195910;6.2;1
195911;-0.8;1
195912;-0.3;1
196001;-3.4;1
196002;0.2;1
196003;3.3;1
196004;3.7;1
196005;8;1
196006;11.7;1
196007;11.4;1
196008;10.1;1
196009;8.4;1
196010;4.9;1
196011;1.9;1
196012;-2.6;1
196101;-2.8;1
196102;0.6;1
196103;0.8;1
196104;5;1
196105;7.1;1
196106;10.6;1
196107;12.5;1
196108;11.9;1
196109;12.6;1
196110;6.9;1
196111;0.4;1
196112;-1.4;1
196201;-0.4;1
196202;-3.3;1
196203;0.4;1
196204;2.6;1
196205;5.7;1
196206;8.5;1
196207;10.9;1
196208;11.1;1
196209;8.5;1
196210;5.8;1
196211;-1.1;1
196212;-4.9;1
196301;-4.2;1
196302;-4.8;1
196303;0.3;1
196304;3.4;1
196305;5.6;1
196306;9.2;1
196307;11.3;1
196308;9.8;1
196309;7.3;1
196310;3.7;1
196311;2;1
196312;-3.7;1
196401;-5.7;1
196402;-2.1;1
196403;-0.4;1
196404;3.5;1
196405;8.4;1
196406;10.1;1
196407;11.7;1
196408;11;1
196409;9.9;1
196410;2.9;1
196411;-0.8;1
196412;-3.3;1
196501;-2.7;1
196502;-4.7;1
196503;0.5;1
196504;3.8;1
196505;6.7;1
196506;9.9;1
196507;10.7;1
196508;10.4;1
196509;6.9;1
196510;7.2;1
196511;1.1;1
196512;1.2;1
196601;0.5;1
196602;3.7;1
196603;1;1
196604;5.9;1
196605;7.2;1
196606;10.1;1
196607;10.9;1
196608;11.4;1
196609;9.5;1
196610;7;1
196611;0;1
196612;-0.7;1
196701;-2.3;1
196702;-0.6;1
196703;1.9;1
196704;2.9;1
196705;6.5;1
196706;9.4;1
196707;13.5;1
196708;12.4;1
196709;9.3;1
196710;6.8;1
196711;1.4;1
196712;-3.9;1
196801;-1.7;1
196802;0.7;1
196803;2.2;1
196804;3.7;1
196805;5.2;1
196806;8.5;1
196807;10.7;1
196808;10.5;1
196809;8.1;1
196810;5.3;1
196811;2.2;1
196812;0;1
196901;-1.5;1
196902;-3.3;1
196903;1.5;1
