# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 33063001
# NOM_USUEL= BORDEAUX-PAULIN
# LATITUDE (°) = 44.85
# LONGITUDE(°)= -0.589
# ALTITUDE (m) = 10
# NUM_SERIE= MTN033063001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 196012 197409 197612 201412
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.4;1
195302;-0.7;1
195303;2.7;1
195304;7;1
195305;11.2;1
195306;12.2;1
195307;13.9;1
195308;14.8;1
195309;12.4;1
195310;8.8;1
195311;3.9;1
195312;7.8;1
195401;2;1
195402;1.4;1
195403;4.5;1
195404;4.7;1
195405;9.4;1
195406;12;1
195407;13.3;1
195408;13.6;1
195409;13.2;1
195410;9.5;1
195411;5.4;1
195412;4.7;1
195501;5.1;1
195502;3.4;1
195503;2.3;1
195504;6.1;1
195505;8.4;1
195506;13.3;1
195507;15.3;1
195508;14.1;1
195509;12.3;1
195510;6.4;1
195511;4.1;1
195512;5.8;1
195601;2.9;1
195602;-6.4;1
195603;4.8;1
195604;5.7;1
195605;10.6;1
195606;10.9;1
195607;13.4;1
195608;13.3;1
195609;13.5;1
195610;7.8;1
195611;2.3;1
195612;4.1;1
195701;0.5;1
195702;5.5;1
195703;7.9;1
195704;6.7;1
195705;8.4;1
195706;13;1
195707;15.4;1
195708;14.1;1
195709;12.2;1
195710;8.1;1
195711;3.6;1
195712;1.9;1
195801;3.4;1
195802;5.2;1
195803;4.8;1
195804;6.4;1
195805;10.2;1
195806;13.1;1
195807;14.7;1
195808;14.8;1
195809;15.2;1
195810;8;1
195811;4;1
195812;3;1
195901;1.6;1
195902;1.4;1
195903;6.2;1
195904;7.1;1
195905;9.6;1
195906;14.9;1
195907;16.1;1
195908;16.3;1
195909;15.2;1
195910;9.7;1
195911;5.5;1
195912;5;1
196001;2.3;1
196002;2.6;1
196003;6.9;1
196004;6.5;1
196005;11.2;1
196006;14.6;1
196007;14.1;1
196008;14.9;1
196009;12.3;1
196010;9.5;1
196011;7.6;1
196012;2.3;1
196101;2.9;1
196102;5.9;1
196103;3.9;1
196104;8.9;1
196105;9.6;1
196106;13.5;1
196107;14.5;1
196108;14.1;1
196109;16.1;1
196110;10.6;1
196111;5.3;1
196112;4.3;1
196201;3.9;1
196202;1.9;1
196203;2.5;1
196204;6.5;1
196205;8.8;1
196206;11.9;1
196207;14.2;1
196208;14.8;1
196209;12.4;1
196210;8.8;1
196211;3.2;1
196212;-0.4;1
196301;-1.3;1
196302;-1;1
196303;5.4;1
196304;7;1
196305;8.9;1
196306;12.9;1
196307;15.1;1
196308;14.7;1
196309;13.2;1
196310;9.4;1
196311;7.7;1
196312;0.9;1
196401;-1.2;1
196402;4.3;1
196403;4.9;1
