# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 33214002
# NOM_USUEL= LACANAU
# LATITUDE (°) = 45.001
# LONGITUDE(°)= -1.139
# ALTITUDE (m) = 16
# NUM_SERIE= MTN033214002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196612 196912 197312 200512
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;5.5;1
195502;3.5;1
195503;2;1
195504;6.3;1
195505;9.2;1
195506;13.5;1
195507;16.8;1
195508;16.5;1
195509;13.7;1
195510;8.4;1
195511;4.1;1
195512;6.5;1
195601;4.2;1
195602;-5.5;1
195603;3.8;1
195604;4.6;1
195605;9.5;1
195606;11.2;1
195607;13.5;1
195608;13.2;1
195609;13.3;1
195610;8.8;1
195611;3.8;1
195612;4.6;1
195701;0.2;1
195702;5.6;1
195703;8.1;1
195704;6.3;1
195705;8.4;1
195706;13.5;1
195707;15.3;1
195708;14.5;1
195709;13;1
195710;9.2;1
195711;4.7;1
195712;2.6;1
195801;3.5;1
195802;5.2;1
195803;5.5;1
195804;5.9;1
195805;10.2;1
195806;12.4;1
195807;14.5;1
195808;14.7;1
195809;14.7;1
195810;9.3;1
195811;5.1;1
195812;4.5;1
195901;2.8;1
195902;1.7;1
195903;6.1;1
195904;7.4;1
195905;10.4;1
195906;12.5;1
195907;14.7;1
195908;14.6;1
195909;13.5;1
195910;10.2;1
195911;6.5;1
195912;6.4;1
196001;3;1
196002;4.2;1
196003;7.4;1
196004;6.9;1
196005;10.4;1
196006;13.1;1
196007;13.1;1
196008;13;1
196009;11.2;1
196010;9.8;1
196011;7.6;1
196012;2.8;1
196101;3.2;1
196102;6.9;1
196103;2.5;1
196104;8;1
196105;9;1
196106;12.5;1
196107;14;1
196108;13.1;1
196109;13.9;1
196110;11;1
