# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 35110003
# NOM_USUEL= FEINS  SA
# LATITUDE (°) = 48.327
# LONGITUDE(°)= -1.597
# ALTITUDE (m) = 87
# NUM_SERIE= MTN035110003
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196001 201612
# Date(s) de rupture(s) d'homogénéité : 196812 200512
#     Periode homogénéisée  196001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;1.7;1
196002;1;1
196003;5.6;1
196004;5.3;1
196005;9;1
196006;11.8;1
196007;11.7;1
196008;11.8;1
196009;9.9;1
196010;8.7;1
196011;6.3;1
196012;2.6;1
196101;3;1
196102;4.6;1
196103;3.4;1
196104;7.7;1
196105;7.4;1
196106;9.9;1
196107;12.1;1
196108;11.5;1
196109;12.8;1
196110;8.5;1
196111;3.9;1
196112;2.3;1
196201;3.4;1
196202;1.8;1
196203;1.3;1
196204;5.3;1
196205;7.1;1
196206;9;1
196207;12;1
196208;11.6;1
196209;8.9;1
196210;7;1
196211;4.2;1
196212;-1;1
196301;-4.5;1
196302;-3.7;1
196303;3.9;1
196304;6.1;1
196305;7;1
196306;11.8;1
196307;11.7;1
196308;11.6;1
196309;11;1
196310;7.8;1
196311;7;1
196312;-0.4;1
196401;-0.8;1
196402;2.3;1
196403;3.6;1
196404;5.8;1
196405;8.8;1
196406;11;1
196407;11.6;1
196408;11.1;1
196409;10.9;1
196410;6;1
196411;4.5;1
196412;0.2;1
196501;1.9;1
196502;-1.5;1
196503;3.3;1
196504;4.7;1
196505;8.2;1
196506;9.4;1
196507;10.4;1
196508;10.6;1
196509;8.5;1
196510;6.5;1
196511;4.1;1
196512;4.5;1
196601;1.8;1
196602;6.7;1
196603;2.8;1
196604;7.5;1
196605;6.7;1
196606;10.7;1
196607;10.9;1
196608;10.4;1
196609;10.6;1
196610;8.9;1
196611;3.3;1
196612;5.1;1
196701;2.9;1
196702;3.5;1
196703;3.5;1
196704;4;1
196705;6.8;1
196706;9.4;1
196707;12.5;1
196708;11.5;1
196709;11.1;1
196710;9.4;1
196711;4.1;1
196712;1.7;1
196801;3.4;1
196802;0.8;1
196803;3.2;1
196804;4.6;1
196805;6.4;1
196806;11;1
196807;12;1
196808;12.7;1
196809;10.4;1
196810;10.3;1
196811;5.3;1
196812;1.9;1
196901;3.7;1
196902;0.3;1
196903;3.8;1
196904;4.9;1
196905;8.2;1
196906;9.8;1
196907;12.8;1
196908;12.4;1
196909;12.2;1
196910;7.8;1
196911;4.4;1
196912;1.2;1
197001;2.8;1
197002;2.5;1
197003;2.2;1
197004;4.3;1
197005;8.1;1
197006;12.8;1
197007;10.4;1
197008;12.9;1
197009;11.3;1
197010;6.9;1
197011;6.4;1
197012;0.1;1
197101;1.7;1
197102;0.7;1
197103;0.7;1
197104;5.2;1
197105;8.8;1
197106;9.8;1
197107;12.9;1
197108;12.4;1
197109;9.1;1
197110;5.9;1
197111;2.4;1
197112;3;1
197201;2.1;1
197202;3.5;1
197203;3.2;1
197204;5.7;1
197205;6.9;1
197206;8.2;1
197207;11.7;1
197208;9.9;1
197209;8.1;1
197210;6.5;1
197211;4.5;1
197212;3.1;1
197301;1.8;1
197302;1.2;1
197303;0.5;1
197304;3;1
197305;8.5;1
197306;10.1;1
197307;11.8;1
197308;13.3;1
197309;11.8;1
197310;6.6;1
197311;4.4;1
197312;2.4;1
197401;4.2;1
197402;2.8;1
197403;3.5;1
197404;4.5;1
197405;7.3;1
197406;9.5;1
197407;11.9;1
197408;11.1;1
197409;9.9;1
197410;5.6;1
197411;6.2;1
197412;6.4;1
197501;4.4;1
197502;1.9;1
197503;2.9;1
197504;4.8;1
197505;7.6;1
197506;10;1
197507;12.8;1
197508;13.9;1
197509;10.4;1
197510;5.9;1
197511;4.5;1
197512;0.7;1
197601;3.8;1
197602;2.1;1
197603;1.5;1
197604;3.2;1
197605;6.9;1
197606;10.6;1
197607;13.9;1
197608;11.3;1
197609;10.5;1
197610;9.2;1
197611;4.8;1
197612;1.4;1
197701;1.9;1
197702;4.3;1
197703;4.6;1
197704;3.8;1
197705;8;1
197706;10.4;1
197707;12.6;1
197708;10.6;1
197709;8.7;1
197710;8.7;1
197711;4.8;1
197712;3.5;1
197801;1.5;1
197802;2.5;1
197803;4.7;1
197804;4.6;1
197805;8.3;1
197806;9.9;1
197807;11.6;1
197808;10.1;1
197809;9.1;1
197810;7.9;1
197811;4.6;1
197812;3.9;1
197901;-2.7;1
197902;1.9;1
197903;3.7;1
197904;4.7;1
197905;6.7;1
197906;10.5;1
197907;11.5;1
197908;10.9;1
197909;9.4;1
197910;8.9;1
197911;4.4;1
197912;4.6;1
198001;-0.1;1
198002;4;1
198003;3.2;1
198004;4.7;1
198005;6.6;1
198006;10.4;1
198007;11.9;1
198008;11.9;1
198009;10.7;1
198010;7;1
198011;3.2;1
198012;2.3;1
198101;2.6;1
198102;0.3;1
198103;7.2;1
198104;5.7;1
198105;8.8;1
198106;10.2;1
198107;12;1
198108;11.9;1
198109;10.7;1
198110;8.2;1
198111;6.3;1
198112;2.6;1
198201;3.5;1
198202;3.3;1
198203;3;1
198204;4.1;1
198205;8.3;1
198206;12.4;1
198207;13.7;1
198208;12.1;1
198209;10.8;1
198210;8;1
198211;6.2;1
198212;3.4;1
198301;4.4;1
198302;0.9;1
198303;3.9;1
198304;4.9;1
198305;7.5;1
198306;11.5;1
198307;15.7;1
198308;13.8;1
198309;11.3;1
198310;6.6;1
198311;5.4;1
198312;1.8;1
198401;2.8;1
198402;1.8;1
198403;1.8;1
198404;4.2;1
198405;7.1;1
198406;9.7;1
198407;11.9;1
198408;12.2;1
198409;10.2;1
198410;8.3;1
198411;6.7;1
198412;2.9;1
198501;-2.6;1
198502;0.3;1
198503;1.9;1
198504;5.7;1
198505;9.1;1
198506;10.4;1
198507;12.2;1
198508;11.2;1
198509;10.8;1
198510;6.1;1
198511;2.9;1
198512;4.3;1
198601;2.9;1
198602;-2.8;1
198603;2.7;1
198604;3.2;1
198605;7.8;1
198606;11.1;1
198607;11.8;1
198608;10.5;1
198609;7.8;1
198610;9.3;1
198611;6.4;1
198612;4.1;1
198701;-2.1;1
198702;2;1
198703;2.4;1
198704;7.1;1
198705;7.2;1
198706;10.6;1
198707;12.9;1
198708;12;1
198709;12.3;1
198710;8.2;1
198711;4.4;1
198712;4;1
198801;4.7;1
198802;1.9;1
198803;4.7;1
198804;6.4;1
198805;8.7;1
198806;11.2;1
198807;11.3;1
198808;12;1
198809;11.4;1
198810;8.9;1
198811;2.5;1
198812;5.6;1
198901;1.9;1
198902;3.1;1
198903;5.7;1
198904;3.8;1
198905;9.6;1
198906;10.3;1
198907;13.3;1
198908;11.4;1
198909;10.5;1
198910;9.6;1
198911;4.4;1
198912;3.4;1
199001;4.1;1
199002;6.6;1
199003;4.1;1
199004;5.1;1
199005;9.9;1
199006;10;1
199007;12.6;1
199008;12.6;1
199009;9.2;1
199010;9.6;1
199011;4.9;1
199012;1.8;1
199101;1.9;1
199102;-1.5;1
199103;5.9;1
199104;4.1;1
199105;7.6;1
199106;9.6;1
199107;13;1
199108;12.8;1
199109;11.5;1
199110;7.4;1
199111;5.1;1
199112;1.4;1
199201;0.9;1
199202;1.5;1
199203;4.2;1
199204;4.2;1
199205;8.9;1
199206;11.2;1
199207;11.7;1
199208;13.2;1
199209;9.8;1
199210;6.2;1
199211;7.4;1
199212;3.3;1
199301;5;1
199302;1.5;1
199303;3.3;1
199304;6.7;1
199305;8.7;1
199306;11.2;1
199307;11.4;1
199308;10.6;1
199309;9.7;1
199310;7.3;1
199311;1.7;1
199312;5;1
199401;4.3;1
199402;3.4;1
199403;5.9;1
199404;5.2;1
199405;8.9;1
199406;11.5;1
199407;14.1;1
199408;13;1
199409;10.8;1
199410;7.6;1
199411;8.4;1
199412;5.5;1
199501;3;1
199502;5.9;1
199503;3.3;1
199504;5.9;1
199505;8;1
199506;10.3;1
199507;14.5;1
199508;14.2;1
199509;10.1;1
199510;10.3;1
199511;4.5;1
199512;2;1
199601;4.1;1
199602;0.8;1
199603;3.1;1
199604;5.5;1
199605;7.6;1
199606;11.2;1
199607;12;1
199608;11.5;1
199609;7.9;1
199610;8.8;1
199611;4.5;1
199612;0.6;1
199701;0;1
199702;4.5;1
199703;5;1
199704;3.2;1
199705;8.4;1
199706;11.2;1
199707;11.7;1
199708;15.5;1
199709;8.7;1
199710;8.1;1
199711;6.2;1
199712;4;1
199801;2.4;1
199802;2;1
199803;5.3;1
199804;5.4;1
199805;9.7;1
199806;11.4;1
199807;11.9;1
199808;10.7;1
199809;12.3;1
199810;9.6;1
199811;3.3;1
199812;3.8;1
199901;4.3;1
199902;3.6;1
199903;4.8;1
199904;6.7;1
199905;10;1
199906;10.5;1
199907;13.6;1
199908;12.8;1
199909;12;1
199910;8.5;1
199911;4.7;1
199912;3.4;1
200001;1.6;1
200002;4;1
200003;2.7;1
200004;5.1;1
200005;10.6;1
200006;12.4;1
200007;12.6;1
200008;13.4;1
200009;11.1;1
200010;8.2;1
200011;5.7;1
200012;5.8;1
200101;2.9;1
200102;3;1
200103;6.3;1
200104;5.4;1
200105;8.9;1
200106;10;1
200107;12.7;1
200108;13.4;1
200109;9.5;1
200110;11.3;1
200111;3.5;1
200112;0.4;1
200201;4.5;1
200202;5.3;1
200203;5;1
200204;5.2;1
200205;7.9;1
200206;11.2;1
200207;12;1
200208;12.3;1
200209;9.1;1
200210;7.9;1
200211;7.3;1
200212;5.9;1
200301;1.2;1
200302;1.6;1
200303;5.1;1
200304;5.2;1
200305;8.3;1
200306;12.1;1
200307;12.8;1
200308;14.6;1
200309;9.4;1
200310;7;1
200311;6;1
200312;3.1;1
200401;3.4;1
200402;2.2;1
200403;2.4;1
200404;4.8;1
200405;7.8;1
200406;11.2;1
200407;12.2;1
200408;14.3;1
200409;11.2;1
200410;8.3;1
200411;6.2;1
200412;2.7;1
200501;4;1
200502;1.6;1
200503;4.3;1
200504;5.8;1
200505;8.9;1
200506;11.8;1
200507;13.6;1
200508;11.1;1
200509;10.9;1
200510;11.2;1
200511;4.3;1
200512;1.5;1
200601;1.4;1
200602;0.9;1
200603;3.4;1
200604;5.3;1
200605;9.7;1
200606;12.2;1
200607;15;1
200608;12.4;1
200609;13.8;1
200610;11.7;1
200611;5.8;1
200612;3.4;1
200701;5.2;1
200702;5.3;1
200703;3;1
200704;7.7;1
200705;10.3;1
200706;12.2;1
200707;13;1
200708;11.6;1
200709;8.8;1
200710;6.9;1
200711;4.6;1
200712;2.1;1
200801;3.9;1
200802;3.2;1
200803;4;1
200804;4.8;1
200805;10.6;1
200806;11.1;1
200807;12.1;1
