# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 38366001
# NOM_USUEL= ST-BAUDILLE
# LATITUDE (°) = 44.796
# LONGITUDE(°)= 5.796
# ALTITUDE (m) = 1040
# NUM_SERIE= MTN038366001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196101 202012
# Date(s) de rupture(s) d'homogénéité : 197112 198812 199712 200412 200812
#     Periode homogénéisée  196101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;-4.4;1
196102;-0.6;1
196103;-0.3;1
196104;4.7;1
196105;3.7;1
196106;9.2;1
196107;9;1
196108;9.7;1
196109;11.2;1
196110;5.2;1
196111;0.3;1
196112;-1.8;1
196201;-2.2;1
196202;-5;1
196203;-4;1
196204;0.7;1
196205;3.7;1
196206;7.1;1
196207;9.7;1
196208;11;1
196209;8.7;1
196210;5.8;1
196211;-1.6;1
196212;-6.7;1
196301;-9.1;1
196302;-8.5;1
196303;-1.9;1
196304;1.9;1
196305;4.4;1
196306;8.3;1
196307;11.7;1
196308;8.9;1
196309;8.2;1
196310;4.6;1
196311;3.9;1
196312;-4.2;1
196401;-6.1;1
196402;-2.3;1
196403;-2.4;1
196404;2.4;1
196405;6.7;1
196406;9.1;1
196407;10.8;1
196408;10.2;1
196409;9.2;1
196410;2.3;1
196411;-0.2;1
196412;-4;1
196501;-4.7;1
196502;-8.6;1
196503;-1.7;1
196504;0.7;1
196505;3.9;1
196506;8.5;1
196507;9.5;1
196508;8.9;1
196509;6.3;1
196510;6;1
196511;1.7;1
196512;-1.4;1
196601;-4.3;1
196602;1.4;1
196603;-3;1
196604;2.6;1
196605;4.9;1
196606;8.8;1
196607;9.3;1
196608;8.8;1
196609;9.3;1
196610;5.9;1
196611;-2.9;1
196612;-3.7;1
196701;-4.8;1
196702;-2.8;1
196703;-0.4;1
196704;-0.3;1
196705;4.1;1
196706;7;1
196707;11.8;1
196708;10.9;1
196709;7.9;1
196710;5.7;1
196711;0.6;1
196712;-6.8;1
196801;-6.4;1
196802;-2.4;1
196803;-2.3;1
196804;3.1;1
196805;4.9;1
196806;7.3;1
196807;10.5;1
196808;9.6;1
196809;7.5;1
196810;6;1
196811;0.6;1
196812;-3;1
196901;-3.9;1
196902;-7;1
196903;-1;1
196904;1.5;1
196905;5.2;1
196906;7.2;1
196907;10.2;1
196908;10.4;1
196909;9;1
196910;5.5;1
196911;-0.4;1
196912;-8.1;1
197001;-2.7;1
197002;-3.8;1
197003;-5.4;1
197004;-1.2;1
197005;4;1
197006;9.8;1
197007;9.8;1
197008;11;1
197009;9.2;1
197010;3.5;1
197011;0.9;1
197012;-4.6;1
197101;-6;1
197102;-4.8;1
197103;-6.3;1
197104;3.5;1
197105;5.7;1
197106;7.2;1
197107;11.2;1
197108;12.9;1
197109;8.7;1
197110;5.3;1
197111;-2.6;1
197112;-3.1;1
197201;-3.6;1
197202;-1.4;1
197203;-1;1
197204;0.5;1
197205;4.1;1
197206;7;1
197207;10;1
197208;9.6;1
197209;5.1;1
197210;4.5;1
197211;1.5;1
197212;-0.8;1
197301;-4.9;1
197302;-6;1
197303;-4;1
197304;-2.1;1
197305;6.8;1
197306;9.4;1
197307;10.2;1
197308;11.8;1
197309;9;1
197310;2.7;1
197311;-0.4;1
197312;-3.5;1
197401;-1.2;1
197402;-1.6;1
197403;-0.1;1
197404;1.2;1
197405;5.2;1
197406;7.7;1
197407;10.2;1
197408;10.9;1
197409;7.7;1
197410;0;1
197411;0.6;1
197412;-1.4;1
197501;-1.6;1
197502;-2.7;1
197503;-2.5;1
197504;0.4;1
197505;4.6;1
197506;7.5;1
197507;10.5;1
197508;11.3;1
197509;10.1;1
