# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 42098001
# NOM_USUEL= FOURNEAUX
# LATITUDE (°) = 45.941
# LONGITUDE(°)= 4.269
# ALTITUDE (m) = 510
# NUM_SERIE= MTN042098001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195601 201512
# Date(s) de rupture(s) d'homogénéité : 196612 197312 198512
#     Periode homogénéisée  195601 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;0.4;1
195602;-11.9;1
195603;0.8;1
195604;2.3;1
195605;7.4;1
195606;8.2;1
195607;11;1
195608;10.4;1
195609;11.2;1
195610;5;1
195611;-0.1;1
195612;1.6;1
195701;-3.2;1
195702;3.2;1
195703;3.5;1
195704;3.4;1
195705;4.4;1
195706;10.5;1
195707;12.7;1
195708;10.8;1
195709;9;1
195710;4.9;1
195711;2.2;1
195712;-2;1
195801;-0.3;1
195802;2.1;1
195803;-0.1;1
195804;1.7;1
195805;8.5;1
195806;9.8;1
195807;11.7;1
195808;12.4;1
195809;12.1;1
195810;5.1;1
195811;1.7;1
195812;0;1
195901;-2;1
195902;-1.4;1
195903;3.2;1
195904;4.7;1
195905;7.5;1
195906;10.5;1
195907;13.7;1
195908;11.5;1
195909;11.8;1
195910;6.6;1
195911;2.8;1
195912;2.3;1
196001;-2;1
196002;0.2;1
196003;3.4;1
196004;3.5;1
196005;7.9;1
196006;10.9;1
196007;10.9;1
196008;12;1
196009;9;1
196010;6.7;1
196011;4;1
196012;-1.1;1
196101;-0.3;1
196102;3.2;1
196103;0.8;1
196104;7.2;1
196105;6.2;1
196106;11.2;1
196107;12.1;1
196108;11.3;1
196109;13.9;1
196110;7.3;1
196111;1.8;1
196112;-0.1;1
196201;1;1
196202;-2.4;1
196203;-1.9;1
196204;3.2;1
196205;6.4;1
196206;8.2;1
196207;11.5;1
196208;12.7;1
196209;9.2;1
196210;5.9;1
196211;0.9;1
196212;-3.8;1
196301;-6.7;1
196302;-5.7;1
196303;1.6;1
196304;4.5;1
196305;5.9;1
