# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 44110002
# NOM_USUEL= NORT-SUR-ERDRE
# LATITUDE (°) = 47.425
# LONGITUDE(°)= -1.514
# ALTITUDE (m) = 13
# NUM_SERIE= MTN044110002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195601 201612
# Date(s) de rupture(s) d'homogénéité : 196312 197004 198911 199512 200404
#     Periode homogénéisée  195601 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;3;1
195602;-5.8;1
195603;3.6;1
195604;3.2;1
195605;8.2;1
195606;9.7;1
195607;12.9;1
195608;10.2;1
195609;13;1
195610;7.3;1
195611;3.3;1
195612;5;1
195701;0.6;1
195702;4.7;1
195703;6.3;1
195704;5.7;1
195705;7.1;1
195706;11.8;1
195707;14;1
195708;12.8;1
195709;11.2;1
195710;8.1;1
195711;4.7;1
195712;1.5;1
195801;3.1;1
195802;4.7;1
195803;2.6;1
195804;4.2;1
195805;8.7;1
195806;10.5;1
195807;12.8;1
195808;12.4;1
195809;12.7;1
195810;8.5;1
195811;6;1
195812;2.7;1
195901;0.8;1
195902;1.3;1
195903;4.6;1
195904;6.8;1
195905;8.8;1
195906;10.7;1
195907;12.4;1
195908;12.2;1
195909;11.5;1
195910;7.7;1
195911;5.8;1
195912;3.9;1
196001;1.7;1
196002;1.7;1
196003;5.6;1
196004;4.8;1
196005;8.4;1
196006;11.4;1
196007;11.6;1
196008;10.8;1
196009;10.3;1
196010;7.3;1
196011;6;1
196012;2.2;1
196101;2.2;1
196102;5.7;1
196103;3.7;1
196104;7.3;1
196105;7.3;1
196106;10;1
196107;12.5;1
196108;11.1;1
196109;13.9;1
196110;9.4;1
196111;5.6;1
196112;3.5;1
196201;3.8;1
196202;2.1;1
196203;1.6;1
196204;5.4;1
196205;6.9;1
196206;9.2;1
196207;12;1
196208;12.3;1
196209;10.6;1
196210;8;1
196211;4.9;1
196212;0.2;1
196301;-3.3;1
196302;-2.4;1
196303;4.5;1
196304;5.3;1
196305;6.9;1
196306;10.4;1
196307;12.4;1
196308;11.6;1
196309;10.9;1
196310;8;1
196311;7.5;1
196312;-0.3;1
196401;-0.9;1
196402;2.7;1
196403;3.4;1
196404;5.1;1
196405;8.8;1
196406;10.5;1
196407;11.7;1
196408;11.9;1
196409;11.3;1
196410;7.2;1
196411;3.8;1
196412;1.7;1
196501;2.1;1
196502;-0.6;1
196503;4;1
196504;4.8;1
196505;8.2;1
196506;10;1
196507;10.8;1
196508;11.9;1
196509;9.2;1
196510;8.6;1
196511;4.8;1
196512;4.9;1
196601;1.7;1
196602;6.5;1
196603;2.3;1
196604;7.6;1
196605;7.7;1
196606;11.7;1
196607;11.6;1
196608;11.7;1
196609;12.1;1
196610;9.7;1
196611;3;1
196612;5.2;1
196701;3.2;1
196702;3.7;1
196703;3.7;1
196704;5.1;1
196705;7.2;1
196706;10.2;1
196707;12.8;1
196708;12.1;1
196709;10.6;1
196710;9.6;1
196711;4.1;1
196712;1.8;1
196801;2.5;1
196802;1.3;1
196803;2.7;1
196804;4.5;1
196805;6.4;1
196806;10.7;1
196807;12.3;1
196808;13;1
196809;10.1;1
196810;9.7;1
196811;4.8;1
196812;2.5;1
196901;3.3;1
196902;0.4;1
196903;4;1
196904;5.8;1
196905;8.3;1
196906;10;1
196907;12.9;1
196908;12.2;1
196909;11.8;1
196910;7.9;1
196911;5.2;1
196912;1.5;1
197001;2.3;1
197002;3.8;1
197003;2.5;1
197004;4.2;1
197005;6.9;1
197006;12.6;1
197007;11.8;1
