# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 45270002
# NOM_USUEL= ST-BENOIT/LOIRE
# LATITUDE (°) = 47.808
# LONGITUDE(°)= 2.306
# ALTITUDE (m) = 112
# NUM_SERIE= MTN045270002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195801 202212
# Date(s) de rupture(s) d'homogénéité : 197010 197312 199112 199912 200504 200912
#     Periode homogénéisée  195801 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;0.2;1
195802;3.8;1
195803;0.7;1
195804;3.7;1
195805;9.5;1
195806;11.5;1
195807;13.3;1
195808;14.1;1
195809;12.8;1
195810;7.6;1
195811;3.5;1
195812;2.2;1
195901;0.8;1
195902;-1;1
195903;3.3;1
195904;5.6;1
195905;8.5;1
195906;11.1;1
195907;13.6;1
195908;13.3;1
195909;9.7;1
195910;6.3;1
195911;3.6;1
195912;3.9;1
196001;-0.3;1
196002;0.6;1
196003;3.7;1
196004;4.7;1
196005;8.6;1
196006;11.7;1
196007;12;1
196008;12.7;1
196009;9;1
196010;7.7;1
196011;5.9;1
196012;0.8;1
196101;1.2;1
196102;3;1
196103;1.8;1
196104;7.4;1
196105;7.3;1
196106;10.9;1
196107;11.6;1
196108;11.5;1
196109;12.9;1
196110;8.4;1
196111;3.4;1
196112;1.2;1
196201;2.3;1
196202;0.3;1
196203;0.2;1
196204;5.7;1
196205;7.8;1
196206;9.1;1
196207;11.7;1
196208;11.8;1
196209;8.6;1
196210;6.4;1
196211;2;1
196212;-2.8;1
196301;-5.4;1
196302;-6.3;1
196303;2.8;1
196304;5.7;1
196305;7.4;1
196306;12.2;1
196307;12.6;1
196308;12.9;1
196309;11.5;1
196310;6.5;1
196311;5.7;1
196312;-2;1
196401;-2.4;1
196402;2.2;1
196403;2.7;1
196404;5;1
196405;8.9;1
196406;11;1
196407;12.6;1
196408;12.7;1
196409;11.7;1
196410;5.8;1
196411;4.8;1
196412;-0.1;1
196501;1.3;1
196502;-1.6;1
196503;3.1;1
196504;5.2;1
196505;8.7;1
196506;11.6;1
196507;11.6;1
196508;12;1
196509;9.5;1
196510;6.5;1
196511;3.5;1
196512;3.8;1
196601;-0.9;1
196602;5.4;1
196603;1.5;1
196604;7.4;1
196605;8.6;1
196606;12.5;1
196607;12.4;1
196608;12.3;1
196609;10.6;1
196610;10;1
196611;2.2;1
196612;3.5;1
196701;0.6;1
196702;2.4;1
196703;3.4;1
196704;3.5;1
196705;7.5;1
196706;10.1;1
196707;13.9;1
196708;12.4;1
196709;10.9;1
196710;9.2;1
196711;3.3;1
196712;0.3;1
196801;1.1;1
196802;1.3;1
196803;3.6;1
196804;4.4;1
196805;7.5;1
196806;10.9;1
196807;12.6;1
196808;12.2;1
196809;10.6;1
196810;9.3;1
196811;2.2;1
196812;0.4;1
196901;2.1;1
196902;-0.8;1
196903;3.5;1
196904;4.9;1
196905;8.3;1
196906;10.7;1
196907;14.1;1
196908;12.4;1
196909;11.3;1
196910;5.7;1
196911;3.7;1
196912;-1.8;1
197001;0.6;1
197002;1.9;1
197003;1.7;1
197004;3.8;1
197005;8.5;1
197006;13.2;1
197007;12.3;1
197008;13.3;1
197009;10.5;1
197010;6;1
197011;4.9;1
197012;-0.1;1
197101;-0.1;1
197102;1.2;1
197103;0.2;1
197104;5.7;1
197105;9.5;1
197106;11.6;1
197107;13.1;1
197108;12.9;1
197109;8.7;1
197110;5.4;1
197111;1.6;1
197112;1.3;1
197201;0.3;1
197202;2.3;1
197203;3;1
197204;5.6;1
197205;7.8;1
197206;9;1
197207;12.6;1
197208;11.5;1
197209;7.2;1
197210;4.6;1
197211;3.3;1
197212;1;1
197301;-0.4;1
197302;0.3;1
197303;-0.4;1
197304;1.8;1
197305;8.9;1
197306;11.5;1
197307;13.6;1
197308;14.4;1
197309;11.4;1
197310;5.5;1
197311;2.4;1
197312;1;1
197401;3.3;1
197402;1.7;1
197403;4.6;1
197404;3.8;1
197405;7.1;1
197406;10.4;1
197407;11.4;1
197408;12.7;1
197409;10;1
197410;4.8;1
197411;4.9;1
197412;4.3;1
197501;3.7;1
197502;0.7;1
197503;2.4;1
197504;4.8;1
197505;7.6;1
197506;10.2;1
197507;12.8;1
197508;14.4;1
197509;11.3;1
197510;5.6;1
197511;2.8;1
197512;-0.6;1
197601;1.4;1
197602;1.1;1
197603;0.7;1
197604;3.2;1
197605;7.2;1
197606;11.6;1
197607;14.7;1
197608;11.7;1
197609;9.3;1
197610;8.6;1
197611;3.8;1
197612;0.9;1
197701;1.3;1
197702;4.6;1
197703;3.7;1
197704;3.6;1
197705;8.3;1
197706;11;1
197707;13.5;1
197708;11.5;1
197709;8;1
197710;8.5;1
197711;4.5;1
197712;2.1;1
197801;0.8;1
197802;1.3;1
197803;3.7;1
197804;3.9;1
197805;8.3;1
197806;10.6;1
197807;12.6;1
197808;10.8;1
197809;8.1;1
197810;5;1
197811;1;1
197812;3.4;1
197901;-3.8;1
197902;1.1;1
197903;3.4;1
197904;4.6;1
197905;7.6;1
197906;11.4;1
197907;11.8;1
197908;12.4;1
197909;9.4;1
197910;7.9;1
197911;2.8;1
197912;3.4;1
198001;-0.8;1
198002;3.1;1
198003;2.7;1
198004;4.2;1
198005;6.5;1
198006;10.1;1
198007;11.9;1
198008;13.9;1
198009;10;1
198010;5.9;1
198011;1;1
198012;0;1
198101;0.3;1
198102;-1.1;1
198103;6.5;1
198104;5.8;1
198105;8.9;1
198106;10.9;1
198107;12.8;1
198108;12.9;1
198109;10.8;1
198110;7.5;1
198111;4.1;1
198112;2.2;1
198201;2.3;1
198202;1.9;1
198203;2.4;1
198204;3.6;1
198205;8.2;1
198206;13.6;1
198207;14.1;1
198208;12.7;1
198209;11.5;1
198210;8.3;1
198211;5.3;1
198212;2.7;1
198301;2;1
198302;-0.8;1
198303;2.9;1
198304;4.1;1
198305;7.5;1
198306;12.1;1
198307;16.6;1
198308;13.6;1
198309;10.2;1
198310;5.9;1
198311;2.2;1
198312;0.7;1
198401;1.6;1
198402;0.9;1
198403;0.3;1
198404;2.7;1
198405;6.3;1
198406;10.4;1
198407;11.7;1
198408;12.7;1
198409;11.1;1
198410;9.1;1
198411;6.5;1
198412;1.4;1
198501;-4.8;1
198502;-1.2;1
198503;1.1;1
198504;5.7;1
198505;9;1
198506;10.5;1
198507;13.6;1
198508;11.9;1
198509;10;1
198510;6.2;1
198511;1.3;1
198512;2.3;1
198601;1.1;1
198602;-5.5;1
198603;0.8;1
198604;3;1
198605;9.2;1
198606;12.4;1
198607;12.3;1
198608;12.1;1
198609;7.2;1
198610;8.2;1
198611;4.5;1
198612;1.7;1
198701;-4.8;1
198702;0.3;1
198703;0.8;1
198704;6.1;1
198705;6.8;1
198706;11;1
198707;13.6;1
198708;12.8;1
198709;13.5;1
198710;8.7;1
198711;3.5;1
198712;1.9;1
198801;4.3;1
198802;1.3;1
198803;3.4;1
198804;5.5;1
198805;10.2;1
198806;11.7;1
198807;12.2;1
