# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 51262001
# NOM_USUEL= FRIGNICOURT
# LATITUDE (°) = 48.701
# LONGITUDE(°)= 4.618
# ALTITUDE (m) = 113
# NUM_SERIE= MTN051262001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195401 201512
# Date(s) de rupture(s) d'homogénéité : 196012 197403 198512
#     Periode homogénéisée  195401 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;-3.2;1
195402;-2.5;1
195403;2.4;1
195404;2.6;1
195405;6.7;1
195406;10.8;1
195407;10.5;1
195408;12.5;1
195409;11.6;1
195410;8.8;1
195411;4.3;1
195412;3.1;1
195501;0.2;1
195502;0.1;1
195503;-0.6;1
195504;3.1;1
195505;6.7;1
195506;10.6;1
195507;13.5;1
195508;11.6;1
195509;9.5;1
195510;4.2;1
195511;1.5;1
195512;2.6;1
195601;-0.1;1
195602;-12.2;1
195603;1.9;1
195604;2.7;1
195605;7.6;1
195606;9.3;1
195607;13.2;1
195608;10.2;1
195609;11.8;1
195610;5.3;1
195611;0;1
195612;1.7;1
195701;-2.1;1
195702;3.2;1
195703;4.1;1
195704;2.9;1
195705;4.5;1
195706;11.1;1
195707;13.6;1
195708;11.4;1
195709;10.1;1
195710;5.3;1
195711;3.6;1
195712;0;1
195801;0.2;1
195802;2.7;1
195803;-0.7;1
195804;2.8;1
195805;9;1
195806;10.5;1
195807;12.5;1
195808;13.4;1
195809;12.1;1
195810;7.2;1
195811;3.3;1
195812;2;1
195901;0;1
195902;-2.1;1
195903;3.3;1
195904;5.2;1
195905;8.5;1
195906;11.2;1
195907;13.4;1
195908;12.9;1
195909;8.9;1
195910;4.3;1
195911;2.5;1
195912;2.9;1
196001;-0.2;1
196002;0.9;1
196003;4.1;1
196004;4.4;1
196005;8.2;1
196006;11.6;1
196007;11.3;1
196008;12;1
196009;8.6;1
196010;7.3;1
196011;5.1;1
196012;0.7;1
196101;0.1;1
196102;2.8;1
196103;1.4;1
196104;7.7;1
196105;6.6;1
196106;10.3;1
196107;10.5;1
196108;11.6;1
196109;12.9;1
196110;8.1;1
196111;2.5;1
196112;0.8;1
196201;1.9;1
196202;0.1;1
196203;-1.2;1
196204;5.2;1
196205;6.4;1
196206;8.9;1
196207;11.2;1
196208;13.7;1
196209;8.8;1
196210;5.2;1
196211;1.6;1
196212;-3.4;1
196301;-5.9;1
196302;-5.9;1
196303;1.6;1
196304;5.4;1
196305;6.6;1
196306;11.8;1
196307;12.2;1
196308;12;1
196309;10.2;1
196310;5.6;1
196311;5.9;1
196312;-3.1;1
196401;-2.6;1
196402;2.4;1
196403;1.9;1
196404;5.3;1
196405;9.3;1
196406;10.7;1
196407;12.5;1
196408;12.1;1
196409;10.7;1
196410;5.1;1
196411;4.5;1
196412;-0.5;1
196501;1.6;1
196502;-2;1
196503;2.5;1
196504;4.4;1
196505;8;1
196506;10.9;1
196507;11.5;1
196508;11.3;1
196509;9.2;1
196510;5.2;1
196511;2.5;1
196512;3;1
196601;-2.1;1
196602;5.4;1
196603;1.6;1
196604;6.5;1
196605;9;1
196606;12.7;1
196607;11.7;1
196608;11.8;1
196609;10.6;1
196610;9.4;1
196611;1.7;1
196612;2.5;1
196701;0.1;1
196702;2.1;1
196703;3.2;1
196704;2.9;1
196705;7.5;1
196706;10.2;1
196707;13.1;1
196708;12.8;1
196709;10.7;1
196710;9.2;1
196711;3;1
196712;-0.7;1
196801;-0.4;1
196802;1.2;1
196803;2.7;1
196804;5.3;1
196805;7.6;1
196806;10.1;1
196807;11.9;1
196808;12.3;1
196809;10.4;1
196810;8.9;1
196811;2.2;1
196812;-1;1
196901;1.5;1
196902;-1.6;1
196903;2.4;1
196904;4.7;1
196905;8.4;1
196906;9.8;1
196907;13.6;1
196908;12.1;1
196909;10.6;1
196910;6.2;1
196911;3.7;1
196912;-2.3;1
197001;0.8;1
197002;1.1;1
197003;0.9;1
197004;4.1;1
197005;8.3;1
197006;12.9;1
197007;11.5;1
197008;12.7;1
197009;10.1;1
197010;7.1;1
197011;4.3;1
197012;-0.3;1
197101;-0.9;1
197102;0.4;1
197103;-0.8;1
197104;4.2;1
197105;9.1;1
197106;10.2;1
197107;12.7;1
197108;12.9;1
197109;7.9;1
197110;4.5;1
197111;1;1
197112;1.4;1
197201;-0.4;1
197202;1.8;1
197203;1.8;1
197204;4.6;1
197205;7.7;1
197206;9.2;1
197207;12.8;1
197208;11.7;1
197209;6.9;1
197210;4.3;1
197211;2.6;1
197212;0.8;1
197301;-1.2;1
197302;-0.1;1
197303;-0.1;1
197304;2.6;1
197305;8.9;1
197306;11.8;1
197307;12.9;1
197308;14.2;1
197309;10.5;1
197310;5.1;1
197311;1.2;1
197312;-0.2;1
197401;3.5;1
197402;2;1
197403;3.5;1
197404;3.4;1
197405;7.2;1
197406;10.3;1
197407;10.8;1
197408;12.8;1
197409;10.1;1
197410;4.9;1
197411;4.2;1
197412;4;1
197501;3.2;1
197502;-0.7;1
197503;1.8;1
197504;4.9;1
197505;7.4;1
197506;10.9;1
197507;13.2;1
197508;14.4;1
197509;11.4;1
197510;5.2;1
197511;2.8;1
197512;-0.2;1
197601;0.6;1
197602;-0.2;1
197603;-1;1
197604;2.3;1
197605;6.6;1
197606;11;1
197607;14.7;1
197608;10.8;1
197609;9.6;1
197610;8.2;1
197611;3.8;1
197612;-1.5;1
197701;1.6;1
197702;3.2;1
197703;3.3;1
197704;2.3;1
197705;7.6;1
197706;11.2;1
197707;12.7;1
197708;11.4;1
197709;7;1
197710;7.5;1
197711;3.9;1
197712;1.9;1
197801;0.8;1
197802;-0.4;1
197803;3.5;1
197804;3.8;1
197805;8.2;1
197806;10.3;1
197807;11.6;1
197808;10.2;1
197809;8.2;1
197810;5.5;1
197811;0.7;1
197812;1.6;1
197901;-4.9;1
197902;0.3;1
197903;3;1
197904;4.4;1
197905;7.5;1
197906;12.5;1
197907;11.7;1
197908;11.7;1
197909;8.5;1
197910;7.9;1
197911;2.6;1
197912;3.2;1
198001;-1.5;1
198002;3.1;1
198003;2.6;1
198004;4;1
198005;7.2;1
198006;10;1
198007;11.4;1
198008;12.6;1
198009;10.2;1
198010;5.6;1
198011;1.2;1
198012;-0.3;1
198101;0.2;1
198102;-1.3;1
198103;6.6;1
198104;5.7;1
198105;9.1;1
198106;10.7;1
198107;12.4;1
198108;13;1
198109;10.3;1
198110;7.4;1
198111;3.6;1
198112;1.3;1
198201;0.1;1
198202;0.3;1
198203;2;1
198204;3.6;1
198205;7.8;1
198206;12.9;1
198207;13.9;1
198208;12.2;1
198209;10.3;1
198210;7.8;1
198211;4.3;1
198212;2.4;1
198301;2.3;1
198302;-1.6;1
198303;1.9;1
198304;4.7;1
198305;7.2;1
198306;11.6;1
198307;15.2;1
198308;13.3;1
198309;9.6;1
198310;6.2;1
198311;1.3;1
198312;0.3;1
198401;1.7;1
198402;0.8;1
198403;-0.5;1
198404;3.1;1
198405;6.9;1
198406;10;1
198407;11.5;1
198408;11.7;1
198409;10.5;1
198410;8;1
198411;6;1
198412;0.9;1
198501;-6.6;1
198502;-3;1
198503;1.4;1
198504;4.9;1
198505;9.1;1
198506;9.9;1
198507;12.6;1
198508;10.8;1
198509;9.1;1
198510;4.8;1
198511;0.3;1
198512;1.7;1
198601;-0.1;1
198602;-6.9;1
198603;0.7;1
198604;3.5;1
198605;9.2;1
198606;11.2;1
198607;11.9;1
198608;11.5;1
198609;7.6;1
198610;7.5;1
198611;3.5;1
198612;0.7;1
198701;-4.6;1
198702;-0.5;1
198703;-0.1;1
198704;5.3;1
198705;5.8;1
198706;10.8;1
198707;12.9;1
198708;12;1
198709;12.6;1
198710;8.1;1
198711;3.8;1
198712;0.9;1
198801;3.5;1
198802;1.2;1
198803;3.3;1
198804;5.1;1
198805;10.1;1
198806;11.1;1
198807;12;1
198808;12.2;1
198809;10.7;1
198810;8.6;1
198811;0.9;1
198812;4;1
198901;0.5;1
198902;-0.1;1
198903;3.8;1
198904;4.3;1
198905;8.9;1
198906;10.6;1
198907;13.9;1
198908;12.7;1
198909;9.7;1
198910;7.6;1
198911;1.1;1
198912;0.7;1
199001;1.7;1
199002;4.1;1
199003;3;1
199004;4;1
199005;8.7;1
199006;11.3;1
199007;11.8;1
199008;12.7;1
199009;7.5;1
199010;8.5;1
199011;4;1
199012;1;1
199101;1.2;1
199102;-3.1;1
199103;5.7;1
199104;3;1
199105;6.2;1
199106;9.8;1
199107;13.5;1
199108;12.4;1
199109;11.4;1
199110;5.7;1
199111;2.9;1
199112;-0.6;1
199201;-0.5;1
199202;-0.1;1
199203;2.8;1
199204;4;1
199205;9.5;1
199206;11.6;1
199207;13.5;1
199208;14.4;1
199209;8.2;1
199210;4.6;1
199211;4.7;1
199212;1.6;1
199301;2.4;1
199302;-0.4;1
199303;0.6;1
199304;6.2;1
199305;9.9;1
199306;12.3;1
199307;12.3;1
199308;11;1
199309;9.9;1
199310;6.9;1
199311;0.3;1
199312;3.5;1
199401;3;1
199402;0.7;1
199403;5.2;1
199404;4.5;1
199405;8.9;1
199406;11.3;1
199407;15.4;1
199408;13.7;1
199409;10.8;1
199410;6;1
199411;7.6;1
199412;3.8;1
199501;1.2;1
199502;4.5;1
199503;1.6;1
199504;5.4;1
199505;8.2;1
199506;11.1;1
199507;15.3;1
199508;14;1
199509;10.1;1
199510;9.8;1
199511;3.9;1
199512;0.3;1
199601;0.3;1
199602;-0.1;1
199603;0.5;1
199604;3.2;1
199605;7.9;1
199606;11.2;1
199607;11.1;1
199608;12.5;1
199609;7.6;1
199610;7;1
199611;3.9;1
199612;-0.5;1
199701;-3.9;1
199702;2.2;1
199703;4.1;1
199704;2.5;1
199705;8.8;1
199706;12.2;1
199707;12.6;1
199708;15.4;1
199709;8.9;1
199710;5.6;1
199711;4.5;1
199712;2.5;1
199801;1.4;1
