# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 52469001
# NOM_USUEL= CHAUMONT-SEMOUTIERS
# LATITUDE (°) = 48.092
# LONGITUDE(°)= 5.046
# ALTITUDE (m) = 294
# NUM_SERIE= MTN052469001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 196212 196912 199112 200712
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-2.6;1
195902;-4;1
195903;2.3;1
195904;3.7;1
195905;5.6;1
195906;9.9;1
195907;11.2;1
195908;10.5;1
195909;6.7;1
195910;2.2;1
195911;0.2;1
195912;1.1;1
196001;-2.7;1
196002;-0.2;1
196003;1.9;1
196004;1.7;1
196005;6;1
196006;9;1
196007;9;1
196008;10.9;1
196009;7.1;1
196010;5.8;1
196011;3.9;1
196012;-1.3;1
196101;-1.4;1
196102;2.1;1
196103;-0.9;1
196104;5.8;1
196105;5;1
196106;8.4;1
196107;8.4;1
196108;9.8;1
196109;11;1
196110;6.2;1
196111;0.7;1
196112;-1.3;1
196201;0.7;1
196202;-2;1
196203;-2.9;1
196204;3.9;1
196205;4.2;1
196206;6.7;1
196207;9;1
196208;10.1;1
196209;6.8;1
196210;3.6;1
196211;-0.7;1
196212;-5;1
196301;-7.5;1
196302;-7.9;1
196303;0.1;1
196304;4;1
196305;5.4;1
196306;10.5;1
196307;10.4;1
196308;11;1
196309;8.9;1
196310;4.3;1
196311;4.8;1
196312;-4.7;1
196401;-4.6;1
196402;1.3;1
196403;1;1
196404;3.5;1
196405;6.5;1
196406;8.2;1
196407;10.2;1
196408;10.2;1
196409;8.4;1
196410;3.8;1
196411;2.7;1
196412;-3.1;1
196501;-0.4;1
196502;-4.5;1
196503;0.3;1
196504;2.6;1
196505;5.9;1
196506;9.2;1
196507;10.5;1
196508;10.3;1
196509;7.9;1
196510;3.5;1
196511;0.7;1
196512;0.7;1
196601;-4.7;1
196602;3.3;1
196603;-0.4;1
196604;4.8;1
196605;6.7;1
196606;10.5;1
196607;9.3;1
196608;10;1
196609;8.9;1
196610;8.1;1
196611;-0.3;1
196612;0.9;1
196701;-3;1
196702;0;1
196703;1.1;1
196704;0.4;1
196705;5.2;1
196706;7.9;1
196707;10.3;1
196708;10.3;1
196709;8;1
196710;6.9;1
196711;0.6;1
196712;-2.4;1
196801;-2.2;1
196802;-0.8;1
196803;-0.1;1
196804;2.3;1
196805;5.4;1
196806;8.3;1
196807;9.7;1
196808;10.2;1
196809;8.4;1
196810;6.9;1
196811;0.7;1
196812;-2.9;1
196901;-0.3;1
196902;-4.7;1
196903;0.5;1
196904;2.3;1
196905;6.3;1
196906;7.8;1
196907;11.3;1
196908;10.4;1
196909;8.9;1
196910;4.3;1
196911;1.6;1
196912;-3.9;1
197001;-1.2;1
197002;-1.3;1
197003;-1.3;1
197004;1.7;1
197005;5.8;1
197006;11.1;1
197007;10;1
197008;10.9;1
197009;7.6;1
197010;5.1;1
197011;2.5;1
197012;-2.4;1
197101;-3.2;1
197102;-1.2;1
197103;-2.5;1
197104;2.6;1
197105;7;1
197106;8.5;1
197107;10.1;1
197108;11.4;1
197109;5.6;1
197110;2.9;1
197111;-0.6;1
197112;-0.5;1
197201;-2.1;1
197202;0.4;1
197203;0.7;1
197204;2.8;1
197205;5.7;1
197206;7.5;1
197207;10.5;1
197208;10.2;1
197209;5;1
197210;1.7;1
197211;0.8;1
197212;-1.8;1
197301;-3.1;1
197302;-2.2;1
197303;-2.4;1
197304;0.4;1
197305;6.5;1
197306;9.5;1
197307;11;1
197308;12.8;1
197309;7.6;1
197310;3.6;1
197311;0.3;1
197312;-2.2;1
