# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 72357001
# NOM_USUEL= THOREE LES PINS
# LATITUDE (°) = 47.659
# LONGITUDE(°)= 0.023
# ALTITUDE (m) = 78
# NUM_SERIE= MTN072357001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196101 201612
# Date(s) de rupture(s) d'homogénéité : 197112 197312 197806 198207
#     Periode homogénéisée  196101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;1.7;1
196102;4.1;1
196103;3;1
196104;7.4;1
196105;7.2;1
196106;10.7;1
196107;12.2;1
196108;11.6;1
196109;12.8;1
196110;8.5;1
196111;4.5;1
196112;2.1;1
196201;3;1
196202;1.1;1
196203;0.7;1
196204;5.1;1
196205;7;1
196206;9.3;1
196207;11.6;1
196208;12.1;1
196209;9;1
196210;7.7;1
196211;3.7;1
196212;-1.3;1
196301;-4.3;1
196302;-4.3;1
196303;4;1
196304;5.2;1
196305;7.2;1
196306;11.7;1
196307;11.9;1
196308;11.8;1
196309;10.9;1
196310;7.3;1
196311;6.3;1
196312;-1.4;1
196401;-1.5;1
196402;2.3;1
196403;3.1;1
196404;4.9;1
196405;9.3;1
196406;11.1;1
196407;12.3;1
196408;12.2;1
196409;11.7;1
196410;5.9;1
196411;4.3;1
196412;0.6;1
196501;1.5;1
196502;-1.2;1
196503;3.6;1
196504;4.7;1
196505;8.3;1
196506;10.6;1
196507;10.9;1
196508;11.6;1
196509;9;1
196510;6.9;1
196511;3.3;1
196512;3.7;1
196601;0.7;1
196602;6.1;1
196603;2.5;1
196604;6.6;1
196605;7.5;1
196606;11.8;1
196607;11.7;1
196608;11.3;1
196609;11;1
196610;8.3;1
196611;2;1
196612;3.8;1
196701;2.5;1
196702;2.6;1
196703;3.6;1
196704;4.1;1
196705;7.6;1
196706;10;1
196707;12.6;1
196708;11.8;1
196709;9.8;1
196710;8.9;1
196711;3.8;1
196712;1;1
196801;1.9;1
196802;1.1;1
196803;3.6;1
196804;4.8;1
196805;6.6;1
196806;11.2;1
196807;12;1
196808;12.9;1
196809;10.4;1
196810;8.9;1
196811;3.5;1
196812;1.1;1
196901;3.3;1
196902;-0.4;1
196903;3.6;1
196904;5.4;1
196905;8.1;1
196906;10.3;1
196907;13.2;1
196908;12.6;1
196909;11.5;1
196910;7.7;1
196911;4.4;1
196912;0.2;1
197001;1.7;1
197002;2.5;1
197003;2;1
197004;4;1
197005;7.6;1
197006;13.1;1
197007;11.9;1
197008;13.2;1
197009;11.3;1
197010;6.8;1
197011;5.4;1
197012;-0.2;1
197101;1.2;1
197102;0.9;1
197103;0;1
197104;5.4;1
197105;9.4;1
197106;10.4;1
197107;13.3;1
197108;12.5;1
197109;9.1;1
197110;5.6;1
197111;1.9;1
197112;2.3;1
197201;1.5;1
197202;3;1
197203;4;1
197204;5.4;1
197205;7.2;1
197206;8.6;1
197207;12.2;1
197208;11.5;1
197209;7.5;1
197210;5.4;1
197211;4;1
197212;2.1;1
197301;0.8;1
197302;0.5;1
197303;1;1
197304;2.9;1
197305;8.4;1
197306;11.1;1
197307;12.9;1
197308;13.8;1
197309;11.1;1
197310;6.3;1
197311;2.9;1
197312;1.7;1
197401;4.9;1
197402;3.2;1
197403;3.8;1
197404;4.5;1
197405;7.2;1
197406;10.6;1
197407;11.7;1
197408;12.2;1
197409;9.6;1
197410;4.5;1
197411;5.4;1
197412;5.1;1
197501;4.1;1
197502;2.8;1
197503;2.4;1
197504;4.9;1
197505;7.4;1
197506;10.5;1
197507;12.1;1
197508;13.9;1
197509;10;1
197510;5.6;1
197511;4.1;1
197512;0.2;1
197601;2.3;1
197602;2;1
197603;1.9;1
197604;3.7;1
197605;7.5;1
197606;12.9;1
197607;14.7;1
197608;13.1;1
197609;10;1
197610;8.2;1
197611;3;1
197612;1.1;1
197701;1.4;1
197702;4.1;1
197703;3.7;1
197704;3.6;1
197705;7.8;1
197706;10.4;1
197707;13;1
197708;11.5;1
197709;8.2;1
197710;8.9;1
197711;4.3;1
197712;3.1;1
197801;0.7;1
197802;2;1
197803;4.3;1
197804;4.3;1
197805;9;1
197806;10.2;1
197807;11.5;1
197808;10.3;1
197809;8.9;1
197810;6.7;1
197811;1.7;1
197812;3.4;1
197901;-2.7;1
197902;1.8;1
197903;3.5;1
197904;4.5;1
197905;7.1;1
197906;10.8;1
197907;11.8;1
197908;11.3;1
197909;9.5;1
197910;8.7;1
197911;3.1;1
197912;3.9;1
198001;-0.6;1
198002;3.3;1
198003;2.9;1
198004;4.7;1
198005;6.8;1
198006;10.7;1
198007;12.1;1
198008;12.8;1
198009;11.1;1
198010;6.7;1
198011;2.6;1
198012;1.3;1
198101;2;1
198102;-0.1;1
198103;7;1
198104;6;1
198105;8.6;1
198106;10.5;1
198107;12.6;1
198108;12.5;1
