# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 74087001
# NOM_USUEL= CONTAMINE-SUR- ARVE
# LATITUDE (°) = 46.129
# LONGITUDE(°)= 6.34
# ALTITUDE (m) = 452
# NUM_SERIE= MTN074087001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195801 202012
# Date(s) de rupture(s) d'homogénéité : 197612
#     Periode homogénéisée  195801 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;-3.8;1
195802;-0.2;1
195803;-1.5;1
195804;1.6;1
195805;8.8;1
195806;10;1
195807;12.8;1
195808;12.8;1
195809;11.3;1
195810;4.3;1
195811;1.6;1
195812;0.2;1
195901;-3.4;1
195902;-4;1
195903;2.8;1
195904;3.8;1
195905;7.2;1
195906;11.2;1
195907;13.4;1
195908;11.5;1
195909;9.9;1
195910;4.2;1
195911;-1;1
195912;-0.5;1
196001;-4.5;1
196002;-0.7;1
196003;1.1;1
196004;2.1;1
196005;6.2;1
196006;11.1;1
196007;11.7;1
196008;12.9;1
196009;9.5;1
196010;6.4;1
196011;3.7;1
196012;-0.5;1
196101;-2.2;1
196102;0.5;1
196103;-0.2;1
196104;6.2;1
196105;6.4;1
196106;11.2;1
196107;11.5;1
196108;10.6;1
196109;11.8;1
196110;5.9;1
196111;0.5;1
196112;-0.5;1
196201;-0.5;1
196202;-2.1;1
196203;-2;1
196204;2.4;1
196205;6.2;1
196206;9.1;1
196207;12.1;1
196208;13.2;1
196209;8.6;1
196210;4.7;1
196211;-1.5;1
196212;-4.3;1
196301;-8.3;1
196302;-6.7;1
196303;-1;1
196304;3.8;1
196305;5.8;1
196306;10.9;1
196307;12.7;1
196308;9.5;1
196309;9.2;1
196310;4.5;1
196311;3.2;1
196312;-4.4;1
196401;-4.2;1
196402;-1.4;1
196403;1.2;1
196404;4.1;1
196405;8;1
196406;10.9;1
196407;11.5;1
196408;10.6;1
196409;9.1;1
196410;4.8;1
196411;2;1
196412;-3;1
196501;-3.8;1
196502;-7.5;1
196503;-1.3;1
196504;2.2;1
196505;6;1
196506;11.5;1
196507;12.3;1
196508;11;1
196509;8.1;1
196510;6.4;1
196511;2.4;1
196512;0.5;1
196601;-3.8;1
196602;2.1;1
196603;-0.7;1
196604;5.4;1
196605;7.4;1
196606;10.9;1
196607;11.7;1
196608;10.8;1
196609;9.3;1
196610;8.3;1
196611;-0.2;1
196612;-1.3;1
196701;-2.9;1
196702;-1.4;1
196703;1.9;1
