# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 88196009
# NOM_USUEL= GERARDMER
# LATITUDE (°) = 48.072
# LONGITUDE(°)= 6.834
# ALTITUDE (m) = 669
# NUM_SERIE= MTN088196009
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 196512 197212 199403 200012
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-3.8;1
195902;-3.4;1
195903;1.4;1
195904;2.4;1
195905;5.1;1
195906;8.5;1
195907;11.3;1
195908;9.4;1
195909;7.2;1
195910;2.6;1
195911;-1.2;1
195912;-0.9;1
196001;-4;1
196002;-2.2;1
196003;0.6;1
196004;1.5;1
196005;5.1;1
196006;8.7;1
196007;7.7;1
196008;9.4;1
196009;5.4;1
196010;4;1
196011;2.2;1
196012;-4.2;1
196101;-3.3;1
196102;0.2;1
196103;-0.2;1
196104;4.8;1
196105;5.1;1
196106;8.1;1
196107;8.1;1
196108;8.9;1
196109;9.9;1
196110;5.6;1
196111;-1;1
196112;-1.7;1
196201;-1.3;1
196202;-4.6;1
196203;-4.2;1
196204;1.6;1
196205;4.1;1
196206;7.4;1
196207;9.7;1
196208;10;1
196209;7.1;1
196210;3.6;1
196211;-3;1
196212;-6.7;1
196301;-9.9;1
196302;-10.4;1
196303;-3.6;1
196304;2.8;1
196305;4.8;1
196306;8.9;1
196307;10.9;1
196308;10.1;1
196309;8.2;1
196310;2.1;1
196311;3.4;1
196312;-6.9;1
196401;-6.8;1
196402;-2.1;1
196403;-0.8;1
196404;3;1
196405;6.1;1
196406;8.5;1
196407;10.8;1
196408;9.6;1
196409;8.2;1
196410;2.7;1
196411;1.1;1
196412;-4.4;1
196501;-2;1
196502;-8.2;1
196503;-1.9;1
196504;1;1
196505;5.2;1
196506;9.2;1
196507;9.9;1
196508;9.2;1
196509;6.8;1
196510;2.6;1
196511;0;1
196512;0;1
196601;-5.7;1
196602;0.6;1
196603;-2.6;1
196604;3.2;1
196605;5.6;1
196606;9.8;1
196607;8.9;1
196608;9.7;1
196609;8.8;1
196610;7.3;1
196611;-2.5;1
196612;-2.2;1
196701;-3.3;1
196702;-1.8;1
196703;0.8;1
196704;0.2;1
196705;5.4;1
196706;7.9;1
196707;11.7;1
196708;9.9;1
196709;7.3;1
196710;6.5;1
196711;0;1
196712;-5;1
196801;-5;1
196802;-2.3;1
196803;-1.6;1
196804;2.4;1
196805;5.6;1
196806;7.6;1
196807;10.2;1
196808;9.8;1
196809;7.6;1
196810;5.6;1
196811;0.4;1
196812;-3.4;1
196901;-2.8;1
196902;-5.8;1
196903;-0.6;1
196904;1.8;1
196905;6.4;1
196906;7.6;1
196907;11.4;1
196908;10.4;1
196909;8.4;1
196910;3.5;1
196911;0.8;1
196912;-6.6;1
197001;-3.3;1
197002;-3.5;1
197003;-3.5;1
197004;0.7;1
197005;5.1;1
197006;10.8;1
197007;9.7;1
197008;10.2;1
197009;7.5;1
197010;4.3;1
197011;1.8;1
197012;-3.9;1
197101;-5.5;1
197102;-3.6;1
197103;-5.3;1
197104;2.2;1
197105;6.9;1
197106;7.5;1
197107;10.3;1
197108;10.9;1
197109;5.6;1
197110;2.8;1
197111;-1.8;1
197112;-3;1
197201;-3.4;1
197202;-1.7;1
197203;-1;1
197204;1.8;1
197205;4.8;1
197206;7;1
197207;10.6;1
197208;9.2;1
197209;3.7;1
197210;1.1;1
197211;-0.7;1
197212;-3.2;1
197301;-4.7;1
197302;-5.4;1
197303;-4.1;1
197304;-0.9;1
