# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 2320001
# NOM_USUEL= ST QUENTIN
# LATITUDE (°) = 49.818
# LONGITUDE(°)= 3.206
# ALTITUDE (m) = 98
# NUM_SERIE= MTN102320001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : 196712
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.5;1
195302;-0.1;1
195303;1.1;1
195304;4.6;1
195305;8.5;1
195306;10.6;1
195307;12;1
195308;11.9;1
195309;9.5;1
195310;7.5;1
195311;2.5;1
195312;3.2;1
195401;-2.8;1
195402;-2.1;1
195403;3.6;1
195404;2;1
195405;7.1;1
195406;10;1
195407;9.9;1
195408;11.4;1
195409;10.1;1
195410;8.2;1
195411;3.1;1
195412;2.9;1
195501;-0.8;1
195502;-1.3;1
195503;-0.9;1
195504;3.4;1
195505;5.9;1
195506;10.3;1
195507;12.7;1
195508;12.3;1
195509;9;1
195510;5.6;1
195511;3;1
195512;2.1;1
195601;0.4;1
195602;-10.6;1
195603;2.2;1
195604;2.4;1
195605;7.3;1
195606;8.5;1
195607;12;1
195608;9.5;1
195609;11.4;1
195610;6.8;1
195611;1.7;1
195612;3.4;1
195701;-0.2;1
195702;3.6;1
195703;5.3;1
195704;3.6;1
195705;5.7;1
195706;10.5;1
195707;13.4;1
195708;11.3;1
195709;9.9;1
195710;6.6;1
195711;3.4;1
195712;0;1
195801;0.2;1
195802;2.1;1
195803;-0.5;1
195804;2;1
195805;8.3;1
195806;9.8;1
195807;11.9;1
195808;13.1;1
195809;12;1
195810;7.9;1
195811;2.9;1
195812;1.9;1
195901;-0.7;1
195902;-1.5;1
195903;3.7;1
195904;5.5;1
195905;8.5;1
195906;10.2;1
195907;12.3;1
195908;12.5;1
195909;9.5;1
195910;6.1;1
195911;3.2;1
195912;2.8;1
196001;0.2;1
196002;1;1
196003;3.6;1
196004;4.2;1
196005;8.6;1
196006;11;1
196007;11;1
196008;11.9;1
196009;9.4;1
196010;7.5;1
196011;5.3;1
196012;0.8;1
196101;0.4;1
196102;3.9;1
196103;3;1
196104;7.7;1
196105;6.6;1
196106;9.4;1
196107;10.5;1
196108;11.6;1
196109;12.6;1
196110;7.8;1
196111;2.6;1
196112;0.2;1
196201;2;1
196202;0;1
196203;-0.6;1
196204;4.7;1
196205;6.3;1
196206;8.5;1
196207;10.7;1
196208;11.2;1
196209;8.6;1
196210;6.3;1
196211;2.3;1
196212;-2.6;1
196301;-7.4;1
196302;-5;1
196303;2;1
196304;4.8;1
196305;6.8;1
196306;11.3;1
196307;11.4;1
196308;11.2;1
196309;10.5;1
196310;6.3;1
196311;5.5;1
196312;-2.8;1
196401;-1.6;1
196402;2.2;1
196403;1.1;1
196404;4.6;1
196405;8.7;1
196406;9.9;1
196407;11.4;1
196408;11.7;1
196409;9.8;1
196410;4.4;1
196411;4.3;1
196412;-0.1;1
196501;0.2;1
196502;-1.4;1
196503;2.2;1
196504;4;1
196505;7.9;1
196506;10.1;1
196507;10.6;1
196508;11.3;1
196509;8.9;1
196510;5.9;1
196511;1.4;1
196512;2.4;1
196601;-1.9;1
196602;4.8;1
196603;2.2;1
196604;5.7;1
196605;7.4;1
196606;11.7;1
196607;11;1
196608;11;1
196609;9.5;1
196610;8.7;1
196611;1.6;1
196612;1.8;1
196701;0.2;1
196702;2.3;1
196703;3.2;1
196704;3.3;1
196705;7;1
196706;9.1;1
196707;12.3;1
196708;11.9;1
196709;10.3;1
196710;8.5;1
196711;2.1;1
196712;-0.3;1
196801;-0.2;1
196802;0.2;1
196803;2.7;1
196804;4;1
196805;6.5;1
196806;10.4;1
196807;11.7;1
196808;13.1;1
196809;11.1;1
196810;9.6;1
196811;2.8;1
196812;-2;1
196901;2.4;1
196902;-2.3;1
196903;2.5;1
196904;3.8;1
196905;8.1;1
196906;9.9;1
196907;13.2;1
196908;12.5;1
196909;10.2;1
196910;6.1;1
196911;2.8;1
196912;-2.6;1
197001;0.3;1
197002;0.1;1
197003;-0.2;1
197004;3.1;1
197005;8.2;1
197006;11.9;1
197007;10.8;1
197008;12.3;1
197009;10.6;1
197010;7.4;1
197011;4.1;1
197012;-0.5;1
197101;0;1
197102;0.7;1
197103;-0.3;1
197104;4.1;1
197105;9.4;1
197106;9.6;1
197107;12.4;1
197108;12.3;1
197109;8.4;1
197110;5;1
197111;1.7;1
197112;2.3;1
197201;-0.1;1
197202;1.3;1
197203;2.5;1
197204;4.7;1
197205;7.3;1
197206;8.3;1
197207;12.4;1
197208;10.9;1
197209;7.6;1
197210;4.4;1
197211;3;1
197212;1.3;1
197301;0;1
197302;0.6;1
197303;0.5;1
