# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 5098001
# NOM_USUEL= LES ORRES
# LATITUDE (°) = 44.501
# LONGITUDE(°)= 6.552
# ALTITUDE (m) = 1446
# NUM_SERIE= MTN105098001
# Amplitude minimale détectable de la série = 0.26
# Période homogénéisée : 195901 202012
# Date(s) de rupture(s) d'homogénéité : 197512 199612 200512 201312
#     Periode homogénéisée  195901 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-7.1;1
195902;-3.5;1
195903;0.8;1
195904;0.9;1
195905;3.9;1
195906;7.1;1
195907;10.4;1
195908;8.5;1
195909;7.6;1
195910;2.1;1
195911;-2.4;1
195912;-4.7;1
196001;-5.6;1
196002;-5.3;1
196003;-2.5;1
196004;0.2;1
196005;5.3;1
196006;7.8;1
196007;7.6;1
196008;7.3;1
196009;4.8;1
196010;1.1;1
196011;-1.1;1
196012;-6;1
196101;-6.5;1
196102;-2.8;1
196103;-1.4;1
196104;2.3;1
196105;2.8;1
196106;7.1;1
196107;7.6;1
196108;8.8;1
196109;8.3;1
196110;3.1;1
196111;-1.5;1
196112;-1.9;1
196201;-3.7;1
196202;-5.9;1
196203;-6;1
196204;-1.1;1
196205;2.3;1
196206;5.9;1
196207;8.2;1
196208;10.1;1
196209;6.5;1
196210;3.7;1
196211;-3;1
196212;-6.8;1
196301;-8.8;1
196302;-9.5;1
196303;-4;1
196304;0.4;1
196305;2.8;1
196306;6.3;1
196307;8.6;1
196308;7.4;1
196309;5.7;1
196310;2.3;1
196311;0;1
196312;-5.5;1
196401;-4.8;1
196402;-3.6;1
196403;-3;1
196404;0.6;1
196405;4.9;1
196406;7.5;1
196407;9.8;1
196408;8;1
196409;7.3;1
196410;1;1
196411;1.1;1
196412;-4.5;1
196501;-5.8;1
196502;-8.6;1
196503;-4.1;1
196504;-1.5;1
196505;3.6;1
196506;7.6;1
196507;8.4;1
196508;7.9;1
196509;4.1;1
196510;4.3;1
196511;-1.9;1
196512;-4.3;1
196601;-6.8;1
196602;-1.4;1
196603;-4.3;1
196604;1.1;1
196605;4.6;1
196606;7.9;1
196607;7.7;1
196608;7.8;1
196609;8.1;1
196610;4.1;1
196611;-4.5;1
196612;-5.2;1
196701;-5.7;1
196702;-4.4;1
196703;-0.9;1
196704;-1.2;1
196705;3.5;1
196706;6.2;1
196707;11.4;1
196708;9.3;1
196709;6;1
196710;5.3;1
196711;0.9;1
196712;-4.5;1
196801;-6.6;1
196802;-4;1
196803;-2.9;1
196804;1.5;1
196805;3.4;1
196806;7.3;1
196807;9.3;1
196808;7;1
196809;5;1
196810;4.8;1
196811;-0.2;1
196812;-4.3;1
196901;-5;1
196902;-8;1
196903;-3.2;1
196904;-0.4;1
196905;4.6;1
196906;4.9;1
196907;9.3;1
196908;8;1
196909;6.6;1
196910;5.1;1
196911;-1.7;1
196912;-7.3;1
197001;-4.6;1
197002;-6.7;1
197003;-6.7;1
197004;-3;1
197005;2.8;1
197006;7.9;1
197007;8.8;1
197008;8.8;1
197009;7.8;1
197010;2.5;1
197011;0.4;1
197012;-4.6;1
197101;-6;1
197102;-5.9;1
197103;-7.8;1
197104;1.6;1
197105;4.2;1
197106;5.2;1
197107;9.9;1
197108;10.9;1
197109;6.5;1
197110;4.2;1
197111;-2.7;1
197112;-1.9;1
197201;-4;1
197202;-3.8;1
197203;-2.1;1
197204;0.1;1
197205;2.8;1
197206;5.9;1
197207;8.6;1
197208;7.8;1
197209;3.9;1
197210;2.4;1
197211;0.6;1
197212;-2.2;1
197301;-3.4;1
197302;-6.7;1
197303;-4.2;1
197304;-3;1
197305;5.7;1
197306;8;1
197307;9;1
197308;10.2;1
197309;7.7;1
197310;2.7;1
197311;0.1;1
197312;-5;1
197401;-1.8;1
197402;-4.1;1
197403;-1.5;1
197404;-0.2;1
197405;3.1;1
197406;6;1
197407;9.3;1
197408;9.8;1
197409;5.3;1
197410;-3.7;1
197411;-2;1
197412;-2.5;1
197501;-1.6;1
197502;-3.5;1
197503;-4.3;1
197504;-1.7;1
197505;3.4;1
197506;5.2;1
197507;9;1
197508;9.6;1
197509;7.5;1
197510;1.3;1
197511;-2;1
197512;-3;1
197601;-4.4;1
197602;-3.5;1
197603;-3.2;1
197604;-1.3;1
197605;4.2;1
197606;8.5;1
197607;9.6;1
197608;7.6;1
197609;4.8;1
197610;3.1;1
197611;-2.1;1
197612;-5.7;1
197701;-5.4;1
197702;-3.6;1
197703;-1.1;1
