# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 6029001
# NOM_USUEL= CANNES
# LATITUDE (°) = 43.557
# LONGITUDE(°)= 6.951
# ALTITUDE (m) = 2
# NUM_SERIE= MTN106029001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 197512 197812 199212
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;2.7;1
195902;3.2;1
195903;7.5;1
195904;7.9;1
195905;12.3;1
195906;14.8;1
195907;17.9;1
195908;16.7;1
195909;15;1
195910;10.3;1
195911;5.5;1
195912;5.1;1
196001;2.9;1
196002;4.6;1
196003;6.2;1
196004;7.8;1
196005;11.5;1
196006;15.4;1
196007;16.4;1
196008;15.4;1
196009;13;1
196010;10.1;1
196011;6.9;1
196012;3.3;1
196101;2.8;1
196102;4.2;1
196103;5;1
196104;9.8;1
196105;10.6;1
196106;15;1
196107;17.3;1
196108;16;1
196109;16.2;1
196110;11.2;1
196111;6.6;1
196112;4.5;1
196201;4.6;1
196202;2.2;1
196203;3.8;1
196204;8;1
196205;10.4;1
196206;15.1;1
196207;16.7;1
196208;17.3;1
196209;15;1
196210;11.1;1
196211;5.5;1
196212;1.2;1
196301;1.1;1
196302;1.7;1
196303;5;1
196304;8;1
196305;11.2;1
196306;14.8;1
196307;18.4;1
196308;16.6;1
196309;14.6;1
196310;10.6;1
196311;9.2;1
196312;3.8;1
196401;2;1
196402;4.8;1
196403;6.7;1
196404;8.2;1
196405;12.9;1
196406;16;1
196407;18.3;1
196408;17;1
196409;15.4;1
196410;9.9;1
196411;7.5;1
196412;3.7;1
196501;2.7;1
196502;0;1
196503;5.2;1
196504;6.6;1
196505;10.6;1
196506;14;1
196507;16.2;1
196508;15.9;1
196509;12.9;1
196510;11.6;1
196511;7.2;1
196512;5.2;1
196601;3.1;1
196602;6.4;1
196603;4.2;1
196604;9.5;1
196605;12.2;1
196606;15.6;1
196607;16.1;1
196608;15.7;1
196609;15.2;1
196610;12.7;1
196611;5.2;1
196612;3.3;1
196701;2.3;1
196702;4.7;1
196703;6.5;1
196704;7.3;1
196705;11.5;1
196706;13.8;1
196707;18.2;1
196708;17.5;1
196709;14.2;1
196710;12.1;1
196711;8;1
196712;2.6;1
196801;1.1;1
196802;4.7;1
196803;5.1;1
196804;8.3;1
196805;11.8;1
196806;14.7;1
196807;17;1
196808;15.5;1
196809;13.8;1
196810;12.2;1
196811;7.2;1
196812;3.8;1
196901;2.4;1
196902;1.7;1
196903;5.9;1
196904;7.8;1
196905;11.8;1
196906;13.4;1
196907;16.7;1
196908;16.8;1
196909;14.3;1
196910;11.2;1
196911;7.1;1
196912;1;1
197001;4.7;1
197002;4.2;1
197003;4.2;1
197004;6.6;1
197005;10.5;1
197006;16.1;1
197007;16.4;1
197008;16.8;1
197009;15.1;1
197010;10.6;1
197011;7.5;1
197012;2.5;1
197101;3;1
197102;2.6;1
197103;2.3;1
197104;9.7;1
197105;12.2;1
197106;14.2;1
197107;17.5;1
197108;18.7;1
197109;14.7;1
197110;11.2;1
197111;5.8;1
197112;4;1
197201;4;1
197202;6.6;1
197203;6.4;1
197204;7.9;1
197205;10.3;1
197206;14.2;1
197207;17.3;1
197208;15.8;1
197209;12.5;1
