# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 6088001
# NOM_USUEL= NICE
# LATITUDE (°) = 43.649
# LONGITUDE(°)= 7.209
# ALTITUDE (m) = 2
# NUM_SERIE= MTN106088001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 197212 198912 200612
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;5.1;1
195902;6.7;1
195903;9.7;1
195904;10.2;1
195905;14.4;1
195906;17.5;1
195907;20.7;1
195908;20.3;1
195909;17.8;1
195910;12.8;1
195911;8.3;1
195912;6.7;1
196001;5.5;1
196002;6.4;1
196003;8.3;1
196004;10.7;1
196005;13.9;1
196006;18.3;1
196007;18.7;1
196008;18;1
196009;15.9;1
196010;12;1
196011;9.2;1
196012;5.7;1
196101;5.3;1
196102;7.3;1
196103;8.2;1
196104;12.1;1
196105;13.4;1
196106;17.4;1
196107;19.9;1
196108;20.1;1
196109;19.6;1
196110;14.2;1
196111;8.5;1
196112;6.3;1
196201;6.8;1
196202;5;1
196203;6;1
196204;10.7;1
196205;12.5;1
196206;17.2;1
196207;19.5;1
196208;20.5;1
196209;17.8;1
196210;14.1;1
196211;8;1
196212;3.6;1
196301;3.3;1
196302;3.8;1
196303;7.3;1
196304;10.5;1
196305;14.4;1
196306;16.6;1
196307;21.3;1
196308;19.1;1
196309;17.5;1
196310;13.7;1
196311;10.5;1
196312;5.7;1
196401;4.8;1
196402;6.4;1
196403;8.4;1
196404;10.7;1
196405;15.2;1
196406;18.9;1
196407;21.4;1
196408;20.5;1
196409;18.1;1
196410;12.4;1
196411;9.5;1
196412;5.7;1
196501;5.1;1
196502;3.1;1
196503;7.3;1
196504;9.8;1
196505;13.3;1
196506;16.3;1
196507;18.8;1
196508;19.2;1
196509;15.7;1
196510;14.1;1
196511;8.5;1
196512;6.1;1
196601;4.9;1
196602;8.2;1
196603;7.1;1
196604;11.3;1
196605;14.7;1
196606;18;1
196607;18.5;1
196608;18.9;1
196609;17.9;1
196610;14.9;1
196611;7.4;1
196612;5.6;1
196701;4.9;1
196702;5.9;1
196703;8.7;1
196704;10.1;1
196705;14;1
196706;16.8;1
196707;21.3;1
196708;20.8;1
196709;17.1;1
196710;14.8;1
196711;10.1;1
196712;5.1;1
