# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 7019005
# NOM_USUEL= AUBENAS SA
# LATITUDE (°) = 44.602
# LONGITUDE(°)= 4.41
# ALTITUDE (m) = 176
# NUM_SERIE= MTN107019005
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196905 197612 198112 199912
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-1.2;1
195902;0.6;1
195903;4.9;1
195904;5.7;1
195905;8.4;1
195906;12.1;1
195907;16.5;1
195908;14.5;1
195909;12.2;1
195910;7.2;1
195911;1.9;1
195912;1.7;1
196001;-0.2;1
196002;1.3;1
196003;4.5;1
196004;6.4;1
196005;10.4;1
196006;13.7;1
196007;13.5;1
196008;12.9;1
196009;9.7;1
196010;7;1
196011;3.5;1
196012;-0.5;1
196101;-1.4;1
196102;2.6;1
196103;2.3;1
196104;6.6;1
196105;7.7;1
196106;13.2;1
196107;14.6;1
196108;13.3;1
196109;13.3;1
196110;8.3;1
196111;2.2;1
196112;1;1
196201;2.6;1
196202;0.4;1
196203;1.1;1
196204;6.1;1
196205;8;1
196206;12.3;1
196207;14;1
196208;15.6;1
196209;11.4;1
196210;8.6;1
196211;1.9;1
196212;-2.5;1
196301;-3.5;1
196302;-2.9;1
196303;3;1
196304;6.8;1
196305;10;1
196306;12.1;1
196307;14.8;1
196308;12.2;1
196309;11;1
196310;6.8;1
196311;4.5;1
196312;-1.3;1
196401;-1.9;1
196402;3.1;1
196403;3.3;1
196404;6.5;1
196405;11;1
196406;13.9;1
196407;15.7;1
196408;13.7;1
196409;11.6;1
196410;5.8;1
196411;3.4;1
196412;-0.1;1
196501;0.3;1
196502;-1.2;1
196503;2.3;1
196504;5.3;1
196505;8.2;1
196506;11.7;1
196507;12.7;1
196508;12.6;1
196509;8.6;1
196510;8.8;1
