# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 7105001
# NOM_USUEL= ISSANLAS
# LATITUDE (°) = 44.773
# LONGITUDE(°)= 3.982
# ALTITUDE (m) = 1215
# NUM_SERIE= MTN107105001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195201 201812
# Date(s) de rupture(s) d'homogénéité : 195912 196812 197612 200212
#     Periode homogénéisée  195201 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;-6.2;1
195202;-6.8;1
195203;0.2;1
195204;1.6;1
195205;3.4;1
195206;7.6;1
195207;9.2;1
195208;8.4;1
195209;3.4;1
195210;2.7;1
195211;-2.3;1
195212;-4.1;1
195301;-8.5;1
195302;-6.8;1
195303;-2.5;1
195304;0.8;1
195305;4.6;1
195306;5.6;1
195307;7.9;1
195308;8.5;1
195309;6.8;1
195310;3.9;1
195311;-0.5;1
195312;0.7;1
195401;-7.2;1
195402;-7;1
195403;-2;1
195404;-1;1
195405;2.5;1
195406;6.4;1
195407;6.5;1
195408;7.3;1
195409;5.9;1
195410;2.9;1
195411;0.1;1
195412;-2.5;1
195501;-1.4;1
195502;-5.4;1
195503;-5.2;1
195504;-0.6;1
195505;2.6;1
195506;6.4;1
195507;8.8;1
195508;8;1
195509;5.7;1
195510;1.3;1
195511;-1.5;1
195512;-0.6;1
195601;-3.2;1
195602;-15.2;1
195603;-2.7;1
195604;-1.4;1
195605;4;1
195606;4.8;1
195607;8.4;1
195608;6.8;1
195609;6.9;1
195610;1.2;1
195611;-3.3;1
195612;-2.5;1
195701;-5.8;1
195702;-1.3;1
195703;0.1;1
195704;0.6;1
195705;1.9;1
195706;6.3;1
195707;8.7;1
195708;7.8;1
195709;5.7;1
195710;2.4;1
195711;-1.7;1
195712;-4.5;1
195801;-4.2;1
195802;-2.2;1
195803;-3.6;1
195804;-1.8;1
195805;4.9;1
195806;5.8;1
195807;8.7;1
195808;9.3;1
195809;8.1;1
195810;2.6;1
195811;-0.8;1
195812;-3;1
195901;-4.9;1
195902;-3;1
195903;0;1
195904;0.4;1
195905;3.9;1
195906;7.1;1
195907;9.9;1
195908;8;1
195909;7.7;1
195910;3.2;1
195911;-0.8;1
195912;-2;1
196001;-5.3;1
196002;-3;1
196003;-0.8;1
196004;-0.4;1
196005;4.7;1
196006;7.7;1
196007;7.4;1
196008;7.6;1
196009;4.9;1
196010;2.6;1
196011;-0.1;1
196012;-5.1;1
196101;-4.5;1
196102;-0.5;1
196103;-1.6;1
196104;3.2;1
196105;2.9;1
196106;7.5;1
196107;7.8;1
196108;7.9;1
196109;9.7;1
196110;3.5;1
196111;-0.9;1
196112;-2.1;1
196201;-2.5;1
196202;-5.4;1
196203;-5.4;1
196204;0;1
196205;2.2;1
196206;5.2;1
196207;7.6;1
196208;8.6;1
196209;5.8;1
196210;3.6;1
196211;-2.8;1
196212;-6.6;1
196301;-7.9;1
196302;-9.2;1
196303;-2.5;1
196304;0.4;1
196305;2.3;1
196306;6.7;1
196307;9.4;1
196308;7.2;1
196309;6;1
196310;3.2;1
196311;1.6;1
196312;-5;1
196401;-6;1
196402;-2.5;1
196403;-2.6;1
196404;0.7;1
196405;5;1
196406;7.1;1
196407;9.2;1
196408;8.1;1
196409;7.4;1
196410;1.1;1
196411;0;1
196412;-4.7;1
196501;-4.7;1
196502;-8.5;1
196503;-2.9;1
196504;-0.4;1
196505;3;1
196506;7.1;1
196507;7.7;1
196508;7.3;1
196509;4.3;1
196510;4.8;1
196511;-0.7;1
196512;-2.5;1
196601;-5.2;1
196602;-0.3;1
196603;-3.9;1
196604;1.3;1
196605;3.6;1
196606;6.7;1
196607;6.8;1
196608;7.3;1
196609;7.8;1
196610;4.6;1
196611;-4;1
196612;-3.2;1
196701;-5.1;1
196702;-3.5;1
196703;-1.4;1
196704;-1.5;1
196705;2.9;1
196706;4.9;1
196707;9.9;1
196708;8.5;1
196709;6.1;1
196710;4.8;1
196711;0.4;1
196712;-6.7;1
196801;-5.8;1
196802;-3.3;1
196803;-2.9;1
196804;0.9;1
196805;2.3;1
196806;5.7;1
196807;8.1;1
196808;7.6;1
196809;5.5;1
196810;4.7;1
196811;-1.3;1
196812;-5;1
196901;-3.3;1
196902;-7.6;1
196903;-1.7;1
196904;0.4;1
196905;3.9;1
196906;4.8;1
196907;8.9;1
196908;8.2;1
196909;6.4;1
196910;4.3;1
196911;-1.7;1
196912;-7.6;1
197001;-4.1;1
197002;-3.8;1
197003;-5;1
197004;-1.5;1
197005;2.7;1
197006;8.3;1
197007;7.8;1
197008;9;1
197009;6.7;1
197010;2.6;1
197011;0.9;1
197012;-5.6;1
197101;-4.8;1
197102;-5.5;1
197103;-8;1
197104;1.8;1
197105;4.5;1
197106;4.9;1
197107;9.2;1
197108;9.5;1
197109;5.6;1
197110;3.3;1
197111;-3.5;1
197112;-1.5;1
197201;-3.7;1
197202;-2.6;1
197203;-0.9;1
197204;-0.9;1
197205;2.1;1
197206;5.1;1
197207;7.8;1
197208;7.4;1
197209;3;1
197210;2.2;1
197211;0;1
197212;-2.4;1
197301;-5;1
197302;-5.2;1
197303;-4.8;1
197304;-2.7;1
197305;4.5;1
197306;7.3;1
197307;8.2;1
197308;10.6;1
197309;6.9;1
197310;1.3;1
197311;-1;1
197312;-5;1
197401;-1.9;1
197402;-3.3;1
197403;-0.6;1
197404;0.1;1
197405;2.9;1
197406;5.6;1
197407;7.8;1
197408;8.8;1
197409;5.2;1
197410;-1.6;1
197411;-1.1;1
197412;-1.5;1
197501;-1.9;1
197502;-3.1;1
197503;-3.4;1
197504;-0.6;1
197505;2.4;1
197506;6;1
197507;8.8;1
197508;9.8;1
197509;7.3;1
197510;1.4;1
197511;-1.6;1
197512;-4.3;1
197601;-4.6;1
197602;-2;1
197603;-3.1;1
197604;-1;1
197605;4.3;1
197606;8;1
197607;9.3;1
197608;8;1
197609;4.6;1
197610;3.3;1
197611;-2.1;1
197612;-3.5;1
197701;-4.5;1
197702;-2.5;1
197703;-1.6;1
197704;-1.4;1
197705;2;1
197706;5.3;1
197707;7.5;1
197708;7.1;1
197709;5.1;1
197710;5.5;1
197711;-2;1
197712;-1.4;1
197801;-5.3;1
197802;-4.4;1
197803;-1.7;1
197804;-1.5;1
197805;2.6;1
197806;5.1;1
197807;8.2;1
197808;7.6;1
197809;4.9;1
