# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 7144001
# NOM_USUEL= LOUBARESSE
# LATITUDE (°) = 44.6
# LONGITUDE(°)= 4.049
# ALTITUDE (m) = 1220
# NUM_SERIE= MTN107144001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195601 201812
# Date(s) de rupture(s) d'homogénéité : 196112 198412 198807
#     Periode homogénéisée  195601 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;-1.8;1
195602;-13.5;1
195603;-1.8;1
195604;-0.1;1
195605;5.8;1
195606;6.4;1
195607;9.9;1
195608;9.7;1
195609;9.2;1
195610;3.5;1
195611;-2;1
195612;-1.8;1
195701;-2.8;1
195702;-0.5;1
195703;2.4;1
195704;1.9;1
195705;2.4;1
195706;8.5;1
195707;10.5;1
195708;10;1
195709;7.9;1
195710;4.8;1
195711;0.7;1
195712;-2.9;1
195801;-3.4;1
195802;-0.6;1
195803;-3;1
195804;-0.8;1
195805;6.9;1
195806;7.2;1
195807;10.3;1
195808;11.1;1
195809;10.2;1
195810;4.3;1
195811;1.3;1
195812;-1.2;1
195901;-3.2;1
195902;0.1;1
195903;1.2;1
195904;1.6;1
195905;5.1;1
195906;8.9;1
195907;12.6;1
195908;10.4;1
195909;10;1
195910;4.4;1
195911;-0.1;1
195912;-1.2;1
196001;-4;1
196002;-1.2;1
196003;0;1
196004;1.2;1
196005;6.7;1
196006;10;1
196007;8.8;1
196008;9.8;1
196009;6.8;1
196010;3.7;1
196011;1;1
196012;-3.6;1
196101;-3.4;1
196102;1;1
196103;0.7;1
196104;4.4;1
196105;4.4;1
196106;9.2;1
196107;10.1;1
196108;11.1;1
196109;11.6;1
196110;5.6;1
196111;0.4;1
196112;-0.4;1
196201;-1.6;1
196202;-4.1;1
196203;-4.5;1
196204;1.1;1
196205;3.3;1
196206;8.2;1
196207;9.6;1
196208;12;1
196209;8.4;1
196210;4.9;1
196211;-1.9;1
196212;-4.7;1
196301;-6.7;1
196302;-7;1
196303;-1.1;1
196304;1.8;1
196305;4.1;1
196306;8.3;1
196307;12;1
196308;9;1
196309;8.3;1
196310;5.2;1
196311;2.4;1
196312;-2.8;1
196401;-2.6;1
196402;-1.7;1
196403;-1.3;1
196404;2.1;1
196405;7.1;1
196406;9.4;1
196407;12.4;1
196408;10.4;1
196409;9.7;1
196410;2.5;1
196411;1.9;1
196412;-3.4;1
196501;-3;1
196502;-6.5;1
196503;-1.4;1
196504;1;1
196505;5.2;1
196506;9.2;1
196507;9.4;1
196508;9.7;1
196509;6;1
196510;6.7;1
196511;0;1
196512;-1.2;1
196601;-3.5;1
196602;1.1;1
196603;-2.1;1
196604;2.6;1
196605;5.4;1
196606;8.8;1
196607;8.8;1
196608;9.6;1
196609;10.2;1
196610;6.2;1
196611;-2.5;1
196612;-1.8;1
196701;-3.3;1
196702;-2;1
196703;0.2;1
196704;0.5;1
196705;4.2;1
196706;7;1
196707;12.7;1
196708;10.9;1
196709;7.7;1
196710;7.2;1
196711;2.1;1
196712;-4.7;1
196801;-3.9;1
196802;-2.1;1
196803;-1.3;1
196804;2;1
196805;3.9;1
196806;7.8;1
196807;10.3;1
196808;9.3;1
196809;7.2;1
196810;7.3;1
196811;1.2;1
196812;-2.6;1
196901;-2.1;1
196902;-5.9;1
196903;-0.5;1
196904;1.5;1
196905;5.2;1
196906;6.3;1
196907;11.1;1
196908;10.5;1
196909;8.6;1
196910;6.4;1
196911;-0.1;1
196912;-6;1
197001;-1.9;1
197002;-2.9;1
197003;-3.7;1
197004;-0.5;1
197005;4.1;1
197006;10;1
197007;10.2;1
197008;11.3;1
197009;8.9;1
197010;4.4;1
197011;2;1
197012;-3.9;1
197101;-2;1
197102;-3.6;1
197103;-5.7;1
197104;3;1
197105;6.8;1
197106;7.6;1
197107;12.4;1
197108;11.7;1
197109;7.9;1
197110;6.1;1
197111;-1.7;1
197112;0.9;1
197201;-2.5;1
197202;-1;1
197203;0.4;1
197204;0.4;1
197205;3.4;1
197206;7.1;1
197207;9.8;1
197208;9.5;1
