# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 7261001
# NOM_USUEL= ST-LAURENT PAPE
# LATITUDE (°) = 44.818
# LONGITUDE(°)= 4.747
# ALTITUDE (m) = 112
# NUM_SERIE= MTN107261001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196412 197312 199312 200312 201112
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-1.2;1
195902;-1.4;1
195903;5.3;1
195904;6.4;1
195905;9.7;1
195906;14.8;1
195907;17.1;1
195908;15.6;1
195909;13.7;1
195910;7;1
195911;2.8;1
195912;2.3;1
196001;-1.1;1
196002;0.7;1
196003;5;1
196004;6;1
196005;9;1
196006;13.6;1
196007;13.2;1
196008;12.8;1
196009;9.5;1
196010;7.4;1
196011;3.7;1
196012;-0.1;1
196101;-0.5;1
196102;2.3;1
196103;1.7;1
196104;7.5;1
196105;8.6;1
196106;13.1;1
196107;13.5;1
196108;12.7;1
196109;12.9;1
196110;8.2;1
196111;2.8;1
196112;1.4;1
196201;2.5;1
196202;-0.2;1
196203;0.8;1
196204;5.8;1
196205;6.6;1
196206;11.7;1
196207;13.8;1
196208;14.2;1
196209;10.8;1
196210;7;1
196211;2.4;1
196212;-4;1
196301;-3.5;1
196302;-3.3;1
196303;2.3;1
196304;6.6;1
196305;8.5;1
196306;12.8;1
196307;15;1
196308;13.4;1
196309;12;1
196310;7.1;1
196311;6.1;1
196312;-2.9;1
196401;-1.5;1
196402;3.4;1
196403;3.4;1
196404;5.8;1
196405;9.7;1
196406;14.1;1
196407;14.8;1
196408;13.4;1
196409;12.1;1
196410;6.2;1
196411;2.7;1
196412;-0.2;1
196501;0.7;1
196502;-1.4;1
196503;2.4;1
196504;5.5;1
196505;8.7;1
196506;12.4;1
196507;13.6;1
196508;13.3;1
196509;10.5;1
196510;8.2;1
196511;3.6;1
196512;1;1
196601;-1.5;1
196602;3.5;1
196603;2;1
196604;7;1
196605;10;1
196606;13.2;1
196607;13.6;1
196608;13.2;1
196609;12.7;1
196610;9.3;1
196611;2.2;1
196612;0.4;1
196701;0;1
196702;1.1;1
196703;3.5;1
196704;4.3;1
196705;8.6;1
196706;11.9;1
196707;15.1;1
196708;14.2;1
196709;10.6;1
196710;9.2;1
196711;4.1;1
196712;-1.1;1
196801;-1.4;1
196802;2.7;1
196803;2.2;1
196804;5.4;1
196805;8.6;1
196806;11.9;1
196807;14;1
196808;12.8;1
196809;10;1
196810;10.1;1
196811;3;1
196812;0.4;1
196901;0.3;1
196902;-1.7;1
196903;4;1
196904;5.8;1
196905;8.9;1
196906;11.9;1
196907;14.7;1
196908;14.1;1
196909;11.6;1
196910;7.6;1
196911;3.1;1
196912;-2.9;1
197001;2;1
197002;0.8;1
197003;0.9;1
197004;4.4;1
197005;8.2;1
197006;13.4;1
197007;14.1;1
197008;13.8;1
197009;11.3;1
197010;6.2;1
197011;3;1
197012;-1.1;1
197101;-5.6;1
197102;0;1
197103;-1.1;1
197104;6.4;1
197105;9.2;1
197106;11.3;1
197107;14.4;1
197108;14.5;1
197109;10.2;1
197110;6.4;1
197111;2;1
197112;0.1;1
197201;1.4;1
197202;2.6;1
197203;2.7;1
197204;5.9;1
197205;7.6;1
197206;10.8;1
197207;14.3;1
197208;12.9;1
197209;8.6;1
197210;6.3;1
197211;3.7;1
197212;-0.1;1
197301;0;1
197302;0.6;1
197303;0.8;1
197304;4.3;1
197305;9.1;1
197306;13.5;1
197307;15.1;1
197308;15.4;1
197309;11.5;1
197310;6.1;1
197311;2.4;1
197312;0.1;1
197401;2.8;1
197402;2.4;1
197403;4.2;1
197404;4.9;1
197405;8.6;1
197406;11.8;1
197407;14.2;1
197408;14.1;1
197409;10.3;1
197410;3.5;1
197411;3.9;1
197412;3;1
197501;2.2;1
197502;0.8;1
197503;2.2;1
197504;4.4;1
197505;8.7;1
197506;11.7;1
197507;14.1;1
197508;15.2;1
197509;12.5;1
197510;5.1;1
197511;3.5;1
197512;0.2;1
197601;0.5;1
197602;1.8;1
197603;1.4;1
197604;4.1;1
197605;9.4;1
197606;13.2;1
197607;15.6;1
197608;12.6;1
197609;10.6;1
197610;8.4;1
197611;3.6;1
197612;-0.1;1
197701;1.7;1
197702;3.3;1
197703;4.8;1
197704;5.1;1
197705;8.8;1
197706;12.1;1
197707;13.9;1
197708;13;1
197709;9.3;1
197710;9.1;1
197711;3.1;1
197712;1.8;1
197801;-0.2;1
197802;0.7;1
197803;3.5;1
197804;4.3;1
197805;8.7;1
197806;11.3;1
197807;14;1
197808;12.8;1
197809;10.8;1
197810;6;1
197811;0.7;1
197812;1.9;1
197901;-1.7;1
197902;2;1
197903;4.4;1
197904;4.4;1
197905;8.2;1
197906;13.9;1
197907;15.5;1
197908;13.6;1
197909;11.4;1
197910;9.9;1
197911;2.6;1
197912;1;1
198001;-0.2;1
198002;2.5;1
198003;3;1
198004;4.8;1
198005;8;1
198006;12.1;1
198007;13.5;1
198008;16.1;1
198009;13.2;1
198010;7.7;1
198011;2.2;1
198012;-2;1
198101;-1;1
198102;-1.5;1
198103;5.2;1
198104;5.8;1
198105;8.5;1
198106;12.3;1
198107;13.8;1
198108;14.8;1
198109;12.6;1
198110;6.9;1
198111;1.9;1
198112;0.8;1
198201;2;1
198202;1.2;1
198203;1.5;1
198204;4.9;1
198205;7.8;1
198206;14.8;1
198207;17.5;1
198208;15.3;1
198209;13;1
198210;6.9;1
198211;5.2;1
198212;1.8;1
198301;-0.9;1
198302;-2;1
198303;2.8;1
198304;5.7;1
198305;8.8;1
198306;13.9;1
