# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 9023002
# NOM_USUEL= ASCOU LAVAIL
# LATITUDE (°) = 42.724
# LONGITUDE(°)= 1.895
# ALTITUDE (m) = 1100
# NUM_SERIE= MTN109023002
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196510 198812 200604 201212
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-3.6;1
195902;-4;1
195903;0.7;1
195904;1.1;1
195905;3.4;1
195906;5.9;1
195907;9.1;1
195908;8;1
195909;7.5;1
195910;3.2;1
195911;-1.6;1
195912;-3.5;1
196001;-4.2;1
196002;-2.7;1
196003;-0.3;1
196004;-0.2;1
196005;4.2;1
196006;7.1;1
196007;8;1
196008;7.8;1
196009;5.6;1
196010;2.6;1
196011;-0.2;1
196012;-5.6;1
196101;-5.9;1
196102;-1.4;1
196103;-1.3;1
196104;1.8;1
196105;3.9;1
196106;6.7;1
196107;8.7;1
196108;7.7;1
196109;7.7;1
196110;3.1;1
196111;-0.9;1
196112;-2.6;1
196201;-2.9;1
196202;-5.6;1
196203;-2.8;1
196204;-0.7;1
196205;2.4;1
196206;4.4;1
196207;7.6;1
196208;8.2;1
196209;6.9;1
196210;2.6;1
196211;-2.4;1
196212;-5.3;1
196301;-6.7;1
196302;-8.6;1
196303;-3;1
196304;0.1;1
196305;2.5;1
196306;6.1;1
196307;8.7;1
196308;7.1;1
196309;5.9;1
196310;2.1;1
196311;1.6;1
196312;-5.9;1
196401;-5.5;1
196402;-4;1
196403;-2.7;1
196404;0.3;1
196405;4.9;1
196406;6.8;1
196407;8.5;1
196408;8;1
196409;8.1;1
196410;0.8;1
196411;-0.8;1
196412;-5.3;1
196501;-5.4;1
196502;-7.9;1
196503;-2.9;1
196504;-0.1;1
196505;3;1
196506;6.5;1
196507;8;1
196508;6.9;1
196509;4.4;1
196510;3.4;1
196511;-0.8;1
196512;-2.3;1
196601;-2.1;1
196602;0.6;1
196603;-2.8;1
196604;1.5;1
196605;3;1
196606;6.8;1
196607;8;1
196608;8.2;1
196609;6.9;1
196610;3.7;1
196611;-2.8;1
196612;-2.5;1
196701;-4.9;1
196702;-2.9;1
196703;-0.4;1
196704;-0.4;1
196705;2.8;1
196706;4.9;1
196707;9.7;1
196708;8.4;1
196709;6.5;1
196710;4.1;1
196711;0.2;1
196712;-6;1
196801;-3.7;1
196802;-4;1
196803;-2.4;1
196804;1.9;1
196805;2.3;1
196806;5.8;1
196807;8.1;1
196808;7.3;1
196809;5.5;1
196810;3.8;1
196811;0.7;1
196812;-3.5;1
196901;-3.4;1
196902;-6.7;1
196903;-1.3;1
196904;1.1;1
196905;4.2;1
196906;4.9;1
196907;8.5;1
196908;8.2;1
196909;4.9;1
196910;3.1;1
196911;-2.4;1
196912;-6.8;1
197001;-2.5;1
197002;-3.7;1
197003;-4.4;1
197004;-0.9;1
197005;2.2;1
197006;6.6;1
197007;7.9;1
197008;8.8;1
197009;6.4;1
197010;1.4;1
