# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 9289001
# NOM_USUEL= ST GIRONS
# LATITUDE (°) = 43.005
# LONGITUDE(°)= 1.107
# ALTITUDE (m) = 414
# NUM_SERIE= MTN109289001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 198812 200711
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;3.3;1
195502;0.2;1
195503;0.5;1
195504;3.9;1
195505;7.8;1
195506;11.5;1
195507;13.5;1
195508;13.2;1
195509;10.8;1
195510;5.3;1
195511;-0.2;1
195512;2;1
195601;0.9;1
195602;-9;1
195603;1.1;1
195604;3.6;1
195605;7;1
195606;9.3;1
195607;11.9;1
195608;11.9;1
195609;10.7;1
195610;5.3;1
195611;0.1;1
195612;-0.7;1
195701;-2.8;1
195702;1.7;1
195703;4.6;1
195704;3.6;1
195705;6.8;1
195706;10.4;1
195707;13.4;1
195708;12.8;1
195709;10.7;1
195710;5.4;1
195711;1.3;1
195712;0;1
195801;-0.3;1
195802;1.1;1
195803;2.2;1
195804;3.4;1
195805;8.7;1
195806;11.1;1
195807;12.7;1
195808;13.5;1
195809;13.6;1
195810;6;1
195811;3.2;1
195812;1.4;1
195901;-1.2;1
195902;-0.8;1
195903;3.4;1
195904;4.8;1
195905;7.9;1
195906;10.6;1
195907;13.8;1
195908;13;1
195909;12.3;1
195910;7.5;1
195911;1.5;1
195912;2;1
196001;-1.1;1
196002;0.8;1
196003;3.8;1
196004;4.6;1
196005;8;1
196006;12.2;1
196007;12.6;1
196008;12;1
196009;9.8;1
196010;5.8;1
196011;3.5;1
196012;-0.6;1
196101;-0.2;1
196102;2.4;1
196103;1.9;1
196104;6.4;1
196105;7.9;1
196106;11.5;1
196107;12.3;1
196108;12.5;1
196109;12.9;1
196110;7.3;1
196111;2.1;1
196112;0.6;1
196201;0.9;1
196202;-0.7;1
196203;0.8;1
196204;3.7;1
196205;7.1;1
196206;9.4;1
196207;12.7;1
196208;13.4;1
196209;11.1;1
196210;8.5;1
196211;0.9;1
196212;-2.5;1
196301;-3.2;1
196302;-2.8;1
196303;2;1
196304;4.5;1
196305;6.4;1
196306;10.8;1
196307;13.5;1
196308;11.7;1
196309;10.2;1
196310;6;1
196311;3.7;1
196312;-2.9;1
196401;-2.8;1
196402;0.9;1
196403;1.8;1
196404;4.8;1
196405;9;1
196406;12.1;1
196407;13.4;1
196408;12.7;1
196409;12.8;1
196410;4.9;1
196411;2.3;1
196412;-1.4;1
196501;-0.5;1
196502;-2.4;1
196503;2.3;1
196504;5.3;1
196505;7.5;1
196506;11.4;1
196507;12.2;1
196508;11.7;1
196509;8.7;1
196510;8;1
196511;2.3;1
196512;1.9;1
196601;1.2;1
196602;3.8;1
196603;1.7;1
196604;5.8;1
196605;7.3;1
196606;11.3;1
196607;12.3;1
196608;12.2;1
196609;11;1
196610;7.8;1
196611;1.4;1
196612;2.1;1
196701;-1;1
196702;0.1;1
196703;3.6;1
196704;3.8;1
196705;6.8;1
196706;9.2;1
196707;14.1;1
196708;12.8;1
196709;10.2;1
196710;8.2;1
196711;3;1
196712;-1.9;1
196801;0.6;1
196802;0.6;1
196803;1.5;1
196804;4.7;1
196805;6.3;1
196806;10.1;1
196807;12.1;1
196808;12.3;1
196809;10;1
196810;7.7;1
196811;3.9;1
196812;0.8;1
196901;0.1;1
196902;-2;1
196903;3.3;1
196904;5.4;1
196905;7.5;1
196906;9.4;1
196907;13.2;1
196908;12.7;1
196909;9.5;1
196910;6.6;1
196911;1.4;1
196912;-1.1;1
197001;0.7;1
197002;1.4;1
197003;0.5;1
197004;3.9;1
197005;6.7;1
197006;12;1
197007;12.7;1
197008;13.3;1
197009;10.4;1
197010;5;1
197011;4.2;1
197012;-2.8;1
197101;-0.6;1
197102;-0.6;1
197103;-1.4;1
197104;5;1
197105;8.3;1
197106;9.6;1
197107;13.4;1
197108;14;1
197109;10.3;1
197110;7.4;1
197111;0.3;1
197112;0;1
197201;-1;1
197202;1.2;1
197203;2.3;1
197204;4.5;1
197205;6.4;1
197206;9.6;1
197207;12;1
197208;11.2;1
197209;8.2;1
197210;5.3;1
197211;2.7;1
197212;-1.4;1
197301;-0.7;1
197302;-1.1;1
197303;-1.1;1
197304;2.6;1
197305;8.1;1
197306;10.9;1
197307;13;1
197308;14.3;1
197309;10.6;1
197310;4;1
197311;0.5;1
197312;-0.3;1
197401;0.4;1
197402;0.7;1
197403;1.9;1
197404;4.3;1
197405;7.1;1
197406;9.8;1
197407;12.3;1
197408;12.7;1
197409;9.4;1
197410;3.5;1
197411;3;1
197412;1.4;1
197501;1;1
197502;0.3;1
197503;1.2;1
197504;4.2;1
197505;6.6;1
197506;10.5;1
197507;12.7;1
197508;13.7;1
197509;10.4;1
197510;5.3;1
197511;1.3;1
197512;-0.6;1
197601;-1.8;1
197602;0.2;1
197603;1;1
197604;3.2;1
197605;7.3;1
197606;11.6;1
197607;13;1
197608;11.9;1
197609;9.1;1
197610;6.1;1
197611;1;1
197612;-1.2;1
197701;-0.2;1
197702;2.4;1
197703;2.6;1
197704;4.5;1
197705;6.5;1
197706;9.8;1
197707;12.4;1
197708;11.6;1
197709;9.7;1
197710;8.2;1
197711;2.1;1
197712;0.9;1
197801;-0.8;1
197802;2.4;1
197803;2.7;1
197804;3.2;1
197805;7;1
197806;9.9;1
197807;12.4;1
197808;12;1
197809;9.6;1
197810;5.3;1
197811;0.3;1
197812;1.1;1
197901;-0.2;1
197902;1.2;1
197903;2.8;1
197904;3.5;1
197905;6.9;1
197906;11.5;1
197907;12.7;1
197908;12.7;1
197909;10.7;1
197910;7.4;1
197911;1.4;1
197912;1.5;1
198001;-0.3;1
198002;1.9;1
198003;2.1;1
198004;4.4;1
198005;7.1;1
198006;9.6;1
198007;11.3;1
198008;13.7;1
198009;11.3;1
198010;5.7;1
198011;1.2;1
198012;-2.2;1
198101;0.3;1
198102;-1.3;1
198103;5.3;1
198104;5;1
198105;6.8;1
198106;11.1;1
198107;12.1;1
198108;13.6;1
198109;11.2;1
198110;7.5;1
198111;1.5;1
198112;2;1
198201;2.3;1
198202;1.5;1
198203;1.6;1
198204;3.4;1
198205;7.5;1
198206;12.8;1
198207;14.8;1
198208;12.9;1
198209;11.1;1
198210;6.7;1
198211;4.2;1
198212;1.3;1
198301;-0.2;1
198302;-1.1;1
198303;2.5;1
198304;4;1
198305;6.2;1
198306;12;1
198307;15.6;1
198308;13.5;1
198309;11;1
198310;6.3;1
198311;5.4;1
198312;-0.3;1
198401;0.5;1
198402;-0.8;1
198403;0.4;1
198404;4.1;1
198405;5.4;1
198406;10.7;1
198407;12.9;1
198408;12.4;1
198409;9.5;1
198410;6.2;1
198411;4.6;1
198412;-0.8;1
198501;-4.7;1
198502;1.5;1
198503;0.4;1
198504;4.7;1
198505;6.6;1
198506;11.1;1
198507;14.6;1
198508;11.8;1
198509;10.9;1
198510;7.4;1
198511;0.6;1
198512;-0.6;1
198601;1.2;1
198602;-1.2;1
198603;2.6;1
198604;3.3;1
198605;8.9;1
198606;11.8;1
198607;13.2;1
198608;13;1
198609;11.1;1
198610;8.7;1
198611;1.5;1
198612;0.6;1
198701;-3.7;1
198702;1.1;1
198703;2.8;1
198704;6.6;1
198705;7;1
198706;11;1
198707;14.1;1
198708;14.4;1
198709;13.1;1
198710;8.4;1
198711;2.6;1
198712;0.6;1
198801;2.7;1
198802;-0.2;1
198803;2.4;1
198804;5.7;1
198805;9.2;1
198806;11.1;1
198807;12.7;1
198808;14.4;1
198809;10.2;1
198810;7.3;1
198811;1.7;1
198812;-0.1;1
198901;-1.9;1
198902;0.2;1
198903;4.4;1
198904;3.9;1
198905;9.3;1
198906;11.5;1
198907;14.4;1
198908;14.7;1
198909;10.2;1
198910;6.8;1
198911;4.2;1
198912;1.8;1
199001;-0.1;1
199002;4.4;1
199003;3.4;1
199004;4.1;1
199005;9.3;1
199006;12.2;1
199007;13.7;1
199008;13.6;1
199009;12.1;1
199010;7.6;1
199011;3.9;1
199012;-2.3;1
199101;-1.1;1
199102;-0.9;1
199103;4.8;1
199104;3.5;1
199105;7.3;1
199106;11.4;1
199107;14.7;1
199108;15.4;1
199109;12.7;1
199110;5.4;1
199111;2.9;1
199112;-0.8;1
199201;-2;1
199202;-0.2;1
199203;3.1;1
199204;4.9;1
199205;9.5;1
199206;10.3;1
199207;14.4;1
199208;15.2;1
199209;10.8;1
199210;7.3;1
199211;5.3;1
199212;2;1
199301;-0.1;1
199302;-0.7;1
199303;2;1
199304;4.9;1
199305;9.2;1
199306;12.3;1
199307;12.8;1
199308;13.8;1
199309;10.4;1
199310;5.7;1
199311;1.7;1
199312;2.7;1
199401;0.2;1
199402;1.3;1
199403;5.6;1
199404;4;1
199405;8.5;1
199406;11.8;1
199407;16;1
199408;15.6;1
199409;10.7;1
199410;8.6;1
199411;5.8;1
199412;1.5;1
199501;-0.1;1
199502;3.1;1
199503;1.6;1
199504;4.4;1
199505;8.5;1
199506;11.1;1
199507;14.9;1
199508;14.3;1
199509;9.3;1
199510;9.2;1
199511;2.9;1
199512;1.4;1
199601;2.1;1
