# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 10057001
# NOM_USUEL= BOUY-SUR-ORVIN
# LATITUDE (°) = 48.44
# LONGITUDE(°)= 3.505
# ALTITUDE (m) = 102
# NUM_SERIE= MTN110057001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : 197009 198512 198911 199312 200205
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1.7;1
195302;-0.6;1
195303;-1;1
195304;4.2;1
195305;7.5;1
195306;10.5;1
195307;12.3;1
195308;11.6;1
195309;10.4;1
195310;7.4;1
195311;1.6;1
195312;3;1
195401;-3.1;1
195402;-1.8;1
195403;2.6;1
195404;1.9;1
195405;6;1
195406;9.9;1
195407;9.9;1
195408;11.7;1
195409;11;1
195410;7.3;1
195411;3.6;1
195412;3.5;1
195501;0.5;1
195502;0;1
195503;-1.4;1
195504;2.2;1
195505;5.4;1
195506;10;1
195507;12.5;1
195508;11.3;1
195509;9.2;1
195510;4.5;1
195511;2.2;1
195512;3.4;1
195601;0.6;1
195602;-11.1;1
195603;1.2;1
195604;2.2;1
195605;7.3;1
195606;8.6;1
195607;12.1;1
195608;10.2;1
195609;10.4;1
195610;5.5;1
195611;1.3;1
195612;3;1
195701;-1.4;1
195702;3.9;1
195703;4.3;1
195704;2.6;1
195705;4.3;1
195706;10.6;1
195707;13.3;1
195708;11.3;1
195709;10.3;1
195710;6.2;1
195711;3.6;1
195712;0.1;1
195801;0.5;1
195802;2.6;1
195803;-1.3;1
195804;2.9;1
195805;8.2;1
195806;9.6;1
195807;12.1;1
195808;13.2;1
195809;11.7;1
195810;7.6;1
195811;2.9;1
195812;1.8;1
195901;-0.6;1
195902;-1.5;1
195903;2.7;1
195904;4.3;1
195905;7.6;1
195906;10.1;1
195907;12.9;1
195908;12.2;1
195909;9.1;1
195910;4.6;1
195911;3;1
195912;2.9;1
196001;-0.2;1
196002;0.2;1
196003;3.4;1
196004;4;1
196005;7.6;1
196006;12;1
196007;11.1;1
196008;12.1;1
196009;8.5;1
196010;7.4;1
196011;5.5;1
196012;0.5;1
196101;0.5;1
196102;3.7;1
196103;1.6;1
196104;6.9;1
196105;6.4;1
196106;10;1
196107;10.3;1
196108;11.1;1
196109;13.1;1
196110;8.4;1
196111;2.8;1
196112;1.2;1
196201;1.7;1
196202;-0.5;1
196203;-1.2;1
196204;4.4;1
196205;6;1
196206;8.2;1
196207;10.3;1
196208;11.5;1
196209;8.6;1
196210;6.2;1
196211;2.3;1
196212;-2.5;1
196301;-5.4;1
196302;-6.2;1
196303;2;1
196304;4.7;1
196305;6.7;1
196306;11.2;1
196307;12.1;1
196308;11.3;1
196309;10.5;1
196310;6.9;1
196311;6;1
196312;-2.5;1
196401;-2.6;1
196402;2.7;1
196403;1.7;1
196404;4.7;1
196405;7.5;1
196406;9.8;1
196407;11.9;1
196408;12.3;1
196409;10.5;1
196410;4.8;1
196411;4.3;1
196412;-0.5;1
196501;1.6;1
196502;-2.6;1
196503;2;1
196504;3.9;1
196505;7.1;1
196506;10.1;1
196507;10.8;1
196508;11.4;1
196509;9.1;1
196510;6.4;1
196511;3.2;1
196512;3.8;1
196601;-2;1
196602;5.1;1
196603;1.4;1
196604;6.4;1
196605;8;1
196606;11.6;1
196607;11.8;1
196608;11.6;1
196609;10.5;1
196610;9.6;1
196611;1.9;1
196612;2.9;1
196701;0;1
196702;1.8;1
196703;3.5;1
196704;2.3;1
196705;6.8;1
196706;9;1
196707;13;1
196708;12.2;1
196709;11;1
196710;9.1;1
196711;3.2;1
196712;0.2;1
196801;0.5;1
196802;1;1
196803;2.4;1
196804;4.5;1
196805;6.6;1
196806;10.2;1
196807;11.4;1
196808;12.7;1
196809;10.7;1
196810;9.3;1
196811;2.4;1
196812;-1.1;1
196901;1.6;1
196902;-1.4;1
196903;2.4;1
196904;4;1
196905;7.4;1
196906;9;1
196907;12.1;1
196908;11.7;1
196909;10;1
196910;5;1
196911;3.4;1
196912;-1.7;1
197001;0.8;1
197002;1.4;1
197003;1;1
197004;3.2;1
197005;7.4;1
197006;12.5;1
197007;11;1
197008;12.2;1
197009;10.5;1
197010;7.1;1
