# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 14239001
# NOM_USUEL= ENGLESQUEVILLE
# LATITUDE (°) = 49.388
# LONGITUDE(°)= -0.957
# ALTITUDE (m) = 38
# NUM_SERIE= MTN114239001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 197006 201312 201906
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.3;1
195102;2;1
195103;3.2;1
195104;4.3;1
195105;7.1;1
195106;10.2;1
195107;12;1
195108;11.7;1
195109;11.7;1
195110;8.3;1
195111;6.8;1
195112;3.3;1
195201;1.6;1
195202;2;1
195203;5.2;1
195204;6.4;1
195205;9.2;1
195206;10.1;1
195207;12.3;1
195208;12.9;1
195209;9.3;1
195210;7.8;1
195211;3.4;1
195212;2;1
195301;-0.1;1
195302;1.7;1
195303;3.1;1
195304;5.7;1
195305;9.3;1
195306;10.3;1
195307;11.7;1
195308;12.6;1
195309;10.5;1
195310;9.1;1
195311;5.2;1
195312;5.9;1
195401;0.6;1
195402;1.1;1
195403;4.1;1
195404;5.8;1
195405;7.1;1
195406;9.5;1
195407;10.9;1
195408;11.6;1
195409;10.6;1
195410;10.4;1
195411;5.9;1
195412;4.8;1
195501;1.4;1
195502;1.6;1
195503;1.4;1
195504;5.8;1
195505;7.1;1
195506;10.9;1
195507;13;1
195508;13.7;1
195509;11;1
195510;7;1
195511;5.5;1
195512;4.4;1
195601;2.4;1
195602;-4.2;1
195603;3.2;1
195604;4.5;1
195605;7.7;1
195606;9.7;1
195607;12.2;1
195608;10.6;1
195609;12.5;1
195610;8.4;1
195611;4.8;1
195612;4.6;1
195701;2.7;1
195702;4.3;1
195703;7.1;1
195704;6.5;1
195705;7.8;1
