# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 15118002
# NOM_USUEL= MARMANHAC
# LATITUDE (°) = 45.003
# LONGITUDE(°)= 2.475
# ALTITUDE (m) = 644
# NUM_SERIE= MTN115118002
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 197612 200612
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-1.1;1
195102;-1.4;1
195103;0.1;1
195104;2.6;1
195105;5.2;1
195106;8.8;1
195107;8.6;1
195108;9.7;1
195109;7.9;1
195110;4.2;1
195111;2.7;1
195112;-0.5;1
195201;-3.6;1
195202;-5.5;1
195203;3.2;1
195204;3.8;1
195205;5.1;1
195206;9.6;1
195207;13.3;1
195208;11.4;1
195209;6.9;1
195210;4.7;1
195211;0.4;1
195212;0;1
195301;-7.2;1
195302;-6;1
195303;-0.6;1
195304;3.3;1
195305;7.1;1
195306;7.9;1
195307;10.4;1
195308;10.5;1
195309;8;1
195310;5.5;1
195311;0.9;1
195312;3.5;1
195401;-4.8;1
195402;-4.2;1
195403;0.6;1
195404;1.4;1
195405;4.5;1
195406;7.3;1
195407;9.1;1
195408;9.3;1
195409;7.9;1
195410;4.7;1
195411;2;1
195412;-0.2;1
195501;2.1;1
195502;-1.6;1
195503;-2.1;1
195504;0.9;1
195505;3.9;1
195506;8.5;1
195507;11.7;1
195508;9.5;1
195509;7.6;1
195510;2;1
195511;0;1
195512;1;1
195601;-1.7;1
195602;-13;1
195603;-0.1;1
195604;1.1;1
195605;5.8;1
195606;6.2;1
195607;9.5;1
195608;9.1;1
195609;8.9;1
195610;3.4;1
195611;-1.1;1
195612;-0.8;1
195701;-5;1
195702;0.9;1
195703;3.2;1
195704;1.4;1
195705;3;1
195706;8.5;1
195707;11;1
195708;9.2;1
195709;6.8;1
195710;2.1;1
195711;-0.5;1
195712;-3.2;1
195801;-1.4;1
195802;0.6;1
195803;-0.4;1
195804;1.1;1
195805;7.1;1
195806;7.2;1
195807;11.7;1
195808;11.7;1
195809;9.9;1
195810;3.6;1
195811;0.8;1
195812;-0.2;1
195901;-3.1;1
195902;-1.2;1
195903;2.8;1
195904;3.5;1
195905;5.6;1
195906;8.7;1
195907;11.8;1
195908;9.5;1
195909;9.8;1
195910;4.4;1
195911;0.5;1
195912;0.4;1
196001;-3.8;1
196002;-0.7;1
196003;2.2;1
196004;1.6;1
196005;5.5;1
196006;8.8;1
196007;8.9;1
196008;9.6;1
196009;6.3;1
196010;4.6;1
196011;2.2;1
196012;-3.6;1
196101;-2;1
196102;0.4;1
196103;-1.6;1
196104;5.1;1
196105;4.6;1
196106;9.1;1
196107;10.2;1
196108;9;1
196109;9.9;1
196110;5.2;1
196111;1.3;1
196112;-0.6;1
196201;-0.1;1
196202;-3.5;1
196203;-2.8;1
196204;1.9;1
196205;4.4;1
196206;6.4;1
196207;9.8;1
196208;9.3;1
196209;6.6;1
196210;4.7;1
196211;-0.4;1
196212;-4;1
196301;-5.6;1
196302;-6.8;1
196303;0.2;1
196304;2.1;1
196305;3.6;1
196306;8.7;1
196307;11.5;1
196308;9.2;1
196309;8;1
196310;3.4;1
196311;3.6;1
196312;-2.4;1
196401;-5.1;1
196402;-1.1;1
196403;0;1
196404;2.8;1
196405;7.1;1
196406;9;1
196407;12;1
196408;10;1
196409;8.8;1
196410;3;1
196411;0.8;1
196412;-3.4;1
196501;-3;1
196502;-5.4;1
196503;0.2;1
196504;2.3;1
196505;5.4;1
196506;9.3;1
196507;10.1;1
196508;9.3;1
196509;6.6;1
196510;5.7;1
196511;2.3;1
196512;0.5;1
196601;-2.9;1
196602;2.5;1
196603;-1.5;1
196604;3.7;1
196605;5;1
196606;8.4;1
196607;9.2;1
196608;8.7;1
196609;6.9;1
196610;7;1
196611;-3.2;1
196612;-0.6;1
196701;-2.9;1
196702;-1.4;1
196703;1.7;1
196704;0.8;1
196705;5;1
196706;6.4;1
196707;11.2;1
196708;10.1;1
196709;7.1;1
196710;7.9;1
196711;1.3;1
196712;-8;1
196801;-4.3;1
196802;-1.7;1
196803;-1.3;1
196804;2.3;1
196805;5;1
196806;7.2;1
196807;9.5;1
196808;9.5;1
196809;7.9;1
196810;6;1
196811;2.4;1
196812;0.1;1
196901;-1;1
196902;-5.5;1
196903;0.9;1
196904;1.9;1
196905;7.4;1
196906;8.4;1
196907;11.7;1
196908;10.3;1
196909;6.3;1
196910;3.8;1
196911;1.2;1
196912;-5.9;1
197001;-0.7;1
197002;-1.2;1
197003;-2.3;1
197004;1.9;1
197005;6;1
197006;9.5;1
197007;8.8;1
197008;10.2;1
197009;7.4;1
197010;2.1;1
197011;0.8;1
197012;-4.2;1
197101;-2.7;1
197102;-4;1
197103;-3.5;1
197104;4.5;1
197105;8.2;1
197106;9.3;1
197107;12.7;1
197108;11.2;1
197109;7.1;1
197110;2.6;1
197111;-2.5;1
197112;-2.2;1
197201;-1.3;1
197202;0.3;1
197203;0.5;1
197204;1.4;1
197205;3.2;1
197206;7;1
197207;10;1
197208;7;1
197209;5.2;1
197210;2.8;1
197211;1.1;1
197212;-0.9;1
197301;-3.5;1
197302;-4.5;1
197303;-3.9;1
197304;-0.8;1
197305;7.3;1
197306;8.9;1
197307;10.5;1
197308;11.2;1
197309;7.9;1
197310;1.2;1
197311;-2.7;1
197312;-2.8;1
197401;0.3;1
197402;-0.8;1
197403;1.5;1
197404;0.5;1
197405;5.8;1
197406;7.3;1
197407;8.9;1
197408;9.5;1
197409;7.2;1
197410;1;1
197411;1.6;1
197412;1;1
197501;-0.3;1
197502;-1.4;1
197503;-1.2;1
197504;1.8;1
197505;5.2;1
197506;9;1
197507;12.3;1
197508;11.6;1
197509;8.1;1
197510;1.7;1
197511;0.2;1
197512;-2.9;1
197601;-2.5;1
197602;-0.8;1
197603;-0.7;1
197604;0.2;1
197605;6;1
197606;9.9;1
197607;10.6;1
197608;7.3;1
197609;6.3;1
197610;4.7;1
197611;-0.1;1
197612;-0.8;1
197701;-1.8;1
197702;1.2;1
197703;1.3;1
197704;1.7;1
197705;6.6;1
197706;7.8;1
197707;9.3;1
197708;8.1;1
197709;3.9;1
197710;6.2;1
197711;-0.7;1
197712;-0.9;1
197801;-2.9;1
197802;-1.1;1
197803;0;1
197804;0.9;1
197805;4.7;1
197806;7.9;1
197807;9.6;1
197808;7.8;1
197809;4.7;1
197810;1.6;1
197811;-2.2;1
197812;0.4;1
197901;-3.7;1
197902;-0.6;1
197903;1.5;1
197904;1.1;1
197905;4.8;1
197906;8.9;1
197907;8.5;1
197908;8.9;1
197909;5.8;1
197910;6.4;1
197911;-0.3;1
197912;-1.9;1
198001;-2.9;1
198002;1.3;1
198003;-0.1;1
198004;1.1;1
198005;4.3;1
198006;7.5;1
198007;8.4;1
198008;10.2;1
198009;6.8;1
198010;2.8;1
198011;-1.3;1
198012;-4.6;1
198101;-3.2;1
198102;-5;1
198103;3.3;1
198104;2;1
198105;5.9;1
198106;7.2;1
198107;10.1;1
198108;9.3;1
198109;7.7;1
198110;5.6;1
