# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 17415003
# NOM_USUEL= SAINTES
# LATITUDE (°) = 45.761
# LONGITUDE(°)= -0.652
# ALTITUDE (m) = 38
# NUM_SERIE= MTN117415003
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 196312 196912 200405
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.6;1
195302;-1.4;1
195303;2.6;1
195304;5.9;1
195305;10.5;1
195306;11.2;1
195307;13.2;1
195308;12.5;1
195309;11;1
195310;7.9;1
195311;2.2;1
195312;5.5;1
195401;0.8;1
195402;0.1;1
195403;5.2;1
195404;3.9;1
195405;8.4;1
195406;10.4;1
195407;11.6;1
195408;12.7;1
195409;12.1;1
195410;8.6;1
195411;5;1
195412;4.7;1
195501;3.9;1
195502;2.3;1
195503;0.8;1
195504;5.1;1
195505;7.8;1
195506;12.5;1
195507;15.5;1
195508;14.6;1
195509;11.4;1
195510;6.5;1
195511;3.2;1
195512;6;1
195601;3.3;1
195602;-7.3;1
195603;4.8;1
195604;4.6;1
195605;9.6;1
195606;10.4;1
195607;13.8;1
195608;12.7;1
195609;12.4;1
195610;7;1
195611;1.2;1
195612;3.3;1
195701;0.1;1
195702;5.5;1
195703;7.8;1
195704;5.3;1
195705;7.7;1
195706;13;1
195707;14.3;1
195708;12.7;1
195709;11;1
195710;7.7;1
195711;4;1
195712;2.2;1
195801;3.5;1
195802;4.7;1
195803;4.1;1
195804;5.3;1
195805;9.1;1
195806;11.1;1
195807;12.6;1
195808;12.6;1
195809;12.8;1
195810;7.1;1
195811;3.6;1
195812;2.8;1
195901;2.1;1
195902;1.5;1
195903;5.9;1
195904;7.9;1
195905;11.4;1
195906;13.1;1
195907;15.8;1
195908;13.6;1
195909;12.7;1
195910;8.3;1
195911;6.5;1
195912;5.3;1
196001;2.4;1
196002;2.7;1
196003;6.2;1
196004;5;1
196005;9.3;1
196006;11.9;1
196007;12.3;1
196008;11.3;1
196009;9.9;1
196010;7.6;1
196011;6.6;1
196012;2.3;1
196101;3.3;1
196102;6.6;1
196103;3.4;1
196104;8.4;1
196105;8.4;1
196106;12.3;1
196107;13.7;1
196108;11.8;1
196109;14.1;1
196110;9.2;1
196111;4.9;1
196112;4.5;1
196201;4.1;1
196202;2.3;1
196203;2.1;1
196204;6.3;1
196205;8.3;1
196206;10.2;1
196207;12.8;1
196208;12.9;1
196209;11.6;1
196210;8.7;1
196211;3.5;1
196212;-0.2;1
196301;-2.9;1
196302;-1.1;1
196303;5.7;1
196304;6.2;1
196305;7.7;1
196306;11.7;1
196307;12.8;1
196308;12;1
196309;11.6;1
196310;8.3;1
196311;7.3;1
196312;-0.6;1
196401;-1.3;1
196402;3.9;1
196403;4.4;1
196404;6.1;1
196405;10.3;1
196406;11.8;1
196407;13.8;1
196408;13.5;1
196409;13.5;1
196410;6.6;1
196411;4.2;1
196412;0.9;1
196501;2.6;1
196502;-0.7;1
196503;4.8;1
196504;5.5;1
196505;8.9;1
196506;10.5;1
196507;11.7;1
196508;12.2;1
196509;10;1
196510;9.1;1
196511;5;1
196512;5.4;1
196601;2.9;1
196602;7.1;1
196603;2.9;1
196604;8.2;1
196605;9.2;1
196606;12.4;1
196607;12.9;1
196608;12.5;1
196609;11.8;1
196610;9.7;1
196611;2.9;1
196612;5.4;1
196701;2.2;1
196702;4;1
196703;5;1
196704;4.9;1
196705;8.7;1
196706;10.9;1
196707;13.9;1
196708;12.7;1
196709;10.6;1
196710;10.7;1
196711;5.9;1
196712;1.2;1
196801;2.9;1
196802;3.1;1
196803;4;1
196804;5.6;1
196805;7.4;1
196806;11;1
196807;13.1;1
196808;13.4;1
196809;12.7;1
196810;11.4;1
196811;5.1;1
196812;2.6;1
196901;3.8;1
196902;0.3;1
196903;4.7;1
196904;6.8;1
196905;9.1;1
196906;10;1
196907;13.4;1
196908;13.3;1
196909;11.6;1
196910;7.8;1
196911;3.9;1
196912;0.7;1
197001;3.6;1
197002;4.7;1
197003;2.8;1
197004;4.4;1
197005;8.3;1
197006;12.9;1
197007;13;1
197008;13.8;1
197009;11.8;1
197010;6.3;1
197011;6.1;1
197012;-0.2;1
197101;2.7;1
197102;1.9;1
197103;0.1;1
197104;8.2;1
197105;10.4;1
197106;10.9;1
197107;14.6;1
197108;12.5;1
197109;10.6;1
197110;7.7;1
197111;1.8;1
197112;2.4;1
197201;2.2;1
197202;4.5;1
197203;5.2;1
197204;5.6;1
197205;7.8;1
197206;8.4;1
197207;11.7;1
197208;12.4;1
197209;8.3;1
197210;7.4;1
197211;4.9;1
197212;2.3;1
197301;1;1
197302;1.2;1
197303;-0.2;1
197304;3.3;1
197305;9.9;1
197306;12.1;1
197307;14.2;1
197308;15.4;1
197309;12.5;1
197310;5.6;1
197311;3.5;1
197312;1.6;1
197401;4.5;1
197402;3.2;1
197403;4.6;1
197404;4.8;1
197405;7.3;1
197406;11.3;1
197407;12.6;1
197408;12.9;1
197409;10.7;1
197410;4.6;1
197411;5.4;1
197412;5;1
197501;4.8;1
197502;2.8;1
197503;2.4;1
197504;5.2;1
197505;7.4;1
197506;11.7;1
197507;12;1
197508;14.5;1
197509;11.6;1
197510;6.4;1
197511;4.1;1
197512;-0.7;1
197601;2.2;1
197602;3.1;1
197603;2.2;1
197604;4.4;1
197605;8;1
197606;12.8;1
197607;15.7;1
197608;14.5;1
197609;10.7;1
197610;9.1;1
197611;3.2;1
197612;2.4;1
197701;1.9;1
197702;5.6;1
197703;5.3;1
197704;5.5;1
197705;9.4;1
197706;12;1
197707;13.6;1
197708;12.4;1
197709;10;1
197710;10.3;1
197711;5.1;1
197712;3.7;1
197801;2.1;1
197802;4.6;1
197803;5.1;1
197804;5.1;1
197805;9.4;1
197806;11.4;1
197807;12.7;1
197808;12;1
197809;10.1;1
197810;7.2;1
197811;2.5;1
197812;4.9;1
197901;0.7;1
197902;3.8;1
197903;5.2;1
197904;6.3;1
197905;8.4;1
197906;11.9;1
197907;13.1;1
197908;12.5;1
197909;10.9;1
197910;10.5;1
197911;3.8;1
197912;4.4;1
198001;1.6;1
198002;5.2;1
198003;4.1;1
198004;4.8;1
198005;8.3;1
198006;11.8;1
198007;12.1;1
198008;13.9;1
198009;12;1
198010;8.1;1
198011;2.9;1
198012;1.3;1
198101;3.2;1
198102;0.7;1
198103;7.4;1
198104;6.7;1
198105;9.8;1
198106;11.3;1
198107;13.5;1
198108;13.8;1
198109;12.7;1
198110;9.7;1
198111;4.5;1
198112;4.5;1
198201;5.8;1
198202;3.6;1
198203;3.9;1
198204;4.4;1
198205;9.5;1
198206;14.2;1
198207;15.5;1
198208;13.3;1
198209;13.4;1
198210;9;1
198211;7;1
198212;4.9;1
198301;4;1
198302;1.6;1
198303;4.7;1
198304;6.3;1
198305;9;1
198306;13.1;1
198307;17.5;1
198308;15.4;1
198309;12.8;1
198310;8.6;1
198311;6.1;1
198312;2.3;1
198401;4;1
198402;2.1;1
198403;2.5;1
198404;5.7;1
198405;7.4;1
198406;12.1;1
198407;13.8;1
198408;12.9;1
198409;10.7;1
198410;8.8;1
198411;7.8;1
198412;2.8;1
198501;-2.3;1
198502;3.5;1
198503;2.6;1
198504;6.9;1
198505;8.6;1
198506;11.8;1
198507;14.5;1
198508;12;1
198509;11.7;1
198510;8.2;1
198511;1.8;1
198512;3.3;1
198601;3.8;1
198602;-1;1
198603;3.8;1
198604;3.9;1
198605;9.6;1
198606;12.4;1
198607;13.9;1
198608;12.1;1
198609;10.4;1
198610;10.2;1
198611;5.1;1
198612;3.6;1
198701;-3;1
198702;2.3;1
198703;2.9;1
198704;7.5;1
198705;7.2;1
198706;11.9;1
198707;14.8;1
198708;13.3;1
198709;13.2;1
198710;10.3;1
198711;4.8;1
198712;3.8;1
198801;6.2;1
198802;3.5;1
198803;4.7;1
198804;7.7;1
198805;11;1
198806;12.9;1
198807;13;1
198808;13.2;1
198809;12;1
198810;10.2;1
198811;3;1
198812;4.3;1
198901;1.8;1
198902;3;1
198903;6.1;1
198904;5.4;1
198905;11.7;1
198906;12.4;1
198907;16.2;1
198908;14.3;1
198909;11.9;1
198910;9.3;1
198911;5.1;1
198912;3.6;1
199001;3.4;1
199002;7.6;1
199003;4.1;1
199004;5.7;1
199005;11.4;1
199006;12.3;1
199007;14.1;1
199008;14.8;1
199009;11.4;1
199010;10.2;1
199011;5.8;1
199012;1;1
199101;2.7;1
199102;-0.3;1
199103;6.8;1
199104;5.1;1
199105;7.9;1
199106;11.3;1
199107;14.3;1
199108;15.4;1
199109;14.1;1
199110;7.9;1
199111;5.5;1
199112;1.8;1
199201;0.1;1
199202;1.9;1
199203;4.5;1
199204;5.6;1
199205;10.5;1
199206;12.7;1
199207;14.4;1
199208;15;1
199209;11.1;1
199210;7.5;1
199211;8.1;1
199212;4.4;1
199301;4.4;1
199302;0.7;1
199303;3.6;1
199304;7;1
199305;10.1;1
199306;13.6;1
199307;12.8;1
199308;13;1
199309;10.8;1
199310;8.1;1
199311;2;1
199312;5.6;1
199401;4.6;1
199402;4.9;1
199403;6.5;1
199404;6.1;1
199405;10.1;1
199406;12.4;1
199407;15.8;1
199408;15.5;1
199409;12;1
199410;10.3;1
199411;8.8;1
199412;6.6;1
199501;3.1;1
199502;6.3;1
199503;4.6;1
199504;6.3;1
199505;9.8;1
199506;12.1;1
199507;16.2;1
199508;15.3;1
199509;10.9;1
199510;11.8;1
199511;4.8;1
199512;3.6;1
199601;5.7;1
199602;1.7;1
199603;3.4;1
199604;6.1;1
199605;9;1
199606;12.8;1
199607;14.2;1
199608;13.2;1
199609;9.6;1
199610;8.6;1
199611;5;1
199612;2;1
199701;0.9;1
199702;4.8;1
199703;5.4;1
199704;5.1;1
199705;11;1
199706;12.5;1
199707;14.1;1
199708;17;1
199709;11.5;1
199710;9.3;1
199711;7;1
199712;4.4;1
199801;3.9;1
199802;2.2;1
199803;4.7;1
199804;7;1
199805;10.9;1
199806;12.2;1
199807;14.2;1
199808;13.3;1
199809;13.4;1
199810;9;1
199811;2.5;1
199812;3;1
199901;4.3;1
199902;3.3;1
199903;5.2;1
199904;7.5;1
199905;12.2;1
199906;12.4;1
199907;15.3;1
199908;14.8;1
199909;13.6;1
199910;9.9;1
199911;3.5;1
199912;3.9;1
200001;2.1;1
200002;4.6;1
200003;3.6;1
200004;7.2;1
200005;11.4;1
200006;14;1
200007;13.4;1
200008;14.1;1
200009;11.9;1
200010;9.5;1
200011;7.3;1
200012;7;1
200101;4.7;1
200102;3.3;1
200103;8.1;1
200104;6.7;1
200105;10.4;1
200106;12.6;1
200107;14.6;1
200108;15.7;1
200109;9.6;1
200110;12.2;1
200111;3.3;1
200112;0.4;1
200201;4.2;1
200202;5.8;1
200203;5.7;1
200204;6.3;1
200205;9.4;1
200206;13.3;1
200207;13.2;1
200208;13.8;1
200209;10.8;1
200210;10.3;1
200211;7.7;1
200212;6.9;1
200301;1.6;1
200302;1.6;1
200303;6.1;1
200304;7.5;1
200305;9.9;1
200306;15.9;1
200307;15.1;1
200308;17.7;1
200309;12.1;1
200310;7.6;1
200311;6.9;1
200312;4;1
200401;3.9;1
200402;1.9;1
200403;3;1
200404;6.3;1
200405;9.7;1
200406;13.5;1
200407;13.8;1
200408;15.8;1
200409;13;1
200410;10.9;1
200411;4.4;1
200412;2.1;1
200501;3.4;1
200502;1.1;1
200503;4.1;1
200504;7.2;1
200505;10;1
200506;14.5;1
200507;15.2;1
200508;13.6;1
200509;11.9;1
200510;12.4;1
200511;3.6;1
200512;0.6;1
200601;2.2;1
200602;0.8;1
200603;5.5;1
200604;6.7;1
200605;10.4;1
200606;13.7;1
200607;17.8;1
200608;13.6;1
200609;14.7;1
200610;12.5;1
200611;7.1;1
200612;2.2;1
200701;5.5;1
200702;6.6;1
200703;5;1
200704;8.8;1
200705;12;1
200706;13.3;1
200707;13.9;1
200708;13.2;1
200709;9.7;1
200710;8.1;1
200711;3.2;1
200712;2.1;1
200801;4.4;1
200802;4.1;1
200803;5.3;1
200804;6.4;1
200805;10.7;1
200806;12.8;1
200807;13.3;1
200808;14.1;1
200809;9.9;1
200810;7.7;1
200811;6.1;1
200812;1.3;1
200901;0.5;1
200902;1.8;1
200903;3.8;1
200904;6.6;1
200905;10.6;1
200906;12.8;1
200907;14;1
200908;14;1
200909;12.2;1
200910;8.9;1
200911;8.3;1
200912;3.2;1
201001;-0.1;1
201002;1.9;1
201003;3.6;1
201004;6.8;1
201005;8.9;1
201006;13.1;1
201007;15.1;1
201008;13.6;1
201009;10.5;1
201010;8;1
201011;5.9;1
201012;0.1;1
201101;2;1
201102;4;1
201103;5;1
201104;8.3;1
201105;10.7;1
201106;12.6;1
201107;13.5;1
201108;14.6;1
201109;13.5;1
201110;9.4;1
201111;9.3;1
201112;6;1
201201;4.1;1
201202;-2.6;1
201203;4.5;1
201204;6.1;1
201205;10.8;1
201206;13.4;1
201207;13.1;1
201208;14.7;1
201209;11.3;1
201210;10.3;1
201211;6;1
201212;4.8;1
201301;3.5;1
201302;1.4;1
201303;3.7;1
201304;5.8;1
201305;8.3;1
201306;11.9;1
201307;16.2;1
201308;13.3;1
201309;12.6;1
201310;11.3;1
201311;5.4;1
201312;2.6;1
201401;5.8;1
201402;5.5;1
201403;5.2;1
201404;7.5;1
201405;9.2;1
201406;13.7;1
201407;15.2;1
201408;12.9;1
201409;12.6;1
201410;10.8;1
201411;9;1
201412;3.4;1
201501;2.7;1
201502;1.4;1
201503;4.7;1
201504;7.7;1
201505;10.5;1
201506;13.4;1
201507;15.1;1
201508;14.6;1
201509;10.5;1
201510;7.9;1
201511;8.9;1
201512;6.4;1
201601;5.3;1
201602;5.4;1
201603;4.7;1
201604;6.1;1
201605;10.5;1
201606;14;1
201607;14.5;1
201608;14.6;1
201609;13;1
201610;7.3;1
201611;6.2;1
201612;3.3;1
201701;0.6;1
201702;5.1;1
201703;7.1;1
201704;5.2;1
201705;11.4;1
201706;14.6;1
201707;16.2;1
201708;14.3;1
201709;11.5;1
201710;10.6;1
201711;4;1
201712;3.2;1
201801;6.7;0
201802;0.9;0
201803;5.2;0
201804;9;0
201805;10.5;0
201806;14.6;0
201807;16;0
201808;15;0
201809;11.7;0
201810;9.1;0
201811;6.4;0
201812;6.4;0
201901;2.6;0
201902;4.2;0
201903;6;0
201904;7.1;0
201905;9;0
201906;13.8;0
201907;16.2;0
201908;14.3;0
201909;12.3;0
201910;12.1;0
201911;6.3;0
201912;6.3;0
202001;5.4;0
202002;6.5;0
202003;6.1;0
202004;9.2;0
202005;11;0
202006;12.8;0
202007;14.3;0
202008;15.8;0
202009;12.6;0
202010;9.8;0
202011;7;0
202012;5.2;0
202101;2.9;0
202102;6.5;0
202103;4.3;0
202104;5.7;0
202105;8.9;0
202106;14.4;0
202107;14.9;0
202108;13.7;0
202109;13.8;0
202110;7.9;0
202111;3.6;0
202112;4.5;0
202201;2;0
202202;4.6;0
202203;6.8;0
202204;7.4;0
202205;11.4;0
202206;14.7;0
202207;15.3;0
202208;17.2;0
202209;12.4;0
202210;13.6;0
202211;8;0
202212;4;0
