# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 20004002
# NOM_USUEL= AJACCIO
# LATITUDE (°) = 41.918
# LONGITUDE(°)= 8.793
# ALTITUDE (m) = 5
# NUM_SERIE= MTN120004002
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 196411 197512
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;5.7;1
195602;0.3;1
195603;5.4;1
195604;7.9;1
195605;10.6;1
195606;13.5;1
195607;15.2;1
195608;16.4;1
195609;15.2;1
195610;9.1;1
195611;6.3;1
195612;4.2;1
195701;3.1;1
195702;6;1
195703;5.1;1
195704;7.8;1
195705;10.7;1
195706;14.9;1
195707;15.8;1
195708;15.8;1
195709;13;1
195710;12.1;1
195711;9.3;1
195712;5.3;1
195801;3.8;1
195802;5.9;1
195803;5.6;1
195804;7;1
195805;11.2;1
195806;14.1;1
195807;16.3;1
195808;16.8;1
195809;15.2;1
195810;11.8;1
195811;8.2;1
195812;6.9;1
195901;3.5;1
195902;3.5;1
195903;7.1;1
195904;7.7;1
195905;11;1
195906;14.2;1
195907;16.4;1
195908;17;1
195909;15.6;1
195910;10.2;1
195911;6.7;1
195912;6.5;1
196001;4.4;1
196002;5.7;1
196003;6.4;1
196004;6.6;1
196005;11.1;1
196006;15.8;1
196007;15.4;1
196008;15.7;1
196009;13.6;1
196010;12.4;1
196011;8.5;1
196012;4.8;1
196101;4.4;1
196102;3.3;1
196103;4;1
196104;9.2;1
196105;10.6;1
196106;14.7;1
196107;16.3;1
196108;16;1
196109;14.8;1
196110;11.7;1
196111;8.7;1
196112;5.9;1
196201;4.5;1
196202;3.1;1
196203;5.5;1
196204;8;1
196205;10.1;1
196206;13.8;1
196207;16;1
196208;16.7;1
196209;15.1;1
196210;12.2;1
196211;7.3;1
196212;2.6;1
196301;3.3;1
196302;2.9;1
196303;4;1
196304;7.9;1
196305;9.7;1
196306;14;1
196307;17.6;1
196308;16.9;1
196309;15;1
196310;9.8;1
196311;9.8;1
196312;4.5;1
196401;1.9;1
196402;4.8;1
196403;7.5;1
196404;7.4;1
196405;10.9;1
196406;15.3;1
196407;17;1
196408;17.2;1
196409;14.5;1
196410;10.4;1
196411;8.5;1
196412;5.1;1
196501;4;1
196502;1.2;1
196503;5.5;1
196504;6.5;1
196505;9.7;1
196506;14;1
196507;15.8;1
196508;16.3;1
196509;13.7;1
196510;13.1;1
196511;10.4;1
196512;7.1;1
196601;4.9;1
196602;6.8;1
196603;4.4;1
196604;9;1
196605;11.8;1
196606;15.5;1
196607;15.4;1
196608;15.8;1
196609;14.5;1
196610;14.2;1
196611;7.2;1
196612;4.3;1
196701;3.8;1
196702;4.4;1
196703;5.2;1
196704;6.5;1
196705;10.9;1
196706;13.3;1
196707;17.2;1
196708;16.9;1
196709;14.3;1
196710;11.4;1
196711;9.4;1
196712;4.8;1
196801;2.9;1
196802;5.9;1
196803;5.3;1
196804;8.4;1
196805;11.6;1
196806;14.2;1
196807;16.2;1
196808;15;1
196809;14.1;1
196810;11.2;1
196811;8.6;1
196812;6;1
196901;3.6;1
196902;4.4;1
196903;7;1
196904;7.4;1
196905;12.5;1
196906;13;1
196907;15.6;1
196908;16.6;1
196909;14.4;1
196910;11.1;1
196911;8.6;1
196912;3.5;1
197001;6.7;1
197002;5.1;1
