# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 20041001
# NOM_USUEL= CAP PERTUSATO
# LATITUDE (°) = 41.375
# LONGITUDE(°)= 9.178
# ALTITUDE (m) = 107
# NUM_SERIE= MTN120041001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 198912 199412 199912 200212
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;9.5;1
195602;2.5;1
195603;7.4;1
195604;10;1
195605;13.6;1
195606;15.8;1
195607;18.7;1
195608;19.9;1
195609;18.5;1
195610;13.6;1
195611;9.9;1
195612;8.4;1
195701;6.9;1
195702;9.6;1
195703;9.4;1
195704;10.5;1
195705;12.5;1
195706;16.9;1
195707;19.5;1
195708;19.5;1
195709;17.9;1
195710;15.1;1
195711;12.3;1
195712;8.8;1
195801;7.9;1
195802;9;1
195803;8.3;1
195804;9.5;1
195805;13.9;1
195806;16.5;1
195807;18.8;1
195808;20.2;1
195809;19.1;1
195810;15.5;1
195811;12.1;1
195812;10.5;1
195901;8.3;1
195902;9.2;1
195903;10.6;1
195904;10.8;1
195905;13.2;1
195906;17.2;1
195907;20.3;1
195908;19.7;1
195909;17.7;1
195910;13.5;1
195911;10.8;1
195912;9;1
196001;8;1
196002;8.1;1
196003;8.9;1
196004;9.9;1
196005;12.7;1
196006;17.9;1
196007;18.5;1
196008;18.3;1
196009;16.1;1
196010;14.2;1
196011;11.6;1
196012;7;1
196101;7;1
196102;8.7;1
196103;9.3;1
196104;12.8;1
196105;14;1
196106;17.7;1
196107;19.6;1
196108;19.6;1
196109;19.9;1
196110;15.4;1
196111;11.8;1
196112;9.5;1
196201;9.2;1
196202;6.8;1
196203;7.6;1
196204;11;1
196205;13;1
196206;16.1;1
196207;19.6;1
