# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 20050001
# NOM_USUEL= CALVI
# LATITUDE (°) = 42.53
# LONGITUDE(°)= 8.792
# ALTITUDE (m) = 57
# NUM_SERIE= MTN120050001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196101 201912
# Date(s) de rupture(s) d'homogénéité : 196412 197212 200810
#     Periode homogénéisée  196101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;4.6;1
196102;4;1
196103;5.3;1
196104;9.3;1
196105;11.1;1
196106;15.4;1
196107;17;1
196108;17;1
196109;16.2;1
196110;11.8;1
196111;8.7;1
196112;6.4;1
196201;5.9;1
196202;3;1
196203;5.6;1
196204;8;1
196205;11.2;1
196206;14.1;1
196207;17.8;1
196208;18.1;1
196209;16;1
196210;11.9;1
196211;6.9;1
196212;2.9;1
196301;3.3;1
196302;2.9;1
196303;5.1;1
196304;8.4;1
196305;10.7;1
196306;15.2;1
196307;18.5;1
196308;17.9;1
196309;14.7;1
196310;10.5;1
196311;11.1;1
196312;4.7;1
196401;2.9;1
196402;5.6;1
196403;7.5;1
196404;8.9;1
196405;12.7;1
196406;16.5;1
196407;18.3;1
196408;18.6;1
196409;15.4;1
196410;11.7;1
196411;8.8;1
196412;5.4;1
196501;4;1
196502;1.6;1
196503;6.1;1
196504;7.8;1
196505;10.7;1
196506;14.6;1
196507;18;1
196508;17.4;1
196509;14.4;1
196510;12.7;1
196511;10.6;1
196512;7.8;1
196601;5;1
196602;7.5;1
196603;5;1
196604;9.7;1
196605;11.7;1
196606;15.8;1
196607;16.9;1
196608;17.7;1
196609;14.6;1
196610;13.7;1
196611;6.1;1
196612;4.9;1
196701;4;1
196702;4.7;1
196703;6.8;1
196704;7.2;1
196705;11.6;1
196706;13.8;1
196707;17.7;1
196708;18.2;1
196709;15.4;1
196710;12.9;1
196711;9.4;1
196712;5;1
196801;3.6;1
196802;6.1;1
196803;5.4;1
196804;8.9;1
196805;11.6;1
196806;14.5;1
196807;17.3;1
196808;16.8;1
196809;15.2;1
196810;11.8;1
196811;8.3;1
196812;5.5;1
196901;3.9;1
196902;4;1
196903;6.6;1
196904;8.6;1
196905;12;1
196906;13.5;1
196907;16.1;1
196908;17.5;1
196909;14.6;1
196910;11.9;1
196911;9.4;1
196912;3.8;1
197001;6.4;1
197002;6.5;1
197003;4.5;1
197004;8.1;1
197005;10.4;1
197006;16;1
197007;16.4;1
197008;17.9;1
197009;15.4;1
197010;11.3;1
197011;8.9;1
197012;4.6;1
197101;4.5;1
197102;4.2;1
197103;3.4;1
197104;8.9;1
197105;11.9;1
197106;15.1;1
197107;17.6;1
197108;19.9;1
197109;14.5;1
197110;10.8;1
197111;7.1;1
197112;4.8;1
197201;4.9;1
197202;6.3;1
197203;7;1
197204;8.1;1
197205;10.4;1
197206;14.6;1
197207;16.8;1
197208;15.7;1
197209;12.9;1
197210;10.1;1
197211;8.7;1
197212;4.6;1
197301;5;1
197302;3.7;1
197303;2.7;1
197304;6.5;1
197305;11.5;1
197306;15.4;1
197307;18.6;1
197308;18.9;1
197309;16.1;1
197310;11.8;1
197311;7.2;1
197312;4.4;1
197401;5.1;1
197402;5;1
197403;6;1
197404;7.7;1
197405;11;1
197406;14.9;1
197407;16.6;1
197408;17.3;1
197409;14.6;1
197410;8.4;1
197411;6.9;1
197412;4.6;1
197501;4.8;1
197502;4.3;1
197503;4.7;1
197504;7.3;1
197505;11;1
197506;14;1
197507;16.9;1
197508;18.2;1
197509;15.6;1
197510;10.3;1
197511;7.2;1
197512;4.8;1
197601;3.6;1
197602;4.7;1
197603;4.5;1
197604;7.3;1
197605;10.5;1
197606;14.9;1
197607;17.4;1
197608;16.7;1
197609;13.6;1
197610;11.6;1
197611;6.9;1
197612;5.7;1
197701;6;1
197702;8.4;1
197703;7;1
197704;7.4;1
197705;11.1;1
197706;14.7;1
197707;17.7;1
197708;16.3;1
197709;13.6;1
197710;12.8;1
197711;8.3;1
197712;5.4;1
197801;4.8;1
197802;5.3;1
197803;6.5;1
197804;7;1
197805;10.5;1
197806;14.5;1
197807;15.9;1
197808;17;1
197809;14;1
197810;10;1
197811;5.9;1
197812;7.5;1
197901;4.2;1
197902;5.9;1
197903;7.5;1
197904;6.8;1
197905;10.5;1
197906;15.8;1
197907;17.5;1
197908;17.6;1
197909;14.3;1
197910;12.3;1
197911;6.7;1
197912;6.6;1
198001;4.4;1
198002;5.3;1
198003;5.4;1
198004;6;1
198005;10.1;1
198006;14.8;1
198007;15.4;1
198008;18.1;1
198009;14.6;1
198010;11.1;1
198011;7.4;1
198012;2.8;1
198101;1.9;1
198102;2.4;1
198103;7.7;1
198104;8.9;1
198105;10.4;1
198106;15.2;1
198107;15.3;1
198108;17.4;1
198109;15.3;1
198110;12.7;1
198111;6.5;1
198112;6.6;1
198201;5.3;1
198202;4.2;1
198203;5.1;1
198204;6.5;1
198205;10.2;1
198206;16.6;1
198207;19.4;1
198208;18.2;1
198209;16.9;1
198210;12.4;1
198211;8.7;1
198212;6.5;1
198301;4.8;1
198302;3.6;1
198303;5.7;1
198304;8.1;1
198305;11.8;1
198306;14.8;1
198307;18.9;1
198308;17.8;1
198309;14.9;1
198310;10.8;1
198311;8.5;1
198312;5;1
198401;5.5;1
198402;3.7;1
198403;5.2;1
198404;6.7;1
198405;10.1;1
198406;13.7;1
198407;17;1
198408;16.7;1
198409;14.5;1
198410;10.9;1
198411;9.4;1
198412;4.6;1
198501;1.8;1
198502;4.7;1
198503;5.5;1
198504;8.5;1
198505;11.8;1
198506;15.6;1
198507;18.4;1
198508;16.9;1
198509;15.6;1
198510;12.2;1
198511;8.4;1
198512;5.9;1
198601;5;1
198602;3.6;1
198603;6.8;1
198604;8.9;1
198605;12.5;1
198606;14;1
198607;17.5;1
198608;18.8;1
198609;15.3;1
198610;13.3;1
198611;7.9;1
198612;5.4;1
198701;4.2;1
198702;4.7;1
198703;3.9;1
198704;8.2;1
198705;9.8;1
198706;14.5;1
198707;18.9;1
198708;18.8;1
198709;17.5;1
198710;13.6;1
198711;8.2;1
198712;7.3;1
198801;6;1
198802;4.9;1
198803;6.2;1
198804;8.4;1
198805;12.6;1
198806;14.8;1
198807;18.7;1
198808;18;1
198809;15;1
198810;14.1;1
198811;7.1;1
198812;5;1
198901;4.5;1
198902;5.2;1
198903;6.9;1
198904;9.1;1
198905;11;1
198906;15.3;1
198907;18.6;1
198908;19;1
198909;15.2;1
198910;10.2;1
198911;7.4;1
198912;7.2;1
199001;4.1;1
199002;7.6;1
199003;6.7;1
199004;7.9;1
199005;11.5;1
199006;16.7;1
199007;18.2;1
199008;18.3;1
199009;17.1;1
199010;15.3;1
199011;8.4;1
199012;3.6;1
199101;3.1;1
199102;3.7;1
199103;7.6;1
199104;6.4;1
199105;9.4;1
199106;15.1;1
199107;17.6;1
199108;19.1;1
199109;17.1;1
199110;11.9;1
199111;8.3;1
199112;2.7;1
199201;3.6;1
199202;4;1
199203;6.5;1
199204;8.5;1
199205;11.7;1
199206;15.1;1
199207;17.4;1
199208;20.7;1
199209;15.9;1
199210;13.7;1
199211;10.5;1
199212;6;1
199301;5;1
199302;2.4;1
199303;4.6;1
199304;8.9;1
199305;12.2;1
199306;16.2;1
199307;17.4;1
199308;18.7;1
199309;16.8;1
199310;12.9;1
199311;7.9;1
199312;7.7;1
199401;5;1
199402;4.1;1
199403;6.6;1
199404;8.1;1
199405;12.2;1
199406;15.1;1
199407;19.2;1
199408;20.7;1
199409;16.3;1
199410;12.4;1
199411;10.9;1
199412;7.3;1
199501;4.4;1
199502;5.9;1
199503;5.1;1
199504;6.8;1
199505;10.8;1
199506;13.9;1
199507;19.1;1
199508;18.1;1
199509;14.9;1
199510;11.9;1
199511;7.2;1
199512;6.6;1
199601;6;1
199602;3.8;1
199603;5.5;1
199604;8.1;1
199605;11.7;1
199606;15.6;1
199607;17.2;1
199608;17.9;1
199609;13.7;1
199610;11.4;1
199611;8.2;1
199612;5.4;1
199701;5;1
199702;6.1;1
199703;5.9;1
199704;7.1;1
199705;12.6;1
199706;16.8;1
199707;17.1;1
199708;18.6;1
199709;15.4;1
199710;13;1
199711;9.4;1
199712;5.8;1
199801;4.5;1
199802;4.6;1
199803;5.8;1
199804;9.2;1
199805;11.2;1
199806;15.8;1
199807;18.3;1
199808;18.7;1
199809;15.7;1
199810;12.5;1
199811;7.4;1
199812;4.3;1
199901;4.5;1
199902;3.2;1
