# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 20107001
# NOM_USUEL= CAP CORSE
# LATITUDE (°) = 43.004
# LONGITUDE(°)= 9.36
# ALTITUDE (m) = 72
# NUM_SERIE= MTN120107001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 198512 200412 200712 201412
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;9.7;1
195602;1.9;1
195603;7.7;1
195604;10;1
195605;14.8;1
195606;16;1
195607;19.4;1
195608;20.6;1
195609;17.9;1
195610;13.8;1
195611;10;1
195612;8.7;1
195701;7.4;1
195702;10;1
195703;9.7;1
195704;11.5;1
195705;13;1
195706;17.1;1
195707;20.5;1
195708;20.6;1
195709;17.6;1
195710;15.5;1
195711;12.6;1
195712;9.7;1
195801;8.7;1
195802;9.6;1
195803;7.7;1
195804;10.2;1
195805;15.2;1
195806;17.1;1
195807;19.4;1
195808;20.5;1
195809;19.1;1
195810;15.6;1
195811;12.3;1
195812;10;1
195901;7.9;1
195902;9.2;1
195903;10.7;1
195904;11.6;1
195905;13.7;1
195906;18;1
195907;21;1
195908;20.7;1
195909;17.9;1
195910;14.2;1
195911;11.4;1
195912;9.8;1
196001;8.5;1
196002;8.4;1
196003;9.4;1
196004;10.6;1
196005;14.6;1
196006;19;1
196007;19.2;1
196008;19.5;1
196009;17;1
196010;13.9;1
196011;12.3;1
196012;9;1
196101;8;1
196102;9.7;1
196103;10.2;1
196104;12.9;1
196105;14;1
196106;17.8;1
196107;20.1;1
196108;20.8;1
196109;20.4;1
196110;15.7;1
196111;11.8;1
196112;9.3;1
196201;9.6;1
196202;7.2;1
196203;6.8;1
196204;10.7;1
196205;13.2;1
196206;16.8;1
196207;20;1
196208;21.2;1
196209;18.9;1
196210;15.1;1
196211;10.4;1
196212;7.6;1
196301;4.7;1
196302;5;1
196303;7.8;1
196304;11.1;1
196305;14.5;1
196306;17.2;1
196307;21.9;1
196308;20.2;1
196309;18;1
196310;15.1;1
196311;13.8;1
196312;8.6;1
196401;8.4;1
196402;8.7;1
196403;9.6;1
196404;11.4;1
196405;15.7;1
196406;19.2;1
196407;21.5;1
196408;20.7;1
196409;18.9;1
196410;14;1
196411;12.3;1
196412;9;1
196501;8.5;1
196502;5.7;1
196503;9.1;1
196504;10.5;1
196505;13.6;1
196506;17.4;1
196507;20.2;1
196508;19.7;1
196509;16.9;1
196510;16.1;1
196511;12.1;1
196512;10.3;1
196601;7.5;1
196602;10.9;1
196603;8.7;1
196604;12.2;1
196605;14.8;1
196606;18.9;1
196607;19;1
196608;19.5;1
196609;18.6;1
196610;16.5;1
196611;10.2;1
196612;8.9;1
196701;8.4;1
196702;8.3;1
196703;10.6;1
196704;11.1;1
196705;14.4;1
196706;16.3;1
196707;22;1
196708;21.5;1
196709;18.2;1
196710;16.9;1
196711;13.3;1
196712;9;1
196801;7.9;1
196802;9.3;1
196803;9.6;1
196804;11.8;1
196805;14.3;1
196806;16.8;1
196807;20.6;1
196808;19.4;1
196809;17.9;1
196810;16;1
196811;11.9;1
196812;8.3;1
196901;8.7;1
196902;6.7;1
196903;8.7;1
196904;11.2;1
196905;14.7;1
196906;15.8;1
196907;19.8;1
196908;20.8;1
196909;18.2;1
196910;16.6;1
196911;12.8;1
196912;7.7;1
197001;10;1
197002;8.6;1
197003;7.7;1
197004;10.5;1
197005;13.3;1
197006;18.3;1
197007;19.6;1
197008;20.8;1
197009;19.4;1
197010;15.2;1
197011;13.3;1
197012;9;1
197101;8.5;1
197102;8.6;1
197103;6.2;1
197104;12.1;1
197105;14.2;1
197106;16.6;1
197107;21.3;1
197108;22.8;1
197109;18.4;1
197110;15.1;1
197111;10.6;1
197112;9.7;1
197201;8.5;1
197202;9.2;1
197203;10.3;1
197204;10.6;1
197205;12.7;1
197206;16.1;1
197207;19.5;1
197208;19.2;1
197209;16.3;1
197210;14;1
197211;12.2;1
197212;9.8;1
197301;9.3;1
197302;7.4;1
197303;7.8;1
197304;9.5;1
197305;14.5;1
197306;18.3;1
197307;20.8;1
197308;21.4;1
197309;19.4;1
197310;15.2;1
197311;11.7;1
197312;8.6;1
197401;9.9;1
197402;9.2;1
197403;9.3;1
197404;10.2;1
197405;13.5;1
197406;17.4;1
197407;19.5;1
197408;20.9;1
197409;17.9;1
197410;11;1
197411;10.7;1
197412;9.4;1
197501;8.9;1
197502;7.6;1
197503;8.3;1
197504;10.1;1
197505;13.4;1
197506;16.1;1
197507;20;1
197508;20.3;1
197509;18.8;1
197510;13.6;1
197511;10.7;1
197512;9.3;1
197601;8.3;1
197602;8;1
197603;7.9;1
197604;9.9;1
197605;13.5;1
197606;17.8;1
197607;20.6;1
197608;19.9;1
197609;16.7;1
197610;14.6;1
197611;11;1
197612;9.4;1
197701;9.2;1
197702;9.8;1
197703;10.3;1
197704;10.7;1
197705;13.8;1
197706;17.1;1
197707;19.9;1
197708;19.3;1
197709;17.1;1
197710;16.6;1
197711;12;1
197712;9.4;1
197801;8.4;1
197802;8;1
197803;10.1;1
197804;9.6;1
197805;13.1;1
197806;16.5;1
197807;18.4;1
197808;19.4;1
197809;18.1;1
197810;14.5;1
197811;11.6;1
197812;9.6;1
197901;7.2;1
197902;8.2;1
197903;10.1;1
197904;9.9;1
197905;14.5;1
197906;19;1
197907;20.5;1
197908;20.3;1
197909;18.1;1
197910;15.5;1
197911;11;1
197912;9.6;1
198001;8.1;1
198002;9.6;1
198003;9.5;1
198004;9.9;1
198005;12.5;1
198006;16.7;1
198007;17.9;1
198008;20.9;1
198009;19;1
198010;14.6;1
198011;10.4;1
198012;7.5;1
198101;6.4;1
198102;6.5;1
198103;10;1
198104;11.4;1
198105;12.8;1
198106;17.3;1
198107;18.1;1
198108;20;1
198109;17.8;1
198110;14.9;1
198111;10.7;1
198112;8.2;1
198201;9.2;1
198202;7.1;1
198203;8.3;1
198204;9.6;1
198205;13.7;1
198206;18.4;1
198207;21.7;1
198208;20.5;1
198209;18.9;1
198210;14.7;1
198211;12.2;1
198212;9.3;1
198301;9.6;1
198302;5.6;1
198303;8.7;1
198304;9.9;1
198305;13.2;1
198306;17.5;1
198307;22.4;1
198308;20.6;1
198309;18.6;1
198310;15.2;1
198311;12;1
198312;8.7;1
198401;8.7;1
198402;6.5;1
198403;8.3;1
198404;10.3;1
198405;11.8;1
198406;16.2;1
198407;20.3;1
198408;19.5;1
198409;17.3;1
198410;14.8;1
198411;13;1
198412;9.8;1
198501;5.3;1
198502;7.6;1
198503;8;1
198504;11.2;1
198505;13.4;1
198506;16.9;1
