# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 22016001
# NOM_USUEL= ILE-DE-BREHAT
# LATITUDE (°) = 48.855
# LONGITUDE(°)= -3.005
# ALTITUDE (m) = 25
# NUM_SERIE= MTN122016001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195212 195612 196412 197112
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;5.3;1
195102;3.9;1
195103;4.9;1
195104;6.3;1
195105;8.4;1
195106;11.8;1
195107;13.7;1
195108;13.1;1
195109;13.7;1
195110;10.6;1
195111;8.5;1
195112;6.2;1
195201;4.1;1
195202;4.2;1
195203;7;1
195204;7.6;1
195205;10.4;1
195206;11.9;1
195207;14.3;1
195208;14.8;1
195209;11.7;1
195210;10.1;1
195211;6.8;1
195212;4.9;1
195301;2.9;1
195302;3.2;1
195303;4.6;1
195304;6.4;1
195305;10.1;1
195306;11.2;1
195307;13.1;1
195308;14.3;1
195309;13.1;1
195310;11.7;1
195311;7.8;1
195312;8.7;1
195401;4.5;1
195402;3.4;1
195403;5.6;1
195404;6.7;1
195405;8.9;1
195406;11.1;1
195407;12.9;1
195408;13.2;1
195409;12.2;1
195410;11.9;1
195411;7.9;1
195412;7.4;1
195501;4;1
195502;3.5;1
195503;3;1
195504;7;1
195505;8.3;1
195506;11.9;1
195507;14.1;1
195508;15.7;1
195509;13.8;1
195510;10.4;1
195511;8.2;1
195512;7.7;1
195601;5.5;1
195602;-0.5;1
195603;5.2;1
195604;5.8;1
195605;9.1;1
195606;10.8;1
195607;13.5;1
195608;12;1
195609;13.2;1
195610;10.3;1
195611;7.2;1
195612;6.4;1
195701;4.9;1
195702;6;1
195703;8.6;1
195704;7.9;1
195705;9.4;1
195706;12.2;1
195707;14.4;1
195708;14.5;1
195709;13.3;1
195710;11.5;1
195711;7.6;1
195712;5.3;1
195801;4.8;1
195802;5.9;1
195803;4.4;1
195804;5.9;1
195805;9.3;1
195806;11.6;1
195807;13.4;1
195808;14.2;1
195809;14.1;1
195810;11.1;1
195811;8.1;1
195812;6.4;1
195901;4;1
195902;4.4;1
195903;6.6;1
195904;7.9;1
195905;9.9;1
195906;12.1;1
195907;14.3;1
195908;15.4;1
195909;15.5;1
195910;12.5;1
195911;7.6;1
195912;6.4;1
196001;5;1
196002;4.4;1
196003;6.8;1
196004;7.7;1
196005;10.6;1
196006;12.7;1
196007;13.4;1
196008;14.1;1
196009;13.2;1
196010;10.9;1
196011;8.2;1
196012;4.9;1
196101;4.7;1
196102;6.3;1
196103;6.8;1
196104;9.2;1
196105;10.2;1
196106;12.3;1
196107;14.5;1
196108;14.4;1
196109;14.8;1
196110;11;1
196111;7.5;1
196112;5.4;1
196201;5.1;1
196202;4.7;1
196203;3.2;1
196204;6.3;1
196205;8.6;1
196206;11.3;1
196207;13.4;1
196208;13.4;1
196209;13;1
196210;12;1
196211;7.5;1
196212;4.1;1
196301;-0.2;1
196302;0.1;1
196303;5.4;1
196304;6.4;1
196305;8.4;1
196306;11.7;1
196307;13;1
196308;13.4;1
196309;13.1;1
196310;11.2;1
196311;8.9;1
196312;3.7;1
196401;2.8;1
196402;5;1
196403;5.1;1
196404;6.7;1
196405;10.4;1
196406;12.2;1
196407;14.2;1
196408;14.5;1
196409;14.1;1
196410;9.9;1
196411;7.7;1
196412;5.3;1
196501;4.8;1
196502;3.5;1
196503;5.2;1
196504;7.1;1
196505;9.7;1
196506;11.4;1
196507;13;1
196508;13.8;1
196509;11.6;1
196510;11.6;1
196511;7.1;1
196512;6.8;1
196601;4.2;1
196602;7.5;1
196603;6.3;1
196604;8.5;1
196605;9.6;1
196606;12.9;1
196607;13.8;1
196608;14.2;1
196609;14.9;1
196610;11.2;1
196611;6.7;1
196612;7.2;1
196701;5.6;1
196702;5.5;1
196703;5.7;1
196704;7.1;1
196705;8.6;1
196706;11.8;1
196707;14.2;1
196708;14.4;1
196709;13.3;1
196710;11.2;1
196711;7.2;1
196712;5.9;1
196801;5.7;1
196802;3.6;1
196803;5.7;1
196804;6.6;1
196805;8.4;1
196806;12.1;1
196807;13.7;1
196808;14.4;1
196809;13.3;1
196810;12.8;1
196811;8.1;1
196812;5.3;1
196901;6.2;1
196902;3.2;1
196903;5.8;1
196904;7.4;1
196905;9.5;1
196906;11.8;1
196907;14.2;1
196908;14.6;1
196909;14.4;1
196910;12.6;1
196911;7.3;1
196912;5.2;1
197001;4.9;1
197002;4.4;1
197003;4.1;1
197004;6.4;1
197005;9.4;1
197006;12.7;1
197007;13.3;1
197008;14.5;1
197009;13.6;1
197010;10.7;1
197011;8.9;1
197012;4.5;1
197101;4.6;1
197102;4.2;1
197103;3.9;1
197104;7.1;1
197105;9;1
197106;10.7;1
197107;14.2;1
197108;14.5;1
197109;14.4;1
197110;11.6;1
197111;7.6;1
197112;6.2;1
197201;4.3;1
197202;4.7;1
197203;5.3;1
197204;7.6;1
197205;8.6;1
197206;10;1
197207;12.8;1
197208;13.9;1
197209;12.5;1
197210;10.9;1
197211;7.7;1
197212;6.5;1
197301;4.8;1
197302;4.7;1
197303;5.5;1
197304;6.2;1
197305;9.7;1
197306;11.9;1
197307;13.4;1
197308;14.9;1
197309;13.9;1
197310;10.7;1
197311;7.8;1
197312;6;1
197401;6;1
197402;6;1
197403;5.4;1
197404;7.5;1
197405;9.2;1
197406;11.9;1
197407;13.6;1
197408;14.1;1
197409;11.7;1
197410;8.8;1
