# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 22168001
# NOM_USUEL= PLOUMANAC'H
# LATITUDE (°) = 48.826
# LONGITUDE(°)= -3.473
# ALTITUDE (m) = 55
# NUM_SERIE= MTN122168001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 198912 199712
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;5.7;1
195102;3.9;1
195103;5.1;1
195104;6.4;1
195105;8.3;1
195106;11.7;1
195107;13.7;1
195108;13.1;1
195109;13.1;1
195110;9.8;1
195111;8.4;1
195112;6.2;1
195201;3.9;1
195202;4.2;1
195203;7.2;1
195204;7.7;1
195205;10.6;1
195206;12.4;1
195207;14.2;1
195208;14.2;1
195209;11.4;1
195210;9.7;1
195211;6.3;1
195212;4.6;1
195301;2.7;1
195302;3.4;1
195303;4.8;1
195304;6.6;1
195305;10;1
195306;11.1;1
195307;12.9;1
195308;13.5;1
195309;11.9;1
195310;10.5;1
195311;7.5;1
195312;8.3;1
195401;4.1;1
195402;4;1
195403;5.9;1
195404;7;1
195405;9.3;1
195406;11.4;1
195407;12.6;1
195408;13;1
195409;12.1;1
195410;11.8;1
195411;7.8;1
195412;7.4;1
195501;3.7;1
195502;3.5;1
195503;3.1;1
195504;7.5;1
195505;8.2;1
195506;11.8;1
195507;13.9;1
195508;15.2;1
195509;13.2;1
195510;10;1
195511;7.7;1
195512;7.8;1
195601;5.4;1
195602;-0.5;1
195603;4.8;1
195604;5.9;1
195605;9;1
195606;10.4;1
195607;13.1;1
195608;12;1
195609;12.8;1
195610;9.8;1
195611;7.3;1
195612;6.8;1
195701;5.5;1
195702;6.1;1
195703;8.6;1
195704;8;1
195705;9.2;1
195706;11.8;1
195707;14;1
195708;13.9;1
195709;12.7;1
195710;11.2;1
195711;7.2;1
195712;4.8;1
195801;5;1
195802;6.4;1
195803;4.4;1
195804;6.2;1
195805;9.1;1
195806;11.2;1
195807;13;1
195808;13.7;1
195809;13.5;1
195810;10.5;1
195811;7.8;1
195812;5.9;1
195901;4.1;1
195902;4.5;1
195903;6.6;1
195904;7.6;1
195905;9.7;1
195906;12;1
195907;13.9;1
195908;14.9;1
195909;15.3;1
195910;11.6;1
195911;7.6;1
195912;6.5;1
196001;5.6;1
196002;4.2;1
196003;6.6;1
196004;7.7;1
196005;10.2;1
196006;12.3;1
196007;12.9;1
196008;13.5;1
196009;12.4;1
196010;10.1;1
196011;7.9;1
196012;4.9;1
196101;4.5;1
196102;6.4;1
196103;6.4;1
196104;8.9;1
196105;9.9;1
196106;11.9;1
196107;13.7;1
196108;13.8;1
196109;14.1;1
196110;10.4;1
196111;7.3;1
196112;4.7;1
196201;5.6;1
196202;4.8;1
196203;3.1;1
196204;6.3;1
196205;8.5;1
196206;10.9;1
196207;13.1;1
196208;13.3;1
196209;12.4;1
196210;11.4;1
196211;7.2;1
196212;4;1
196301;-0.2;1
196302;0;1
196303;5.7;1
196304;6.6;1
196305;8.3;1
196306;11.6;1
196307;12.9;1
196308;13.1;1
196309;13;1
196310;11;1
196311;8.9;1
196312;3.6;1
196401;2.5;1
196402;5.3;1
196403;5.7;1
196404;7.2;1
196405;10.2;1
196406;12.2;1
196407;14.1;1
196408;14.1;1
196409;13.8;1
196410;8.6;1
196411;7.3;1
196412;5.7;1
196501;4.6;1
196502;3.4;1
196503;5.2;1
196504;7;1
196505;9.6;1
196506;11.1;1
196507;12.8;1
196508;13.2;1
196509;11.2;1
196510;11.2;1
196511;6.6;1
196512;6.8;1
196601;4;1
196602;7.4;1
196603;6.1;1
196604;7.9;1
196605;9.3;1
196606;12.5;1
196607;13.3;1
196608;13.3;1
196609;13.9;1
196610;10.2;1
196611;6.4;1
196612;7.2;1
196701;5.3;1
196702;5.3;1
196703;5.6;1
196704;7;1
196705;8.3;1
196706;11.3;1
196707;13.7;1
196708;13.4;1
196709;12.6;1
196710;10.8;1
196711;6.7;1
196712;6;1
196801;5.6;1
196802;3.5;1
196803;5.8;1
196804;6.3;1
196805;7.9;1
196806;11.5;1
196807;13;1
196808;14.1;1
196809;12.5;1
196810;12;1
196811;7;1
196812;4.7;1
196901;5.9;1
196902;2.6;1
196903;5.8;1
196904;6.9;1
196905;8.7;1
196906;11;1
196907;13.5;1
196908;14.1;1
196909;13.7;1
196910;11.5;1
196911;6.6;1
196912;5;1
197001;4.9;1
197002;4.5;1
197003;4.2;1
197004;6.3;1
197005;9.2;1
197006;12.2;1
197007;12.7;1
197008;13.7;1
197009;13;1
197010;10.1;1
197011;8.7;1
197012;4.5;1
197101;4.8;1
197102;4.4;1
197103;4.3;1
197104;7.1;1
197105;8.9;1
197106;10.5;1
197107;14;1
197108;14;1
197109;13.7;1
197110;11.1;1
197111;7.3;1
197112;6.1;1
197201;4;1
197202;4.9;1
197203;5.7;1
197204;7.7;1
197205;8.4;1
197206;9.6;1
197207;12.3;1
197208;13.1;1
197209;11.9;1
197210;10.4;1
197211;7.3;1
197212;5.8;1
197301;4.3;1
197302;4.4;1
197303;5.2;1
197304;6.1;1
197305;9.4;1
197306;11.5;1
197307;13;1
197308;14.3;1
197309;13.2;1
197310;10.2;1
197311;7.6;1
197312;6.1;1
197401;6;1
197402;6.1;1
197403;5.4;1
197404;7.4;1
197405;8.8;1
197406;11.7;1
197407;13.1;1
197408;13.6;1
197409;11.4;1
197410;9;1
197411;8.4;1
197412;8.4;1
197501;6.7;1
197502;5.8;1
197503;5.3;1
197504;6.5;1
197505;8.9;1
197506;11.6;1
197507;14.4;1
197508;15.2;1
197509;12.6;1
197510;9.7;1
197511;8;1
197512;6.1;1
197601;6.4;1
197602;5.2;1
197603;5.2;1
197604;6.6;1
197605;9.3;1
197606;12.9;1
197607;14.6;1
197608;14.9;1
197609;12.7;1
197610;10.7;1
197611;7.7;1
197612;4.4;1
197701;4.3;1
197702;5.9;1
197703;6.9;1
197704;6.5;1
197705;9.1;1
197706;11;1
197707;13.4;1
197708;13.2;1
197709;12.1;1
197710;11.1;1
197711;7.4;1
197712;6.5;1
197801;4.4;1
197802;4.9;1
197803;5.8;1
197804;6;1
197805;9.2;1
197806;11;1
197807;12.6;1
197808;13.4;1
197809;13;1
197810;11.7;1
197811;8.8;1
197812;5.5;1
197901;1.5;1
197902;3.4;1
197903;4.5;1
197904;6.3;1
197905;7.2;1
197906;11.2;1
197907;13.3;1
197908;13.2;1
197909;12.7;1
197910;11.3;1
197911;8.2;1
197912;6.9;1
198001;3.6;1
198002;6.4;1
198003;5.1;1
198004;7.9;1
198005;8.7;1
198006;11.6;1
198007;12.7;1
198008;14.4;1
198009;12.9;1
198010;9.6;1
198011;7.1;1
198012;6.4;1
198101;5.7;1
198102;3.7;1
198103;8;1
198104;7.5;1
198105;9.3;1
198106;11.5;1
198107;13.3;1
198108;14.2;1
198109;13.2;1
198110;9.5;1
198111;8.5;1
198112;5.1;1
198201;5.7;1
198202;5;1
198203;5.5;1
198204;7.6;1
198205;9.4;1
198206;12.2;1
198207;14.2;1
198208;13.9;1
198209;13.1;1
198210;10.1;1
198211;8.1;1
198212;5.5;1
198301;6.4;1
198302;3.2;1
198303;6;1
198304;5.5;1
198305;8.2;1
198306;11.5;1
198307;14.7;1
198308;14.5;1
198309;12.5;1
198310;10;1
198311;8.3;1
198312;5.8;1
198401;4.6;1
198402;4.2;1
198403;4.6;1
198404;6.3;1
198405;8.3;1
198406;10.9;1
198407;13.5;1
198408;14.4;1
198409;12.7;1
198410;10.2;1
