# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 23030004
# NOM_USUEL= BOURGANEUF
# LATITUDE (°) = 45.942
# LONGITUDE(°)= 1.726
# ALTITUDE (m) = 513
# NUM_SERIE= MTN123030004
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : 197506 199012
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;-1.5;1
196002;0.2;1
196003;3.4;1
196004;3.6;1
196005;7.2;1
196006;11.1;1
196007;10.6;1
196008;10.8;1
196009;8.7;1
196010;6.2;1
196011;4.3;1
196012;-1.2;1
196101;-0.2;1
196102;2.2;1
196103;0.2;1
196104;7.6;1
196105;6;1
196106;12.6;1
196107;10.8;1
196108;10.5;1
196109;11.9;1
196110;7.1;1
196111;2.7;1
196112;1.2;1
196201;2.7;1
196202;-0.8;1
196203;-0.1;1
196204;3.7;1
196205;6.7;1
196206;8.1;1
196207;10.3;1
196208;11.2;1
196209;8.8;1
196210;5.7;1
196211;1.4;1
196212;-3.3;1
196301;-5.6;1
196302;-5.7;1
196303;4.1;1
196304;4.7;1
196305;5.8;1
196306;10.7;1
196307;12;1
196308;11.6;1
196309;9.5;1
196310;6.1;1
196311;5.8;1
196312;-2.7;1
196401;-2.9;1
196402;1.9;1
196403;1.7;1
196404;4.3;1
196405;8.6;1
196406;10;1
196407;11.8;1
196408;11.6;1
196409;11.2;1
196410;4.5;1
196411;2.7;1
196412;-1.1;1
196501;0.9;1
196502;-2.8;1
196503;2.7;1
196504;3.8;1
196505;7.1;1
196506;10.1;1
196507;11.2;1
196508;9.8;1
196509;9.1;1
196510;7.3;1
196511;4.1;1
196512;3.3;1
196601;0.5;1
196602;5.3;1
196603;0;1
196604;5.5;1
196605;7;1
196606;10.3;1
196607;10.5;1
196608;11.1;1
196609;10;1
196610;9;1
196611;0.7;1
196612;2.7;1
196701;0.2;1
196702;1.7;1
196703;2.6;1
196704;2.7;1
196705;6.6;1
196706;9.2;1
196707;12.1;1
196708;10.9;1
196709;9.2;1
196710;9.1;1
196711;3.2;1
196712;-1.5;1
196801;-0.4;1
196802;1.4;1
196803;1.9;1
196804;4;1
196805;5.6;1
196806;9.3;1
196807;10.8;1
196808;11.6;1
196809;9.6;1
196810;8.2;1
196811;2.9;1
196812;0.2;1
