# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 23067001
# NOM_USUEL= LA COURTINE
# LATITUDE (°) = 45.703
# LONGITUDE(°)= 2.264
# ALTITUDE (m) = 772
# NUM_SERIE= MTN123067001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 195212 197812 198503 201012
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-2;1
195102;-1.5;1
195103;-1.5;1
195104;0.8;1
195105;3.4;1
195106;7.9;1
195107;8.2;1
195108;8.3;1
195109;6.8;1
195110;2.2;1
195111;1.7;1
195112;-2.1;1
195201;-3.7;1
195202;-5.6;1
195203;1.5;1
195204;2.1;1
195205;4.9;1
195206;7.9;1
195207;9.3;1
195208;9.3;1
195209;5.4;1
195210;3.5;1
195211;-0.6;1
195212;-2.3;1
195301;-7.2;1
195302;-5.6;1
195303;-1.8;1
195304;1.2;1
195305;4.3;1
195306;6.8;1
195307;9.2;1
195308;7.9;1
195309;6.4;1
195310;3.5;1
195311;-0.8;1
195312;0.8;1
195401;-4.1;1
195402;-5.8;1
195403;-0.4;1
195404;0;1
195405;3.6;1
195406;7;1
195407;6.9;1
195408;7.9;1
195409;5.8;1
195410;3.6;1
195411;1.3;1
195412;-0.9;1
195501;-0.1;1
195502;-3;1
195503;-2.8;1
195504;0;1
195505;3.1;1
195506;7.5;1
195507;10.2;1
195508;8.1;1
195509;5.6;1
195510;1.1;1
195511;-1.6;1
195512;-0.3;1
195601;-2.2;1
195602;-13.3;1
195603;-1.9;1
195604;-0.7;1
195605;5.2;1
195606;5.7;1
195607;8.7;1
195608;7.4;1
195609;6.8;1
195610;1.5;1
195611;-2.1;1
195612;-0.9;1
195701;-5.1;1
195702;-0.9;1
195703;1;1
195704;0.9;1
195705;2.6;1
195706;7.3;1
195707;8.9;1
195708;7.8;1
195709;5.3;1
195710;2.3;1
195711;-0.7;1
195712;-3.6;1
195801;-2.7;1
195802;-0.9;1
195803;-1.4;1
195804;-0.4;1
195805;5.6;1
195806;6.8;1
195807;9.8;1
195808;9;1
195809;8.3;1
195810;3.4;1
195811;0.3;1
195812;-1.4;1
195901;-3.7;1
195902;-3.2;1
195903;1.4;1
195904;2.1;1
195905;4.2;1
195906;8.1;1
195907;9.7;1
195908;8.6;1
195909;8;1
195910;3.1;1
195911;0.3;1
195912;0.1;1
196001;-3.2;1
196002;-1.4;1
196003;0.8;1
196004;0.8;1
196005;5.4;1
196006;8.6;1
196007;8.2;1
196008;8.6;1
196009;5.9;1
196010;4;1
196011;1.9;1
196012;-3.6;1
196101;-3.2;1
196102;-0.5;1
196103;-1.2;1
196104;4;1
196105;4.1;1
196106;7.3;1
196107;5.8;1
196108;7.1;1
196109;8.6;1
196110;4.2;1
196111;-0.7;1
196112;-1.2;1
196201;-0.5;1
196202;-3.4;1
196203;-3.8;1
196204;-0.1;1
196205;3.7;1
196206;5.1;1
196207;6.8;1
196208;6.9;1
196209;5.7;1
196210;2.2;1
196211;-1.9;1
196212;-5.6;1
196301;-7.3;1
196302;-8.8;1
196303;-1.3;1
196304;1.2;1
196305;2.8;1
196306;7.1;1
196307;8.4;1
196308;7.8;1
196309;7;1
196310;2.7;1
196311;2;1
196312;-5.2;1
196401;-5.9;1
196402;-0.7;1
196403;-0.8;1
196404;0.9;1
196405;5.5;1
196406;7.6;1
196407;9.4;1
196408;8;1
196409;7.9;1
196410;1.9;1
196411;0.3;1
196412;-4.3;1
196501;-2.6;1
196502;-5.3;1
196503;-0.3;1
196504;0.9;1
