# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 26168001
# NOM_USUEL= LUS L CROIX HTE
# LATITUDE (°) = 44.673
# LONGITUDE(°)= 5.711
# ALTITUDE (m) = 1059
# NUM_SERIE= MTN126168001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 195712 198110
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-4.4;1
195102;-3;1
195103;-2.5;1
195104;1;1
195105;3.6;1
195106;7.6;1
195107;9.6;1
195108;9.7;1
195109;8.7;1
195110;2.9;1
195111;1.8;1
195112;-5;1
195201;-7.7;1
195202;-7.4;1
195203;0.6;1
195204;1.7;1
195205;4.9;1
195206;8.7;1
195207;10.5;1
195208;9.7;1
195209;5.3;1
195210;3.4;1
195211;-2.1;1
195212;-4.1;1
195301;-9.6;1
195302;-7.4;1
195303;-3.5;1
195304;0.7;1
195305;5.2;1
195306;7.5;1
195307;9.9;1
195308;9.6;1
195309;8.5;1
195310;5.4;1
195311;-2.2;1
195312;-1.3;1
195401;-6.3;1
195402;-6.1;1
195403;-2.3;1
195404;0.4;1
195405;3.4;1
195406;8.1;1
195407;8.1;1
195408;8.2;1
195409;7.3;1
195410;2.7;1
195411;0.5;1
195412;-2.8;1
195501;-1.2;1
195502;-4.4;1
195503;-4.3;1
195504;0.3;1
195505;3.2;1
195506;7.6;1
195507;9.6;1
195508;8.8;1
195509;6.3;1
195510;1.6;1
195511;-1.2;1
195512;-1.1;1
195601;-2.8;1
195602;-13.6;1
195603;-1.8;1
195604;-0.9;1
195605;4.7;1
195606;6.1;1
195607;8.9;1
195608;9.1;1
195609;7.9;1
195610;0.8;1
195611;-2.6;1
195612;-3.8;1
195701;-6.2;1
195702;-1.4;1
195703;-0.6;1
195704;0.6;1
195705;3;1
195706;6.9;1
195707;9;1
195708;9;1
195709;6.6;1
195710;1.9;1
195711;-0.4;1
195712;-4;1
195801;-6.7;1
195802;-2.7;1
195803;-3;1
195804;-1;1
195805;6.4;1
195806;7;1
195807;9.2;1
195808;9.6;1
195809;8.6;1
195810;3.3;1
195811;-0.1;1
195812;-3;1
195901;-5.5;1
195902;-4.5;1
