# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 26330001
# NOM_USUEL= ST-SORLIN-EN-VA
# LATITUDE (°) = 45.271
# LONGITUDE(°)= 4.93
# ALTITUDE (m) = 237
# NUM_SERIE= MTN126330001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196312 196712 197212 199012
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-0.2;1
195902;-1.1;1
195903;5.7;1
195904;6.4;1
195905;9.5;1
195906;13;1
195907;15.8;1
195908;13.8;1
195909;13.2;1
195910;7.5;1
195911;3.4;1
195912;3;1
196001;-0.5;1
196002;2.1;1
196003;5.5;1
196004;5.9;1
196005;10.6;1
196006;14.1;1
196007;13;1
196008;13.4;1
196009;10;1
196010;8;1
196011;5.2;1
196012;0.2;1
196101;1.3;1
196102;4.1;1
196103;3;1
196104;8.8;1
196105;8.6;1
196106;13.7;1
196107;13.7;1
196108;13.1;1
196109;14.7;1
196110;8.6;1
196111;3.5;1
196112;1.8;1
196201;2.6;1
196202;-0.4;1
196203;1;1
196204;5.9;1
196205;8.2;1
196206;11.7;1
196207;13.8;1
196208;14.2;1
196209;11.3;1
196210;7.2;1
196211;2.2;1
196212;-3.1;1
196301;-4.3;1
196302;-3.1;1
196303;3.5;1
196304;7.1;1
196305;9;1
196306;13.1;1
196307;14.8;1
196308;13.2;1
196309;11.9;1
196310;7.6;1
196311;7.3;1
196312;-3;1
196401;-2.2;1
196402;2.9;1
196403;3.4;1
196404;7;1
196405;10.8;1
196406;13.4;1
196407;15;1
196408;13.6;1
196409;12.6;1
196410;6.6;1
196411;4;1
196412;0.1;1
196501;1.3;1
196502;-2.2;1
196503;3.2;1
196504;5.8;1
196505;9;1
196506;13.2;1
196507;13.4;1
196508;12.9;1
196509;10.5;1
196510;8.8;1
196511;4.8;1
196512;2.3;1
196601;-0.4;1
196602;5.7;1
196603;1.7;1
196604;7.9;1
196605;10;1
196606;13.6;1
196607;13.1;1
196608;12.9;1
196609;12.1;1
196610;10.8;1
196611;1.7;1
196612;1.9;1
196701;-0.2;1
196702;2.1;1
196703;4.9;1
196704;4.9;1
196705;9.4;1
196706;11.4;1
196707;15.5;1
196708;14;1
196709;10.8;1
196710;9.1;1
196711;4.4;1
196712;-1.3;1
196801;-1.6;1
196802;3.1;1
196803;3.2;1
196804;6.4;1
196805;9.2;1
196806;12.1;1
196807;14.1;1
196808;12.7;1
196809;10.5;1
196810;10;1
196811;3.9;1
196812;0.1;1
196901;0.9;1
196902;-1.2;1
196903;4.3;1
196904;6.2;1
196905;10.1;1
196906;11.4;1
196907;15.1;1
196908;14;1
196909;12.4;1
196910;8.1;1
196911;4.1;1
196912;-3.2;1
197001;2.4;1
197002;1.7;1
197003;1.4;1
197004;4.6;1
197005;9.2;1
197006;14.9;1
197007;14.6;1
197008;14.8;1
197009;11.8;1
197010;7.2;1
197011;4.6;1
197012;-0.5;1
197101;-2.7;1
197102;0.2;1
197103;-0.9;1
197104;7.2;1
197105;10.9;1
197106;12.1;1
197107;15.2;1
197108;15;1
197109;10.5;1
197110;7.5;1
197111;2.6;1
197112;0.7;1
197201;1.5;1
197202;3.8;1
197203;3.9;1
197204;5.9;1
197205;9.4;1
197206;11.1;1
197207;13.8;1
197208;12.9;1
197209;8.2;1
197210;6.5;1
197211;4.4;1
197212;0.2;1
197301;-0.6;1
197302;0.2;1
197303;0.9;1
197304;3.5;1
197305;10.5;1
197306;13.6;1
197307;14.4;1
197308;16;1
197309;11.9;1
197310;6.6;1
197311;3.4;1
197312;0.3;1
197401;3.2;1
197402;3.3;1
197403;5.1;1
197404;5.4;1
197405;9.1;1
197406;12.1;1
197407;13.7;1
197408;14.6;1
197409;11.4;1
197410;4.1;1
197411;4.9;1
197412;3.7;1
197501;3.4;1
197502;1.3;1
197503;2.8;1
197504;5.1;1
197505;8.9;1
197506;12;1
197507;14.3;1
197508;15.6;1
197509;13.8;1
197510;6.1;1
197511;4.6;1
197512;0.4;1
197601;0.7;1
197602;2.1;1
197603;1.6;1
197604;4.7;1
197605;10;1
197606;14.2;1
197607;15.8;1
197608;13.5;1
197609;11;1
197610;9;1
197611;3.8;1
197612;0.1;1
197701;2.3;1
197702;4.2;1
197703;5.3;1
197704;5.4;1
197705;9.5;1
197706;12.4;1
197707;14.2;1
197708;13.4;1
197709;9.8;1
197710;9.9;1
197711;3.8;1
197712;1.9;1
197801;-0.1;1
197802;1.5;1
197803;4;1
197804;4.7;1
197805;9.3;1
197806;12;1
197807;14.4;1
197808;13.5;1
197809;10.7;1
197810;6.6;1
197811;1.5;1
197812;2.9;1
197901;-1.3;1
197902;2.4;1
197903;5;1
197904;5;1
197905;9.1;1
197906;14.2;1
197907;13.8;1
197908;12.8;1
197909;11.5;1
197910;10.6;1
197911;3;1
197912;1.9;1
198001;0;1
198002;3.6;1
198003;3.2;1
198004;4.9;1
198005;8.6;1
198006;12.2;1
198007;12.9;1
198008;15;1
198009;12.2;1
198010;7.2;1
198011;3.1;1
198012;-1.5;1
198101;-1.6;1
198102;-1.3;1
198103;6.2;1
198104;6.7;1
198105;9.7;1
198106;12.7;1
198107;14;1
198108;14.3;1
198109;13.3;1
198110;8.2;1
198111;2.2;1
198112;2.1;1
