# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 29075001
# NOM_USUEL= BREST-GUIPAVAS
# LATITUDE (°) = 48.45
# LONGITUDE(°)= -4.383
# ALTITUDE (m) = 94
# NUM_SERIE= MTN129075001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197610 199812
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.2;1
195102;2.8;1
195103;3.9;1
195104;4.7;1
195105;7.1;1
195106;11.2;1
195107;11.8;1
195108;12;1
195109;12.2;1
195110;7.7;1
195111;6.8;1
195112;5;1
195201;2.4;1
195202;2;1
195203;6.5;1
195204;6.3;1
195205;9.7;1
195206;10.3;1
195207;12.7;1
195208;13.2;1
195209;9;1
195210;8.7;1
195211;4.8;1
195212;3;1
195301;1.6;1
195302;2.1;1
195303;2.5;1
195304;6;1
195305;9.7;1
195306;10.3;1
195307;12.7;1
195308;12.9;1
195309;10.4;1
195310;8.3;1
195311;6.7;1
195312;7.1;1
195401;3.1;1
195402;2.6;1
195403;4.9;1
195404;4.1;1
195405;7.7;1
195406;10.4;1
195407;10.8;1
195408;11.2;1
195409;10.9;1
195410;10.5;1
195411;5.7;1
195412;6.4;1
195501;3.4;1
195502;2.1;1
195503;1.3;1
195504;5.9;1
195505;7.3;1
195506;11.3;1
195507;12.5;1
195508;13.4;1
195509;11;1
195510;7.1;1
195511;5;1
195512;6.9;1
195601;3.9;1
195602;-2.6;1
195603;4.5;1
195604;3.6;1
195605;7.3;1
195606;9.2;1
195607;12.4;1
195608;10.5;1
195609;12.4;1
195610;8.1;1
195611;5.5;1
195612;5.2;1
195701;4;1
195702;5.3;1
195703;8.2;1
195704;6.4;1
195705;7.6;1
195706;10.5;1
195707;13.2;1
195708;12.4;1
195709;10.7;1
195710;9;1
195711;4.9;1
195712;3.3;1
195801;3.4;1
195802;5.4;1
195803;4;1
195804;4.8;1
195805;8.4;1
195806;10.5;1
195807;12.2;1
195808;13.1;1
195809;12.3;1
195810;8.8;1
195811;5.7;1
195812;3.6;1
195901;2.9;1
195902;2.7;1
195903;5.6;1
195904;6.8;1
195905;8.4;1
195906;10.4;1
195907;12.4;1
195908;12.8;1
195909;11.5;1
195910;10;1
195911;6.1;1
195912;5.2;1
196001;3.7;1
196002;3.1;1
196003;6.6;1
196004;5.8;1
196005;8.9;1
196006;11.6;1
196007;12;1
196008;12.3;1
196009;10.2;1
196010;8.8;1
196011;6.7;1
196012;3.2;1
196101;4.1;1
196102;6.3;1
196103;4.7;1
196104;8.2;1
196105;7.8;1
196106;10.2;1
196107;11.9;1
196108;12.1;1
196109;12.6;1
196110;9;1
196111;4.9;1
196112;3.2;1
196201;4.4;1
196202;3;1
196203;1.6;1
196204;5.3;1
196205;7.5;1
196206;8.9;1
196207;11.8;1
196208;12.3;1
196209;10.1;1
196210;8.7;1
196211;4.2;1
196212;2.1;1
196301;-2.4;1
196302;-0.6;1
196303;5;1
196304;5.4;1
196305;7;1
196306;11;1
196307;11.8;1
196308;11.9;1
196309;10.7;1
196310;9;1
196311;7.3;1
196312;1.5;1
196401;1;1
196402;3.8;1
196403;4;1
196404;5.6;1
196405;9.6;1
196406;10.8;1
196407;12.6;1
196408;11.8;1
196409;11.8;1
196410;7.4;1
196411;5.6;1
196412;3.9;1
196501;3.3;1
196502;0.8;1
196503;4.8;1
196504;5.5;1
196505;9.2;1
196506;10.4;1
196507;11.6;1
196508;12.4;1
196509;9.4;1
196510;9.3;1
196511;4.9;1
196512;5.8;1
196601;3.6;1
196602;6.8;1
196603;4.3;1
196604;7.6;1
196605;8.3;1
196606;11.8;1
196607;11.8;1
196608;12.2;1
196609;12.6;1
196610;9;1
196611;4.3;1
196612;6.2;1
196701;4.6;1
196702;3.6;1
196703;4.6;1
196704;5.4;1
196705;8;1
196706;10.3;1
196707;12.4;1
196708;12.5;1
196709;11.3;1
196710;9.5;1
196711;5.2;1
196712;4.4;1
196801;4.8;1
196802;2.3;1
196803;4.4;1
196804;4.8;1
196805;6.5;1
196806;10.7;1
196807;11.8;1
196808;12.9;1
196809;11.5;1
196810;11.3;1
196811;6.4;1
196812;4;1
196901;5.3;1
196902;1.1;1
196903;4.3;1
196904;5.5;1
196905;8.1;1
196906;10;1
196907;12.2;1
196908;12.4;1
196909;12.3;1
196910;10;1
196911;5.1;1
196912;3.5;1
197001;4.2;1
197002;3.6;1
197003;2.5;1
197004;5.1;1
197005;8;1
197006;11.8;1
197007;11.9;1
197008;12.2;1
197009;11.8;1
197010;8.3;1
197011;7.3;1
197012;2.1;1
197101;4;1
197102;2.9;1
197103;2.6;1
197104;5.2;1
197105;7.7;1
197106;9.8;1
197107;12.5;1
197108;12.8;1
197109;11.4;1
197110;9.2;1
197111;4.4;1
197112;4.3;1
197201;2.8;1
197202;3.8;1
197203;4.7;1
197204;6.1;1
197205;7.5;1
197206;8.8;1
197207;11.5;1
197208;11.2;1
197209;8.8;1
197210;8.3;1
197211;5.3;1
197212;4.6;1
197301;3;1
197302;3.5;1
197303;2.5;1
197304;4.4;1
197305;9;1
197306;10.5;1
197307;12;1
197308;13;1
197309;11.2;1
197310;7.8;1
197311;5.8;1
197312;4.2;1
197401;5.1;1
197402;3.9;1
197403;3.8;1
197404;5.2;1
197405;7.6;1
197406;10.3;1
197407;11.9;1
197408;11.8;1
197409;9.8;1
197410;6.2;1
197411;6.5;1
197412;6.8;1
197501;5.5;1
197502;4.3;1
197503;3.7;1
197504;5.1;1
197505;7.5;1
197506;10;1
197507;13.1;1
197508;13.8;1
197509;10.5;1
197510;7.7;1
197511;5.6;1
197512;3.6;1
197601;4.7;1
197602;3.7;1
197603;3.6;1
197604;4.1;1
197605;7.9;1
197606;12.1;1
197607;13.2;1
197608;12.7;1
197609;10.5;1
197610;8.8;1
197611;5.7;1
197612;2.4;1
197701;2.7;1
197702;4.9;1
197703;5.7;1
197704;5;1
197705;7.4;1
197706;9.4;1
197707;12.5;1
197708;11.9;1
197709;9.5;1
197710;10.2;1
197711;5.6;1
197712;5.3;1
197801;3;1
197802;4;1
197803;4.9;1
197804;4.4;1
197805;7.7;1
197806;9.5;1
197807;11.7;1
197808;10.8;1
197809;10.4;1
197810;9.6;1
197811;7.2;1
197812;4.9;1
197901;0.4;1
197902;3.1;1
197903;3.9;1
197904;5.7;1
197905;6.4;1
197906;10.4;1
197907;12.1;1
197908;12.1;1
197909;10.4;1
197910;9.6;1
197911;6;1
197912;5.7;1
198001;2.2;1
198002;5.6;1
198003;3.9;1
198004;5.9;1
198005;7.3;1
198006;10.9;1
198007;11.5;1
198008;13.2;1
198009;11.4;1
198010;7.9;1
198011;4.8;1
198012;4.6;1
198101;4.6;1
198102;1.9;1
198103;7.2;1
198104;6.1;1
198105;8.7;1
198106;10.5;1
198107;12.8;1
198108;12.5;1
198109;12.1;1
198110;8.2;1
198111;6.6;1
198112;3.8;1
198201;4.9;1
198202;4.6;1
198203;4.2;1
198204;5;1
198205;7.9;1
198206;11.4;1
198207;12.7;1
198208;12.8;1
198209;11.9;1
198210;8.7;1
198211;7;1
198212;4.3;1
198301;5.3;1
198302;1.8;1
198303;5.1;1
198304;4.6;1
198305;7.8;1
198306;11.4;1
198307;14.9;1
198308;13.5;1
198309;11.9;1
198310;8.2;1
198311;6.6;1
198312;4.7;1
198401;3.7;1
198402;3.1;1
198403;3;1
198404;4.9;1
198405;6.9;1
198406;10;1
198407;12.4;1
198408;12.9;1
198409;11.3;1
198410;9.6;1
198411;6.8;1
198412;4.8;1
198501;0.7;1
198502;2.7;1
198503;3.5;1
198504;6.3;1
198505;8;1
198506;10.5;1
198507;12.3;1
198508;12.5;1
198509;11.9;1
198510;8.4;1
198511;3.7;1
198512;6.5;1
198601;4.1;1
198602;-1.1;1
198603;3.8;1
198604;3.1;1
198605;7.9;1
198606;10.5;1
198607;12.6;1
198608;11.1;1
198609;8.5;1
198610;9.3;1
198611;6.1;1
198612;5.7;1
198701;-0.9;1
198702;3.6;1
198703;3.5;1
198704;7.6;1
198705;7.1;1
198706;9.9;1
198707;12.4;1
198708;12.4;1
198709;12.6;1
198710;7.9;1
198711;5.1;1
198712;5.2;1
198801;4.7;1
198802;3.6;1
198803;5.8;1
198804;7;1
198805;8.9;1
198806;11;1
198807;11.8;1
198808;12.3;1
198809;11.3;1
198810;9.7;1
198811;5;1
198812;7.3;1
198901;4.9;1
198902;5.4;1
198903;6.6;1
198904;4.6;1
198905;10.2;1
198906;11.2;1
198907;14.1;1
198908;13.2;1
198909;11.9;1
198910;10.6;1
198911;5.3;1
198912;4.3;1
199001;5.9;1
199002;7.4;1
199003;5.4;1
199004;5.6;1
199005;10.3;1
199006;10.7;1
199007;13.4;1
199008;13.8;1
199009;10.6;1
199010;9.8;1
199011;5.9;1
199012;2.8;1
199101;2.5;1
199102;1;1
199103;6.3;1
199104;5.5;1
199105;7.9;1
199106;10.2;1
199107;13.1;1
199108;13.3;1
199109;12;1
199110;7.8;1
199111;5.8;1
199112;2.8;1
199201;2.3;1
199202;2.9;1
199203;5.3;1
199204;5.8;1
199205;9.5;1
199206;11.1;1
199207;13.2;1
199208;13.3;1
199209;10.7;1
199210;7.2;1
199211;8.1;1
199212;4;1
199301;6.3;1
199302;2.8;1
199303;4.8;1
199304;7.1;1
199305;8.7;1
199306;11.3;1
199307;12.5;1
199308;11.5;1
199309;10.1;1
199310;7.2;1
199311;3.5;1
199312;5.9;1
199401;5.3;1
199402;4.5;1
199403;6.7;1
199404;5.8;1
199405;9;1
199406;10.7;1
199407;13.1;1
199408;12.9;1
199409;10.9;1
199410;8.9;1
199411;9.1;1
199412;6.8;1
199501;5.2;1
199502;6.5;1
199503;4.5;1
199504;6;1
199505;9;1
199506;11;1
199507;13.9;1
199508;14.1;1
199509;10.9;1
199510;11.6;1
199511;5.9;1
199512;3.8;1
199601;5.5;1
199602;2.5;1
199603;4.3;1
199604;6;1
199605;7;1
199606;11.4;1
199607;12.7;1
199608;12.5;1
199609;9.9;1
199610;10.4;1
199611;5.7;1
199612;2.6;1
199701;1;1
199702;6.1;1
199703;6.6;1
199704;5.7;1
199705;9.2;1
199706;11.5;1
199707;12.3;1
199708;15.5;1
199709;11.5;1
199710;9.8;1
199711;7.5;1
199712;5.3;1
199801;3.7;1
199802;4.6;1
199803;6.1;1
199804;6;1
199805;9.5;1
199806;11.6;1
199807;12.4;1
199808;11.7;1
199809;11.9;1
199810;9.4;1
199811;4.7;1
199812;5.3;1
199901;5.6;1
199902;5.1;1
199903;5.4;1
199904;7.8;1
199905;10.3;1
199906;10.5;1
199907;13.6;1
199908;14;1
199909;12.3;1
199910;8.7;1
199911;7.1;1
199912;5.2;1
200001;4.3;1
200002;6.2;1
200003;4.5;1
200004;5.3;1
200005;9.6;1
200006;11.9;1
200007;12.5;1
200008;13.4;1
200009;12.4;1
200010;8.8;1
200011;6.3;1
200012;6.2;1
200101;3.9;1
200102;4;1
200103;6.8;1
200104;6.6;1
200105;8.5;1
200106;10.3;1
200107;12.7;1
200108;13.7;1
200109;10.6;1
200110;11.6;1
200111;5.4;1
200112;1.9;1
200201;5.7;1
200202;6.8;1
200203;6.4;1
200204;6.4;1
200205;8.6;1
200206;10.8;1
200207;12.6;1
200208;13.1;1
200209;11;1
200210;9.4;1
200211;8.6;1
200212;6.3;1
200301;3.5;1
200302;3.5;1
200303;5.9;1
200304;6.8;1
200305;8.8;1
200306;12;1
200307;13.9;1
200308;14.5;1
200309;10.6;1
200310;7.9;1
200311;7.5;1
200312;5.2;1
200401;5.2;1
200402;3.8;1
200403;3.8;1
200404;5.7;1
200405;8.1;1
200406;11.6;1
200407;12.2;1
200408;14;1
200409;12.2;1
200410;9.4;1
200411;7.9;1
200412;3.8;1
200501;6;1
200502;2.7;1
200503;5.5;1
200504;6.7;1
200505;8.7;1
200506;12.3;1
200507;13.9;1
200508;12;1
200509;11.7;1
200510;11.4;1
200511;4.9;1
200512;3.2;1
200601;2.7;1
200602;2.8;1
200603;4.8;1
200604;6;1
200605;9.3;1
200606;11.2;1
200607;14.7;1
200608;13.1;1
200609;13.8;1
200610;12;1
200611;7.6;1
200612;5.7;1
200701;6.3;1
200702;6.6;1
200703;5.2;1
200704;7.4;1
200705;9.8;1
200706;12.5;1
200707;12.8;1
200708;12.4;1
200709;10.8;1
200710;8.5;1
200711;6.2;1
200712;4.2;1
200801;5.7;1
200802;3.9;1
200803;5.7;1
200804;5.4;1
200805;10.4;1
200806;11.1;1
200807;12.9;1
200808;13.5;1
200809;10.2;1
200810;8.2;1
200811;7.1;1
200812;1.8;1
200901;2.6;1
200902;2.5;1
200903;4.2;1
200904;6;1
200905;8.8;1
200906;11.4;1
200907;13.8;1
200908;13.2;1
200909;11.4;1
200910;10.7;1
200911;8.8;1
200912;3.7;1
201001;1.3;1
201002;2.5;1
201003;3.8;1
201004;5.1;1
201005;8.1;1
201006;11.1;1
201007;13.7;1
201008;12.9;1
201009;10.7;1
201010;9.4;1
