# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 30305001
# NOM_USUEL= SALINDRES
# LATITUDE (°) = 44.175
# LONGITUDE(°)= 4.153
# ALTITUDE (m) = 191
# NUM_SERIE= MTN130305001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 196112 196912 197612 198812 199512
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;1.2;1
195602;-8.1;1
195603;3;1
195604;4.9;1
195605;8.1;1
195606;10.3;1
195607;13.2;1
195608;12.3;1
195609;11.6;1
195610;6.3;1
195611;1.5;1
195612;1.6;1
195701;-1.9;1
195702;2.6;1
195703;3.7;1
195704;5.9;1
195705;8;1
195706;11.5;1
195707;13.7;1
195708;13;1
195709;11;1
195710;7.1;1
195711;3.6;1
195712;0.9;1
195801;0.5;1
195802;1.3;1
195803;2;1
195804;4.5;1
195805;8.7;1
195806;10.8;1
195807;13.2;1
195808;14.1;1
195809;12.7;1
195810;6.8;1
195811;3.7;1
195812;2.1;1
195901;-0.6;1
195902;0.4;1
195903;5.3;1
195904;6;1
195905;8.8;1
195906;12.2;1
195907;15.9;1
195908;13.8;1
195909;12.7;1
195910;8.3;1
195911;3;1
195912;2.6;1
196001;0.4;1
196002;1;1
196003;3.9;1
196004;5.9;1
196005;9.1;1
196006;12.8;1
196007;13.4;1
196008;12.4;1
196009;9.7;1
196010;7.6;1
196011;3.8;1
196012;-0.1;1
196101;-0.7;1
196102;3.2;1
196103;2.9;1
196104;7.5;1
196105;8.9;1
196106;13;1
196107;13.8;1
196108;12.7;1
196109;13.4;1
196110;8.4;1
196111;2.4;1
196112;1;1
196201;2.6;1
196202;-0.1;1
196203;1.2;1
196204;5.7;1
196205;7.2;1
196206;11.2;1
196207;13.7;1
196208;14.2;1
196209;11.5;1
196210;8.2;1
196211;1.9;1
196212;-2.7;1
196301;-3.2;1
196302;-2.8;1
196303;2.4;1
196304;5.9;1
196305;8.5;1
196306;11.2;1
196307;14.3;1
196308;12.3;1
196309;11.6;1
196310;6.7;1
196311;5.8;1
196312;-0.9;1
196401;-1.3;1
196402;2.7;1
196403;2.4;1
196404;6.3;1
196405;9.6;1
196406;13.3;1
196407;14.4;1
196408;13.9;1
196409;12.4;1
196410;6;1
196411;2.8;1
196412;0.1;1
196501;0.3;1
196502;-1.6;1
196503;2.8;1
196504;6.2;1
196505;8.2;1
196506;11.4;1
196507;13;1
196508;12.7;1
196509;9.6;1
196510;9;1
196511;3.7;1
196512;1.6;1
196601;-0.1;1
196602;4.3;1
196603;2.5;1
196604;6.7;1
196605;9.3;1
196606;12;1
196607;13.3;1
196608;12.5;1
196609;12.2;1
196610;9.9;1
196611;1.4;1
196612;1.6;1
196701;0.2;1
196702;1.3;1
196703;4.9;1
196704;5.1;1
196705;8;1
196706;10.8;1
196707;15.1;1
196708;13.9;1
196709;11.5;1
196710;9.3;1
196711;4.7;1
196712;-1.2;1
196801;-0.8;1
196802;1.4;1
196803;2.2;1
196804;5.6;1
196805;8.6;1
196806;11.1;1
196807;13.4;1
196808;12.5;1
196809;10.3;1
196810;8.6;1
196811;4;1
196812;0.5;1
196901;0.4;1
196902;-1.8;1
196903;4;1
196904;5.7;1
196905;8.6;1
196906;10.4;1
196907;14.2;1
