# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 30339001
# NOM_USUEL= MONT AIGOUAL
# LATITUDE (°) = 44.121
# LONGITUDE(°)= 3.582
# ALTITUDE (m) = 1567
# NUM_SERIE= MTN130339001
# Amplitude minimale détectable de la série = 0.25
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-4.2;1
195102;-5.2;1
195103;-4.5;1
195104;-1.3;1
195105;1.3;1
195106;6.7;1
195107;9.4;1
195108;8.5;1
195109;7.2;1
195110;2.7;1
195111;-0.3;1
195112;-1.6;1
195201;-6.4;1
195202;-6.5;1
195203;-0.3;1
195204;0.9;1
195205;4.3;1
195206;9.3;1
195207;11.4;1
195208;9.5;1
195209;3.2;1
195210;2.7;1
195211;-2.6;1
195212;-3.8;1
195301;-6.1;1
195302;-6;1
195303;-1.6;1
195304;-0.3;1
195305;4.9;1
195306;5.1;1
195307;8.5;1
195308;9.8;1
195309;7.6;1
195310;4.2;1
195311;-0.1;1
195312;-0.5;1
195401;-7.2;1
195402;-7.8;1
195403;-2.2;1
195404;-1.8;1
195405;2.7;1
195406;6.6;1
195407;6.5;1
195408;7.2;1
195409;6.3;1
195410;3.7;1
195411;-0.1;1
195412;-1.2;1
195501;-1.4;1
195502;-5.6;1
195503;-3.6;1
195504;1;1
195505;2.4;1
195506;6.9;1
195507;9.5;1
195508;9.7;1
195509;6.1;1
195510;1.9;1
195511;-1;1
195512;-0.3;1
195601;-2.5;1
195602;-15;1
195603;-2.9;1
195604;-2;1
195605;4;1
195606;3.9;1
195607;8;1
195608;7.9;1
195609;8;1
195610;1.5;1
195611;-3.5;1
195612;-3.1;1
195701;-3.9;1
195702;-2.1;1
195703;1.2;1
195704;-0.4;1
195705;0.9;1
195706;6.7;1
195707;8.4;1
195708;8.4;1
195709;6.7;1
195710;4.2;1
195711;0.6;1
195712;-3.7;1
195801;-4.8;1
195802;-2.3;1
195803;-4.5;1
195804;-2.9;1
195805;5.3;1
195806;5.7;1
195807;8.4;1
