# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 33236002
# NOM_USUEL= CAP-FERRET
# LATITUDE (°) = 44.631
# LONGITUDE(°)= -1.252
# ALTITUDE (m) = 8
# NUM_SERIE= MTN133236002
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 197606 199412
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;0.4;1
195302;1.7;1
195303;5.4;1
195304;8.9;1
195305;12.5;1
195306;13.7;1
195307;16.5;1
195308;17;1
195309;15.1;1
195310;11.6;1
195311;6.7;1
195312;7.7;1
195401;3.3;1
195402;3.1;1
195403;7.3;1
195404;7.3;1
195405;10.6;1
195406;13.5;1
195407;14.7;1
195408;16;1
195409;15.5;1
195410;12.3;1
195411;9.3;1
195412;6.8;1
195501;6.7;1
195502;5.3;1
195503;3.6;1
195504;8.2;1
195505;10.8;1
195506;14.2;1
195507;17.7;1
195508;17.4;1
195509;15;1
195510;9.8;1
195511;6;1
195512;7.3;1
195601;5;1
195602;-4.3;1
195603;5.5;1
195604;7.3;1
195605;11.5;1
195606;12.7;1
195607;15.7;1
195608;15.6;1
195609;15;1
195610;10.6;1
195611;5.5;1
195612;5.8;1
195701;2.9;1
195702;7.3;1
195703;8.9;1
195704;7.9;1
195705;10;1
195706;14.4;1
195707;17.1;1
195708;16.4;1
195709;14.2;1
195710;10.7;1
195711;5.8;1
195712;3.6;1
195801;4.6;1
195802;6.2;1
195803;6.5;1
195804;7.4;1
195805;11.5;1
195806;13.7;1
195807;16;1
195808;16.6;1
195809;16.7;1
195810;11.1;1
195811;6.5;1
195812;6.3;1
195901;4.6;1
195902;3.8;1
195903;8;1
195904;9.2;1
195905;11.9;1
195906;14.6;1
195907;16.9;1
195908;17.2;1
195909;16.1;1
195910;11.8;1
195911;8;1
195912;7.6;1
196001;3.9;1
196002;5.1;1
196003;8.5;1
196004;8.6;1
196005;12;1
196006;15.7;1
196007;16.2;1
196008;16.1;1
196009;14.4;1
196010;11.3;1
196011;9.7;1
196012;4.1;1
196101;5;1
196102;7.6;1
196103;6.1;1
196104;10.5;1
196105;11.3;1
196106;14.7;1
196107;16.2;1
196108;15.6;1
196109;17;1
196110;12.6;1
196111;6.9;1
196112;6.5;1
196201;5.7;1
196202;4.4;1
196203;4.4;1
196204;7.6;1
196205;10.3;1
196206;13;1
196207;15.3;1
196208;17.2;1
196209;14.9;1
196210;11.2;1
196211;4.3;1
196212;2;1
196301;-0.2;1
196302;1;1
196303;6.8;1
196304;8.4;1
196305;10.6;1
196306;14.2;1
196307;16;1
196308;16;1
196309;15.1;1
196310;11.9;1
196311;10.6;1
196312;2.6;1
196401;0.9;1
196402;5.6;1
196403;6.4;1
196404;8.7;1
196405;12.2;1
196406;14.2;1
196407;16.7;1
196408;17;1
196409;16.6;1
196410;10;1
196411;6.9;1
196412;3.3;1
196501;4.5;1
196502;1.2;1
196503;6.2;1
196504;8.8;1
196505;11.1;1
196506;13.2;1
196507;15.5;1
196508;16;1
196509;13.1;1
196510;12.7;1
196511;8.2;1
196512;7.6;1
196601;5.2;1
196602;8.9;1
196603;5.6;1
196604;10;1
196605;11.1;1
196606;14.6;1
196607;15.5;1
196608;16;1
196609;15.6;1
196610;12.8;1
196611;6.2;1
196612;7.4;1
196701;3.5;1
196702;5.2;1
196703;7.4;1
196704;7.1;1
196705;10.8;1
196706;13.2;1
196707;16.7;1
196708;15.9;1
196709;14.2;1
196710;13.7;1
196711;8.9;1
196712;3.1;1
196801;5;1
196802;5.5;1
196803;5.9;1
196804;8.1;1
196805;10.3;1
196806;14;1
196807;16.2;1
196808;17.1;1
196809;15.4;1
196810;13.4;1
196811;8.1;1
196812;6.1;1
196901;6;1
196902;2.8;1
196903;7;1
196904;8.9;1
196905;11.3;1
196906;13.3;1
196907;16.6;1
196908;16.7;1
196909;15;1
196910;12.6;1
196911;8;1
196912;3.6;1
197001;5.4;1
197002;6.7;1
197003;4.8;1
197004;7.4;1
197005;10.9;1
197006;15.6;1
197007;15.9;1
197008;17;1
197009;15.8;1
197010;10;1
197011;10;1
197012;2.8;1
197101;5;1
197102;3.6;1
197103;3;1
197104;9.4;1
197105;11.7;1
197106;13.2;1
197107;17.5;1
197108;16.8;1
197109;14.4;1
197110;12.1;1
197111;5;1
197112;4.6;1
197201;4.8;1
197202;6;1
197203;7.2;1
197204;8.2;1
197205;9.9;1
197206;12.2;1
197207;15.2;1
197208;14.7;1
197209;11.5;1
197210;10.1;1
197211;8.1;1
197212;5.1;1
197301;3.1;1
197302;3;1
197303;4.2;1
197304;6.4;1
197305;12.3;1
197306;14.3;1
197307;16.8;1
197308;18.9;1
197309;15.1;1
197310;9.8;1
197311;6.4;1
197312;3.9;1
197401;7;1
197402;5.8;1
197403;6.2;1
197404;7.6;1
197405;10.6;1
197406;13.4;1
197407;15.4;1
197408;16.2;1
197409;14.4;1
197410;8.2;1
197411;8.7;1
197412;7.3;1
197501;6.1;1
197502;4.9;1
197503;4.8;1
197504;7.2;1
197505;9.9;1
197506;13.7;1
197507;16.2;1
197508;18;1
197509;14.3;1
197510;10.8;1
197511;6.3;1
197512;2;1
197601;3.2;1
197602;4.8;1
197603;5;1
197604;7.5;1
197605;11;1
197606;15.1;1
197607;17.8;1
197608;16.9;1
197609;14;1
197610;11.8;1
197611;6.6;1
197612;4.9;1
197701;5.1;1
197702;8;1
197703;8;1
197704;8.4;1
197705;10.8;1
197706;13.6;1
197707;16.1;1
197708;15.5;1
197709;13;1
197710;12.4;1
197711;7.5;1
197712;6.1;1
197801;4.5;1
197802;6.4;1
197803;7.1;1
197804;7.3;1
197805;11.1;1
197806;13.8;1
197807;15.1;1
197808;15.7;1
197809;13.7;1
197810;9.9;1
197811;6.3;1
197812;6.7;1
197901;3.1;1
197902;5.5;1
197903;6.7;1
197904;7.8;1
197905;10.7;1
197906;14;1
197907;15.9;1
197908;15.8;1
197909;14.3;1
197910;12.5;1
197911;6.5;1
197912;6.5;1
198001;3.8;1
198002;6.6;1
198003;5.7;1
198004;7.5;1
198005;10.8;1
198006;14;1
198007;14.6;1
198008;17;1
198009;15.2;1
198010;10.9;1
198011;5.9;1
198012;3.3;1
198101;5.1;1
198102;2.8;1
198103;8.6;1
198104;8.3;1
198105;11.5;1
198106;13.3;1
198107;15.5;1
198108;17.2;1
198109;15.1;1
198110;12.9;1
198111;7.1;1
198112;6.7;1
198201;8.1;1
198202;5.9;1
198203;6.4;1
198204;7.4;1
198205;11.7;1
198206;16.1;1
198207;17.8;1
198208;16.7;1
198209;15.8;1
198210;11.9;1
198211;9.4;1
198212;6.3;1
198301;5.1;1
198302;3.8;1
198303;6.7;1
198304;8.5;1
198305;10;1
198306;15.4;1
198307;20;1
198308;17.1;1
198309;15.5;1
198310;11.2;1
198311;8.9;1
198312;4.5;1
198401;6.4;1
198402;4;1
198403;4.8;1
198404;8.4;1
198405;9.8;1
198406;14;1
198407;16.4;1
198408;16.7;1
198409;14.6;1
198410;11.6;1
198411;9.9;1
198412;5.2;1
198501;-0.2;1
198502;6;1
198503;5.5;1
198504;9.2;1
198505;11;1
198506;14.4;1
198507;17.4;1
198508;15.9;1
198509;15.1;1
198510;11.8;1
198511;5;1
198512;5.1;1
198601;6.2;1
198602;1.6;1
198603;6.9;1
198604;6.9;1
198605;11.9;1
198606;14.7;1
198607;16.4;1
198608;16.1;1
198609;14.3;1
198610;13.2;1
198611;8.5;1
198612;6.9;1
198701;-0.2;1
198702;4.6;1
198703;6.3;1
198704;10;1
198705;10.9;1
198706;14.3;1
198707;17.5;1
198708;16.9;1
198709;16.6;1
198710;13.2;1
198711;8.3;1
198712;6;1
198801;8.4;1
198802;6.1;1
198803;6.8;1
198804;10;1
198805;13.5;1
198806;14.9;1
198807;15.6;1
198808;16.7;1
198809;14.7;1
198810;12.5;1
198811;6.9;1
198812;5.5;1
198901;2.5;1
198902;4.1;1
198903;7.8;1
198904;8;1
198905;13.8;1
198906;15.9;1
198907;18;1
198908;17.1;1
198909;14.1;1
198910;11.7;1
198911;8.8;1
198912;7.5;1
199001;5.2;1
199002;9.5;1
199003;6.9;1
199004;7.9;1
199005;13.6;1
199006;15.1;1
199007;17.3;1
199008;17.9;1
199009;14.7;1
199010;13.5;1
199011;9;1
199012;3.1;1
199101;4.9;1
199102;3.2;1
199103;9;1
199104;7.8;1
199105;11.5;1
199106;14.5;1
199107;17.3;1
199108;18.7;1
199109;16.9;1
199110;11.3;1
199111;8.5;1
199112;4.7;1
199201;1.7;1
199202;4.2;1
199203;7;1
199204;8.6;1
199205;13.2;1
199206;14.7;1
199207;17.8;1
199208;18.4;1
199209;14.7;1
199210;11.3;1
199211;11.1;1
199212;6.5;1
199301;5.6;1
199302;3.6;1
199303;5.5;1
199304;8.8;1
199305;12.2;1
199306;15.8;1
199307;15.9;1
199308;16.7;1
199309;14.4;1
199310;11.2;1
199311;5.9;1
199312;8.7;1
199401;6.6;1
199402;6.3;1
199403;8.9;1
199404;8.3;1
199405;12.1;1
199406;14.9;1
199407;18.4;1
199408;19.5;1
199409;14.9;1
199410;13.3;1
199411;10.9;1
199412;8.5;1
199501;5.5;1
199502;7.7;1
199503;6.8;1
199504;8.7;1
199505;12.3;1
199506;14.6;1
199507;18.7;1
199508;18.8;1
199509;13.8;1
199510;14.1;1
199511;7.5;1
199512;5.5;1
199601;7.8;1
199602;4.2;1
199603;6.2;1
199604;8.8;1
199605;11.8;1
199606;16;1
199607;17.2;1
199608;16.8;1
199609;13.6;1
199610;11.9;1
199611;8.2;1
199612;5.2;1
199701;3.6;1
199702;7.2;1
199703;7.8;1
199704;8.7;1
199705;13.7;1
199706;15.4;1
199707;17.2;1
199708;19;1
199709;15.5;1
199710;13;1
199711;10.1;1
199712;7;1
199801;6.5;1
199802;5;1
199803;7.8;1
199804;8.8;1
199805;13.1;1
199806;15;1
199807;17;1
199808;17.7;1
199809;15.8;1
199810;12.4;1
199811;6.4;1
199812;5.2;1
199901;6.2;1
199902;5.1;1
199903;7.6;1
199904;10.1;1
199905;13.8;1
199906;15.6;1
199907;18.3;1
199908;18.3;1
199909;16.4;1
199910;13.1;1
199911;6.2;1
199912;6.4;1
200001;3.7;1
200002;6.7;1
200003;6.1;1
200004;9.7;1
200005;13.6;1
200006;15.6;1
200007;16.9;1
200008;17.8;1
200009;16;1
200010;12.8;1
200011;9.9;1
200012;9.1;1
200101;7.3;1
200102;6;1
200103;10.2;1
200104;9.2;1
200105;12.8;1
200106;15.3;1
200107;17.1;1
200108;18.9;1
200109;13.8;1
200110;14.4;1
200111;5.8;1
200112;2.5;1
200201;5.6;1
200202;7.2;1
200203;8.3;1
200204;8.8;1
200205;12;1
200206;15.6;1
200207;16.2;1
200208;16.8;1
200209;14.4;1
200210;13.2;1
200211;10.2;1
200212;8.8;1
200301;3.8;1
200302;3.3;1
200303;7.9;1
200304;9.9;1
200305;12.5;1
200306;18;1
200307;17.8;1
200308;20.4;1
200309;15.7;1
200310;11;1
200311;9.6;1
200312;6.3;1
200401;5.9;1
200402;3.9;1
200403;5.4;1
200404;8.6;1
200405;11.8;1
200406;15.8;1
200407;16.7;1
200408;18.2;1
200409;15.9;1
200410;14;1
200411;7;1
200412;5.2;1
200501;4.8;1
200502;2.3;1
200503;5.8;1
200504;9.3;1
200505;12.7;1
200506;16.3;1
200507;18.3;1
200508;16.8;1
200509;14.5;1
200510;13.9;1
200511;6.8;1
200512;2.8;1
200601;3.8;1
200602;2.8;1
200603;7.9;1
200604;8.6;1
200605;12.2;1
200606;16.3;1
200607;20;1
200608;16.9;1
200609;17.4;1
200610;15;1
200611;10.5;1
200612;4.3;1
200701;7.2;1
200702;8.2;1
200703;7.2;1
200704;10.6;1
200705;13.8;1
200706;15.6;1
200707;16.5;1
200708;16.6;1
200709;13.2;1
200710;10.5;1
200711;6;1
200712;4.8;1
200801;5.9;1
200802;6.8;1
200803;7.8;1
200804;9;1
200805;13.2;1
200806;15.4;1
200807;16.8;1
200808;17;1
200809;13.9;1
200810;10.9;1
200811;8.2;1
200812;4.6;1
200901;3.3;1
200902;4.4;1
200903;6.8;1
200904;8.9;1
200905;13.2;1
200906;16.2;1
200907;17.6;1
200908;17.9;1
200909;14.8;1
200910;12.7;1
200911;10.4;1
200912;5.8;1
201001;2.7;1
201002;3.8;1
201003;5.6;1
201004;9.9;1
201005;12;1
201006;15.5;1
201007;18;1
201008;16.7;1
201009;14.5;1
201010;11.3;1
201011;8.8;1
201012;3.4;1
201101;4.3;1
201102;5.8;1
