# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 33504001
# NOM_USUEL= SAUTERNES
# LATITUDE (°) = 44.544
# LONGITUDE(°)= -0.327
# ALTITUDE (m) = 65
# NUM_SERIE= MTN133504001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 195712 196312 197912 199012
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.4;1
195302;-0.3;1
195303;3.2;1
195304;6.9;1
195305;11.2;1
195306;12;1
195307;13.7;1
195308;14.3;1
195309;12.3;1
195310;9.1;1
195311;3.6;1
195312;6;1
195401;0.5;1
195402;2.1;1
195403;5.5;1
195404;5.7;1
195405;8.7;1
195406;11.8;1
195407;12.4;1
195408;13.5;1
195409;12.6;1
195410;9.3;1
195411;5.9;1
195412;4.5;1
195501;5;1
195502;3.1;1
195503;1.8;1
195504;6;1
195505;8.8;1
195506;13.2;1
195507;15.6;1
195508;14.1;1
195509;11.7;1
195510;6.7;1
195511;3.4;1
195512;5.2;1
195601;2.4;1
195602;-7.1;1
195603;3.6;1
195604;5.2;1
195605;9.5;1
195606;10.7;1
195607;13.9;1
195608;13.6;1
195609;12.8;1
195610;7.1;1
195611;1.8;1
195612;3.3;1
195701;-0.7;1
195702;4.8;1
195703;6.2;1
195704;5.5;1
195705;7.6;1
195706;12.1;1
195707;14.1;1
195708;13.9;1
195709;11.9;1
195710;7.5;1
195711;3.1;1
195712;1.7;1
195801;2.6;1
195802;4.3;1
195803;4.8;1
195804;5.4;1
195805;10;1
195806;11.4;1
195807;14.3;1
195808;14.3;1
195809;14.9;1
195810;7.6;1
195811;4.3;1
195812;3.5;1
195901;1.9;1
195902;1.4;1
195903;6.2;1
195904;7.2;1
195905;10.2;1
195906;13;1
195907;15.1;1
195908;14.3;1
195909;13.9;1
195910;8.8;1
195911;5.1;1
195912;5.1;1
196001;1.2;1
196002;2.5;1
196003;6.4;1
196004;5.6;1
196005;9.9;1
196006;13.4;1
196007;13.6;1
196008;13.8;1
196009;11.5;1
196010;8.9;1
196011;6.9;1
196012;1.5;1
196101;1.8;1
196102;5.4;1
196103;3;1
196104;8.7;1
196105;9.2;1
196106;12.8;1
196107;14.5;1
196108;13.3;1
196109;14.9;1
196110;9.8;1
196111;4.4;1
196112;3.6;1
196201;3.8;1
196202;1.8;1
196203;2.1;1
196204;6.2;1
196205;8.8;1
196206;11.9;1
196207;13.7;1
196208;14.1;1
196209;11.8;1
196210;9.1;1
196211;2.7;1
196212;-0.6;1
196301;-1.9;1
196302;-1.8;1
196303;4.8;1
196304;6.8;1
196305;7.9;1
196306;12.4;1
196307;14.3;1
196308;13.4;1
196309;12.3;1
196310;9.2;1
196311;7;1
196312;-0.4;1
196401;-1.6;1
196402;3.4;1
196403;4.4;1
196404;6.8;1
196405;10.7;1
196406;12.6;1
196407;14.7;1
196408;14.2;1
196409;14;1
196410;7.1;1
196411;4.8;1
196412;0.4;1
196501;1.8;1
196502;-0.6;1
196503;5;1
196504;6.8;1
196505;8.7;1
196506;11.7;1
196507;13.2;1
196508;13.4;1
196509;11.4;1
196510;10.7;1
196511;5.5;1
196512;5.5;1
196601;2.6;1
196602;6.8;1
196603;3;1
196604;8.3;1
196605;9.2;1
196606;12.9;1
196607;12.9;1
196608;13.6;1
196609;13;1
196610;10.7;1
196611;3.2;1
196612;5.1;1
196701;1.5;1
196702;3.4;1
196703;5.4;1
196704;5.4;1
196705;9;1
196706;11.8;1
196707;14.7;1
196708;13.9;1
196709;12.3;1
196710;11.1;1
196711;6.5;1
196712;1;1
196801;1.9;1
196802;3.5;1
196803;3.8;1
196804;6.6;1
196805;8.4;1
196806;11.6;1
196807;13.9;1
196808;14.8;1
196809;12.3;1
196810;10.4;1
196811;6;1
196812;3.3;1
196901;3.2;1
196902;0.2;1
196903;4.7;1
196904;7.2;1
196905;9.5;1
196906;11.5;1
196907;14.6;1
196908;14.7;1
196909;12.6;1
196910;9.6;1
196911;4.7;1
196912;0.9;1
197001;3;1
197002;4.6;1
197003;2.4;1
197004;5.4;1
197005;8;1
197006;14.1;1
197007;13.9;1
197008;14.6;1
197009;12.2;1
197010;6.5;1
197011;6.6;1
197012;0.4;1
197101;2.2;1
197102;0.6;1
197103;0;1
197104;7.5;1
197105;10.8;1
197106;11.3;1
197107;15.8;1
197108;14.5;1
197109;11.6;1
197110;9.1;1
197111;2.3;1
197112;3.4;1
197201;2.4;1
197202;4.1;1
197203;5;1
197204;6;1
197205;7.7;1
197206;10.1;1
197207;12.9;1
197208;13.2;1
197209;9.4;1
197210;7.7;1
197211;5.7;1
197212;2.4;1
197301;0.9;1
197302;0.9;1
197303;1.1;1
197304;4.6;1
197305;10.3;1
197306;12.5;1
197307;14.1;1
197308;16.6;1
197309;13;1
197310;6.1;1
197311;3.6;1
197312;1.8;1
197401;4.1;1
197402;3.5;1
197403;4.4;1
197404;5.8;1
197405;9.2;1
197406;12.2;1
197407;13.4;1
197408;13.8;1
197409;11.2;1
197410;5.1;1
197411;5.5;1
197412;4.5;1
197501;3.6;1
197502;2;1
197503;3;1
197504;5.4;1
197505;8.6;1
197506;12.6;1
197507;14.4;1
197508;15.8;1
197509;12.3;1
197510;7.6;1
197511;4.1;1
197512;-0.3;1
197601;0.6;1
197602;3;1
197603;3.1;1
197604;5.5;1
197605;9.4;1
197606;13.9;1
197607;15.3;1
197608;14.5;1
197609;11.5;1
197610;9.2;1
197611;4;1
197612;2.9;1
197701;2.3;1
197702;5.5;1
