# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 35228001
# NOM_USUEL= DINARD
# LATITUDE (°) = 48.585
# LONGITUDE(°)= -2.076
# ALTITUDE (m) = 65
# NUM_SERIE= MTN135228001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195312 195912
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.4;1
195102;1.9;1
195103;3.3;1
195104;4.7;1
195105;7.5;1
195106;11.1;1
195107;12.9;1
195108;12.5;1
195109;12.5;1
195110;8;1
195111;7;1
195112;3.7;1
195201;1.7;1
195202;1.7;1
195203;5.8;1
195204;6;1
195205;9.5;1
195206;10.9;1
195207;13.6;1
195208;13.6;1
195209;9.7;1
195210;8.3;1
195211;4.2;1
195212;1.8;1
195301;0.6;1
195302;1.3;1
195303;2.2;1
195304;5.7;1
195305;9.9;1
195306;10.9;1
195307;12.3;1
195308;13.2;1
195309;10.8;1
195310;9.1;1
195311;4.9;1
195312;6.4;1
195401;1.9;1
195402;1.6;1
195403;3.9;1
195404;4.6;1
195405;7.8;1
195406;10.7;1
195407;11.8;1
195408;12.3;1
195409;11.2;1
195410;10.1;1
195411;5.9;1
195412;5.7;1
195501;2.3;1
195502;1.7;1
195503;0.6;1
195504;5.4;1
195505;6.8;1
195506;11.7;1
195507;14.1;1
195508;14.1;1
195509;12;1
195510;7.5;1
195511;4.9;1
195512;5.9;1
195601;3.3;1
195602;-3.5;1
195603;3.2;1
195604;4.1;1
195605;8;1
195606;9.7;1
195607;12.6;1
195608;10.9;1
195609;12.6;1
195610;8.5;1
195611;5.1;1
195612;5.1;1
195701;2.8;1
195702;4.6;1
195703;7.3;1
195704;6.4;1
195705;8;1
195706;11.6;1
195707;13.8;1
195708;13.1;1
195709;11.7;1
195710;9.3;1
195711;5.5;1
195712;2.5;1
195801;3.5;1
195802;4.4;1
195803;2.7;1
195804;4.4;1
195805;8.5;1
195806;10.6;1
195807;12.7;1
195808;13.4;1
195809;12.3;1
195810;9.4;1
195811;5.7;1
195812;3.5;1
195901;1.8;1
195902;2.1;1
195903;4.8;1
195904;6.5;1
195905;8.8;1
195906;10.7;1
195907;13.3;1
195908;13.8;1
195909;12.5;1
195910;9.6;1
195911;5.4;1
195912;4.9;1
196001;3.2;1
196002;2.5;1
196003;5.4;1
196004;6.1;1
196005;9.6;1
196006;11.8;1
196007;12;1
196008;12.6;1
196009;11.2;1
196010;9.1;1
196011;6.6;1
196012;3.1;1
196101;3.1;1
196102;5.6;1
196103;4.7;1
196104;7.8;1
196105;8.2;1
196106;11.1;1
196107;13.1;1
196108;12.7;1
196109;13.4;1
196110;8.8;1
196111;5.2;1
196112;2.8;1
196201;3.5;1
196202;2.9;1
196203;1.7;1
196204;5.3;1
196205;7.3;1
196206;10.1;1
196207;12.5;1
196208;12.3;1
196209;10.3;1
196210;8.7;1
196211;5.3;1
196212;0.8;1
196301;-3.5;1
196302;-2.4;1
196303;4.5;1
196304;5.7;1
196305;7.6;1
196306;11.5;1
196307;12.2;1
196308;12.4;1
196309;11.5;1
196310;9.3;1
196311;7.4;1
196312;0.4;1
196401;-0.3;1
196402;3;1
196403;3.6;1
196404;6;1
196405;9.5;1
196406;11.2;1
196407;12.7;1
196408;13;1
196409;11.8;1
196410;7.1;1
196411;5.1;1
196412;2.9;1
196501;2.9;1
196502;0.7;1
196503;4;1
196504;5.8;1
196505;8.8;1
196506;10.3;1
196507;11.4;1
196508;12.4;1
196509;9.5;1
196510;8.3;1
196511;4.7;1
196512;5.3;1
196601;2.1;1
196602;6.5;1
196603;4;1
196604;7.5;1
196605;8.3;1
196606;11.8;1
196607;12.5;1
196608;11.4;1
196609;12.1;1
196610;9.3;1
196611;4.3;1
196612;5.7;1
196701;3.6;1
196702;3.9;1
196703;4.1;1
196704;5.5;1
196705;7.5;1
196706;10.4;1
196707;13;1
196708;12.6;1
196709;12;1
196710;9.8;1
