# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 38242001
# NOM_USUEL= MONESTIER
# LATITUDE (°) = 44.922
# LONGITUDE(°)= 5.638
# ALTITUDE (m) = 806
# NUM_SERIE= MTN138242001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196412 200412 201312
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-2.4;1
195102;-1.6;1
195103;-0.5;1
195104;2.8;1
195105;6.2;1
195106;10.9;1
195107;12.5;1
195108;12.1;1
195109;11.5;1
195110;5.4;1
195111;2.7;1
195112;-1.6;1
195201;-6;1
195202;-6.5;1
195203;2;1
195204;4.3;1
195205;6.5;1
195206;11.8;1
195207;12.9;1
195208;12.2;1
195209;6.8;1
195210;5.2;1
195211;0.4;1
195212;-2.7;1
195301;-9.1;1
195302;-6.8;1
195303;-0.9;1
195304;3.6;1
195305;7;1
195306;9.4;1
195307;12.1;1
195308;12.2;1
195309;10;1
195310;7.8;1
195311;-0.2;1
195312;0.3;1
195401;-5.4;1
195402;-4.5;1
195403;0.9;1
195404;2;1
195405;5.8;1
195406;10.3;1
195407;9.4;1
195408;10.3;1
195409;8.7;1
195410;5.3;1
195411;1.5;1
195412;-1.7;1
195501;0.4;1
195502;-2.9;1
195503;-1.8;1
195504;1.5;1
195505;5.8;1
195506;10.2;1
195507;12;1
195508;11;1
195509;8.9;1
195510;3.9;1
195511;0.5;1
195512;0.6;1
195601;-1.4;1
195602;-13.8;1
195603;-0.6;1
195604;1.5;1
195605;6.6;1
195606;7.2;1
195607;10.9;1
195608;11.1;1
195609;10;1
195610;3.7;1
195611;-0.5;1
195612;-1.9;1
195701;-4.4;1
195702;0.6;1
195703;1.4;1
195704;2.2;1
195705;4.5;1
195706;9.7;1
195707;10.4;1
195708;11.2;1
195709;8.8;1
195710;3.4;1
195711;2.1;1
195712;-3.1;1
195801;-4.3;1
195802;-1.9;1
195803;-2.7;1
195804;-0.2;1
195805;8;1
195806;7.8;1
195807;11.4;1
195808;12.1;1
195809;11;1
195810;4.3;1
195811;0.7;1
195812;-0.4;1
195901;-3.5;1
195902;-1.9;1
195903;3.4;1
195904;3.6;1
195905;6.5;1
195906;10.6;1
195907;13;1
195908;11.5;1
195909;11.6;1
195910;5.2;1
195911;0.3;1
195912;-0.1;1
196001;-3.7;1
196002;-0.8;1
196003;1.5;1
196004;2.4;1
196005;7;1
196006;10.5;1
196007;9.4;1
196008;10.7;1
196009;8.2;1
196010;6.2;1
196011;2.8;1
196012;-2;1
196101;-2.3;1
196102;0.8;1
196103;0.3;1
196104;6.4;1
196105;5.2;1
196106;11;1
196107;10.8;1
196108;10.8;1
196109;12.3;1
196110;6.8;1
196111;0.8;1
196112;-0.7;1
196201;-0.2;1
196202;-3.3;1
196203;-1.9;1
196204;3;1
196205;5.6;1
196206;8.8;1
196207;11.8;1
196208;12.6;1
196209;9.7;1
196210;7;1
196211;0;1
196212;-5.4;1
196301;-7.6;1
196302;-6.9;1
196303;0;1
196304;3.7;1
196305;6;1
196306;10.7;1
196307;13.4;1
196308;11.1;1
196309;10;1
196310;5.7;1
196311;4;1
196312;-3.7;1
196401;-5.3;1
196402;-0.5;1
196403;0.6;1
196404;4.3;1
196405;8.3;1
196406;11.5;1
196407;12.8;1
196408;12.3;1
196409;10.4;1
196410;4.6;1
196411;1.8;1
196412;-2.8;1
196501;-3.9;1
196502;-7.7;1
196503;-1.2;1
196504;2;1
196505;6;1
196506;10.3;1
196507;11;1
196508;10.7;1
196509;8.5;1
196510;7.2;1
196511;2;1
196512;0;1
196601;-4.3;1
196602;2.7;1
196603;-1.1;1
196604;4.4;1
196605;7;1
196606;10.5;1
196607;11;1
196608;11;1
196609;10.5;1
196610;8.3;1
196611;-1.9;1
196612;-2.3;1
196701;-4.1;1
196702;-1.8;1
196703;1.6;1
196704;1.7;1
196705;7.1;1
196706;8.7;1
196707;13.6;1
196708;12.5;1
196709;9.4;1
196710;7.4;1
196711;1.2;1
196712;-5.3;1
196801;-5.3;1
196802;-0.7;1
196803;-0.3;1
196804;4.1;1
196805;7.1;1
196806;9.3;1
196807;12.2;1
196808;10.7;1
196809;8.5;1
196810;7.7;1
196811;1.8;1
196812;-1.9;1
196901;-2.7;1
196902;-4.6;1
196903;0.9;1
196904;3.1;1
196905;7.1;1
196906;8.7;1
196907;12.2;1
196908;11.7;1
196909;10.7;1
196910;6.3;1
196911;1.8;1
196912;-5.9;1
197001;-0.9;1
197002;-2;1
197003;-2.9;1
197004;1;1
197005;6;1
197006;11.4;1
197007;12;1
197008;12.6;1
