# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 38299001
# NOM_USUEL= PELLAFOL-CHANEAUX
# LATITUDE (°) = 44.784
# LONGITUDE(°)= 5.906
# ALTITUDE (m) = 947
# NUM_SERIE= MTN138299001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 202012
# Date(s) de rupture(s) d'homogénéité : 196312 197312 198912 200804 201812
#     Periode homogénéisée  195901 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-4;1
195902;-3.4;1
195903;3.9;1
195904;3.1;1
195905;6;1
195906;9.3;1
195907;11.8;1
195908;10.8;1
195909;9.9;1
195910;2.8;1
195911;0.1;1
195912;-1.5;1
196001;-4.5;1
196002;-2;1
196003;1.1;1
196004;2.1;1
196005;6.8;1
196006;10;1
196007;10.1;1
196008;10.7;1
196009;8.4;1
196010;6.3;1
196011;2.1;1
196012;-3.5;1
196101;-4.3;1
196102;-0.3;1
196103;-1.1;1
196104;5.4;1
196105;6;1
196106;9.9;1
196107;10.2;1
196108;10.7;1
196109;11.2;1
196110;6;1
196111;0.4;1
196112;-0.9;1
196201;-0.5;1
196202;-3;1
196203;-2.1;1
196204;2.3;1
196205;5.2;1
196206;8.7;1
196207;11.4;1
196208;11.6;1
196209;9.1;1
196210;6.2;1
196211;0.2;1
196212;-6.8;1
196301;-7.3;1
196302;-6.9;1
196303;-1.9;1
196304;4;1
196305;5.1;1
196306;9.8;1
196307;11.7;1
196308;10.5;1
196309;9;1
196310;5.3;1
196311;4.5;1
196312;-3.5;1
196401;-6.4;1
196402;-0.9;1
196403;0;1
196404;3.9;1
196405;7.6;1
196406;10.6;1
196407;11.5;1
196408;11.5;1
196409;9.9;1
196410;3.5;1
196411;1.8;1
196412;-3.2;1
196501;-3.1;1
196502;-6.6;1
196503;-0.1;1
196504;2.1;1
196505;5.9;1
196506;9.4;1
196507;10.5;1
196508;10.9;1
196509;7.7;1
196510;6.3;1
196511;1.7;1
196512;-1.7;1
196601;-4.7;1
196602;1.9;1
196603;-1.8;1
196604;4.1;1
196605;6.2;1
196606;9.4;1
196607;10.3;1
196608;10.2;1
196609;9.7;1
196610;7.4;1
196611;-1.5;1
196612;-2.5;1
