# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 49027001
# NOM_USUEL= BEGROLLES
# LATITUDE (°) = 47.152
# LONGITUDE(°)= -0.938
# ALTITUDE (m) = 100
# NUM_SERIE= MTN149027001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 196012 198312 198507 200812
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.5;1
195102;1.5;1
195103;2.4;1
195104;4.2;1
195105;5.8;1
195106;11;1
195107;12.2;1
195108;11.5;1
195109;11;1
195110;5.9;1
195111;6.2;1
195112;2.2;1
195201;0;1
195202;-0.2;1
195203;4.9;1
195204;5.1;1
195205;8.1;1
195206;10.2;1
195207;13.1;1
195208;12.6;1
195209;8.3;1
195210;8;1
195211;2.4;1
195212;1.7;1
195301;-2.3;1
195302;-0.9;1
195303;1.5;1
195304;5;1
195305;8.5;1
195306;9.3;1
195307;12.1;1
195308;11.8;1
195309;10;1
195310;7.2;1
195311;2.5;1
195312;4.6;1
195401;0.1;1
195402;-0.4;1
195403;3.9;1
195404;2.7;1
195405;5.6;1
195406;9.6;1
195407;10;1
195408;11.6;1
195409;10.6;1
195410;9.2;1
195411;3.4;1
195412;4.6;1
195501;1.6;1
195502;0.6;1
195503;-0.5;1
195504;4;1
195505;5.9;1
195506;10.9;1
195507;14.1;1
195508;13.2;1
195509;9.7;1
195510;5.2;1
195511;2.6;1
195512;4.4;1
195601;2.4;1
195602;-6.9;1
195603;2.7;1
195604;2.3;1
195605;7.4;1
195606;8.3;1
195607;12.3;1
195608;10.3;1
195609;12.2;1
195610;7;1
195611;2;1
195612;4.4;1
195701;0.2;1
195702;4.4;1
195703;6.2;1
195704;4.3;1
195705;6;1
195706;11.2;1
195707;12.9;1
195708;11.8;1
195709;10.3;1
195710;7.7;1
195711;3.5;1
195712;0.8;1
195801;2.1;1
195802;3.9;1
195803;1.6;1
195804;3.4;1
195805;8.2;1
195806;9.8;1
195807;12.4;1
195808;13;1
195809;12.7;1
195810;7.9;1
195811;4;1
195812;2.5;1
195901;1;1
195902;1.4;1
195903;4.6;1
195904;5.9;1
195905;8.7;1
195906;10.3;1
195907;12.4;1
195908;11.5;1
195909;11.2;1
195910;7.9;1
195911;5;1
195912;4;1
196001;0.9;1
196002;1.9;1
196003;4.6;1
196004;4.9;1
196005;8.7;1
196006;11.8;1
196007;11.4;1
196008;11.6;1
196009;9.5;1
196010;7.8;1
196011;6.4;1
196012;1.3;1
196101;1.9;1
196102;4.9;1
196103;2.7;1
196104;7;1
196105;7.3;1
196106;10.2;1
196107;12.5;1
196108;11.2;1
196109;13.4;1
196110;9;1
196111;4.5;1
196112;2.4;1
196201;2.8;1
196202;0.8;1
196203;0.3;1
196204;3.9;1
196205;6.4;1
196206;9.3;1
196207;11.9;1
196208;12.2;1
196209;10.1;1
196210;7.3;1
196211;3.1;1
196212;-1.3;1
196301;-4.8;1
196302;-3.2;1
196303;4.5;1
196304;5;1
196305;6.6;1
196306;11;1
196307;11.2;1
196308;12.1;1
196309;10.9;1
196310;7.7;1
196311;6.7;1
196312;-1.5;1
196401;-1.3;1
196402;2.7;1
196403;3.1;1
196404;4.6;1
196405;8.8;1
196406;10.5;1
196407;12.5;1
196408;12.2;1
196409;12.1;1
196410;6;1
196411;3.7;1
196412;0.6;1
196501;1.8;1
196502;-1.5;1
196503;3.7;1
196504;4.2;1
196505;8.1;1
196506;10.2;1
196507;10.7;1
196508;11.5;1
196509;8.9;1
196510;7.7;1
196511;4.1;1
196512;4.2;1
196601;1.4;1
196602;6.3;1
196603;1.5;1
196604;6.8;1
196605;7.5;1
196606;11.4;1
