# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 53097001
# NOM_USUEL= EVRON
# LATITUDE (°) = 48.168
# LONGITUDE(°)= -0.388
# ALTITUDE (m) = 107
# NUM_SERIE= MTN153097001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 197912 200412
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;1.3;1
195502;0.6;1
195503;-0.5;1
195504;4.6;1
195505;5.8;1
195506;11;1
195507;13.5;1
195508;12.3;1
195509;9.1;1
195510;4.6;1
195511;2.8;1
195512;4.5;1
195601;1.5;1
195602;-6.8;1
195603;3;1
195604;2.7;1
195605;7.4;1
195606;8.6;1
195607;11.6;1
195608;9.5;1
195609;11.2;1
195610;6.1;1
195611;1.4;1
195612;3.7;1
195701;0.2;1
195702;3.8;1
195703;6.2;1
195704;4.3;1
195705;6.4;1
195706;11;1
195707;12.8;1
195708;10.9;1
195709;9.9;1
195710;7.2;1
195711;3.5;1
195712;1;1
195801;2;1
195802;3.3;1
195803;1;1
195804;3.2;1
195805;8.3;1
195806;9.5;1
195807;11.4;1
195808;12.3;1
195809;11.1;1
195810;7.6;1
195811;3.1;1
195812;2.6;1
195901;0.1;1
195902;0.4;1
195903;4.3;1
195904;5.2;1
195905;8.6;1
195906;10;1
195907;12.6;1
195908;12.2;1
195909;10.8;1
195910;7.1;1
195911;4.1;1
195912;3.6;1
196001;0.5;1
196002;0.6;1
196003;4.5;1
196004;4.6;1
196005;8.6;1
196006;11.6;1
196007;10.9;1
196008;10.9;1
196009;9.1;1
196010;7;1
196011;5.1;1
196012;0.8;1
196101;1;1
196102;4.2;1
196103;2.8;1
196104;6.8;1
196105;6.9;1
196106;9.6;1
196107;11.5;1
196108;10.9;1
196109;12.2;1
196110;7.5;1
196111;3.3;1
196112;2;1
196201;2.2;1
196202;0.5;1
196203;0.1;1
196204;5.2;1
196205;6.3;1
196206;9;1
196207;11.1;1
196208;11.1;1
196209;8.6;1
196210;7.1;1
196211;3.4;1
196212;-1.6;1
196301;-4.9;1
196302;-4.6;1
196303;3.6;1
196304;4.7;1
196305;6.7;1
196306;10.8;1
196307;11.1;1
196308;10.5;1
196309;9.9;1
196310;7.2;1
196311;5.7;1
196312;-1.1;1
196401;-1.7;1
196402;1.9;1
196403;2.4;1
196404;4.5;1
196405;8.6;1
196406;10.2;1
196407;11.6;1
196408;11.4;1
196409;10.7;1
196410;5.3;1
196411;3.6;1
196412;-0.4;1
196501;0.9;1
196502;-1.5;1
196503;2.9;1
196504;4.3;1
196505;8;1
196506;9.8;1
196507;10;1
196508;10.6;1
196509;7.9;1
196510;6.5;1
196511;2.8;1
196512;2.6;1
196601;-0.1;1
196602;5.2;1
196603;2;1
196604;6.2;1
196605;7.2;1
196606;10.6;1
196607;10.8;1
196608;10.3;1
196609;10.5;1
196610;8.2;1
196611;1.6;1
196612;3.6;1
196701;1.6;1
196702;2;1
196703;2.6;1
196704;3.7;1
196705;6.8;1
196706;9.1;1
196707;12.2;1
196708;11;1
196709;9.3;1
196710;8.3;1
196711;2.6;1
196712;0.5;1
196801;1;1
196802;0.2;1
196803;2.6;1
196804;3.9;1
196805;5.9;1
196806;10.5;1
196807;11.5;1
196808;11.8;1
196809;9.3;1
196810;9.1;1
196811;2.9;1
196812;0.6;1
196901;2.4;1
196902;-1.4;1
196903;2.6;1
196904;4.2;1
196905;7.4;1
196906;9.2;1
196907;12.3;1
196908;11.8;1
196909;10.8;1
196910;7.6;1
196911;3.4;1
196912;-0.3;1
197001;1.5;1
197002;1.7;1
197003;1;1
197004;2.9;1
197005;7.5;1
197006;12.2;1
197007;10.8;1
197008;12.1;1
197009;10;1
197010;6.4;1
197011;5.2;1
197012;-0.5;1
197101;0.6;1
197102;0.6;1
197103;-0.2;1
197104;5.3;1
197105;8.6;1
197106;9.5;1
197107;13;1
197108;11.6;1
197109;9.3;1
197110;6;1
197111;1.1;1
197112;1.5;1
197201;0.5;1
197202;1.9;1
197203;3.5;1
197204;4.5;1
197205;6.3;1
197206;7.9;1
197207;11.6;1
197208;10.3;1
197209;7.1;1
197210;5.3;1
197211;2.4;1
197212;1.4;1
197301;0.1;1
197302;-0.3;1
197303;0.4;1
197304;2.3;1
197305;7.8;1
197306;9.9;1
197307;11.7;1
197308;13.1;1
197309;10.3;1
197310;5.5;1
197311;2.2;1
197312;1.3;1
197401;3.5;1
197402;1.5;1
197403;2.7;1
197404;4.2;1
197405;5.3;1
197406;8.8;1
197407;9.9;1
197408;10.3;1
197409;8.6;1
197410;3.8;1
197411;4.8;1
197412;4.5;1
197501;4.4;1
197502;2.8;1
197503;2;1
197504;4.3;1
197505;6.9;1
197506;9.9;1
197507;11.7;1
197508;13.5;1
197509;9.8;1
197510;4.7;1
197511;3.7;1
197512;-0.5;1
197601;2.2;1
197602;1.8;1
197603;0.8;1
197604;2.5;1
197605;6.7;1
197606;11.2;1
197607;13.4;1
197608;11.7;1
197609;9;1
197610;7.4;1
197611;2;1
197612;0;1
197701;1.7;1
197702;3.8;1
197703;3.9;1
197704;2.9;1
197705;7;1
197706;9.3;1
197707;12.1;1
197708;10.4;1
197709;7.3;1
197710;8.4;1
197711;4.1;1
197712;3.5;1
197801;0.8;1
197802;1.2;1
197803;3.7;1
197804;3.5;1
197805;8.3;1
197806;9.5;1
197807;11.2;1
197808;9.5;1
197809;8;1
197810;6.8;1
197811;2.9;1
197812;3.3;1
197901;-3.3;1
197902;1.4;1
197903;2.9;1
197904;3.7;1
197905;6.3;1
197906;9.8;1
197907;10.9;1
197908;10.8;1
197909;8.9;1
197910;8.2;1
197911;2.9;1
197912;3.6;1
198001;-1.3;1
198002;3.4;1
198003;2.4;1
198004;3.8;1
198005;5.3;1
198006;9.3;1
198007;10.9;1
198008;11.6;1
198009;10.3;1
198010;6.2;1
198011;2.1;1
198012;0.6;1
198101;1.3;1
198102;-0.9;1
198103;5.9;1
198104;5.7;1
198105;8;1
198106;9.5;1
198107;11.5;1
198108;10.8;1
198109;10.4;1
198110;7.3;1
198111;4.2;1
198112;1.5;1
198201;2.3;1
198202;2.5;1
198203;2;1
198204;3.1;1
198205;7.5;1
198206;12.2;1
198207;12.7;1
198208;11.3;1
198209;10;1
198210;6.9;1
198211;4.7;1
198212;2.5;1
198301;3.1;1
198302;-0.4;1
198303;2.9;1
198304;3.7;1
198305;6.4;1
198306;11.3;1
198307;15.8;1
198308;13;1
198309;10.4;1
198310;6;1
198311;3.8;1
198312;0.8;1
198401;1.5;1
198402;0.9;1
198403;0.9;1
198404;3.5;1
198405;6.1;1
198406;9.8;1
198407;11.3;1
198408;11.6;1
198409;9.6;1
198410;7.5;1
198411;6.3;1
198412;1.7;1
198501;-3.8;1
198502;0;1
198503;1.2;1
198504;4.9;1
198505;7.9;1
198506;9.4;1
198507;12.2;1
198508;10.1;1
198509;9.7;1
198510;6.2;1
198511;1.2;1
198512;3.4;1
198601;1.4;1
198602;-4.5;1
198603;1.5;1
198604;2.4;1
198605;7.1;1
198606;11.3;1
198607;11.4;1
198608;10.2;1
198609;7;1
198610;9.1;1
198611;4.6;1
198612;2.7;1
198701;-3.8;1
198702;1;1
198703;1.2;1
198704;6.4;1
198705;5.8;1
198706;10.1;1
198707;12.9;1
198708;11.4;1
198709;12;1
198710;7.7;1
198711;3.5;1
198712;2.8;1
198801;4.2;1
198802;1;1
198803;3.5;1
198804;6;1
198805;8.8;1
198806;10.3;1
198807;10.8;1
198808;11.4;1
198809;10.2;1
198810;9;1
198811;1.7;1
198812;4.3;1
198901;1;1
198902;2.1;1
198903;4.6;1
198904;3.3;1
198905;9.7;1
198906;10.2;1
198907;13.5;1
198908;10.7;1
198909;8.9;1
198910;8.1;1
198911;3.6;1
198912;2.6;1
199001;2.8;1
199002;5.3;1
199003;2.3;1
199004;4.2;1
199005;8.9;1
199006;9.4;1
199007;12.7;1
199008;12.1;1
199009;8.3;1
199010;8.4;1
199011;4;1
199012;0.1;1
199101;1.4;1
199102;-3.2;1
199103;5.2;1
199104;3.6;1
199105;6.9;1
199106;8.8;1
199107;12.6;1
199108;12.8;1
199109;11.3;1
199110;6;1
199111;2.8;1
199112;0;1
199201;0.2;1
199202;-0.1;1
199203;3.1;1
199204;3.3;1
199205;8.3;1
199206;10.7;1
199207;12.1;1
199208;13.6;1
199209;9;1
199210;5.2;1
199211;6;1
199212;2.3;1
199301;4.2;1
199302;0.1;1
199303;2.1;1
199304;6;1
199305;8.4;1
199306;11;1
199307;10.9;1
199308;9.7;1
199309;8.7;1
199310;6.3;1
199311;0;1
199312;3.8;1
199401;3.2;1
199402;2.1;1
199403;4.9;1
199404;4.2;1
199405;8.3;1
199406;10.4;1
199407;14;1
199408;13.4;1
199409;9.4;1
199410;6.7;1
199411;7.7;1
199412;4.3;1
199501;1.4;1
199502;5;1
199503;2.4;1
199504;5.5;1
199505;7.4;1
199506;10;1
199507;14.2;1
199508;13.4;1
199509;8.7;1
199510;9.8;1
199511;3.3;1
199512;1.2;1
199601;2.8;1
199602;0;1
199603;2;1
199604;4.6;1
199605;6.6;1
199606;10.4;1
199607;11.7;1
199608;11.3;1
199609;7.9;1
199610;7.3;1
199611;3.3;1
199612;-0.2;1
199701;-1.2;1
199702;2.9;1
199703;4;1
199704;3;1
199705;8.6;1
199706;10.7;1
199707;12;1
199708;15.8;1
199709;8.2;1
199710;7;1
199711;6;1
199712;2.8;1
199801;2.2;1
199802;0.7;1
199803;4.1;1
199804;5;1
199805;9.1;1
199806;10.1;1
199807;11.1;1
199808;10.4;1
199809;11.6;1
199810;8.5;1
199811;1.4;1
199812;2.7;1
199901;3.3;1
199902;2.2;1
199903;3.9;1
199904;5.8;1
199905;9.6;1
199906;10.5;1
199907;13.8;1
199908;12.8;1
199909;12.3;1
199910;7.7;1
199911;2.5;1
199912;2.5;1
200001;1.4;1
200002;3.7;1
200003;2.3;1
200004;4.8;1
200005;10;1
200006;12;1
200007;11.6;1
200008;12.7;1
200009;10.8;1
200010;7.4;1
200011;4.2;1
200012;4.7;1
200101;2.1;1
200102;2.2;1
200103;5.5;1
200104;4.9;1
200105;9.1;1
200106;9.9;1
200107;12.8;1
200108;13.1;1
200109;7.9;1
200110;10.7;1
200111;2.3;1
200112;-0.4;1
200201;4.1;1
200202;4.2;1
200203;3.6;1
200204;4.8;1
200205;7.7;1
200206;10.4;1
200207;11.2;1
200208;12.2;1
200209;8.7;1
200210;7.6;1
200211;5.7;1
200212;5;1
200301;0.1;1
200302;0.8;1
200303;4.5;1
200304;4.8;1
200305;8;1
200306;13.2;1
200307;12.9;1
200308;14.9;1
200309;9.1;1
200310;5.8;1
200311;5.5;1
200312;1.9;1
200401;2;1
200402;1.5;1
200403;1.3;1
200404;4.3;1
200405;7.2;1
200406;10.8;1
200407;11.6;1
200408;14;1
200409;10.9;1
200410;7.9;1
200411;4.5;1
200412;0.1;1
200501;2.6;1
200502;0;1
200503;2.2;1
200504;4.9;1
200505;8.2;1
200506;11.7;1
200507;12.4;1
200508;10;1
200509;10;1
200510;10.8;1
200511;2.9;1
200512;-0.1;1
200601;0.6;1
200602;0.1;1
200603;2.5;1
200604;4.5;1
200605;8.9;1
200606;11.8;1
200607;15.6;1
200608;10.8;1
200609;13;1
200610;11.2;1
200611;4.3;1
200612;2.1;1
200701;3.9;1
200702;4.7;1
200703;2;1
200704;7.1;1
200705;10;1
200706;11.6;1
200707;12.5;1
200708;11.4;1
200709;7.7;1
200710;6.5;1
200711;2.1;1
200712;1;1
200801;3;1
200802;2.1;1
200803;3.1;1
200804;4;1
200805;9.4;1
200806;9.8;1
200807;11.5;1
200808;12.9;1
200809;8.8;1
200810;5.4;1
200811;5.5;1
200812;0.7;1
200901;-1;1
200902;0.3;1
200903;1.9;1
200904;5.2;1
200905;8.3;1
200906;11;1
200907;12;1
200908;11.9;1
200909;9.6;1
200910;7;1
200911;6.8;1
200912;0.1;1
201001;-1.9;1
201002;0.5;1
201003;2.5;1
201004;3.7;1
201005;6.7;1
201006;10.9;1
201007;12.9;1
201008;11.6;1
201009;8.4;1
201010;6.9;1
201011;3.3;1
201012;-1.7;1
201101;1.8;1
201102;3.2;1
201103;2.9;1
201104;6.4;1
201105;7.5;1
201106;10.8;1
201107;10.9;1
201108;12.3;1
201109;11.2;1
201110;8;1
201111;6.8;1
201112;3.5;1
201201;3.5;1
201202;-2.4;1
201203;4.1;1
201204;3.6;1
201205;8.5;1
201206;11.3;1
201207;11.4;1
201208;13.3;1
201209;8.3;1
201210;8.9;1
201211;4;1
201212;3.5;1
201301;1.7;1
201302;0.7;1
201303;1.6;1
201304;3.9;1
201305;6.2;1
201306;10.7;1
201307;14.7;1
201308;11.5;1
201309;9.9;1
201310;9.3;1
201311;3.2;1
201312;1.1;1
201401;3.8;1
201402;3.8;1
201403;2.6;1
201404;5.5;1
201405;7.9;1
201406;10.9;1
201407;13.2;1
201408;11.7;1
201409;11.5;1
201410;8.8;1
201411;7;1
201412;2.3;1
201501;1.3;1
201502;-0.1;1
201503;3.1;1
201504;6.1;1
201505;8.1;1
201506;10.7;1
201507;13.1;1
201508;12.9;1
201509;8.9;1
201510;6.9;1
201511;7.5;1
201512;6.1;1
201601;3.1;1
201602;2.6;1
201603;2.1;1
201604;2.8;1
201605;8.3;1
201606;12.3;1
201607;12.5;1
201608;12.1;1
201609;11.6;1
201610;6;1
201611;4;1
201612;0.8;1
201701;-1.5;0
201702;2.8;0
201703;5.3;0
201704;2.3;0
201705;9.4;0
201706;12.5;0
201707;13.5;0
201708;12.8;0
201709;9.4;0
201710;9.9;0
201711;3.9;0
201712;2.3;0
201801;5;0
201802;-1.2;0
201803;3.2;0
201804;7.3;0
201805;8.3;0
201806;13.3;0
201807;14.8;0
201808;12.5;0
201809;9;0
201810;7.5;0
201811;4.7;0
201812;4.2;0
201901;1.5;0
201902;1.3;0
201903;3.8;0
201904;4.1;0
201905;6.7;0
201906;12.5;0
201907;13.1;0
201908;11.9;0
201909;10.1;0
201910;10.2;0
201911;4.5;0
201912;3.4;0
202001;3.5;0
202002;4.4;0
202003;3.3;0
202004;7.7;0
202005;8.4;0
202006;10.8;0
202007;11.3;0
202008;13;0
202009;10.6;0
202010;8.2;0
202011;6;0
202012;3.7;0
202101;1.1;0
202102;3.5;0
202103;1.5;0
202104;2.5;0
202105;6.7;0
202106;12.2;0
202107;13.8;0
202108;12.3;0
202109;11.4;0
202110;7.1;0
202111;1.3;0
202112;3.9;0
202201;2.5;0
202202;2.4;0
202203;5.7;0
202204;4.6;0
202205;8.7;0
202206;11.9;0
202207;12.6;0
202208;14.1;0
202209;10.7;0
202210;11.9;0
202211;5.7;0
202212;2.3;0
