# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 54040001
# NOM_USUEL= BADONVILLER
# LATITUDE (°) = 48.498
# LONGITUDE(°)= 6.896
# ALTITUDE (m) = 336
# NUM_SERIE= MTN154040001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 196012 197103 199212
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-3.3;1
195902;-4.3;1
195903;2.8;1
195904;3.2;1
195905;6;1
195906;9;1
195907;11.4;1
195908;11.5;1
195909;6.9;1
195910;2.4;1
195911;1;1
195912;0.8;1
196001;-2.1;1
196002;-0.9;1
196003;1.4;1
196004;1.6;1
196005;6.6;1
196006;10.3;1
196007;10.1;1
196008;11.2;1
196009;7;1
196010;6.1;1
196011;3.6;1
196012;-1.2;1
196101;-1.6;1
196102;1.9;1
196103;0.4;1
196104;7.2;1
196105;5.4;1
196106;9.2;1
196107;11.8;1
196108;10.7;1
196109;11.7;1
196110;6.6;1
196111;0.1;1
196112;-1.1;1
196201;0.7;1
196202;-2.4;1
196203;-3.4;1
196204;3.5;1
196205;4.4;1
196206;6.4;1
196207;10.2;1
196208;10.3;1
196209;7.6;1
196210;3.1;1
196211;-1.6;1
196212;-5.5;1
196301;-9.8;1
196302;-8.4;1
196303;-0.4;1
196304;3.7;1
196305;5.5;1
196306;9.7;1
196307;10.3;1
196308;10.4;1
196309;8.8;1
196310;3.6;1
196311;4.4;1
196312;-7.1;1
196401;-5.5;1
196402;-0.9;1
196403;-0.2;1
196404;3.8;1
196405;6.2;1
196406;9.5;1
196407;9.9;1
196408;10.1;1
196409;9.2;1
196410;3.8;1
196411;2.8;1
196412;-2.7;1
196501;-0.4;1
196502;-4.7;1
196503;0.4;1
196504;2.8;1
196505;6.1;1
196506;9.8;1
196507;10.9;1
196508;9.9;1
196509;7.9;1
196510;3.2;1
196511;0.8;1
196512;1;1
196601;-5.4;1
196602;3.2;1
196603;-1;1
196604;5;1
196605;6.8;1
196606;10.8;1
196607;10.1;1
196608;10.1;1
196609;8.7;1
196610;8.5;1
196611;-0.7;1
196612;-0.1;1
196701;-2.5;1
196702;-0.5;1
196703;1.5;1
196704;0.8;1
196705;5.7;1
196706;8.3;1
196707;11.8;1
196708;10.5;1
196709;8.8;1
196710;7.4;1
196711;1;1
196712;-3.3;1
196801;-2.9;1
196802;-1.1;1
196803;-0.3;1
196804;2.7;1
196805;5.9;1
196806;9.2;1
196807;9.7;1
196808;10.4;1
196809;8.2;1
196810;7.3;1
196811;1.5;1
196812;-2.9;1
196901;-0.8;1
196902;-3.8;1
196903;-0.2;1
196904;2.8;1
196905;7.4;1
196906;8.3;1
196907;11.9;1
196908;10.9;1
196909;8.3;1
196910;4.1;1
196911;2.3;1
196912;-5.9;1
197001;-1.7;1
197002;-1.6;1
197003;-1.7;1
197004;2.6;1
197005;5.7;1
197006;10.8;1
197007;10.4;1
197008;10.8;1
197009;8.3;1
197010;6.1;1
197011;3.3;1
197012;-2.5;1
197101;-3.9;1
197102;-1.6;1
197103;-3.2;1
197104;2.4;1
197105;7.8;1
197106;9;1
197107;10.1;1
197108;11.1;1
197109;5.3;1
197110;4.3;1
197111;0.6;1
197112;-1.5;1
197201;-2.9;1
197202;-0.5;1
197203;0;1
197204;3.1;1
197205;6.7;1
