# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 56009001
# NOM_USUEL= BELLE ILE-LE TALUT
# LATITUDE (°) = 47.294
# LONGITUDE(°)= -3.218
# ALTITUDE (m) = 34
# NUM_SERIE= MTN156009001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197012 198612
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.6;1
195102;5.3;1
195103;5.5;1
195104;7.9;1
195105;9.1;1
195106;13.5;1
195107;14.8;1
195108;14.3;1
195109;14.9;1
195110;10.5;1
195111;9.8;1
195112;8;1
195201;4.8;1
195202;3.6;1
195203;7.8;1
195204;8;1
195205;12.2;1
195206;13.3;1
195207;14.6;1
195208;15.5;1
195209;10.9;1
195210;11.4;1
195211;6.9;1
195212;5.1;1
195301;2.6;1
195302;3;1
195303;6;1
195304;8.2;1
195305;11.7;1
195306;12;1
195307;14.4;1
195308;14.6;1
195309;13.3;1
195310;11.3;1
195311;8.7;1
195312;9.4;1
195401;4.4;1
195402;3.4;1
195403;6.8;1
195404;5.8;1
195405;9.3;1
195406;12;1
195407;12.4;1
195408;13.5;1
195409;13.9;1
195410;13.1;1
195411;9.3;1
195412;8.8;1
195501;5.8;1
195502;4.3;1
195503;2.7;1
195504;8;1
195505;9.8;1
195506;12.7;1
195507;15.7;1
195508;15.9;1
195509;13.9;1
195510;9.6;1
195511;7.4;1
195512;9.1;1
195601;5.8;1
195602;-2.1;1
195603;6.1;1
195604;5.6;1
195605;9.7;1
195606;10.7;1
195607;14.1;1
195608;12.9;1
195609;14.8;1
195610;10.9;1
195611;7.2;1
195612;7.5;1
195701;5.9;1
195702;7.6;1
195703;10.1;1
195704;7.6;1
195705;9.8;1
195706;12.9;1
195707;15;1
195708;14.7;1
195709;13.1;1
195710;11.7;1
195711;6.8;1
195712;5.5;1
195801;5.5;1
195802;6.2;1
195803;5.7;1
195804;6.5;1
195805;11;1
195806;12.3;1
195807;14.4;1
195808;15.3;1
195809;15.2;1
195810;12.1;1
195811;7.8;1
195812;6.8;1
195901;5.2;1
195902;4.5;1
195903;8.1;1
195904;8.9;1
195905;10.8;1
195906;13.1;1
195907;14.9;1
195908;15.3;1
195909;14.6;1
195910;13.1;1
195911;8.8;1
195912;8.6;1
196001;5.5;1
196002;5.6;1
196003;8.4;1
196004;8.2;1
196005;11.7;1
196006;14.7;1
196007;14.2;1
196008;14.9;1
196009;13.4;1
196010;12.2;1
196011;10.1;1
196012;5.6;1
196101;6.7;1
196102;8.1;1
196103;7;1
196104;10.5;1
196105;10.7;1
196106;12.6;1
196107;14.5;1
196108;14.6;1
196109;15.6;1
196110;12.2;1
196111;7.8;1
196112;6;1
196201;6.2;1
196202;4.4;1
196203;3.8;1
196204;7;1
196205;8.8;1
196206;10.9;1
196207;13.6;1
196208;14.1;1
196209;13;1
196210;11.1;1
196211;7;1
196212;3.6;1
196301;-1.3;1
196302;0.7;1
196303;6.2;1
196304;7.2;1
196305;8.8;1
196306;12.4;1
196307;14;1
196308;14.2;1
196309;13.6;1
196310;12;1
